Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.335895,0.408695,0.244609,0.340099,"356,647","40,266,000"
"Sep 21, 2017",0.581256,0.584317,0.310667,0.33631,"637,465","69,679,000"
"Sep 20, 2017",0.631302,0.710773,0.565372,0.5841,"54,064","75,678,400"
"Sep 19, 2017",0.291971,0.958368,0.286646,0.632108,"2,182,160","35,000,500"
"Sep 18, 2017",0.23206,0.290577,0.23206,0.290577,"341,314","27,818,600"
"Sep 17, 2017",0.164836,0.279084,0.164836,0.232714,"385,684","19,760,000"
"Sep 16, 2017",0.130422,0.168476,0.12289,0.164749,"203,006","15,634,600"
"Sep 15, 2017",0.107557,0.130763,0.103042,0.130763,"167,646","12,893,600"
"Sep 14, 2017",0.054011,0.164454,0.054011,0.105447,"187,208","6,474,610"
"Sep 13, 2017",0.057113,0.057842,0.051036,0.055781,"22,139","6,846,540"
"Sep 12, 2017",0.061005,0.063171,0.056753,0.057095,"19,617","7,313,020"
"Sep 11, 2017",0.060832,0.068166,0.059177,0.061024,"16,603","7,292,350"
"Sep 10, 2017",0.067439,0.068619,0.0568,0.06064,"16,879","8,084,360"
"Sep 09, 2017",0.070785,0.070979,0.065241,0.067371,"14,780","8,485,430"
"Sep 08, 2017",0.094955,0.094955,0.063607,0.070625,"44,223","11,382,900"
"Sep 07, 2017",0.063147,0.138851,0.046947,0.094936,"106,212","7,569,850"
"Sep 06, 2017",0.069986,0.07596,0.057491,0.063268,"19,733",-
"Sep 05, 2017",0.071927,0.074193,0.060544,0.069904,"25,739",-
"Sep 04, 2017",0.078661,0.082961,0.06931,0.072184,"14,630",-
"Sep 03, 2017",0.078435,0.092917,0.076232,0.078635,"21,822",-
"Sep 02, 2017",0.088478,0.089907,0.076237,0.078384,"14,059",-
"Sep 01, 2017",0.081529,0.088952,0.076888,0.088367,"15,964",-
"Aug 31, 2017",0.088613,0.088981,0.078882,0.081561,"15,132",-
"Aug 30, 2017",0.091822,0.094628,0.077213,0.088767,"24,635",-
"Aug 29, 2017",0.087714,0.096531,0.076034,0.091876,"28,534",-
"Aug 28, 2017",0.095358,0.095358,0.083485,0.087728,"24,112",-
"Aug 27, 2017",0.102662,0.102729,0.085589,0.095262,"22,009",-
"Aug 26, 2017",0.08599,0.10717,0.084261,0.102688,"24,671",-
"Aug 25, 2017",0.091363,0.118433,0.070133,0.085846,"52,751",-
"Aug 24, 2017",0.088152,0.091646,0.078477,0.091506,"24,660",-
"Aug 23, 2017",0.073913,0.096427,0.073679,0.088114,"11,830",-
"Aug 22, 2017",0.093024,0.093068,0.065956,0.085895,"16,107",-
"Aug 21, 2017",0.104926,0.106306,0.080671,0.092809,"17,520",-
"Aug 20, 2017",0.11097,0.116212,0.104806,0.105325,"10,624",-
"Aug 19, 2017",0.115201,0.118516,0.103149,0.11149,"19,524","34,560,400"
"Aug 18, 2017",0.143973,0.14661,0.103535,0.115299,"35,082","43,191,900"
"Aug 17, 2017",0.117731,0.158668,0.11458,0.144414,"34,416","35,319,300"
"Aug 16, 2017",0.110643,0.143362,0.107133,0.11784,"37,754","33,193,000"
"Aug 15, 2017",0.121275,0.12189,0.100485,0.110522,"13,795","36,382,600"
"Aug 14, 2017",0.116445,0.132077,0.090639,0.120961,"33,667","34,933,600"
"Aug 13, 2017",0.107253,0.138709,0.085208,0.116371,"29,287","32,175,800"
"Aug 12, 2017",0.145977,0.146962,0.075922,0.107352,"44,973","43,793,200"
"Aug 11, 2017",0.153793,0.163115,0.126367,0.146091,"41,888","46,138,000"
"Aug 10, 2017",0.162767,0.176345,0.142716,0.153802,"37,214","48,830,100"
"Aug 09, 2017",0.202732,0.212173,0.066548,0.162752,"447,846","60,819,500"
"Aug 08, 2017",0.182525,0.213133,0.179159,0.202709,"40,150","54,757,600"
"Aug 07, 2017",0.164689,0.202137,0.13989,0.189689,"39,222","49,406,800"
"Aug 06, 2017",0.173006,0.197566,0.162113,0.165058,"16,087","51,901,700"
"Aug 05, 2017",0.207072,0.241252,0.151545,0.172964,"56,744","62,121,500"
"Aug 04, 2017",0.270434,0.287887,0.206599,0.207163,"68,903","81,130,300"
"Aug 03, 2017",0.12686,0.283496,0.12686,0.270396,"23,631","38,058,100"
"Aug 02, 2017",0.12342,0.130523,0.121362,0.126677,"14,568","37,026,000"
"Aug 01, 2017",0.13075,0.131568,0.118034,0.123444,"6,407","39,225,000"
"Jul 31, 2017",0.174314,0.219779,0.089637,0.125852,"46,830","52,294,100"
"Jul 30, 2017",0.187603,0.240612,0.168212,0.17395,"20,780","56,280,800"
"Jul 29, 2017",0.279224,0.284914,0.054325,0.187434,"84,234","83,767,300"
"Jul 28, 2017",0.266129,0.284524,0.266129,0.278059,"29,241","79,838,800"
"Jul 27, 2017",0.252396,0.269585,0.251413,0.265325,"20,996","75,718,700"
"Jul 26, 2017",0.256026,0.272063,0.243953,0.251684,"22,927","76,807,900"
"Jul 25, 2017",0.285026,0.296733,0.245395,0.255936,"20,900","85,507,900"
"Jul 24, 2017",0.288943,0.323707,0.274879,0.28461,"15,171","86,683,000"
"Jul 23, 2017",0.315702,0.349336,0.286248,0.28928,"15,537","94,710,700"
"Jul 22, 2017",0.31888,0.380601,0.300333,0.360083,"44,916","95,663,900"
"Jul 21, 2017",0.383023,0.392972,0.303172,0.316832,"20,282","114,907,000"
"Jul 20, 2017",0.270626,0.405974,0.252996,0.3804,"75,723","81,187,800"
"Jul 19, 2017",0.264995,0.29179,0.234368,0.271442,"28,682",-
"Jul 18, 2017",0.269168,0.330786,0.244024,0.264574,"39,231",-
"Jul 17, 2017",0.294808,0.331944,0.154881,0.268275,"103,681",-
"Jul 16, 2017",0.321826,0.351546,0.288112,0.326279,"89,609",-
"Jul 15, 2017",0.200605,0.472745,0.199441,0.322805,"181,847",-
"Jul 14, 2017",0.178222,0.229176,0.178222,0.200928,"67,941",-
"Jul 13, 2017",0.150812,0.236561,0.150748,0.178352,"53,595",-
"Jul 12, 2017",0.043574,0.306204,0.043095,0.1507,"99,252",-
"Jul 11, 2017",0.047661,0.047661,0.041468,0.043638,"13,133",-
