Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.007702,0.008245,0.00733,0.007843,"318,783","13,866,000"
"Sep 21, 2017",0.00932,0.009369,0.007597,0.007692,"362,019","16,778,700"
"Sep 20, 2017",0.009214,0.009726,0.008883,0.009328,"245,077","16,588,700"
"Sep 19, 2017",0.00983,0.010109,0.009079,0.009227,"264,347","17,697,000"
"Sep 18, 2017",0.008567,0.010017,0.008567,0.009785,"476,961","15,422,700"
"Sep 17, 2017",0.008782,0.008916,0.007959,0.008598,"214,199","15,810,100"
"Sep 16, 2017",0.008679,0.009766,0.008365,0.008751,"274,772","15,625,500"
"Sep 15, 2017",0.007873,0.009362,0.006442,0.008702,"677,997","14,174,200"
"Sep 14, 2017",0.010453,0.010731,0.007794,0.007794,"478,949","18,819,800"
"Sep 13, 2017",0.01214,0.012196,0.009904,0.010393,"726,946","21,856,200"
"Sep 12, 2017",0.012941,0.014135,0.011254,0.012171,"2,138,870","23,297,400"
"Sep 11, 2017",0.012867,0.015769,0.012719,0.01286,"7,647,230","23,164,200"
"Sep 10, 2017",0.011415,0.012937,0.009951,0.012796,"2,041,340","20,550,100"
"Sep 09, 2017",0.010866,0.012133,0.010318,0.011336,"1,045,330","19,561,800"
"Sep 08, 2017",0.011834,0.013009,0.01019,0.010824,"1,144,320","21,305,200"
"Sep 07, 2017",0.012969,0.012969,0.011446,0.011957,"1,027,290","23,349,200"
"Sep 06, 2017",0.012389,0.013657,0.011849,0.01304,"1,367,310","22,304,900"
"Sep 05, 2017",0.011584,0.01373,0.010273,0.012344,"2,177,100","20,854,500"
"Sep 04, 2017",0.013263,0.015854,0.010053,0.011473,"5,084,980","23,878,100"
"Sep 03, 2017",0.009845,0.014319,0.009742,0.013415,"3,666,390","17,723,500"
"Sep 02, 2017",0.011245,0.011752,0.009656,0.009792,"1,333,090","20,245,400"
"Sep 01, 2017",0.009388,0.011552,0.009163,0.011182,"998,297","16,901,900"
"Aug 31, 2017",0.009008,0.00978,0.008729,0.009403,"802,652","16,217,800"
"Aug 30, 2017",0.008334,0.00948,0.008205,0.009009,"770,055","15,004,600"
"Aug 29, 2017",0.009328,0.009909,0.008094,0.008345,"1,309,730","16,793,400"
"Aug 28, 2017",0.007324,0.010358,0.007136,0.00943,"2,088,580","13,185,000"
"Aug 27, 2017",0.007016,0.007496,0.006967,0.007331,"264,030","12,630,500"
"Aug 26, 2017",0.006761,0.007166,0.006637,0.007017,"212,462","12,171,400"
"Aug 25, 2017",0.007063,0.007076,0.006526,0.006759,"228,775","12,715,700"
"Aug 24, 2017",0.006655,0.007235,0.006421,0.007101,"457,200","11,980,400"
"Aug 23, 2017",0.006395,0.006969,0.006333,0.006725,"381,262","11,512,500"
"Aug 22, 2017",0.006403,0.006528,0.005756,0.006408,"222,848","11,528,200"
"Aug 21, 2017",0.00668,0.007184,0.006116,0.006349,"644,202","12,025,800"
"Aug 20, 2017",0.005719,0.006959,0.005589,0.006733,"719,879","10,296,300"
"Aug 19, 2017",0.005983,0.006251,0.005416,0.00573,"278,641","10,771,100"
"Aug 18, 2017",0.006597,0.006774,0.005861,0.006015,"362,998","11,877,200"
"Aug 17, 2017",0.006906,0.007379,0.00642,0.006575,"530,695","12,433,000"
"Aug 16, 2017",0.007112,0.00848,0.006688,0.006909,"1,118,630","12,803,800"
"Aug 15, 2017",0.005722,0.007738,0.005213,0.007104,"1,443,490","10,301,300"
"Aug 14, 2017",0.006292,0.006722,0.005339,0.005706,"500,254","11,327,400"
"Aug 13, 2017",0.00745,0.007665,0.006266,0.006299,"439,552","13,413,400"
"Aug 12, 2017",0.007514,0.007896,0.007063,0.007546,"383,352","13,526,600"
"Aug 11, 2017",0.007731,0.008366,0.007084,0.00752,"727,482","13,907,800"
"Aug 10, 2017",0.008393,0.008549,0.0076,0.007677,"384,725","15,161,000"
"Aug 09, 2017",0.008386,0.009013,0.008164,0.008368,"363,996","15,148,700"
