Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.001138,0.001183,0.001087,0.001139,"1,027,870","208,631,000"
"Sep 21, 2017",0.001266,0.00127,0.001112,0.001136,"1,540,480","232,076,000"
"Sep 20, 2017",0.001326,0.001342,0.001258,0.001272,"1,938,890","242,977,000"
"Sep 19, 2017",0.001415,0.001434,0.001309,0.001324,"1,606,840","259,390,000"
"Sep 18, 2017",0.001272,0.001426,0.001272,0.001426,"2,019,040","233,140,000"
"Sep 17, 2017",0.00126,0.001335,0.001196,0.001276,"1,661,710","230,864,000"
"Sep 16, 2017",0.001301,0.001396,0.001193,0.001259,"2,647,070","238,449,000"
"Sep 15, 2017",0.001201,0.001346,0.000935,0.001304,"3,224,320","220,046,000"
"Sep 14, 2017",0.001547,0.001572,0.001171,0.001194,"2,712,480","283,490,000"
"Sep 13, 2017",0.001766,0.001766,0.001446,0.001544,"2,823,280","323,600,000"
"Sep 12, 2017",0.001773,0.001893,0.001715,0.001772,"3,341,040","324,981,000"
"Sep 11, 2017",0.001563,0.001797,0.001522,0.001767,"3,027,920","286,422,000"
"Sep 10, 2017",0.00175,0.001752,0.001534,0.001565,"2,796,420","320,682,000"
"Sep 09, 2017",0.001712,0.001757,0.001674,0.001757,"2,884,290","313,757,000"
"Sep 08, 2017",0.001989,0.002001,0.00164,0.001708,"2,064,260","364,480,000"
"Sep 07, 2017",0.002026,0.002036,0.001958,0.001979,"2,237,960","371,206,000"
"Sep 06, 2017",0.001947,0.002114,0.001939,0.002028,"2,130,580","356,724,000"
"Sep 05, 2017",0.00189,0.001984,0.001655,0.001947,"3,081,520","346,277,000"
"Sep 04, 2017",0.002194,0.0022,0.001763,0.001881,"3,569,230","402,078,000"
"Sep 03, 2017",0.002015,0.002249,0.001935,0.002181,"3,397,460","369,198,000"
"Sep 02, 2017",0.002404,0.002451,0.001984,0.002024,"4,686,220","440,560,000"
"Sep 01, 2017",0.002447,0.002499,0.002256,0.002432,"5,040,650","448,360,000"
"Aug 31, 2017",0.002672,0.002709,0.002337,0.002441,"5,404,330","489,619,000"
"Aug 30, 2017",0.001889,0.002749,0.001849,0.002672,"8,499,220","346,226,000"
"Aug 29, 2017",0.001707,0.002001,0.001639,0.001892,"5,462,420","312,733,000"
"Aug 28, 2017",0.001466,0.001702,0.001413,0.001702,"2,815,930","268,581,000"
"Aug 27, 2017",0.001402,0.0016,0.001395,0.001467,"2,762,300","256,850,000"
"Aug 26, 2017",0.001378,0.001423,0.001358,0.001401,"2,155,480","252,554,000"
"Aug 25, 2017",0.001395,0.001486,0.001343,0.001378,"2,911,530","255,680,000"
"Aug 24, 2017",0.001365,0.001524,0.001321,0.001418,"3,701,630","250,082,000"
"Aug 23, 2017",0.001202,0.001437,0.001179,0.001347,"3,475,400","220,355,000"
"Aug 22, 2017",0.001204,0.001235,0.001094,0.001204,"1,886,460","220,676,000"
"Aug 21, 2017",0.001221,0.001237,0.001147,0.001191,"2,000,990","223,715,000"
"Aug 20, 2017",0.001147,0.00126,0.001085,0.00121,"1,884,760","210,216,000"
"Aug 19, 2017",0.001182,0.001238,0.001068,0.001169,"2,073,090","216,679,000"
"Aug 18, 2017",0.0013,0.001304,0.001145,0.001195,"1,796,510","238,170,000"
"Aug 17, 2017",0.001376,0.001397,0.001263,0.001297,"1,918,060","252,135,000"
"Aug 16, 2017",0.001406,0.001439,0.001318,0.00139,"1,880,180","257,581,000"
"Aug 15, 2017",0.001321,0.001525,0.001226,0.001382,"2,836,760","242,038,000"
"Aug 14, 2017",0.001459,0.001503,0.001227,0.001317,"2,245,190","267,334,000"
"Aug 13, 2017",0.001492,0.00155,0.001373,0.00146,"2,087,030","273,362,000"
"Aug 12, 2017",0.001588,0.001703,0.001462,0.001492,"3,019,480","290,967,000"
"Aug 11, 2017",0.001299,0.001621,0.001162,0.001604,"3,321,450","237,960,000"
"Aug 10, 2017",0.001394,0.001408,0.001291,0.001312,"1,701,010","255,350,000"
"Aug 09, 2017",0.001443,0.001446,0.001384,0.001391,"1,610,030","264,393,000"
"Aug 08, 2017",0.001448,0.001516,0.001419,0.001441,"1,652,560","265,225,000"
