Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",6.86,7.6,6.84,7.45,"833,117","18,027,800"
"Sep 21, 2017",7.84,8.07,6.83,6.86,"913,428","20,571,700"
"Sep 20, 2017",7.79,8.04,7.12,7.71,"1,236,160","20,443,100"
"Sep 19, 2017",7.08,11.29,6.64,7.87,"3,613,420","18,567,700"
"Sep 18, 2017",6.49,7.24,6.49,7.08,"277,305","17,001,900"
"Sep 17, 2017",6.15,6.73,5.8,6.59,"693,383","16,105,000"
"Sep 16, 2017",6.06,6.48,5.91,6.15,"87,165","15,856,600"
"Sep 15, 2017",5.42,6.39,4.91,6.1,"213,717","14,169,400"
"Sep 14, 2017",6.44,6.51,5.34,5.37,"143,176","16,845,900"
"Sep 13, 2017",6.95,6.95,6.21,6.44,"116,124","18,167,200"
"Sep 12, 2017",7.01,7.29,6.83,6.99,"132,615","18,298,600"
"Sep 11, 2017",6.96,7.21,6.79,7,"86,937","18,170,000"
"Sep 10, 2017",7.18,7.18,6.55,6.97,"124,706","18,728,400"
"Sep 09, 2017",7.17,7.28,6.88,7.19,"149,868","18,689,700"
"Sep 08, 2017",7.67,7.79,6.84,7.15,"418,412","19,979,400"
"Sep 07, 2017",7.8,7.82,7.48,7.67,"241,188","20,305,300"
"Sep 06, 2017",7.36,8.12,7.33,7.84,"196,838","19,161,600"
"Sep 05, 2017",7.26,7.52,6.64,7.34,"251,505","18,872,200"
"Sep 04, 2017",7.96,8.02,6.81,7.23,"455,560","20,689,000"
"Sep 03, 2017",7.83,8.26,7.57,7.96,"195,201","20,344,900"
"Sep 02, 2017",8.74,9.05,7.65,7.83,"771,343","22,693,900"
"Sep 01, 2017",7.9,9.31,7.9,8.73,"882,681","20,483,900"
"Aug 31, 2017",7.98,8.08,7.77,7.89,"241,414","20,685,600"
"Aug 30, 2017",7.73,8.01,7.6,7.99,"235,375","20,025,100"
"Aug 29, 2017",7.66,7.84,7.53,7.74,"268,268","19,850,600"
"Aug 28, 2017",7.48,7.74,7.26,7.6,"314,853","19,348,500"
"Aug 27, 2017",7.65,7.72,7.32,7.48,"346,778","19,779,800"
"Aug 26, 2017",7.3,8.37,7.22,7.7,"1,139,320","18,873,700"
"Aug 25, 2017",7.1,7.46,7.1,7.3,"282,932","18,342,800"
"Aug 24, 2017",6.79,7.22,6.73,7.11,"407,005","17,541,400"
"Aug 23, 2017",6.84,7.06,6.64,6.79,"287,868","17,654,100"
