Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",6.31,6.96,5.93,6.65,"484,090","32,198,000"
"Sep 21, 2017",7.34,7.49,5.73,6.26,"658,418","37,455,200"
"Sep 20, 2017",7.97,8.03,7.25,7.35,"705,730","40,633,300"
"Sep 19, 2017",8.47,8.9,7.07,8.02,"852,054","43,191,200"
"Sep 18, 2017",9.57,10.12,8.18,8.4,"1,790,880","48,779,900"
"Sep 17, 2017",10.03,10.63,9.26,9.59,"1,021,030","51,158,300"
"Sep 16, 2017",9.84,10.96,9.32,9.96,"1,758,640","50,164,000"
"Sep 15, 2017",8.11,12.41,8.11,9.97,"5,326,620","41,324,300"
"Sep 14, 2017",7.96,9.76,7.07,7.86,"1,144,350","40,566,800"
"Sep 13, 2017",7.82,8.48,6.91,7.95,"756,031","39,824,700"
"Sep 12, 2017",8.77,9.19,7.29,7.98,"861,614","44,697,600"
"Sep 11, 2017",9.02,10,8.26,8.76,"1,087,580","45,929,700"
"Sep 10, 2017",10.6,11.56,7.95,9.08,"2,523,170","54,002,200"
"Sep 09, 2017",6.96,12.45,6.91,10.63,"4,757,040","35,432,900"
"Sep 08, 2017",6.3,8.1,5.81,6.93,"1,745,260","32,078,900"
"Sep 07, 2017",5.47,6.67,5.26,6.34,"688,421","27,834,300"
"Sep 06, 2017",5.21,5.58,5.05,5.51,"284,147","26,518,400"
"Sep 05, 2017",5.07,5.28,4.59,5.23,"226,810","25,800,700"
"Sep 04, 2017",6.05,6.26,4.61,5.09,"364,988","30,780,400"
"Sep 03, 2017",5.42,6.57,5.38,6.23,"537,765","27,588,800"
"Sep 02, 2017",6.83,7.3,4.68,5.4,"485,930","34,751,000"
"Sep 01, 2017",5.62,7.45,5.62,6.81,"627,654","28,620,200"
"Aug 31, 2017",5.13,6.03,4.91,5.63,"443,636","26,081,000"
"Aug 30, 2017",5.21,5.4,4.67,5.22,"309,919","26,488,900"
"Aug 29, 2017",5.64,5.64,4.93,5.3,"261,272","28,678,200"
"Aug 28, 2017",5.85,5.85,5.35,5.63,"321,733","29,731,900"
"Aug 27, 2017",6.56,6.63,5.44,5.85,"357,026","33,382,300"
"Aug 26, 2017",4.96,6.73,4.87,6.73,"417,481","25,219,900"
"Aug 25, 2017",4.77,5.51,4.77,5.05,"279,539","24,261,500"
"Aug 24, 2017",4.42,5.43,4.22,4.91,"426,617","22,470,800"
"Aug 23, 2017",4.23,4.75,4.16,4.39,"228,839","21,494,700"
"Aug 22, 2017",4.45,4.49,3.84,4.27,"142,133","22,637,000"
"Aug 21, 2017",4.66,4.99,4.09,4.41,"286,279","23,689,000"
"Aug 20, 2017",4.75,4.93,4.46,4.75,"250,066","24,124,500"
"Aug 19, 2017",3.86,5.29,3.86,4.89,"457,458","19,629,800"
"Aug 18, 2017",3.94,4.07,3.71,3.88,"177,263","20,018,700"
"Aug 17, 2017",4.48,4.52,3.91,3.98,"180,881","22,748,200"
"Aug 16, 2017",4.53,4.85,4.34,4.54,"270,677","23,029,800"
"Aug 15, 2017",4.36,4.62,3.84,4.38,"360,578","22,176,900"
"Aug 14, 2017",4.67,5.17,4.24,4.34,"225,449","23,722,800"
"Aug 13, 2017",5.29,6.03,4.57,4.59,"275,207","26,889,700"
"Aug 12, 2017",5.16,5.45,4.94,5.27,"266,861","26,203,800"
"Aug 11, 2017",4.79,5.57,4.77,5.19,"311,206","24,310,400"
"Aug 10, 2017",5.31,5.37,4.81,4.83,"310,229","26,962,500"
"Aug 09, 2017",5.58,5.77,5.14,5.33,"220,732","28,319,000"
"Aug 08, 2017",5.6,6.5,5.38,5.56,"580,831","28,400,100"
"Aug 07, 2017",4.71,5.97,4.45,5.52,"323,563","23,880,500"
"Aug 06, 2017",5.1,5.28,4.66,4.7,"227,717","25,845,000"
"Aug 05, 2017",5.46,5.86,4.5,5.1,"638,086","27,708,800"
"Aug 04, 2017",4.08,5.97,4.03,5.45,"901,592","20,704,800"
"Aug 03, 2017",3.54,4.13,3.54,4.02,"158,138","17,949,100"
"Aug 02, 2017",3.78,3.79,3.3,3.52,"201,350","19,142,300"
"Aug 01, 2017",3.37,3.89,2.85,3.75,"233,197","17,109,200"
"Jul 31, 2017",3.48,3.58,3.11,3.41,"155,880","17,657,100"
"Jul 30, 2017",3.96,3.96,3.16,3.49,"183,158","20,091,600"
"Jul 29, 2017",3.89,3.98,3.07,3.96,"216,046","19,743,000"
"Jul 28, 2017",4.34,4.55,3.81,3.83,"188,276","21,973,800"
"Jul 27, 2017",4.24,4.72,4.15,4.33,"194,744","21,492,500"
"Jul 26, 2017",4.78,4.87,4.07,4.12,"252,954","24,226,200"
"Jul 25, 2017",5.58,6.21,4.21,4.73,"402,951","28,258,600"
"Jul 24, 2017",4.8,5.82,4.32,5.55,"371,853","24,315,600"
"Jul 23, 2017",5.12,5.23,4.69,4.85,"229,410","25,946,300"
"Jul 22, 2017",5.65,6.05,5.06,5.14,"168,488","28,644,300"
"Jul 21, 2017",5.33,6.7,4.71,5.59,"122,798","27,009,700"
"Jul 20, 2017",4.04,5.53,4.04,5.29,"237,027","20,474,100"
"Jul 19, 2017",4.86,5.1,4.06,4.12,"218,967","24,642,300"
"Jul 18, 2017",4.71,5.65,4.33,4.86,"190,888","23,873,200"
"Jul 17, 2017",3.87,4.79,3.85,4.7,"196,331","19,608,500"
"Jul 16, 2017",3.7,4.02,3.19,3.88,"202,924","18,731,800"
"Jul 15, 2017",4.05,4.4,3.71,3.73,"172,943","20,511,000"
"Jul 14, 2017",4.9,5.14,3.84,4.03,"299,408","24,806,200"
"Jul 13, 2017",5.47,5.55,4.78,4.96,"286,477","27,678,200"
"Jul 12, 2017",4.61,6.11,4.49,5.46,"384,570","23,313,000"
"Jul 11, 2017",4.5,5.59,4.48,4.62,"401,927","22,780,200"
"Jul 10, 2017",5.22,6.4,4.49,4.5,"477,552","26,420,500"
"Jul 09, 2017",7.04,7.12,5.22,5.22,"414,888","35,605,300"
"Jul 08, 2017",6.83,7.09,6.31,7.09,"266,549","34,556,700"
"Jul 07, 2017",8.28,8.31,6.66,6.94,"556,312","41,849,000"
"Jul 06, 2017",7.48,8.27,7.18,8.25,"765,322","37,788,000"
"Jul 05, 2017",6.65,7.65,5.93,7.47,"544,048","33,595,100"
"Jul 04, 2017",7.07,7.41,6.43,6.65,"465,220","35,722,100"
"Jul 03, 2017",7.85,7.93,5.86,7.04,"1,006,920","39,658,700"
"Jul 02, 2017",7.97,8.57,7.5,7.85,"394,616","40,261,900"
"Jul 01, 2017",8.26,9.13,7.83,8.09,"532,780","41,750,200"
