Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",2.5,3.29,2.21,3.07,"332,177","10,649,000"
"Sep 21, 2017",1.94,2.61,1.76,2.5,"184,263","8,268,320"
"Sep 20, 2017",1.49,1.53,1.46,1.53,"32,489","6,345,240"
"Sep 19, 2017",2.33,2.34,1.48,1.49,"31,755","9,937,980"
"Sep 18, 2017",1.7,2.47,0.951241,2.33,"84,211","7,239,100"
"Sep 17, 2017",2.51,3,1.7,1.7,"37,348","10,675,100"
"Sep 16, 2017",3.4,3.5,2.51,2.51,"10,895","14,488,200"
"Sep 15, 2017",1.3,3.5,1.3,3.37,"59,022","5,525,350"
"Sep 14, 2017",1.07,1.54,0.761344,1.29,"54,133","4,563,390"
"Sep 13, 2017",0.833739,1.08,0.760109,1.07,"14,159","3,623,770"
"Sep 12, 2017",1.03,1.36,0.641888,0.833473,"52,729","4,465,270"
"Sep 11, 2017",1.1,1.1,0.931412,1.03,"8,338","4,758,270"
"Sep 10, 2017",1.22,1.22,0.96738,1.1,"13,151","5,234,340"
"Sep 09, 2017",1.03,1.22,0.994192,1.22,"17,898","4,398,940"
"Sep 08, 2017",1.11,1.11,0.88125,1.03,"17,432","4,736,460"
"Sep 07, 2017",0.924817,1.12,0.854652,1.11,"83,474","3,927,780"
"Sep 06, 2017",0.649742,0.966131,0.536541,0.924437,"44,493","2,747,140"
"Sep 05, 2017",0.746621,0.793241,0.64621,0.649002,"13,616","3,142,800"
"Sep 04, 2017",1.02,1.19,0.723379,0.749375,"40,521","4,257,700"
"Sep 03, 2017",0.807368,1.19,0.711653,1.02,"59,999","3,368,320"
"Sep 02, 2017",0.738535,1.35,0.610718,0.807767,"43,586","3,067,290"
"Sep 01, 2017",1.2,1.2,0.650647,0.737611,"11,739","4,952,540"
"Aug 31, 2017",0.621754,1.28,0.553901,1.2,"40,797","2,559,000"
"Aug 30, 2017",0.75372,0.939041,0.55729,0.622842,"6,824","3,088,100"
"Aug 29, 2017",0.777566,0.965188,0.505132,0.752808,"9,629","3,171,730"
"Aug 28, 2017",0.869867,1.03,0.68884,0.777693,"21,886","3,532,280"
"Aug 27, 2017",0.91956,1.01,0.864953,0.868996,"21,435","3,716,750"
"Aug 26, 2017",0.901937,1.06,0.867823,0.919801,"13,912","3,629,140"
"Aug 25, 2017",0.948472,1.12,0.86463,0.900207,"21,781","3,798,620"
"Aug 24, 2017",1.24,1.26,0.762073,0.949968,"34,008","4,952,860"
"Aug 23, 2017",1.18,1.41,0.679723,1.04,"52,680","4,664,660"
"Aug 22, 2017",1.4,1.4,0.951822,1.18,"6,230","5,512,380"
"Aug 21, 2017",1.79,2,1,1.39,"65,235","7,029,210"
"Aug 20, 2017",1.58,2.07,1.04,1.8,"19,766","6,167,460"
"Aug 19, 2017",2.58,2.62,1.49,1.58,"13,090","10,060,000"
"Aug 18, 2017",2.58,2.86,1.47,2.58,"35,625","9,992,050"
"Aug 17, 2017",1.71,3.58,1.47,2.58,"33,323","6,598,190"
"Aug 16, 2017",1.23,1.71,1.01,1.71,"25,133","4,740,670"
"Aug 15, 2017",1.32,1.47,0.90358,1.23,"19,215","5,037,600"
"Aug 14, 2017",1.48,1.7,0.686487,1.31,"22,187","5,637,900"
"Aug 13, 2017",2.16,2.27,1.24,1.73,"21,816","8,186,920"
"Aug 12, 2017",2.14,4.57,1.29,2.16,"38,505","8,043,020"
"Aug 11, 2017",1.02,2.05,0.600693,2.03,"32,930","3,838,210"
"Aug 10, 2017",1.08,1.69,0.547897,0.888344,"17,341","4,020,200"
"Aug 09, 2017",1.77,1.93,0.877868,1.08,"25,404","6,558,720"
"Aug 08, 2017",3.35,4.39,1.05,1.77,"32,572","12,366,000"
"Aug 07, 2017",3.54,14.69,2.18,2.57,"35,712","12,807,300"
"Aug 06, 2017",3.14,3.58,0.960366,3.55,"12,061","11,358,000"
"Aug 05, 2017",11.99,13.25,0.946963,3.14,"29,810","43,356,700"
"Aug 04, 2017",14.2,14.35,5.68,12,"20,464","51,330,000"
"Aug 03, 2017",16.37,16.47,14.19,14.19,"18,400","59,182,500"
