Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",9.39,9.83,9.14,9.67,"120,245","24,568,500"
"Sep 21, 2017",10.76,10.86,9.18,9.47,"209,986","28,163,600"
"Sep 20, 2017",11.51,11.75,10.71,10.72,"284,510","30,132,700"
"Sep 19, 2017",12.21,12.26,11.1,11.71,"301,161","31,966,700"
"Sep 18, 2017",11.91,13.56,11.68,12.19,"574,362","31,187,600"
"Sep 17, 2017",10.41,12.21,9.85,11.91,"384,370","27,247,100"
"Sep 16, 2017",10.25,11.04,9.91,10.42,"307,068","26,823,000"
"Sep 15, 2017",9.01,10.65,7.55,10.27,"554,954","23,594,200"
"Sep 14, 2017",11.94,12.14,8.91,8.91,"210,444","31,247,300"
"Sep 13, 2017",12.98,13.07,10.62,11.94,"438,400","33,986,700"
"Sep 12, 2017",12.88,14.18,12.59,13.03,"931,608","33,721,400"
"Sep 11, 2017",11.3,13.39,10.95,12.87,"563,442","29,570,600"
"Sep 10, 2017",12.26,12.38,11.14,11.31,"178,768","32,106,600"
"Sep 09, 2017",11.57,12.49,11.25,12.24,"229,578","30,276,600"
"Sep 08, 2017",13.46,13.69,11.08,11.64,"257,440","35,235,600"
"Sep 07, 2017",13.61,14.07,13.03,13.38,"297,265","35,620,200"
"Sep 06, 2017",13.78,14.79,13.26,13.64,"364,685","36,076,400"
"Sep 05, 2017",12.22,14.26,10.96,13.56,"419,893","31,982,800"
"Sep 04, 2017",13.96,14.22,11.71,12.18,"316,889","36,555,300"
"Sep 03, 2017",14.89,15,12.94,13.96,"335,481","38,968,700"
"Sep 02, 2017",15.97,16.14,14.23,14.87,"304,391","41,816,800"
"Sep 01, 2017",14.91,16.11,14.71,16.11,"450,566","39,030,000"
"Aug 31, 2017",15.58,16.05,14.56,14.9,"351,113","40,795,700"
"Aug 30, 2017",14.46,15.63,14.46,15.6,"363,108","37,857,100"
"Aug 29, 2017",16.98,17.21,14.45,14.48,"658,911","44,442,000"
"Aug 28, 2017",18.52,18.93,16.41,17.07,"360,159","48,474,900"
"Aug 27, 2017",22.62,22.72,17.22,18.54,"462,165","59,222,500"
"Aug 26, 2017",14.88,22.65,14.88,22.42,"920,917","38,961,900"
"Aug 25, 2017",16.4,16.4,14.47,14.93,"503,540","42,943,200"
"Aug 24, 2017",16.17,17.27,15.69,16.46,"586,059","42,344,300"
"Aug 23, 2017",15.99,18.77,15.31,16.23,"858,237","41,866,800"
"Aug 22, 2017",15.99,16.99,14.63,15.96,"1,121,980","41,858,000"
"Aug 21, 2017",16.98,21.17,15.09,15.92,"2,709,120","44,465,700"
"Aug 20, 2017",12.14,17.59,11.71,17.07,"2,338,520","31,774,900"
"Aug 19, 2017",11.25,13.56,10.68,12.08,"794,367","29,460,900"
"Aug 18, 2017",12.57,12.93,10.63,11.14,"358,349","32,909,900"
"Aug 17, 2017",12.24,12.94,11.71,12.61,"355,679","32,048,300"
"Aug 16, 2017",13.25,13.91,11.73,12.15,"677,622","34,679,200"
"Aug 15, 2017",12.45,13.82,10.45,13.32,"1,093,010","32,598,600"
"Aug 14, 2017",9.95,13.24,9.63,12.08,"766,799","26,053,800"
"Aug 13, 2017",10.54,10.7,9.4,9.98,"218,238","27,602,700"
"Aug 12, 2017",10.22,10.64,9.79,10.55,"372,668","26,765,300"
"Aug 11, 2017",11.34,11.37,9.52,10.18,"494,346","29,693,800"
"Aug 10, 2017",11.97,13.68,11.03,11.33,"429,419","31,327,100"
"Aug 09, 2017",10.25,12.16,9.98,11.91,"239,860","26,831,500"
"Aug 08, 2017",10.54,10.82,10.1,10.2,"245,888","27,594,000"
"Aug 07, 2017",10.66,10.73,10.03,10.48,"348,043","27,903,000"
"Aug 06, 2017",10.67,11.16,10.43,10.69,"186,069","27,926,900"
"Aug 05, 2017",9.38,10.95,9.24,10.53,"171,771","24,549,400"
"Aug 04, 2017",10.06,10.41,9.12,9.37,"263,667","26,337,400"
"Aug 03, 2017",9.24,10.27,8.91,10.21,"293,250","24,205,000"
"Aug 02, 2017",9.36,10.4,8.8,9.22,"526,189","24,508,500"
"Aug 01, 2017",8.46,9.59,8.35,9.44,"366,618","22,143,600"
"Jul 31, 2017",8.83,9.59,7.92,8.48,"308,210","23,113,000"
"Jul 30, 2017",8.96,9.11,8.6,8.89,"221,322","23,449,300"
"Jul 29, 2017",9.44,9.71,8.49,8.89,"174,348","24,718,600"
"Jul 28, 2017",9.45,9.95,8.89,9.42,"326,638","24,737,600"
"Jul 27, 2017",8.29,9.58,8.27,9.46,"154,570","21,700,800"
"Jul 26, 2017",8.79,9.02,8.16,8.29,"168,041","23,023,000"
"Jul 25, 2017",11.1,11.17,8.41,8.79,"223,455","29,072,800"
"Jul 24, 2017",12,12.27,10.71,11.1,"113,720","31,408,600"
"Jul 23, 2017",11.91,12.6,10.84,12.04,"225,590","31,173,300"
"Jul 22, 2017",10.35,12.33,10.14,11.98,"428,546","27,092,400"
"Jul 21, 2017",9.79,11.31,9.23,10.39,"242,802","25,629,300"
"Jul 20, 2017",7.58,10.02,7.58,9.76,"364,667","19,854,000"
"Jul 19, 2017",8.01,9.33,7.46,7.58,"599,472","20,977,600"
"Jul 18, 2017",7.21,8.42,6.7,7.98,"265,130","18,881,600"
"Jul 17, 2017",6.13,7.21,6.12,7.19,"109,237","16,055,700"
"Jul 16, 2017",6.41,6.9,5.94,6.13,"87,453","16,783,000"
"Jul 15, 2017",7.15,7.18,6.15,6.43,"128,010","18,723,800"
"Jul 14, 2017",7.79,7.91,6.91,7.16,"146,348","20,408,300"
"Jul 13, 2017",8.63,8.76,7.59,7.8,"194,220","22,595,300"
"Jul 12, 2017",6.97,8.61,6.79,8.61,"391,036","18,257,600"
