Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",3.1,3.16,2.49,3.08,"69,304","12,403,900"
"Sep 21, 2017",3.26,3.69,2.51,3.1,"98,539","13,005,600"
"Sep 20, 2017",2.8,3.31,2.63,3.28,"40,719","11,116,300"
"Sep 19, 2017",3.02,3.14,2.78,2.8,"81,259","11,959,400"
"Sep 18, 2017",2.68,3.15,2.39,3.01,"92,232","10,591,300"
"Sep 17, 2017",2.87,2.87,2.62,2.68,"98,277","11,323,300"
"Sep 16, 2017",2.84,3.24,2.72,2.87,"147,946","11,148,200"
"Sep 15, 2017",2.65,3.12,2.2,2.84,"98,889","10,386,700"
"Sep 14, 2017",2.75,3.37,2.6,2.6,"104,061","10,773,900"
"Sep 13, 2017",3.38,3.42,2.7,2.75,"69,952","13,197,500"
"Sep 12, 2017",3.09,4.4,2.34,3.39,"194,765","12,011,300"
"Sep 11, 2017",3.37,3.54,3.09,3.09,"192,803","13,062,700"
"Sep 10, 2017",3.25,3.64,3.13,3.37,"227,784","12,563,100"
"Sep 09, 2017",3.43,3.61,3.12,3.25,"363,751","13,230,700"
"Sep 08, 2017",3.88,3.89,3.31,3.42,"153,149","14,951,200"
"Sep 07, 2017",3.35,4.21,3.27,3.89,"250,353","12,882,500"
"Sep 06, 2017",3.3,3.77,3.06,3.36,"258,060","12,643,800"
"Sep 05, 2017",3.01,3.66,2.86,3.3,"274,997","11,518,400"
"Sep 04, 2017",3.62,3.65,2.96,3.01,"247,731","13,803,100"
"Sep 03, 2017",3.85,4.14,3.36,3.62,"243,694","14,636,100"
"Sep 02, 2017",4.02,4.75,3.21,3.85,"258,665","15,249,400"
"Sep 01, 2017",3.64,4.3,3.51,4.02,"251,572","13,741,200"
"Aug 31, 2017",3.22,4.15,3.15,3.64,"359,785","12,144,700"
"Aug 30, 2017",4.01,4.34,3.19,3.22,"97,389","15,076,800"
"Aug 29, 2017",3.74,4.2,3.61,4.02,"259,623","14,016,700"
"Aug 28, 2017",3.68,3.95,3.52,3.74,"423,931","13,746,200"
"Aug 27, 2017",3.82,4.03,3.68,3.68,"5,905","14,214,900"
"Aug 26, 2017",3.87,3.98,3.46,3.81,"249,882","14,372,100"
"Aug 25, 2017",3.71,3.98,3.49,3.86,"243,936","13,744,800"
"Aug 24, 2017",3.48,4.15,3.46,3.72,"394,744","12,871,200"
"Aug 23, 2017",3.74,4.12,3.43,3.48,"162,727","13,761,600"
"Aug 22, 2017",3.62,4.18,3.07,3.74,"299,968","13,266,200"
"Aug 21, 2017",3.41,3.72,3.27,3.61,"116,591","12,466,100"
"Aug 20, 2017",3.6,3.79,3.29,3.42,"177,795","13,123,200"
"Aug 19, 2017",3.54,3.71,3.32,3.61,"230,346","12,858,300"
"Aug 18, 2017",3.75,3.82,3.21,3.53,"346,107","13,593,400"
"Aug 17, 2017",3.91,3.91,3.26,3.75,"112,021","14,124,900"
"Aug 16, 2017",3.6,3.95,3.22,3.91,"220,431","12,993,200"
"Aug 15, 2017",3.76,3.83,3.04,3.6,"243,324","13,527,200"
"Aug 14, 2017",3.59,3.89,3.23,3.76,"375,987","12,877,100"
"Aug 13, 2017",3.42,3.77,3.23,3.59,"128,056","12,244,000"
"Aug 12, 2017",3.49,3.96,2.84,3.43,"2,480","12,458,200"
"Aug 11, 2017",3.46,3.55,3.29,3.5,"149,859","12,289,600"
"Aug 10, 2017",3.43,3.54,3.22,3.46,"143,461","12,158,700"
"Aug 09, 2017",3.28,3.47,2.99,3.43,"151,165","11,588,200"
"Aug 08, 2017",2.82,3.59,2.8,3.28,"281,750","9,926,920"
"Aug 07, 2017",3.31,3.61,2.78,2.82,"47,957","11,632,700"
