Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.059573,0.068512,0.058641,0.062089,"2,762,010","12,754,000"
"Sep 21, 2017",0.056713,0.066127,0.054135,0.059906,"2,031,410","12,141,400"
"Sep 20, 2017",0.051296,0.063285,0.050248,0.057201,"2,091,780","10,981,500"
"Sep 19, 2017",0.067031,0.067031,0.050609,0.050999,"1,672,030","14,349,600"
"Sep 18, 2017",0.047431,0.071291,0.047431,0.06663,"7,701,520","10,153,500"
"Sep 17, 2017",0.036664,0.055368,0.032038,0.047159,"3,232,310","7,848,400"
"Sep 16, 2017",0.036719,0.039147,0.03222,0.036413,"551,903","7,860,080"
"Sep 15, 2017",0.03656,0.039584,0.024206,0.036838,"1,244,770","7,825,840"
"Sep 14, 2017",0.039352,0.045062,0.035479,0.036309,"2,765,180","8,423,030"
"Sep 13, 2017",0.028795,0.047115,0.026811,0.039431,"4,412,800","6,163,150"
"Sep 12, 2017",0.034392,0.035058,0.027093,0.02876,"1,091,460","7,360,640"
"Sep 11, 2017",0.034905,0.035726,0.033207,0.03436,"64,694","7,470,080"
"Sep 10, 2017",0.035839,0.035839,0.032559,0.034576,"81,813","7,669,630"
"Sep 09, 2017",0.036082,0.036584,0.034138,0.035932,"348,723","7,721,080"
"Sep 08, 2017",0.03963,0.040031,0.034172,0.036012,"134,280","8,479,890"
"Sep 07, 2017",0.039694,0.040031,0.037997,0.039437,"257,771","8,493,290"
"Sep 06, 2017",0.040141,0.044217,0.03619,0.039971,"787,679","8,588,500"
"Sep 05, 2017",0.040313,0.040955,0.036407,0.040176,"142,007","8,624,800"
"Sep 04, 2017",0.046308,0.04653,0.038239,0.040082,"226,705","9,906,840"
"Sep 03, 2017",0.045365,0.047544,0.042925,0.046292,"194,921","9,704,780"
"Sep 02, 2017",0.047538,0.049881,0.04398,0.045363,"216,123","10,169,000"
"Sep 01, 2017",0.048408,0.050577,0.047054,0.047623,"353,426","10,354,600"
"Aug 31, 2017",0.048406,0.050057,0.047031,0.048397,"239,294","10,353,700"
"Aug 30, 2017",0.046622,0.052328,0.044341,0.049012,"530,979","9,971,580"
"Aug 29, 2017",0.047412,0.050316,0.04404,0.047022,"495,764","10,140,100"
"Aug 28, 2017",0.042526,0.051221,0.040979,0.047188,"857,315","9,094,740"
"Aug 27, 2017",0.042096,0.043408,0.040231,0.042514,"232,653","9,002,130"
"Aug 26, 2017",0.041783,0.042427,0.039571,0.042146,"237,778","8,934,830"
"Aug 25, 2017",0.043678,0.04439,0.04061,0.041769,"170,398","9,339,520"
"Aug 24, 2017",0.0415,0.044366,0.041465,0.043747,"431,696","8,851,170"
"Aug 23, 2017",0.039836,0.049185,0.039466,0.041542,"903,706","8,495,960"
"Aug 22, 2017",0.039153,0.039999,0.035249,0.039822,"224,578","8,349,840"
"Aug 21, 2017",0.040702,0.043338,0.038121,0.039061,"299,318","8,679,720"
"Aug 20, 2017",0.038862,0.044289,0.03674,0.040972,"529,523","8,286,870"
"Aug 19, 2017",0.03918,0.042086,0.03375,0.039335,"620,381","8,354,360"
"Aug 18, 2017",0.041759,0.04439,0.037568,0.039381,"376,537","8,903,870"
"Aug 17, 2017",0.046473,0.046473,0.0415,0.041861,"241,396","9,908,540"
"Aug 16, 2017",0.047891,0.049322,0.043875,0.046479,"437,461","10,210,300"
"Aug 15, 2017",0.048817,0.052364,0.041919,0.047683,"1,095,600","10,407,100"
"Aug 14, 2017",0.04093,0.058403,0.040007,0.048991,"1,788,690","8,725,310"
"Aug 13, 2017",0.051817,0.053281,0.037966,0.041223,"930,158","11,045,600"
"Aug 12, 2017",0.053962,0.054684,0.04988,0.051838,"350,895","11,455,400"
"Aug 11, 2017",0.053875,0.0563,0.049598,0.05396,"706,476","11,437,000"
"Aug 10, 2017",0.063724,0.063899,0.05269,0.054246,"787,889","13,527,700"
"Aug 09, 2017",0.06621,0.067947,0.062764,0.064235,"549,549","14,055,400"
"Aug 08, 2017",0.067086,0.07909,0.062788,0.066533,"1,278,420","14,241,500"
"Aug 07, 2017",0.075909,0.084068,0.066381,0.066875,"3,324,500","16,114,500"
"Aug 06, 2017",0.0574,0.08264,0.056691,0.07585,"2,226,000","12,185,200"
"Aug 05, 2017",0.059832,0.064061,0.055047,0.057262,"922,667","12,701,600"
"Aug 04, 2017",0.061857,0.066907,0.054216,0.060592,"2,134,990","13,131,400"
