Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.101964,0.114121,0.099823,0.10558,"20,525","12,362,100"
"Sep 21, 2017",0.11999,0.120797,0.100997,0.10208,"19,467","14,547,400"
"Sep 20, 2017",0.111185,0.127846,0.108159,0.120582,"58,169","13,479,600"
"Sep 19, 2017",0.113638,0.120184,0.107747,0.111334,"30,302","13,776,700"
"Sep 18, 2017",0.09976,0.11539,0.09976,0.113364,"18,694","12,093,900"
"Sep 17, 2017",0.101056,0.104124,0.090758,0.099959,"10,387","12,250,800"
"Sep 16, 2017",0.099407,0.104838,0.094366,0.101125,"5,007","12,050,600"
"Sep 15, 2017",0.085429,0.101218,0.075448,0.099667,"21,270","10,355,800"
"Sep 14, 2017",0.104194,0.108165,0.084768,0.084768,"20,903","12,630,400"
"Sep 13, 2017",0.112157,0.11345,0.099695,0.103864,"18,647","13,595,300"
"Sep 12, 2017",0.121494,0.128599,0.110587,0.112585,"48,606","14,726,800"
"Sep 11, 2017",0.121301,0.124854,0.116431,0.121378,"16,461","14,703,000"
"Sep 10, 2017",0.127191,0.127191,0.114187,0.121507,"20,127","15,416,600"
"Sep 09, 2017",0.122809,0.140167,0.118244,0.127518,"82,572","14,885,100"
"Sep 08, 2017",0.13109,0.140005,0.117236,0.122571,"45,267","15,888,500"
"Sep 07, 2017",0.131445,0.145244,0.124479,0.131064,"137,736","15,931,200"
"Sep 06, 2017",0.123363,0.133849,0.120718,0.131697,"32,271","14,951,300"
"Sep 05, 2017",0.121949,0.129879,0.106592,0.123222,"45,219","14,779,600"
"Sep 04, 2017",0.144796,0.147059,0.116526,0.121319,"103,298","17,548,200"
"Sep 03, 2017",0.128373,0.169664,0.125653,0.144747,"444,164","15,557,400"
"Sep 02, 2017",0.140732,0.144424,0.122855,0.12829,"36,571","17,054,900"
"Sep 01, 2017",0.148117,0.169837,0.138086,0.140556,"139,052","17,949,500"
"Aug 31, 2017",0.125983,0.173114,0.120117,0.147475,"364,286","15,266,800"
"Aug 30, 2017",0.135759,0.138235,0.121794,0.126111,"56,106","16,451,200"
"Aug 29, 2017",0.13939,0.149661,0.130878,0.13594,"172,556","16,890,700"
"Aug 28, 2017",0.14689,0.18484,0.134501,0.139153,"985,327","17,799,200"
"Aug 27, 2017",0.098916,0.215775,0.091338,0.144914,"1,779,390","11,985,700"
"Aug 26, 2017",0.09862,0.103746,0.095734,0.09846,"23,313","11,949,700"
"Aug 25, 2017",0.102505,0.107264,0.095667,0.096058,"16,186","12,420,100"
"Aug 24, 2017",0.102331,0.109306,0.09366,0.100325,"70,776","12,398,800"
"Aug 23, 2017",0.101661,0.12824,0.099042,0.102287,"186,960","12,317,300"
"Aug 22, 2017",0.100023,0.127605,0.08354,0.101869,"437,966","12,118,600"
"Aug 21, 2017",0.079758,0.110609,0.077655,0.099792,"148,269","9,663,120"
"Aug 20, 2017",0.07959,0.085607,0.074692,0.080062,"17,745","9,642,550"
"Aug 19, 2017",0.079664,0.088837,0.076181,0.080879,"18,070","9,651,340"
"Aug 18, 2017",0.08106,0.102485,0.077792,0.079733,"41,296","9,820,150"
"Aug 17, 2017",0.089401,0.117568,0.074061,0.081308,"116,428","10,830,400"
"Aug 16, 2017",0.086647,0.092318,0.079237,0.089483,"15,992","10,496,500"
"Aug 15, 2017",0.086584,0.089418,0.077959,0.085307,"23,666","10,488,700"
"Aug 14, 2017",0.095335,0.096309,0.079344,0.086352,"43,101","11,548,500"
"Aug 13, 2017",0.109341,0.130996,0.088816,0.094259,"118,988","13,244,900"
"Aug 12, 2017",0.078409,0.121719,0.078195,0.106965,"246,374","9,497,810"
"Aug 11, 2017",0.076453,0.081826,0.070949,0.076936,"16,403","9,260,570"
"Aug 10, 2017",0.080265,0.090139,0.076317,0.076457,"24,797","9,722,150"
"Aug 09, 2017",0.081058,0.085599,0.077892,0.080257,"14,253","9,818,010"
"Aug 08, 2017",0.082487,0.094509,0.07782,0.081113,"20,005","9,990,780"
"Aug 07, 2017",0.080504,0.085493,0.076133,0.082403,"21,869","9,750,400"
"Aug 06, 2017",0.087465,0.093196,0.079553,0.080684,"20,818","10,593,200"
"Aug 05, 2017",0.08087,0.092853,0.07617,0.087443,"33,674","9,794,370"
"Aug 04, 2017",0.082774,0.091785,0.078666,0.083676,"16,595","10,024,700"
"Aug 03, 2017",0.080254,0.087676,0.080204,0.082795,"8,473","9,719,310"
"Aug 02, 2017",0.07724,0.091424,0.076239,0.080111,"17,520","9,354,050"
"Aug 01, 2017",0.080717,0.083043,0.064132,0.077255,"9,798","9,774,920"
"Jul 31, 2017",0.071885,0.087413,0.065649,0.080678,"8,246","8,705,200"
"Jul 30, 2017",0.072889,0.079286,0.067198,0.070936,"12,710","8,826,530"
"Jul 29, 2017",0.080689,0.083158,0.067989,0.072899,"7,303","9,770,840"
"Jul 28, 2017",0.101359,0.103218,0.077218,0.080996,"67,401","12,273,500"
"Jul 27, 2017",0.097003,0.105049,0.096227,0.101052,"4,645","11,745,900"
"Jul 26, 2017",0.097008,0.104354,0.094181,0.098239,"17,651","11,746,300"
"Jul 25, 2017",0.109773,0.110526,0.089841,0.096964,"13,232","13,291,500"
"Jul 24, 2017",0.110021,0.116626,0.098473,0.109785,"6,075","13,321,300"
"Jul 23, 2017",0.114351,0.124434,0.108829,0.110149,"14,761","13,845,200"
"Jul 22, 2017",0.102903,0.119904,0.101637,0.11435,"25,524","12,458,900"
"Jul 21, 2017",0.10093,0.123571,0.10093,0.102924,"26,203","12,219,700"
"Jul 20, 2017",0.083465,0.118891,0.083465,0.100187,"112,269","10,105,100"
"Jul 19, 2017",0.074677,0.122895,0.073084,0.08616,"60,313","9,040,820"
"Jul 18, 2017",0.067353,0.09046,0.061132,0.074558,"23,754","8,153,990"
"Jul 17, 2017",0.054976,0.067692,0.054685,0.06718,"7,953","6,655,470"
"Jul 16, 2017",0.063863,0.068677,0.053735,0.055037,"11,112","7,731,080"
"Jul 15, 2017",0.071439,0.074821,0.062234,0.064055,"7,579","8,648,050"
"Jul 14, 2017",0.075194,0.081664,0.068035,0.071562,"53,195","9,102,390"
"Jul 13, 2017",0.073139,0.083566,0.070963,0.074686,"17,659","8,853,500"
"Jul 12, 2017",0.057633,0.084113,0.056298,0.076304,"68,879","6,976,300"
"Jul 11, 2017",0.070421,0.08159,0.061374,0.061374,"23,923","8,524,080"
"Jul 10, 2017",0.131373,0.134103,0.060533,0.072963,"110,310","15,901,700"
"Jul 09, 2017",0.135193,0.142568,0.127303,0.131118,"18,470","16,363,700"
"Jul 08, 2017",0.13624,0.15461,0.126883,0.135072,"33,040","16,490,000"
"Jul 07, 2017",0.157963,0.21459,0.128509,0.136125,"188,027","19,118,900"
"Jul 06, 2017",0.158589,0.166583,0.139157,0.157847,"40,058","19,194,200"
"Jul 05, 2017",0.160327,0.163255,0.135295,0.15851,"89,982","19,404,200"
"Jul 04, 2017",0.155006,0.18924,0.153333,0.160673,"218,870","18,759,700"
"Jul 03, 2017",0.12908,0.231156,0.128109,0.15635,"1,185,870","15,621,700"
"Jul 02, 2017",0.120591,0.133107,0.118968,0.129557,"11,799","14,594,100"
"Jul 01, 2017",0.127219,0.131374,0.119948,0.120606,"28,269","15,395,800"
"Jun 30, 2017",0.14051,0.141007,0.126846,0.127268,"17,670","17,003,900"
"Jun 29, 2017",0.140401,0.152973,0.133693,0.140231,"33,566","16,990,300"
"Jun 28, 2017",0.142555,0.162898,0.134221,0.144459,"70,657","17,250,600"
"Jun 27, 2017",0.127576,0.141631,0.116688,0.141631,"45,971","15,437,600"
"Jun 26, 2017",0.138764,0.145643,0.116094,0.127576,"90,831","16,791,100"
"Jun 25, 2017",0.207656,0.215104,0.126428,0.145206,"582,967","25,126,800"
"Jun 24, 2017",0.128034,0.473615,0.120882,0.208338,"1,913,490","15,492,000"
"Jun 23, 2017",0.088404,0.152703,0.080785,0.130174,"186,860","10,696,700"
"Jun 22, 2017",0.076589,0.097372,0.076239,0.088404,"11,648","9,266,800"
"Jun 21, 2017",0.085956,0.093375,0.076464,0.076589,"9,875","10,400,000"
"Jun 20, 2017",0.081685,0.0934,0.08091,0.085956,"7,141","9,882,940"
"Jun 19, 2017",0.099669,0.099867,0.080444,0.08134,"20,606","12,058,600"
"Jun 18, 2017",0.072617,0.099634,0.06942,0.099634,"14,416","8,785,460"
"Jun 17, 2017",0.069944,0.07539,0.068171,0.072617,"6,009","8,461,900"
"Jun 16, 2017",0.062976,0.071693,0.060405,0.071668,"5,025","7,618,660"
"Jun 15, 2017",0.063942,0.070293,0.053427,0.063022,"7,921","7,735,400"
"Jun 14, 2017",0.075254,0.08282,0.063945,0.063945,"12,151","9,103,700"
"Jun 13, 2017",0.075041,0.077643,0.071128,0.075298,"8,270","9,077,720"
"Jun 12, 2017",0.097992,0.098274,0.066433,0.074975,"18,224","11,853,800"
"Jun 11, 2017",0.084685,0.103401,0.07196,0.098122,"17,321","10,243,900"
"Jun 10, 2017",0.081529,0.090883,0.078575,0.084734,"15,078","9,861,870"
"Jun 09, 2017",0.108426,0.113065,0.069881,0.082894,"34,369","13,115,100"
"Jun 08, 2017",0.097187,0.107989,0.095689,0.107989,"8,015","11,755,400"
"Jun 07, 2017",0.116099,0.116099,0.094418,0.096701,"12,370","14,042,600"
"Jun 06, 2017",0.092836,0.11554,0.090901,0.115353,"23,307","11,228,600"
"Jun 05, 2017",0.086276,0.092555,0.084759,0.092555,"14,903","10,434,900"
"Jun 04, 2017",0.084486,0.086924,0.082687,0.086261,"10,131","10,218,300"
"Jun 03, 2017",0.075163,0.086517,0.074802,0.083851,"9,160","9,090,390"
"Jun 02, 2017",0.07235,0.075875,0.069454,0.075196,"5,440","8,750,020"
"Jun 01, 2017",0.07323,0.076284,0.066489,0.071766,"4,040","8,856,300"
"May 31, 2017",0.075034,0.083974,0.068264,0.073165,"9,059","9,074,230"
"May 30, 2017",0.08542,0.087642,0.069345,0.074741,"21,977","10,330,100"
"May 29, 2017",0.07084,0.090339,0.069665,0.085321,"16,147","8,566,620"
"May 28, 2017",0.059235,0.083824,0.059235,0.070984,"7,535","7,163,090"
"May 27, 2017",0.057806,0.083395,0.054989,0.059148,"28,978","6,990,110"
"May 26, 2017",0.05965,0.078263,0.054155,0.057614,"5,798","7,212,990"
"May 25, 2017",0.073026,0.1034,0.058514,0.060091,"40,809","8,830,180"
"May 24, 2017",0.050097,0.074055,0.050097,0.073163,"11,776","6,057,500"
"May 23, 2017",0.044849,0.05994,0.04423,0.050036,"12,848","5,422,870"
"May 22, 2017",0.045073,0.048922,0.04292,0.044915,"4,292","5,449,770"
"May 21, 2017",0.042738,0.046747,0.040128,0.044922,"6,233","5,167,370"
"May 20, 2017",0.044096,0.044547,0.038444,0.042753,"14,502","5,331,450"
"May 19, 2017",0.035828,0.04715,0.035605,0.044144,"14,769","4,331,650"
"May 18, 2017",0.036314,0.039356,0.033238,0.035807,"78,835","4,390,390"
"May 17, 2017",0.03241,0.036806,0.031639,0.036334,"4,249","3,918,270"
"May 16, 2017",0.031298,0.034808,0.030349,0.032419,"1,726","3,783,810"
