Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",10.37,10.63,9.9,10.62,"119,750","12,380,200"
"Sep 21, 2017",11.47,11.62,10.15,10.39,"24,184","13,682,700"
"Sep 20, 2017",11.03,13.43,10.83,11.7,"145,130","13,167,700"
"Sep 19, 2017",11.06,11.71,10.5,11.05,"28,802","13,193,800"
"Sep 18, 2017",9.66,11.35,9.49,11.03,"15,574","11,528,800"
"Sep 17, 2017",8.84,10.24,8.24,9.68,"44,647","10,544,700"
"Sep 16, 2017",9.03,10.09,8.36,8.84,"19,087","10,770,600"
"Sep 15, 2017",8.25,9.31,7.17,9.05,"11,394","9,838,560"
"Sep 14, 2017",8.51,9.09,7.28,7.89,"19,219","10,149,600"
"Sep 13, 2017",8.94,9.19,8.06,8.51,"14,315","10,658,300"
"Sep 12, 2017",9.16,9.8,8.79,8.93,"12,289","10,920,500"
"Sep 11, 2017",9.63,9.67,8.84,9.15,"12,380","11,486,200"
"Sep 10, 2017",10.39,10.42,9.36,9.65,"40,322","12,394,000"
"Sep 09, 2017",10.31,11.33,9.72,10.42,"11,152","12,297,600"
"Sep 08, 2017",10.4,12.83,9.56,10.29,"58,541","12,404,900"
"Sep 07, 2017",11.07,11.07,9.62,10.4,"17,320","13,196,500"
"Sep 06, 2017",8.79,11.19,8.79,11.09,"80,580","10,484,000"
"Sep 05, 2017",8.55,9.4,7.75,8.78,"44,923","10,187,300"
"Sep 04, 2017",9.47,9.47,7.9,8.5,"23,275","11,283,300"
"Sep 03, 2017",9.66,9.99,8.91,9.46,"5,645","11,518,200"
"Sep 02, 2017",9.85,10.06,8.77,9.86,"14,738","11,736,500"
"Sep 01, 2017",9.32,9.84,8.94,9.84,"14,840","11,101,100"
"Aug 31, 2017",8.81,9.46,8.58,9.32,"10,133","10,500,100"
"Aug 30, 2017",8.33,9.27,8.27,8.83,"36,914","9,921,980"
"Aug 29, 2017",8.64,9.15,7.84,8.33,"136,766","10,294,900"
"Aug 28, 2017",9.02,9.12,8.46,8.63,"57,277","10,748,700"
"Aug 27, 2017",8.69,9.1,8.69,9.01,"5,848","10,351,000"
"Aug 26, 2017",9.55,9.87,8.61,8.69,"39,495","11,379,800"
