Date,Open,High,Low,Close,Volume,Market Cap
"Sep 23, 2017",1.55,1.77,1.49,1.74,"895,482","99,307,700"
"Sep 22, 2017",1.54,1.63,1.43,1.55,"649,472","98,831,100"
"Sep 21, 2017",1.72,1.86,1.5,1.52,"1,195,930","110,624,000"
"Sep 20, 2017",1.69,1.82,1.65,1.72,"921,967","108,579,000"
"Sep 19, 2017",1.7,1.81,1.64,1.69,"1,316,240","109,070,000"
"Sep 18, 2017",1.5,1.89,1.49,1.71,"1,811,170","96,026,200"
"Sep 17, 2017",1.52,1.55,1.34,1.49,"661,268","97,757,700"
"Sep 16, 2017",1.34,1.59,1.31,1.52,"1,649,780","86,172,000"
"Sep 15, 2017",1.21,1.43,0.95512,1.35,"1,299,090","77,735,800"
"Sep 14, 2017",1.55,1.88,1.2,1.2,"1,405,720","99,754,000"
"Sep 13, 2017",1.75,1.76,1.47,1.56,"2,050,030","112,350,000"
"Sep 12, 2017",1.8,2.01,1.74,1.76,"2,261,460","115,700,000"
"Sep 11, 2017",1.81,1.92,1.67,1.79,"2,430,640","116,064,000"
"Sep 10, 2017",1.94,1.94,1.67,1.81,"1,695,730","124,482,000"
"Sep 09, 2017",1.98,2.01,1.87,1.94,"2,240,640","127,108,000"
"Sep 08, 2017",2.05,2.46,1.91,1.99,"6,167,300","131,375,000"
"Sep 07, 2017",2.06,2.09,1.99,2.06,"1,847,210","131,842,000"
"Sep 06, 2017",1.99,2.15,1.85,2.06,"2,858,390","127,644,000"
"Sep 05, 2017",1.77,2,1.53,1.99,"2,667,810","113,560,000"
"Sep 04, 2017",2.12,2.13,1.62,1.76,"3,191,880","135,693,000"
"Sep 03, 2017",2.12,2.2,2.04,2.12,"1,430,670","135,854,000"
"Sep 02, 2017",2.38,2.64,2.06,2.12,"2,464,720","152,524,000"
"Sep 01, 2017",2.25,2.43,2.21,2.41,"3,737,830","143,995,000"
"Aug 31, 2017",2.16,2.61,2.12,2.25,"3,026,820","138,087,000"
"Aug 30, 2017",2.23,2.25,2.08,2.17,"2,683,720","142,921,000"
"Aug 29, 2017",2.32,2.35,2.23,2.24,"3,787,880","148,425,000"
"Aug 28, 2017",2.32,2.39,2.23,2.3,"3,144,570","148,115,000"
"Aug 27, 2017",2.3,2.43,2.24,2.32,"2,878,240","147,245,000"
"Aug 26, 2017",2.31,2.59,2.28,2.29,"3,929,580","147,999,000"
"Aug 25, 2017",2.35,2.36,2.16,2.31,"3,314,440","149,944,000"
"Aug 24, 2017",2.37,2.45,2.31,2.35,"3,827,290","151,577,000"
"Aug 23, 2017",2.14,2.55,2.12,2.38,"6,429,520","136,787,000"
"Aug 22, 2017",1.98,2.26,1.81,2.15,"5,653,240","126,290,000"
"Aug 21, 2017",2.3,2.41,1.95,1.99,"5,059,610","147,276,000"
"Aug 20, 2017",1.76,2.35,1.76,2.32,"6,754,180","112,712,000"
"Aug 19, 2017",1.81,1.95,1.62,1.78,"1,832,220","115,776,000"
"Aug 18, 2017",1.98,1.99,1.74,1.82,"1,676,650","126,455,000"
"Aug 17, 2017",2.15,2.16,1.84,1.97,"3,020,490","137,469,000"
"Aug 16, 2017",2.21,2.28,2.03,2.14,"2,497,870","141,032,000"
"Aug 15, 2017",1.95,2.38,1.8,2.2,"5,215,840","124,230,000"
"Aug 14, 2017",2.21,2.27,1.86,1.93,"2,991,320","140,841,000"
"Aug 13, 2017",2.4,2.45,2.08,2.22,"3,634,520","153,245,000"
"Aug 12, 2017",2.51,2.79,2.29,2.4,"4,298,140","160,429,000"
"Aug 11, 2017",2.47,2.76,2.43,2.53,"5,862,560","157,590,000"
"Aug 10, 2017",3.35,3.47,2.37,2.37,"10,042,600","213,700,000"
"Aug 09, 2017",3.14,3.32,2.88,3.32,"2,315,230","200,271,000"
"Aug 08, 2017",3.22,3.23,3.07,3.14,"3,565,400","205,171,000"
"Aug 07, 2017",2.73,3.31,2.67,3.2,"4,891,900","174,140,000"
"Aug 06, 2017",2.67,2.8,2.6,2.74,"1,603,790","170,037,000"
"Aug 05, 2017",2.48,2.78,2.48,2.66,"1,920,400","157,977,000"
"Aug 04, 2017",2.98,2.98,2.44,2.48,"1,860,140","189,848,000"
"Aug 03, 2017",2.25,3.04,2.23,2.96,"1,683,180","143,038,000"
"Aug 02, 2017",2.16,2.35,2.14,2.24,"1,474,220","137,591,000"
"Aug 01, 2017",2.05,2.28,1.94,2.16,"1,823,080","130,464,000"
"Jul 31, 2017",2.43,2.43,1.87,2.05,"1,114,250","154,396,000"
"Jul 30, 2017",2.11,2.42,1.99,2.42,"1,038,760","134,163,000"
"Jul 29, 2017",1.95,2.15,1.83,2.11,"1,143,020","124,231,000"
"Jul 28, 2017",2.13,2.17,1.95,1.96,"1,193,110","135,233,000"
"Jul 27, 2017",2.07,2.19,2.02,2.13,"1,117,710","131,541,000"
"Jul 26, 2017",2,2.07,1.89,2.05,"917,937","127,114,000"
"Jul 25, 2017",2.42,2.46,1.87,1.99,"1,868,030","153,727,000"
"Jul 24, 2017",2.56,2.56,2.33,2.42,"1,739,100","162,737,000"
"Jul 23, 2017",2.59,2.76,2.27,2.56,"3,460,380","164,631,000"
"Jul 22, 2017",2.04,2.88,2.01,2.59,"4,938,570","129,966,000"
"Jul 21, 2017",2.02,2.14,1.93,2.02,"1,780,530","128,464,000"
"Jul 20, 2017",1.65,2.06,1.65,2.01,"2,557,450","104,938,000"
"Jul 19, 2017",1.79,1.94,1.63,1.64,"2,856,560","113,581,000"
"Jul 18, 2017",1.68,1.94,1.53,1.79,"2,188,290","106,904,000"
"Jul 17, 2017",1.19,1.66,1.19,1.66,"1,562,350","75,811,800"
"Jul 16, 2017",1.3,1.34,1.1,1.19,"950,835","82,848,500"
"Jul 15, 2017",1.49,1.5,1.3,1.3,"1,494,970","94,512,700"
"Jul 14, 2017",1.75,1.75,1.39,1.49,"1,910,390","110,892,000"
"Jul 13, 2017",1.89,2.52,1.65,1.74,"1,504,450","119,641,000"
"Jul 12, 2017",1.64,1.88,1.46,1.88,"1,593,100","104,329,000"
"Jul 11, 2017",1.79,1.9,1.47,1.65,"2,355,210","113,285,000"
"Jul 10, 2017",2.34,2.36,1.7,1.8,"1,727,070","148,215,000"
"Jul 09, 2017",2.53,2.63,2.34,2.34,"1,456,920","160,698,000"
"Jul 08, 2017",2.39,2.66,2.04,2.53,"2,749,350","151,771,000"
"Jul 07, 2017",3.06,3.08,2.3,2.39,"2,611,600","193,717,000"
"Jul 06, 2017",3.18,3.21,3.03,3.05,"1,702,700","201,451,000"
"Jul 05, 2017",3.27,3.3,3.16,3.18,"1,410,780","207,226,000"
"Jul 04, 2017",3.32,3.61,3.17,3.27,"2,460,650","210,154,000"
"Jul 03, 2017",3.05,3.69,2.93,3.32,"3,254,140","193,241,000"
"Jul 02, 2017",3.03,3.13,2.86,3.05,"2,152,900","191,796,000"
"Jul 01, 2017",3.56,3.63,2.91,3.03,"2,276,470","225,266,000"
"Jun 30, 2017",3.87,3.87,3.55,3.56,"1,753,000","245,268,000"
"Jun 29, 2017",3.91,3.99,3.73,3.87,"1,814,910","247,603,000"
"Jun 28, 2017",3.79,4.03,3.54,3.93,"2,540,590","239,632,000"
"Jun 27, 2017",3.6,3.79,3.06,3.79,"3,016,230","227,948,000"
"Jun 26, 2017",4.12,4.17,3.1,3.6,"4,050,330","260,526,000"
"Jun 25, 2017",4.22,4.41,4.04,4.12,"3,050,440","266,742,000"
"Jun 24, 2017",4.7,4.77,4.21,4.23,"4,228,940","297,474,000"
"Jun 23, 2017",4.4,5.03,4.22,4.7,"15,203,800","278,617,000"
"Jun 22, 2017",4.08,4.38,3.96,4.37,"3,880,650","258,216,000"
"Jun 21, 2017",3.83,4.29,3.82,4.1,"5,096,190","242,014,000"
"Jun 20, 2017",3.93,4.18,3.81,3.83,"6,915,510","248,640,000"
"Jun 19, 2017",3.56,3.97,3.49,3.93,"3,786,900","224,938,000"
"Jun 18, 2017",3.52,3.65,3.48,3.55,"2,767,420","222,624,000"
"Jun 17, 2017",3.61,3.97,3.52,3.52,"3,522,090","228,361,000"
"Jun 16, 2017",3.39,3.78,3.15,3.58,"2,772,020","214,441,000"
"Jun 15, 2017",3.51,3.65,2.9,3.37,"3,515,610","221,834,000"
"Jun 14, 2017",4.19,4.32,3.39,3.51,"3,154,280","264,391,000"
"Jun 13, 2017",3.86,4.2,3.84,4.2,"2,668,240","244,002,000"
"Jun 12, 2017",4.37,4.77,3.72,3.86,"3,289,320","276,130,000"
"Jun 11, 2017",4.21,4.63,3.94,4.38,"5,462,530","265,989,000"
"Jun 10, 2017",4.49,4.95,4.19,4.24,"4,620,580","283,182,000"
"Jun 09, 2017",4.65,4.72,4.43,4.48,"3,165,130","293,517,000"
"Jun 08, 2017",4.37,4.87,4.2,4.63,"3,281,920","275,794,000"
"Jun 07, 2017",4.47,5.11,4.35,4.36,"5,846,340","282,023,000"
"Jun 06, 2017",4.53,4.75,4.13,4.52,"4,563,350","285,501,000"
"Jun 05, 2017",4.79,4.8,4.42,4.51,"4,635,640","302,161,000"
"Jun 04, 2017",4.2,5.04,3.88,4.79,"12,517,100","264,772,000"
"Jun 03, 2017",2.9,4.14,2.86,4.14,"7,313,060","182,550,000"
"Jun 02, 2017",2.67,2.89,2.58,2.88,"2,141,100","168,192,000"
"Jun 01, 2017",2.47,2.69,2.47,2.67,"1,881,090","155,803,000"
"May 31, 2017",2.5,2.68,2.38,2.51,"2,534,290","157,670,000"
"May 30, 2017",2.64,2.95,2.45,2.49,"2,131,500","166,263,000"
