Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.09863,0.102942,0.090818,0.094173,"14,077","12,281,300"
"Sep 21, 2017",0.112529,0.117854,0.097887,0.098991,"21,528","14,012,000"
"Sep 20, 2017",0.108689,0.125445,0.105838,0.11322,"26,352","13,533,800"
"Sep 19, 2017",0.109642,0.122008,0.106642,0.1088,"51,342","13,652,500"
"Sep 18, 2017",0.090982,0.116903,0.090331,0.110946,"76,309","11,329,000"
"Sep 17, 2017",0.090552,0.093008,0.080761,0.091165,"12,991","11,275,400"
"Sep 16, 2017",0.090389,0.094159,0.082131,0.090466,"9,076","11,255,100"
"Sep 15, 2017",0.081953,0.092851,0.066652,0.090722,"41,385","10,204,700"
"Sep 14, 2017",0.101124,0.10381,0.08108,0.081744,"9,565","12,591,800"
"Sep 13, 2017",0.122798,0.123245,0.094122,0.101194,"65,322","15,290,700"
"Sep 12, 2017",0.118781,0.128783,0.114501,0.120939,"30,289","14,790,500"
"Sep 11, 2017",0.121504,0.122204,0.106554,0.118819,"37,000","15,129,500"
"Sep 10, 2017",0.120958,0.124105,0.116006,0.120712,"6,919","15,061,600"
"Sep 09, 2017",0.125043,0.127206,0.117782,0.124552,"21,680","15,570,200"
"Sep 08, 2017",0.135341,0.137436,0.118826,0.124535,"12,681","16,852,500"
"Sep 07, 2017",0.137837,0.140921,0.132035,0.135734,"13,198","17,163,300"
"Sep 06, 2017",0.134321,0.148815,0.133023,0.138763,"24,578","16,725,500"
"Sep 05, 2017",0.125705,0.138676,0.115918,0.134169,"13,778","15,652,600"
"Sep 04, 2017",0.138802,0.142306,0.119722,0.124332,"24,013","17,283,500"
"Sep 03, 2017",0.148197,0.154292,0.133515,0.138926,"37,613","18,453,300"
"Sep 02, 2017",0.166066,0.16969,0.144964,0.148726,"15,579","20,678,300"
"Sep 01, 2017",0.157692,0.170226,0.154807,0.167754,"17,167","19,635,600"
"Aug 31, 2017",0.154928,0.164139,0.150319,0.159206,"21,406","19,291,400"
"Aug 30, 2017",0.15529,0.161931,0.147728,0.155405,"33,807","19,336,600"
"Aug 29, 2017",0.153209,0.158597,0.147109,0.155259,"47,403","19,077,400"
"Aug 28, 2017",0.164518,0.164518,0.144565,0.150915,"67,220","20,485,600"
"Aug 27, 2017",0.171283,0.173989,0.16338,0.164691,"16,515","21,328,000"
"Aug 26, 2017",0.17756,0.17835,0.164085,0.171321,"22,214","22,109,600"
"Aug 25, 2017",0.16931,0.189135,0.164395,0.177219,"59,046","21,082,300"
"Aug 24, 2017",0.159721,0.174174,0.157254,0.170231,"16,879","19,888,300"
"Aug 23, 2017",0.165922,0.173844,0.156841,0.159619,"42,914","20,660,500"
"Aug 22, 2017",0.159793,0.169553,0.14241,0.166265,"19,027","19,897,300"
"Aug 21, 2017",0.155689,0.165814,0.143033,0.157311,"25,185","19,386,200"
"Aug 20, 2017",0.184193,0.184193,0.151921,0.156114,"41,461","22,935,500"
"Aug 19, 2017",0.137979,0.185853,0.132997,0.185395,"113,055","17,181,100"
"Aug 18, 2017",0.133021,0.145004,0.121226,0.137971,"56,344","16,563,600"
"Aug 17, 2017",0.134333,0.148606,0.123969,0.134976,"44,398","16,727,000"
"Aug 16, 2017",0.129275,0.144906,0.124622,0.134458,"58,213","16,097,200"
"Aug 15, 2017",0.146034,0.154391,0.12278,0.129027,"76,623","18,184,000"
"Aug 14, 2017",0.12462,0.205403,0.123333,0.145213,"195,253","15,517,500"
"Aug 13, 2017",0.143058,0.153192,0.113413,0.125054,"75,028","17,813,500"
"Aug 12, 2017",0.141945,0.144239,0.128746,0.143407,"26,461","17,674,800"
"Aug 11, 2017",0.136784,0.142579,0.133408,0.142264,"27,291","17,032,200"
"Aug 10, 2017",0.134623,0.142431,0.130343,0.133957,"20,061","16,763,100"
"Aug 09, 2017",0.137199,0.158933,0.130473,0.134709,"52,117","17,083,900"
"Aug 08, 2017",0.131342,0.143123,0.125712,0.137776,"18,114","16,354,600"
"Aug 07, 2017",0.120755,0.131845,0.11612,0.131227,"28,775","15,036,200"
"Aug 06, 2017",0.119718,0.126233,0.117757,0.122576,"15,553","14,907,100"
"Aug 05, 2017",0.119896,0.132262,0.118169,0.119372,"28,810","14,929,400"
"Aug 04, 2017",0.119884,0.126054,0.113727,0.119873,"15,746","14,927,900"
"Aug 03, 2017",0.129768,0.129868,0.103237,0.119908,"136,770","16,158,600"
"Aug 02, 2017",0.122344,0.140289,0.100426,0.124257,"129,331","15,234,200"
"Aug 01, 2017",0.111343,0.142953,0.097924,0.122382,"52,088","13,864,300"
"Jul 31, 2017",0.112056,0.112056,0.09318,0.110968,"19,490","13,953,000"
"Jul 30, 2017",0.120292,0.120862,0.101922,0.11175,"55,885","14,978,600"
"Jul 29, 2017",0.130022,0.130369,0.116312,0.120929,"7,607","16,190,200"
"Jul 28, 2017",0.138074,0.145018,0.126999,0.130495,"58,336","17,192,800"
"Jul 27, 2017",0.133534,0.14381,0.132577,0.137658,"35,715","16,627,500"
"Jul 26, 2017",0.138625,0.14315,0.128016,0.133483,"17,124","17,261,500"
"Jul 25, 2017",0.156614,0.156614,0.13102,0.138688,"51,896","19,501,500"
"Jul 24, 2017",0.13837,0.164526,0.129965,0.157096,"80,062","17,229,700"
"Jul 23, 2017",0.137497,0.159228,0.126362,0.135232,"150,346","17,121,000"
"Jul 22, 2017",0.131767,0.142493,0.130739,0.135688,"7,146","16,407,500"
"Jul 21, 2017",0.133392,0.138181,0.124611,0.13229,"16,705","16,609,800"
"Jul 20, 2017",0.108138,0.137274,0.108138,0.13241,"15,481","13,465,300"
"Jul 19, 2017",0.108574,0.119639,0.104593,0.108845,"13,712","13,519,600"
"Jul 18, 2017",0.102722,0.11631,0.10002,0.108402,"8,938","12,790,800"
"Jul 17, 2017",0.082987,0.104843,0.081872,0.102696,"28,462","10,333,400"
"Jul 16, 2017",0.095285,0.09588,0.077516,0.082816,"13,651","11,864,800"
"Jul 15, 2017",0.107908,0.112888,0.093238,0.093891,"23,663","13,436,600"
"Jul 14, 2017",0.109101,0.11795,0.097348,0.108424,"49,764","13,585,100"
"Jul 13, 2017",0.118917,0.120311,0.101853,0.108221,"13,837","14,807,400"
"Jul 12, 2017",0.098188,0.131353,0.091133,0.119068,"37,900","12,225,400"
"Jul 11, 2017",0.119179,0.120357,0.092986,0.098364,"40,784","14,834,400"
"Jul 10, 2017",0.139955,0.141974,0.11662,0.118932,"104,267","17,415,500"
"Jul 09, 2017",0.126547,0.141592,0.106476,0.139346,"64,967","15,742,300"
"Jul 08, 2017",0.134383,0.145156,0.124833,0.126545,"27,141","16,712,100"
"Jul 07, 2017",0.13505,0.147545,0.124536,0.134477,"88,989","16,790,100"
"Jul 06, 2017",0.14119,0.172299,0.131583,0.135244,"317,046","17,548,200"
"Jul 05, 2017",0.100411,0.160668,0.092068,0.152821,"284,685","12,476,300"
"Jul 04, 2017",0.099387,0.103728,0.092326,0.100927,"36,499","12,345,600"
"Jul 03, 2017",0.091802,0.099638,0.09018,0.099214,"13,047","11,399,800"
"Jul 02, 2017",0.089359,0.092627,0.087689,0.090386,"19,225","11,093,200"
"Jul 01, 2017",0.10042,0.102618,0.088741,0.089165,"22,722","12,462,500"
"Jun 30, 2017",0.103389,0.10898,0.098794,0.100566,"32,744","12,827,700"
"Jun 29, 2017",0.105226,0.107534,0.096216,0.103183,"31,685","13,051,800"
"Jun 28, 2017",0.102048,0.108292,0.096212,0.10357,"43,811","12,654,000"
"Jun 27, 2017",0.097941,0.102722,0.089623,0.101329,"21,233","12,141,000"
"Jun 26, 2017",0.109291,0.114206,0.089474,0.094434,"36,498","13,544,100"
"Jun 25, 2017",0.120723,0.126688,0.106759,0.109785,"32,026","14,956,500"
"Jun 24, 2017",0.120285,0.128179,0.109546,0.120992,"109,536","14,897,400"
"Jun 23, 2017",0.099957,0.122025,0.098787,0.120558,"42,250","12,376,000"
"Jun 22, 2017",0.101364,0.109256,0.093733,0.100275,"35,499","12,547,000"
"Jun 21, 2017",0.105724,0.108765,0.101978,0.102832,"22,300","13,082,400"
"Jun 20, 2017",0.115207,0.11923,0.10176,0.106145,"37,324","14,252,300"
"Jun 19, 2017",0.115826,0.149531,0.108651,0.115445,"29,813","14,324,400"
"Jun 18, 2017",0.117451,0.121116,0.109087,0.115603,"20,187","14,521,000"
"Jun 17, 2017",0.106149,0.122307,0.103207,0.117232,"40,222","13,119,900"
"Jun 16, 2017",0.103921,0.122037,0.097491,0.105868,"43,350","12,840,200"
"Jun 15, 2017",0.114199,0.114199,0.085938,0.103852,"35,044","14,106,000"
"Jun 14, 2017",0.133494,0.141254,0.10117,0.113808,"33,423","16,484,800"
"Jun 13, 2017",0.13399,0.140656,0.123297,0.130962,"34,706","16,541,100"
"Jun 12, 2017",0.165813,0.165813,0.125931,0.134895,"27,428","20,464,200"
