Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.176549,0.207991,0.167062,0.169184,"1,232,140","12,081,800"
"Sep 21, 2017",0.203914,0.222395,0.173302,0.174063,"1,759,330","13,953,000"
"Sep 20, 2017",0.278431,0.279709,0.192289,0.204915,"3,139,800","19,050,000"
"Sep 19, 2017",0.176538,0.282423,0.167483,0.274381,"5,723,560","12,077,400"
"Sep 18, 2017",0.143134,0.179811,0.143134,0.178418,"385,072","9,791,140"
"Sep 17, 2017",0.151796,0.157035,0.129465,0.143419,"177,862","10,382,600"
"Sep 16, 2017",0.138554,0.170732,0.13794,0.151705,"396,785","9,475,950"
"Sep 15, 2017",0.12652,0.146895,0.092219,0.138905,"335,604","8,652,020"
"Sep 14, 2017",0.159274,0.184291,0.122828,0.124713,"626,166","10,890,800"
"Sep 13, 2017",0.178547,0.189969,0.154272,0.15928,"910,617","12,207,400"
"Sep 12, 2017",0.147891,0.192309,0.136661,0.179226,"1,116,580","10,110,400"
"Sep 11, 2017",0.118709,0.155837,0.113925,0.147825,"320,787","8,114,600"
"Sep 10, 2017",0.1214,0.12156,0.115756,0.118902,"111,786","8,297,720"
"Sep 09, 2017",0.134079,0.134517,0.119755,0.121544,"339,270","9,163,410"
"Sep 08, 2017",0.152922,0.157912,0.12268,0.133864,"539,950","10,450,100"
"Sep 07, 2017",0.113969,0.182225,0.112212,0.152554,"1,486,770","7,787,430"
"Sep 06, 2017",0.112744,0.125802,0.112076,0.114141,"264,422","7,702,900"
"Sep 05, 2017",0.1198,0.123827,0.10835,0.112607,"274,408","8,184,160"
"Sep 04, 2017",0.154783,0.156937,0.114286,0.11961,"279,587","10,573,000"
"Sep 03, 2017",0.14949,0.160447,0.144013,0.154546,"315,156","10,210,400"
"Sep 02, 2017",0.172554,0.18225,0.138893,0.149422,"454,959","11,784,400"
"Sep 01, 2017",0.186427,0.230159,0.171889,0.174107,"1,159,360","12,730,600"
"Aug 31, 2017",0.168161,0.26689,0.135927,0.185918,"2,458,320","11,482,100"
"Aug 30, 2017",0.121369,0.171403,0.121237,0.168135,"346,872","8,286,280"
"Aug 29, 2017",0.118244,0.130262,0.116506,0.121394,"251,957","8,072,100"
"Aug 28, 2017",0.113461,0.125803,0.113257,0.118501,"257,352","7,744,780"
"Aug 27, 2017",0.113019,0.117974,0.108592,0.113146,"204,260","7,713,830"
"Aug 26, 2017",0.114342,0.117439,0.111848,0.11303,"358,321","7,803,320"
"Aug 25, 2017",0.106747,0.115152,0.106645,0.113798,"433,221","7,284,240"
"Aug 24, 2017",0.111382,0.113595,0.105795,0.106774,"326,188","7,599,760"
"Aug 23, 2017",0.110172,0.115272,0.105269,0.111325,"375,898","7,516,410"
"Aug 22, 2017",0.108263,0.115015,0.101187,0.110139,"169,307","7,385,400"
"Aug 21, 2017",0.098794,0.130814,0.095735,0.11406,"329,763","6,738,760"
"Aug 20, 2017",0.085504,0.099044,0.084413,0.098465,"234,339","5,831,620"
"Aug 19, 2017",0.097906,0.097906,0.082757,0.085599,"202,205","6,676,770"
"Aug 18, 2017",0.116258,0.117298,0.095172,0.097843,"249,017","7,927,490"
"Aug 17, 2017",0.131389,0.131738,0.116107,0.116376,"245,742","8,958,280"
"Aug 16, 2017",0.118118,0.131283,0.107443,0.130489,"281,639","8,052,620"
"Aug 15, 2017",0.10851,0.123059,0.105297,0.119105,"298,813","7,396,810"
"Aug 14, 2017",0.117474,0.119488,0.108165,0.108493,"200,437","8,007,010"
"Aug 13, 2017",0.12209,0.133023,0.117306,0.117461,"275,122","8,320,720"
"Aug 12, 2017",0.120609,0.127122,0.115951,0.122153,"131,208","8,218,940"
"Aug 11, 2017",0.126589,0.131617,0.111704,0.120636,"329,622","8,625,520"
"Aug 10, 2017",0.118302,0.131076,0.112556,0.126321,"261,266","8,060,030"
"Aug 09, 2017",0.118843,0.143102,0.118227,0.118227,"256,247","8,095,990"
"Aug 08, 2017",0.128906,0.130113,0.117633,0.118823,"214,477","8,780,590"
"Aug 07, 2017",0.1198,0.134709,0.115308,0.128898,"270,480","8,159,500"
"Aug 06, 2017",0.131104,0.133155,0.117342,0.119812,"262,164","8,928,500"
"Aug 05, 2017",0.117586,0.137813,0.117381,0.131094,"279,785","8,007,040"
"Aug 04, 2017",0.112052,0.117887,0.112052,0.117633,"220,378","7,629,370"
"Aug 03, 2017",0.114819,0.124274,0.111307,0.112176,"213,097","7,816,910"
"Aug 02, 2017",0.120378,0.126575,0.113285,0.114778,"247,835","8,194,530"
"Aug 01, 2017",0.135267,0.137194,0.110997,0.120344,"256,082","9,207,100"
"Jul 31, 2017",0.130022,0.148459,0.130001,0.135202,"270,476","8,849,120"
"Jul 30, 2017",0.145342,0.147264,0.129984,0.130047,"231,204","9,890,770"
"Jul 29, 2017",0.145604,0.148384,0.138282,0.145251,"244,828","9,907,520"
"Jul 28, 2017",0.146149,0.147533,0.139026,0.145132,"244,355","9,943,500"
"Jul 27, 2017",0.159817,0.160689,0.142139,0.146053,"69,902","10,872,300"
"Jul 26, 2017",0.159661,0.161516,0.136913,0.159677,"82,080","10,860,500"
"Jul 25, 2017",0.165482,0.171565,0.148358,0.160916,"96,691","11,255,200"
"Jul 24, 2017",0.166142,0.188804,0.151121,0.165009,"199,417","11,298,900"
"Jul 23, 2017",0.187749,0.188843,0.160453,0.166155,"112,982","12,767,000"
"Jul 22, 2017",0.203379,0.208615,0.172105,0.188341,"318,836","13,828,400"
"Jul 21, 2017",0.225292,0.226708,0.197335,0.203384,"142,156","15,316,700"
"Jul 20, 2017",0.185761,0.231769,0.185431,0.223529,"195,145","12,627,800"
"Jul 19, 2017",0.184068,0.202024,0.181627,0.186095,"128,966","12,511,300"
"Jul 18, 2017",0.182349,0.194781,0.179792,0.183788,"112,101","12,393,100"
"Jul 17, 2017",0.177434,0.18415,0.166761,0.182017,"147,604","12,057,700"
"Jul 16, 2017",0.190841,0.190841,0.169278,0.177102,"116,236","12,967,400"
"Jul 15, 2017",0.227648,0.230058,0.178887,0.191192,"173,235","15,466,700"
"Jul 14, 2017",0.314572,0.320042,0.197315,0.227859,"612,853","21,370,100"
"Jul 13, 2017",0.209678,0.413361,0.209678,0.314772,"3,077,520","14,242,700"
"Jul 12, 2017",0.166861,0.22095,0.157611,0.209561,"712,816","11,333,000"
"Jul 11, 2017",0.151946,0.169139,0.146681,0.167193,"307,446","10,318,900"
"Jul 10, 2017",0.145656,0.174648,0.145424,0.152123,"278,542","9,890,600"
"Jul 09, 2017",0.148532,0.154265,0.145526,0.145526,"192,570","10,084,800"
"Jul 08, 2017",0.155547,0.161068,0.142367,0.148417,"266,336","10,560,000"
"Jul 07, 2017",0.165714,0.17127,0.152172,0.156882,"336,071","11,249,000"
"Jul 06, 2017",0.143282,0.165739,0.141278,0.165583,"292,165","9,725,240"
"Jul 05, 2017",0.151916,0.152806,0.129422,0.143304,"217,878","10,310,100"
"Jul 04, 2017",0.151371,0.161489,0.149344,0.151898,"265,413","10,272,000"
"Jul 03, 2017",0.127748,0.174436,0.127293,0.151504,"267,486","8,667,980"
"Jul 02, 2017",0.150977,0.151509,0.111087,0.12822,"129,434","10,242,900"
"Jul 01, 2017",0.162174,0.198817,0.13305,0.151306,"616,967","11,001,400"
"Jun 30, 2017",0.107409,0.167554,0.103883,0.164327,"404,390","7,285,510"
"Jun 29, 2017",0.09111,0.114728,0.089328,0.104326,"83,992","6,179,260"
"Jun 28, 2017",0.076432,0.113286,0.076432,0.091194,"68,364","5,183,180"
"Jun 27, 2017",0.083234,0.084125,0.067031,0.07571,"40,576","5,643,780"
"Jun 26, 2017",0.091912,0.099719,0.070292,0.083234,"86,873","6,231,600"
"Jun 25, 2017",0.082858,0.107276,0.082234,0.093187,"131,717","5,617,130"
"Jun 24, 2017",0.093129,0.095276,0.075111,0.083048,"54,545","6,312,770"
"Jun 23, 2017",0.091336,0.097552,0.069824,0.09314,"70,645","6,190,520"
"Jun 22, 2017",0.072997,0.094728,0.069508,0.091336,"133,489","4,947,010"
"Jun 21, 2017",0.07395,0.085284,0.063724,0.072997,"75,008","5,011,040"
"Jun 20, 2017",0.057439,0.0944,0.057438,0.070181,"114,547","3,891,750"
"Jun 19, 2017",0.059433,0.061223,0.057189,0.057439,"16,495","4,026,460"
"Jun 18, 2017",0.060935,0.064927,0.059433,0.059433,"10,527","4,127,750"
"Jun 17, 2017",0.060881,0.071061,0.057073,0.060935,"18,213","4,123,570"
"Jun 16, 2017",0.058327,0.064375,0.052694,0.060881,"17,234","3,950,120"
"Jun 15, 2017",0.063611,0.063744,0.049391,0.05837,"9,696","4,307,500"
"Jun 14, 2017",0.070375,0.073811,0.057958,0.063614,"17,198","4,764,990"
"Jun 13, 2017",0.068841,0.074981,0.067558,0.070416,"12,179","4,660,590"
"Jun 12, 2017",0.080194,0.083369,0.065921,0.069072,"32,376","5,428,590"
"Jun 11, 2017",0.078192,0.080321,0.071944,0.080301,"20,706","5,292,440"
