Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",5.03,5.21,4.83,4.96,"6,049,430","168,961,000"
"Sep 21, 2017",5.42,5.65,4.99,5.02,"6,283,640","181,958,000"
"Sep 20, 2017",5.81,5.82,5.26,5.45,"11,062,000","195,256,000"
"Sep 19, 2017",6.53,6.76,5.78,5.82,"15,557,000","219,478,000"
"Sep 18, 2017",5.15,6.66,5.15,6.46,"16,419,900","172,983,000"
"Sep 17, 2017",5.63,5.67,4.65,5.08,"11,607,000","189,102,000"
"Sep 16, 2017",5.93,6.93,5.23,5.57,"17,010,600","199,238,000"
"Sep 15, 2017",6.52,7.49,3.77,6.01,"19,928,800","218,964,000"
"Sep 14, 2017",11.08,11.26,6.26,6.46,"13,122,700","372,242,000"
"Sep 13, 2017",11.36,11.65,10.47,11.19,"16,480,300","381,549,000"
"Sep 12, 2017",11.83,13.8,11.01,11.41,"18,006,300","397,572,000"
"Sep 11, 2017",11.45,12.4,10.38,11.83,"31,587,100","384,568,000"
"Sep 10, 2017",12.34,12.34,10.15,11.42,"21,907,000","414,700,000"
"Sep 09, 2017",12.54,14.73,11,12.36,"26,475,000","421,221,000"
"Sep 08, 2017",19.47,19.47,11.42,12.47,"23,469,000","654,199,000"
"Sep 07, 2017",9.82,22.41,9.34,19.4,"34,848,700","329,917,000"
"Sep 06, 2017",8.97,10.55,8.24,9.68,"13,079,500","301,422,000"
"Sep 05, 2017",9.15,10.96,6.23,9.03,"88,734,200","307,385,000"
"Sep 04, 2017",20.77,21.2,8.46,9.03,"64,300,800","697,918,000"
"Sep 03, 2017",28.41,29.06,18.84,20.85,"60,751,100","954,485,000"
"Sep 02, 2017",32.95,33.02,25.32,28.55,"60,982,700","1,107,020,000"
"Sep 01, 2017",33.55,36.92,30.31,33.34,"56,578,600","1,127,400,000"
"Aug 31, 2017",27.64,35.17,27.06,33.58,"46,054,400","928,817,000"
"Aug 30, 2017",31.92,32.38,24.7,27.36,"33,471,700","1,072,670,000"
"Aug 29, 2017",32.54,35.37,28.47,32.48,"60,918,800","1,093,280,000"
"Aug 28, 2017",40.78,41.54,28.52,32.84,"57,085,600",-
"Aug 27, 2017",36.45,43.17,35.72,40.83,"72,960,100",-
"Aug 26, 2017",26.34,34.82,26.27,34.76,"8,036,550",-
"Aug 25, 2017",27.76,28.23,24.17,26.32,"5,318,770",-
"Aug 24, 2017",22.41,29.21,18.88,27.67,"12,398,700",-
"Aug 23, 2017",13.91,23.29,12.78,22.37,"8,823,000",-
"Aug 22, 2017",15.34,15.57,12.82,13.99,"8,898,470",-
"Aug 21, 2017",20.25,20.25,14.16,15.3,"11,376,500",-
"Aug 20, 2017",20.38,20.58,18.98,20.37,"6,789,300",-
