Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",3.68,3.83,3.2,3.31,"487,538","60,308,900"
"Sep 21, 2017",4.17,4.34,3.31,3.62,"959,535","68,187,300"
"Sep 20, 2017",3.6,4.63,3.49,4.19,"2,216,480","58,922,000"
"Sep 19, 2017",3.37,3.77,3.09,3.56,"767,520","55,105,600"
"Sep 18, 2017",2.77,3.44,2.77,3.35,"477,587","45,357,600"
"Sep 17, 2017",2.54,2.82,2.41,2.77,"181,258","41,628,800"
"Sep 16, 2017",2.58,2.71,2.43,2.55,"101,992","42,190,600"
"Sep 15, 2017",2.18,2.66,1.8,2.57,"242,649","35,607,000"
"Sep 14, 2017",2.87,2.92,2.02,2.22,"474,709","46,949,900"
"Sep 13, 2017",2.31,2.98,2.17,2.87,"948,576","37,779,800"
"Sep 12, 2017",2.37,2.52,2.27,2.32,"153,126","38,849,800"
"Sep 11, 2017",2.3,2.41,2.23,2.37,"50,729","37,555,600"
"Sep 10, 2017",2.4,2.42,2.14,2.3,"50,589","39,335,400"
"Sep 09, 2017",2.37,2.48,2.16,2.41,"51,323","38,816,000"
"Sep 08, 2017",2.43,2.65,2.17,2.37,"101,729","39,701,700"
"Sep 07, 2017",2.65,2.68,2.36,2.43,"114,728","43,426,400"
"Sep 06, 2017",2.47,2.8,2.47,2.64,"111,894","40,376,300"
"Sep 05, 2017",2.33,2.6,2.05,2.46,"79,555","38,045,600"
"Sep 04, 2017",2.57,2.61,2.03,2.31,"151,763","42,123,700"
"Sep 03, 2017",2.44,2.65,2.36,2.57,"94,988","39,985,200"
"Sep 02, 2017",2.7,2.79,2.29,2.44,"186,989","44,203,400"
"Sep 01, 2017",2.62,2.75,2.43,2.69,"112,048","42,813,600"
"Aug 31, 2017",2.57,2.77,2.46,2.62,"179,171","42,018,600"
"Aug 30, 2017",2.52,2.73,2.42,2.57,"151,025","41,301,800"
"Aug 29, 2017",2.34,2.74,2.19,2.53,"284,027","38,342,600"
"Aug 28, 2017",2.01,2.52,1.87,2.33,"178,304","32,853,500"
"Aug 27, 2017",2.07,2.21,1.97,2.01,"52,346","33,877,200"
"Aug 26, 2017",2.13,2.13,1.94,2.07,"63,459","34,822,200"
"Aug 25, 2017",2.11,2.19,2.03,2.13,"54,962","34,487,200"
"Aug 24, 2017",1.97,2.14,1.88,2.11,"77,308","32,278,700"
"Aug 23, 2017",1.91,2.13,1.83,1.95,"93,223","31,224,700"
"Aug 22, 2017",1.94,2.06,1.74,1.91,"91,221","31,755,600"
"Aug 21, 2017",2.31,2.32,1.97,2.04,"77,320","37,826,700"
"Aug 20, 2017",2.21,2.38,2.04,2.32,"99,022","36,073,900"
"Aug 19, 2017",2.07,2.31,2.03,2.22,"122,735","33,938,900"
