Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.56,1.74,1.53,1.65,"719,158","156,996,000"
"Sep 21, 2017",1.88,1.89,1.55,1.55,"933,428","190,117,000"
"Sep 20, 2017",1.9,1.96,1.79,1.89,"1,151,060","191,682,000"
"Sep 19, 2017",2.15,2.15,1.92,1.92,"1,882,770","217,212,000"
"Sep 18, 2017",1.87,2.25,1.87,2.16,"4,038,320","188,407,000"
"Sep 17, 2017",1.81,1.95,1.62,1.87,"1,751,640","183,043,000"
"Sep 16, 2017",1.69,1.85,1.53,1.8,"2,003,530","170,757,000"
"Sep 15, 2017",1.46,1.9,1.12,1.69,"3,618,520","147,396,000"
"Sep 14, 2017",1.74,2.29,1.45,1.45,"7,161,980","175,357,000"
"Sep 13, 2017",1.93,1.94,1.53,1.74,"2,935,870","194,644,000"
"Sep 12, 2017",2.05,2.19,1.88,1.94,"5,253,850","207,416,000"
"Sep 11, 2017",2.27,2.3,1.93,2.07,"7,786,870","229,342,000"
"Sep 10, 2017",2.48,2.57,2.01,2.3,"7,699,770","250,670,000"
"Sep 09, 2017",2.88,2.99,2.51,2.51,"8,154,960","290,404,000"
"Sep 08, 2017",3.51,4.03,2.56,2.91,"42,558,700","354,553,000"
"Sep 07, 2017",3.31,3.68,2.87,3.52,"17,588,500","334,558,000"
"Sep 06, 2017",3.19,3.66,3.12,3.28,"18,764,100","322,514,000"
"Sep 05, 2017",2.34,3.23,2.03,3.19,"12,903,900","236,073,000"
"Sep 04, 2017",3.02,3.09,2.16,2.33,"13,336,200","304,971,000"
"Sep 03, 2017",2.05,3.13,1.96,3.05,"29,353,700","207,353,000"
"Sep 02, 2017",1.45,2.11,1.31,1.99,"3,289,190","146,223,000"
"Sep 01, 2017",1.5,1.51,1.42,1.45,"656,600","151,123,000"
"Aug 31, 2017",1.52,1.54,1.38,1.5,"1,515,960","153,724,000"
"Aug 30, 2017",1.65,1.65,1.44,1.53,"924,517","166,299,000"
"Aug 29, 2017",1.66,1.79,1.56,1.65,"1,268,910","167,208,000"
"Aug 28, 2017",1.39,1.88,1.39,1.65,"2,119,310","140,812,000"
"Aug 27, 2017",1.36,1.62,1.36,1.45,"1,214,240","137,285,000"
"Aug 26, 2017",1.31,1.39,1.28,1.36,"611,735","132,183,000"
"Aug 25, 2017",1.34,1.4,1.29,1.33,"330,614","135,023,000"
"Aug 24, 2017",1.26,1.4,1.22,1.34,"600,955","127,444,000"
"Aug 23, 2017",1.26,1.35,1.23,1.26,"467,445","126,826,000"
"Aug 22, 2017",1.3,1.32,1.15,1.28,"246,946","131,247,000"
"Aug 21, 2017",1.35,1.39,1.22,1.3,"364,857","136,350,000"
"Aug 20, 2017",1.31,1.41,1.24,1.3,"317,971","131,737,000"
"Aug 19, 2017",1.31,1.31,1.17,1.31,"374,112","131,952,000"
"Aug 18, 2017",1.45,1.45,1.23,1.3,"500,094","146,679,000"
"Aug 17, 2017",1.33,1.69,1.27,1.45,"1,234,000","134,381,000"
"Aug 16, 2017",1.28,1.35,1.16,1.33,"736,582","128,982,000"
"Aug 15, 2017",1.36,1.36,1.14,1.27,"645,644","136,993,000"
"Aug 14, 2017",1.48,1.55,1.24,1.35,"791,081","149,227,000"
"Aug 13, 2017",1.87,2,1.34,1.5,"1,847,460","188,447,000"
"Aug 12, 2017",1.15,2.14,1.13,1.89,"6,092,880","116,171,000"
"Aug 11, 2017",1.06,1.17,1.02,1.15,"394,974","107,140,000"
"Aug 10, 2017",1.12,1.13,1.02,1.05,"422,520","113,033,000"
"Aug 09, 2017",1.05,1.15,0.987952,1.12,"321,812","105,694,000"
"Aug 08, 2017",1.05,1.11,0.980511,1.05,"247,999","106,265,000"
"Aug 07, 2017",1.05,1.1,1.02,1.05,"376,902","106,338,000"
"Aug 06, 2017",1.07,1.12,1.03,1.06,"219,307","108,504,000"
"Aug 05, 2017",0.983837,1.1,0.969255,1.07,"411,806","99,313,900"
"Aug 04, 2017",0.976347,1,0.937979,0.984273,"324,965","98,557,800"
"Aug 03, 2017",0.930911,1.02,0.923035,0.976591,"235,996","93,971,300"
"Aug 02, 2017",0.954936,1.02,0.906174,0.92925,"324,973","96,396,500"
"Aug 01, 2017",0.896676,1.05,0.819169,0.95539,"312,802","90,515,400"
"Jul 31, 2017",0.904723,0.950798,0.866617,0.901882,"144,439","91,327,800"
"Jul 30, 2017",0.952275,0.990955,0.900427,0.903788,"185,426","96,127,900"
"Jul 29, 2017",0.973246,1.05,0.865004,0.953959,"262,087","98,244,800"
"Jul 28, 2017",0.90577,1.12,0.826716,0.977141,"505,392","91,433,400"
"Jul 27, 2017",0.937118,0.982813,0.895428,0.912896,"135,509","94,597,900"
"Jul 26, 2017",0.943429,0.973432,0.854133,0.934773,"243,038","95,234,900"
"Jul 25, 2017",1.18,1.22,0.895455,0.943042,"241,733","119,229,000"
"Jul 24, 2017",1.27,1.29,1.15,1.18,"231,899","128,691,000"
"Jul 23, 2017",1.3,1.37,1.19,1.28,"157,941","131,435,000"
"Jul 22, 2017",1.33,1.41,1.26,1.3,"275,635","134,531,000"
"Jul 21, 2017",1.39,1.43,1.26,1.33,"234,035","140,315,000"
"Jul 20, 2017",1.07,1.45,1.03,1.38,"441,313","107,582,000"
"Jul 19, 2017",1.03,1.23,0.977475,1.07,"423,089","104,422,000"
"Jul 18, 2017",0.959819,1.05,0.906474,1.03,"245,627","96,889,400"
"Jul 17, 2017",0.713356,0.952546,0.713356,0.942995,"317,688","72,010,100"
"Jul 16, 2017",0.73072,0.895036,0.643052,0.714149,"352,042","73,762,900"
"Jul 15, 2017",0.840707,0.889383,0.716713,0.732951,"216,716","84,865,600"
"Jul 14, 2017",0.99536,1.01,0.791193,0.842152,"193,046","100,477,000"
"Jul 13, 2017",1.02,1.14,0.961351,0.985362,"253,959","103,234,000"
"Jul 12, 2017",0.819153,1.08,0.773462,1.02,"421,052","82,689,800"
"Jul 11, 2017",0.934232,1.06,0.699792,0.820385,"566,213","94,306,500"
"Jul 10, 2017",1.36,1.42,0.865026,0.936242,"465,669","137,226,000"
"Jul 09, 2017",1.47,1.51,1.36,1.36,"219,915","147,974,000"
"Jul 08, 2017",1.4,1.5,1.2,1.5,"302,429","141,456,000"
"Jul 07, 2017",1.56,1.72,1.27,1.4,"626,832","157,368,000"
"Jul 06, 2017",1.74,1.77,1.54,1.56,"344,955","176,015,000"
"Jul 05, 2017",1.84,1.84,1.67,1.74,"264,786","185,616,000"
"Jul 04, 2017",1.65,1.89,1.63,1.85,"399,440","166,963,000"
"Jul 03, 2017",1.6,1.66,1.51,1.66,"327,429","161,413,000"
"Jul 02, 2017",1.49,1.62,1.4,1.6,"477,167","149,943,000"
"Jul 01, 2017",1.69,1.78,1.49,1.49,"317,390","170,831,000"
"Jun 30, 2017",1.81,1.83,1.65,1.69,"376,099","182,565,000"
"Jun 29, 2017",1.82,1.87,1.75,1.8,"293,245","183,449,000"
"Jun 28, 2017",1.89,1.9,1.72,1.83,"434,552","190,432,000"
"Jun 27, 2017",1.8,1.93,1.53,1.86,"509,578","181,888,000"
"Jun 26, 2017",1.96,2.04,1.53,1.73,"925,396","197,837,000"
"Jun 25, 2017",2.03,2.14,1.86,1.96,"375,926","204,472,000"
"Jun 24, 2017",2.07,2.42,1.97,2.03,"912,400","209,023,000"
"Jun 23, 2017",1.84,2.2,1.78,2.1,"548,472","186,056,000"
"Jun 22, 2017",1.89,1.98,1.72,1.84,"519,277","191,156,000"
"Jun 21, 2017",2.11,2.11,1.64,1.88,"1,240,600","212,535,000"
"Jun 20, 2017",2.32,2.35,1.99,2.11,"1,359,440","234,125,000"
"Jun 19, 2017",2.24,2.47,2.06,2.36,"1,895,990","226,314,000"
"Jun 18, 2017",1.97,2.55,1.95,2.17,"3,523,800","198,785,000"
"Jun 17, 2017",1.81,1.97,1.75,1.97,"904,905","182,776,000"
"Jun 16, 2017",1.54,1.91,1.41,1.83,"1,460,240","155,355,000"
"Jun 15, 2017",1.44,1.53,1.27,1.53,"705,816","145,075,000"
"Jun 14, 2017",1.55,1.65,1.33,1.41,"417,526","156,293,000"
"Jun 13, 2017",1.43,1.56,1.38,1.55,"412,117","143,995,000"
"Jun 12, 2017",1.59,1.76,1.37,1.43,"565,986","160,086,000"
"Jun 11, 2017",1.58,1.81,1.52,1.59,"828,566","159,935,000"
"Jun 10, 2017",1.37,1.91,1.35,1.61,"1,478,960","138,358,000"
"Jun 09, 2017",1.24,1.41,1.13,1.37,"719,658","125,218,000"
"Jun 08, 2017",1.16,1.26,1.13,1.18,"695,610","117,575,000"
"Jun 07, 2017",1.15,1.27,1.14,1.16,"370,056","115,798,000"
"Jun 06, 2017",1.19,1.29,1.09,1.15,"696,464","120,569,000"
"Jun 05, 2017",1.04,1.24,0.992352,1.19,"519,550","104,622,000"
"Jun 04, 2017",1.23,1.24,0.90057,1.03,"1,153,300","124,188,000"
"Jun 03, 2017",0.934859,1.45,0.867835,1.2,"1,975,440","94,369,800"
"Jun 02, 2017",0.555521,0.935616,0.530132,0.892194,"1,351,200","56,077,400"
"Jun 01, 2017",0.501217,0.571434,0.492305,0.555246,"232,006","50,595,600"
"May 31, 2017",0.456968,0.51133,0.443496,0.500773,"140,155","46,128,900"
"May 30, 2017",0.469705,0.50466,0.446728,0.455183,"138,488","47,414,600"
"May 29, 2017",0.478737,0.499472,0.430921,0.468275,"172,427","48,326,400"
"May 28, 2017",0.423657,0.51024,0.414099,0.479706,"125,850","42,766,300"
"May 27, 2017",0.481484,0.481484,0.384719,0.414225,"291,254","48,603,600"
"May 26, 2017",0.460185,0.60975,0.431394,0.47989,"239,495","46,453,600"
"May 25, 2017",0.503327,0.598164,0.442136,0.455751,"365,085","50,808,600"
"May 24, 2017",0.495591,0.56097,0.478372,0.504276,"372,441","50,027,700"
"May 23, 2017",0.516574,0.528795,0.453475,0.491337,"475,830","52,145,800"
"May 22, 2017",0.56434,0.564902,0.461571,0.517656,"314,621","56,967,600"
"May 21, 2017",0.470425,0.562488,0.403514,0.562488,"486,724","47,487,300"
"May 20, 2017",0.436,0.480821,0.435156,0.470533,"238,164","44,012,200"
"May 19, 2017",0.386537,0.466948,0.385112,0.436474,"429,831","39,019,200"
"May 18, 2017",0.348536,0.402696,0.338949,0.386295,"274,271","35,183,100"
"May 17, 2017",0.312792,0.364563,0.287152,0.348723,"234,827","31,574,900"
"May 16, 2017",0.274259,0.334322,0.272288,0.312876,"297,337","27,685,200"
"May 15, 2017",0.285475,0.285912,0.257967,0.280109,"82,693","28,817,400"
"May 14, 2017",0.269423,0.285586,0.264382,0.285307,"45,997","27,197,000"
"May 13, 2017",0.254116,0.270112,0.237867,0.268564,"49,446","25,651,900"
"May 12, 2017",0.265165,0.291215,0.241206,0.254643,"79,073","26,767,200"
"May 11, 2017",0.261038,0.300892,0.227058,0.264902,"144,130","26,349,700"
"May 10, 2017",0.260717,0.278201,0.241834,0.260571,"113,614","26,316,100"
"May 09, 2017",0.283319,0.286586,0.237848,0.260544,"153,941","28,596,400"
"May 08, 2017",0.300209,0.315712,0.260624,0.28323,"225,335","30,299,900"
"May 07, 2017",0.295219,0.304831,0.286499,0.30017,"140,867","29,795,000"
"May 06, 2017",0.298602,0.298941,0.280917,0.291869,"122,483","30,135,200"
"May 05, 2017",0.305109,0.337557,0.288491,0.298341,"233,769","30,790,600"
"May 04, 2017",0.252586,0.334389,0.235905,0.304475,"366,583","25,489,000"
"May 03, 2017",0.234495,0.253201,0.234083,0.253099,"189,202","23,662,400"
"May 02, 2017",0.216552,0.244472,0.210997,0.234268,"196,936","21,850,900"
"May 01, 2017",0.194031,0.241241,0.19072,0.216639,"283,520","19,577,700"
"Apr 30, 2017",0.191686,0.198334,0.175862,0.191746,"100,295","19,340,200"
"Apr 29, 2017",0.163027,0.191674,0.163027,0.191674,"165,148","16,448,000"
"Apr 28, 2017",0.163423,0.168988,0.154649,0.162859,"76,688","16,487,300"
"Apr 27, 2017",0.15782,0.170686,0.15351,0.163421,"121,186","15,921,300"
"Apr 26, 2017",0.161917,0.1662,0.15433,0.157722,"71,085","16,334,000"
"Apr 25, 2017",0.165097,0.17063,0.15901,0.159364,"68,233","16,654,100"
"Apr 24, 2017",0.164504,0.170653,0.156879,0.164733,"53,727","16,593,500"
"Apr 23, 2017",0.16664,0.176402,0.161686,0.164174,"46,064","16,808,300"
"Apr 22, 2017",0.166103,0.177048,0.162865,0.166617,"60,892","16,753,400"
"Apr 21, 2017",0.169125,0.172502,0.165075,0.166083,"31,434","17,057,500"
"Apr 20, 2017",0.180514,0.180605,0.167012,0.169079,"64,815","18,205,400"
"Apr 19, 2017",0.181808,0.185045,0.173883,0.180418,"121,540","18,335,100"
"Apr 18, 2017",0.175175,0.185996,0.168342,0.181739,"109,674","17,665,500"
"Apr 17, 2017",0.16244,0.184378,0.159169,0.17515,"184,867","16,380,600"
"Apr 16, 2017",0.152126,0.172174,0.138951,0.160822,"122,866","15,339,900"
"Apr 15, 2017",0.13804,0.155872,0.126632,0.152107,"95,453","13,918,900"
"Apr 14, 2017",0.138968,0.154236,0.119176,0.138057,"270,366","14,011,900"
"Apr 13, 2017",0.153833,0.162497,0.11714,0.138843,"97,846","15,510,000"
"Apr 12, 2017",0.158069,0.158127,0.12951,0.153767,"117,215","15,936,400"
"Apr 11, 2017",0.162505,0.167444,0.150694,0.158095,"50,893","16,383,000"
"Apr 10, 2017",0.169845,0.169845,0.157927,0.162459,"36,247","17,122,300"
"Apr 09, 2017",0.167898,0.183065,0.161742,0.170422,"26,386","16,925,300"
"Apr 08, 2017",0.172669,0.177084,0.148764,0.167815,"72,568","17,405,500"
"Apr 07, 2017",0.165742,0.192696,0.165599,0.174317,"40,260","16,706,500"
"Apr 06, 2017",0.19263,0.198273,0.160638,0.170597,"169,258","19,416,000"
"Apr 05, 2017",0.179991,0.194787,0.173791,0.192497,"106,060","18,141,300"
"Apr 04, 2017",0.182077,0.196742,0.173832,0.17985,"96,429","18,350,800"
"Apr 03, 2017",0.177514,0.199411,0.169403,0.182041,"124,592","17,890,200"
"Apr 02, 2017",0.186261,0.196957,0.171556,0.177399,"156,261","18,770,900"
"Apr 01, 2017",0.172228,0.203202,0.17168,0.183477,"83,612","17,356,000"
"Mar 31, 2017",0.157272,0.183348,0.157272,0.17223,"78,459","15,848,200"
"Mar 30, 2017",0.151283,0.183874,0.149252,0.15724,"211,277","15,244,100"
"Mar 29, 2017",0.186835,0.186835,0.142356,0.150957,"223,124","18,825,700"
"Mar 28, 2017",0.137595,0.186378,0.125669,0.171518,"387,683","13,863,600"
"Mar 27, 2017",0.10719,0.148904,0.093395,0.13374,"182,978","10,799,700"
"Mar 26, 2017",0.091869,0.114249,0.088247,0.106602,"46,157","9,255,630"
"Mar 25, 2017",0.086716,0.092034,0.083882,0.091752,"16,036","8,736,110"
"Mar 24, 2017",0.093056,0.107424,0.086217,0.086811,"30,823","9,374,640"
"Mar 23, 2017",0.088686,0.094535,0.086522,0.093382,"27,134","8,934,290"
"Mar 22, 2017",0.089971,0.09649,0.084477,0.08861,"40,016","9,063,620"
"Mar 21, 2017",0.088461,0.091561,0.085491,0.089962,"47,751","8,911,110"
"Mar 20, 2017",0.080891,0.096622,0.076195,0.087977,"67,626","8,148,220"
"Mar 19, 2017",0.085867,0.092564,0.080318,0.081371,"22,687","8,649,060"
"Mar 18, 2017",0.099098,0.100659,0.079644,0.085611,"22,237","9,981,560"
"Mar 17, 2017",0.097746,0.107186,0.089613,0.099146,"23,990","9,844,980"
"Mar 16, 2017",0.06153,0.103079,0.0609,0.098379,"38,713","6,197,060"
"Mar 15, 2017",0.009311,0.068433,0.009311,0.061446,"14,991","937,684"
"Mar 14, 2017",0.037067,0.083945,0.009245,0.009309,"9,522","3,732,890"
"Mar 13, 2017",0.08577,0.095213,0.002143,0.037067,565,"8,637,500"
"Mar 12, 2017",0.082496,0.088975,0.081621,0.085742,"62,661","8,307,430"
"Mar 11, 2017",0.078313,0.087393,0.078313,0.08244,"26,418","7,885,880"
"Mar 10, 2017",0.085091,0.092129,0.074276,0.07834,"46,428","8,568,010"
"Mar 09, 2017",0.08165,0.091245,0.081007,0.087262,"14,565","8,221,240"
"Mar 08, 2017",0.086988,0.094997,0.081489,0.081625,"18,935","8,758,280"
"Mar 07, 2017",0.10121,0.101252,0.085423,0.08701,"32,391","10,189,800"
"Mar 06, 2017",0.091129,0.10355,0.090374,0.102734,"23,278","9,174,520"
"Mar 05, 2017",0.087997,0.093387,0.082546,0.091104,"20,605","8,858,760"
"Mar 04, 2017",0.087817,0.090263,0.079569,0.088057,"24,347","8,840,300"
"Mar 03, 2017",0.096849,0.096873,0.082116,0.087649,"65,175","9,749,180"
"Mar 02, 2017",0.097271,0.103857,0.095334,0.096873,"57,554","9,791,250"
"Mar 01, 2017",0.096983,0.118303,0.088506,0.097098,"101,609","9,761,870"
"Feb 28, 2017",0.105184,0.11797,0.092063,0.096977,"63,644","10,586,800"
"Feb 27, 2017",0.104828,0.111587,0.100317,0.105117,"13,808","10,550,600"
"Feb 26, 2017",0.109149,0.11311,0.10413,0.104956,"8,765","10,985,000"
"Feb 25, 2017",0.110506,0.113739,0.102606,0.109108,"15,703","11,121,100"
"Feb 24, 2017",0.113204,0.117189,0.099903,0.110815,"50,325","11,392,100"
"Feb 23, 2017",0.104506,0.140865,0.10446,0.112626,"144,899","10,516,400"
"Feb 22, 2017",0.103817,0.107424,0.10265,0.104522,"20,112","10,446,600"
"Feb 21, 2017",0.116231,0.116548,0.103043,0.103864,"107,788","11,695,200"
"Feb 20, 2017",0.118928,0.123641,0.113693,0.116306,"34,054","11,966,100"
"Feb 19, 2017",0.115388,0.122983,0.113382,0.118835,"46,356","11,609,500"
"Feb 18, 2017",0.111381,0.127584,0.100206,0.115351,"84,480","11,205,800"
"Feb 17, 2017",0.119529,0.125871,0.110942,0.111069,"69,614","12,025,100"
"Feb 16, 2017",0.118938,0.125242,0.115519,0.1193,"53,164","11,965,100"
"Feb 15, 2017",0.120372,0.128852,0.116729,0.118915,"56,769","12,108,900"
"Feb 14, 2017",0.125567,0.13263,0.119899,0.119972,"102,272","12,630,900"
"Feb 13, 2017",0.116774,0.132515,0.113307,0.127777,"165,505","11,745,900"
"Feb 12, 2017",0.11576,0.127638,0.108048,0.116802,"38,081","11,643,400"
"Feb 11, 2017",0.109282,0.124497,0.10797,0.116169,"43,869","10,991,400"
"Feb 10, 2017",0.120496,0.129979,0.109228,0.109228,"75,267","12,118,700"
"Feb 09, 2017",0.141617,0.146053,0.103877,0.120351,"56,821","14,242,400"
"Feb 08, 2017",0.149208,0.154604,0.117504,0.141392,"62,767","15,005,100"
"Feb 07, 2017",0.160024,0.168512,0.138552,0.149072,"141,788","16,092,200"
"Feb 06, 2017",0.111102,0.303831,0.10675,0.159718,"236,727","11,172,100"
"Feb 05, 2017",0.115808,0.115808,0.110987,0.110987,"22,487",-
