Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.213452,0.230681,0.197857,0.204888,"708,673","14,626,700"
"Sep 21, 2017",0.271274,0.271274,0.211813,0.213389,"2,065,350","18,588,900"
"Sep 20, 2017",0.219976,0.283439,0.219467,0.273596,"3,130,840","15,073,700"
"Sep 19, 2017",0.228663,0.238426,0.212242,0.220282,"616,051","15,669,000"
"Sep 18, 2017",0.202812,0.245757,0.202812,0.229665,"652,817","13,897,600"
"Sep 17, 2017",0.206215,0.210177,0.186218,0.203205,"299,311","14,130,800"
"Sep 16, 2017",0.19697,0.218575,0.186544,0.205784,"477,437","13,497,200"
"Sep 15, 2017",0.174971,0.209957,0.149795,0.195583,"961,632","11,989,800"
"Sep 14, 2017",0.238866,0.242028,0.172655,0.173149,"1,145,550","16,368,200"
"Sep 13, 2017",0.267432,0.268089,0.223242,0.238191,"997,167","18,325,600"
"Sep 12, 2017",0.283352,0.300288,0.260587,0.269609,"1,048,100","19,416,600"
"Sep 11, 2017",0.283417,0.309632,0.277275,0.285483,"1,097,410","19,421,000"
"Sep 10, 2017",0.307201,0.307201,0.275212,0.283801,"506,382","21,050,800"
"Sep 09, 2017",0.319611,0.323736,0.29568,0.306241,"446,625","21,901,200"
"Sep 08, 2017",0.34686,0.37182,0.30063,0.319075,"1,606,060","23,768,400"
"Sep 07, 2017",0.339705,0.352286,0.3304,0.346958,"897,391","23,278,200"
"Sep 06, 2017",0.311838,0.355772,0.311838,0.342258,"916,222","21,368,500"
"Sep 05, 2017",0.314378,0.319599,0.268586,0.312429,"915,503","21,542,600"
"Sep 04, 2017",0.371241,0.373538,0.28169,0.315655,"1,613,870","25,439,100"
"Sep 03, 2017",0.370357,0.379151,0.343252,0.373084,"915,610","25,378,500"
"Sep 02, 2017",0.417774,0.440202,0.364043,0.36964,"1,667,060","28,627,800"
"Sep 01, 2017",0.37911,0.453097,0.375084,0.416413,"4,205,920","25,978,300"
"Aug 31, 2017",0.365358,0.394165,0.365222,0.379936,"1,140,710","25,036,000"
"Aug 30, 2017",0.342423,0.385605,0.340167,0.365734,"1,664,380","23,464,400"
"Aug 29, 2017",0.364136,0.370238,0.331914,0.342835,"2,172,480","24,952,200"
"Aug 28, 2017",0.378764,0.389168,0.35243,0.363734,"1,649,470","25,954,600"
"Aug 27, 2017",0.324368,0.385398,0.324019,0.380164,"1,729,600","22,227,100"
"Aug 26, 2017",0.323892,0.338927,0.31446,0.325829,"773,152","22,194,500"
"Aug 25, 2017",0.332817,0.338078,0.314342,0.32168,"955,054","22,806,100"
"Aug 24, 2017",0.338675,0.351528,0.326418,0.333647,"1,157,290","23,207,600"
"Aug 23, 2017",0.330371,0.359405,0.324882,0.3404,"1,041,400","22,638,500"
"Aug 22, 2017",0.339456,0.342643,0.308298,0.330946,"957,458","23,261,000"
"Aug 21, 2017",0.391974,0.398628,0.338692,0.341024,"1,374,270","26,859,800"
"Aug 20, 2017",0.344383,0.431908,0.340719,0.396916,"2,713,130","23,598,700"
"Aug 19, 2017",0.330812,0.35787,0.303006,0.343821,"1,056,940","22,668,800"
"Aug 18, 2017",0.321889,0.374572,0.319133,0.328501,"1,684,760","22,057,300"
"Aug 17, 2017",0.359078,0.365341,0.315266,0.326884,"1,745,640","24,605,700"
"Aug 16, 2017",0.356311,0.396552,0.344932,0.364546,"1,747,380","24,416,000"
"Aug 15, 2017",0.375182,0.419267,0.328654,0.353463,"3,242,060","25,709,200"
"Aug 14, 2017",0.432736,0.456106,0.338556,0.378257,"3,284,700","29,653,000"
"Aug 13, 2017",0.488771,0.502381,0.417216,0.428055,"2,531,380","33,492,800"
"Aug 12, 2017",0.451699,0.519144,0.447534,0.497081,"3,056,500","30,952,500"
"Aug 11, 2017",0.447511,0.4896,0.408021,0.45504,"3,785,800","30,665,500"
"Aug 10, 2017",0.49304,0.508918,0.427321,0.444681,"2,476,060","33,785,300"
"Aug 09, 2017",0.50538,0.52346,0.478311,0.492735,"1,414,330","34,630,900"
"Aug 08, 2017",0.521196,0.521196,0.483049,0.505024,"1,885,690","35,714,700"
"Aug 07, 2017",0.465487,0.543457,0.44873,0.523617,"3,304,360","31,897,200"
"Aug 06, 2017",0.495282,0.496626,0.460871,0.467321,"1,376,720","33,938,900"
"Aug 05, 2017",0.467344,0.51437,0.450279,0.493959,"2,454,610","32,024,500"
"Aug 04, 2017",0.47358,0.486318,0.447274,0.463178,"2,364,800","32,451,800"
"Aug 03, 2017",0.491429,0.498406,0.466219,0.477466,"1,860,340","33,675,000"
"Aug 02, 2017",0.439878,0.546955,0.433658,0.491962,"4,458,820","30,142,400"
"Aug 01, 2017",0.403795,0.47188,0.370339,0.438921,"2,979,910","27,669,900"
"Jul 31, 2017",0.374342,0.437658,0.350002,0.406238,"1,873,390","25,651,600"
"Jul 30, 2017",0.414662,0.416999,0.368509,0.375875,"885,850","28,414,500"
"Jul 29, 2017",0.37455,0.420153,0.357509,0.41309,"947,103","25,665,900"
"Jul 28, 2017",0.389043,0.400336,0.342504,0.372953,"1,811,000","26,659,000"
"Jul 27, 2017",0.385878,0.415033,0.372759,0.385121,"1,260,790","26,442,100"
"Jul 26, 2017",0.384758,0.422587,0.360587,0.384823,"2,118,130","26,365,400"
"Jul 25, 2017",0.490569,0.499229,0.347614,0.384538,"4,958,650","33,616,000"
"Jul 24, 2017",0.525606,0.547515,0.468018,0.494613,"2,412,610","36,016,900"
"Jul 23, 2017",0.594333,0.630973,0.503094,0.5283,"3,531,460","40,726,400"
"Jul 22, 2017",0.441152,0.600508,0.440724,0.594817,"5,146,370","30,229,700"
"Jul 21, 2017",0.391908,0.477613,0.38589,0.439662,"3,423,050","26,855,300"
"Jul 20, 2017",0.291856,0.459195,0.291215,0.39082,"4,321,040","19,999,300"
"Jul 19, 2017",0.307508,0.349232,0.26929,0.291589,"1,955,430","21,071,900"
"Jul 18, 2017",0.276037,0.319434,0.258948,0.304327,"1,216,180","18,915,300"
"Jul 17, 2017",0.225785,0.283942,0.224573,0.274862,"731,869","15,471,800"
"Jul 16, 2017",0.234924,0.247248,0.198873,0.224823,"686,161","16,098,100"
"Jul 15, 2017",0.264324,0.269546,0.236002,0.236002,"582,740","18,112,700"
"Jul 14, 2017",0.303806,0.338145,0.2478,0.269059,"1,445,260","20,818,200"
"Jul 13, 2017",0.349882,0.370369,0.295279,0.304018,"1,432,000","23,975,500"
"Jul 12, 2017",0.281263,0.353832,0.253245,0.350729,"1,916,780","19,273,400"
"Jul 11, 2017",0.297713,0.339383,0.234119,0.285488,"2,884,750","20,400,600"
"Jul 10, 2017",0.439628,0.442045,0.275983,0.296473,"2,946,930","30,125,300"
"Jul 09, 2017",0.502193,0.515978,0.436885,0.436885,"1,360,980","34,412,500"
"Jul 08, 2017",0.489541,0.523143,0.424615,0.505808,"1,900,440","33,545,600"
"Jul 07, 2017",0.610761,0.611751,0.482226,0.489808,"2,649,850","41,852,100"
"Jul 06, 2017",0.624798,0.654597,0.60475,0.610834,"1,220,840","42,814,000"
"Jul 05, 2017",0.67473,0.680301,0.605923,0.625981,"2,424,650","46,235,600"
"Jul 04, 2017",0.590098,0.680741,0.577506,0.674431,"2,850,210","40,436,200"
"Jul 03, 2017",0.600979,0.60653,0.534839,0.586955,"1,912,670","41,181,800"
"Jul 02, 2017",0.503964,0.627843,0.46958,0.600528,"2,740,390","34,533,900"
"Jul 01, 2017",0.533993,0.576785,0.473433,0.501565,"1,649,550","36,591,600"
"Jun 30, 2017",0.619141,0.624054,0.525751,0.534035,"1,804,900","42,426,400"
"Jun 29, 2017",0.666267,0.72426,0.598117,0.613279,"3,479,180","45,655,600"
