Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.325823,0.334731,0.316178,0.323502,"94,546","87,364,700"
"Sep 21, 2017",0.330671,0.333798,0.313295,0.325868,"195,590","88,664,700"
"Sep 20, 2017",0.322897,0.336834,0.321236,0.33234,"124,590","86,580,100"
"Sep 19, 2017",0.347398,0.349404,0.322143,0.323009,"366,219","93,143,400"
"Sep 18, 2017",0.317163,0.346689,0.314029,0.346689,"712,190","85,042,100"
"Sep 17, 2017",0.317928,0.323179,0.304894,0.317245,"361,703","85,247,400"
"Sep 16, 2017",0.309681,0.324914,0.309621,0.318283,"205,157","83,035,700"
"Sep 15, 2017",0.280483,0.311083,0.262871,0.309746,"848,715","75,169,900"
"Sep 14, 2017",0.316761,0.318583,0.279533,0.279533,"604,044","84,867,600"
"Sep 13, 2017",0.323165,0.327039,0.294658,0.316552,"416,901","86,583,500"
"Sep 12, 2017",0.323366,0.335629,0.317597,0.323796,"838,684","86,636,200"
"Sep 11, 2017",0.325342,0.329961,0.304432,0.323154,"304,806","87,127,500"
"Sep 10, 2017",0.3172,0.328431,0.307221,0.325975,"227,162","84,937,300"
"Sep 09, 2017",0.32232,0.326219,0.31333,0.317612,"374,607","86,310,900"
"Sep 08, 2017",0.334016,0.341963,0.314613,0.321525,"706,518","89,443,300"
"Sep 07, 2017",0.338504,0.33933,0.333177,0.33366,"465,308","90,567,000"
"Sep 06, 2017",0.330284,0.491953,0.324406,0.338427,"499,191","88,369,200"
"Sep 05, 2017",0.320931,0.332308,0.313772,0.329436,"644,178","85,859,000"
"Sep 04, 2017",0.342571,0.342571,0.318436,0.320775,"1,112,730","91,468,900"
"Sep 03, 2017",0.335299,0.342781,0.310317,0.342365,"509,399","89,527,500"
"Sep 02, 2017",0.351093,0.35157,0.310297,0.334795,"616,504","93,737,000"
"Sep 01, 2017",0.351873,0.356183,0.343727,0.350937,"386,648","93,946,600"
"Aug 31, 2017",0.3534,0.355223,0.343959,0.351682,"404,434","94,354,400"
"Aug 30, 2017",0.357338,0.361013,0.343696,0.353777,"514,381","95,416,100"
"Aug 29, 2017",0.361749,0.373432,0.357968,0.357968,"883,306","96,593,500"
"Aug 28, 2017",0.350678,0.361673,0.343295,0.361673,"363,374","93,637,300"
"Aug 27, 2017",0.345158,0.351666,0.335265,0.3509,"235,650","92,163,500"
"Aug 26, 2017",0.35508,0.355727,0.334571,0.34523,"467,367","94,813,200"
"Aug 25, 2017",0.352488,0.359989,0.350993,0.354854,"409,856","94,120,500"
"Aug 24, 2017",0.354761,0.356119,0.350045,0.352841,"322,316","94,727,400"
"Aug 23, 2017",0.346887,0.355538,0.345879,0.354526,"249,663","92,535,800"
"Aug 22, 2017",0.353384,0.35558,0.339356,0.347173,"536,014","94,269,000"
"Aug 21, 2017",0.351511,0.360195,0.347445,0.353342,"368,428","93,769,000"
"Aug 20, 2017",0.371099,0.371099,0.349358,0.35175,"520,460","98,994,300"
"Aug 19, 2017",0.369756,0.372973,0.367537,0.371842,"257,520","98,635,900"
"Aug 18, 2017",0.382189,0.38448,0.361171,0.369674,"579,456","101,954,000"
"Aug 17, 2017",0.387559,0.392815,0.379787,0.38288,"454,609","102,812,000"
"Aug 16, 2017",0.381132,0.387225,0.368927,0.386039,"576,478","99,552,000"
"Aug 15, 2017",0.392941,0.39494,0.363669,0.380947,"1,100,750","102,644,000"
"Aug 14, 2017",0.391766,0.395143,0.388098,0.392266,"420,549","102,338,000"
"Aug 13, 2017",0.38159,0.399708,0.381478,0.39158,"999,025","99,687,400"
"Aug 12, 2017",0.375738,0.382934,0.37503,0.381757,"537,166","98,156,300"
"Aug 11, 2017",0.356012,0.377048,0.355945,0.376095,"800,012","93,011,100"
"Aug 10, 2017",0.349593,0.358809,0.348927,0.355734,"369,458","91,334,000"
"Aug 09, 2017",0.350803,0.354,0.34077,0.349331,"437,356","91,596,100"
"Aug 08, 2017",0.337525,0.360784,0.336417,0.350306,"748,370","88,129,600"
"Aug 07, 2017",0.361313,0.361955,0.327013,0.337471,"757,390","94,342,100"
