Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.54,1.98,1.51,1.67,"2,451,560","34,818,000"
"Sep 21, 2017",2.83,3.01,1.39,1.5,"3,798,700","64,053,600"
"Sep 20, 2017",0.531565,2.91,0.459299,2.78,"3,685,140","12,013,400"
"Sep 19, 2017",0.508131,0.598566,0.406967,0.454242,"34,860","11,483,800"
"Sep 18, 2017",0.539256,0.589669,0.493297,0.506526,"22,194","12,187,200"
"Sep 17, 2017",0.790146,0.790146,0.50349,0.586027,"14,164","17,857,300"
"Sep 16, 2017",1.15,1.15,0.543402,0.611512,"41,269","26,037,000"
"Sep 15, 2017",0.619369,0.712233,0.50449,0.537521,"85,384","13,997,700"
"Sep 14, 2017",1.05,1.22,0.553312,0.614856,"89,757","23,739,100"
"Sep 13, 2017",0.619986,1.07,0.490481,1.05,"196,065","14,011,700"
"Sep 12, 2017",0.62762,2.12,0.613435,0.621517,"64,800","14,184,200"
"Sep 11, 2017",0.766639,2.25,0.615649,0.676174,"180,195","17,326,000"
"Sep 10, 2017",0.340855,3.65,0.340855,0.615296,"135,293","7,703,310"
"Sep 09, 2017",2.2,2.2,0.329234,0.340855,"29,567","49,789,500"
"Sep 08, 2017",1.32,1.32,0.308916,0.463077,"190,966","29,845,900"
"Sep 07, 2017",1.08,1.29,1,1.01,"149,293","24,385,200"
"Sep 06, 2017",1.11,1.48,0.798757,1.16,"287,498","25,061,800"
"Sep 05, 2017",1.97,2.03,0.878235,0.964588,"139,346","44,438,000"
"Sep 04, 2017",2.76,2.76,1.45,1.65,"724,389","62,298,700"
"Sep 03, 2017",2.97,3.08,2.36,2.75,"706,672","67,229,500"
"Sep 02, 2017",3.44,3.44,2.9,2.97,"916,496","77,730,400"
"Sep 01, 2017",3.39,3.57,3.34,3.43,"632,650","76,610,400"
"Aug 31, 2017",3.15,3.56,3.12,3.4,"778,026","71,242,900"
"Aug 30, 2017",3.49,3.78,2.82,3.12,"948,065","78,863,800"
"Aug 29, 2017",3.12,3.55,3.09,3.49,"609,118","70,430,800"
"Aug 28, 2017",3.03,3.17,3.03,3.08,"362,671","68,381,200"
"Aug 27, 2017",3.03,3.07,3.01,3.03,"307,731","68,558,800"
