Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.134888,0.141674,0.124542,0.134466,"155,389","17,457,300"
"Sep 21, 2017",0.147436,0.159007,0.128437,0.135948,"214,257","19,070,300"
"Sep 20, 2017",0.136584,0.165886,0.134597,0.150112,"338,646","17,656,600"
"Sep 19, 2017",0.147711,0.150191,0.133515,0.136767,"84,320","19,084,000"
"Sep 18, 2017",0.14411,0.150563,0.129579,0.148787,"184,911","18,608,100"
"Sep 17, 2017",0.120533,0.143353,0.114094,0.141065,"189,148","15,554,900"
"Sep 16, 2017",0.12619,0.134965,0.115969,0.120615,"85,688","16,275,600"
"Sep 15, 2017",0.112426,0.133927,0.093331,0.127933,"123,840","14,492,000"
"Sep 14, 2017",0.136668,0.146068,0.108347,0.111557,"97,768","17,606,800"
"Sep 13, 2017",0.153723,0.167464,0.131275,0.137257,"339,874","19,792,500"
"Sep 12, 2017",0.137533,0.160157,0.135698,0.154309,"364,871","17,697,800"
"Sep 11, 2017",0.136431,0.146907,0.132011,0.13879,"119,587","17,546,000"
"Sep 10, 2017",0.141939,0.142154,0.129023,0.13777,"84,631","18,243,800"
"Sep 09, 2017",0.155404,0.159596,0.138115,0.142652,"343,680","19,963,100"
"Sep 08, 2017",0.150135,0.191392,0.146408,0.155536,"781,768","19,275,200"
"Sep 07, 2017",0.155503,0.163096,0.146642,0.14853,"132,506","19,952,700"
"Sep 06, 2017",0.135422,0.158557,0.135422,0.157235,"127,864","17,366,100"
"Sep 05, 2017",0.13181,0.140336,0.122393,0.135268,"75,919","16,893,200"
"Sep 04, 2017",0.141619,0.158156,0.127238,0.131129,"170,478","18,139,900"
"Sep 03, 2017",0.148017,0.153262,0.136615,0.141572,"55,864","18,948,500"
"Sep 02, 2017",0.16495,0.170851,0.139217,0.147922,"164,524","21,104,100"
"Sep 01, 2017",0.15636,0.164943,0.149247,0.164744,"149,409","19,993,400"
"Aug 31, 2017",0.157122,0.173522,0.148488,0.155763,"287,435","20,079,200"
"Aug 30, 2017",0.147056,0.159662,0.14448,0.157213,"85,779","18,781,900"
"Aug 29, 2017",0.153873,0.159845,0.143158,0.148356,"212,956","19,641,200"
"Aug 28, 2017",0.158225,0.16324,0.149277,0.154838,"75,546","20,185,000"
"Aug 27, 2017",0.157967,0.16899,0.157897,0.159825,"146,548","20,140,400"
"Aug 26, 2017",0.159504,0.163033,0.15263,0.158003,"76,244","20,324,600"
"Aug 25, 2017",0.172324,0.17582,0.15051,0.159413,"100,378","21,945,400"
"Aug 24, 2017",0.177277,0.185988,0.165333,0.17537,"118,588","22,563,000"
"Aug 23, 2017",0.168428,0.183328,0.155997,0.178939,"245,047","21,424,300"
"Aug 22, 2017",0.198046,0.198046,0.153584,0.168772,"268,578","25,177,200"
"Aug 21, 2017",0.183006,0.199125,0.171905,0.197588,"311,513","23,251,700"
"Aug 20, 2017",0.162082,0.195327,0.157584,0.182848,"800,599","20,581,100"
"Aug 19, 2017",0.174613,0.177646,0.122796,0.164091,"1,858,470","22,159,300"
"Aug 18, 2017",0.125484,0.171308,0.123717,0.171308,"458,981","15,915,400"
"Aug 17, 2017",0.142681,0.148275,0.121252,0.128745,"274,892","18,085,900"
"Aug 16, 2017",0.146419,0.149339,0.135169,0.142813,"70,776","18,520,800"
"Aug 15, 2017",0.140196,0.156647,0.128712,0.146258,"189,736","17,733,800"
"Aug 14, 2017",0.134005,0.15555,0.127375,0.13982,"130,395","16,950,500"
"Aug 13, 2017",0.158539,0.163428,0.133919,0.133919,"134,628","20,049,200"
"Aug 12, 2017",0.133567,0.158846,0.129218,0.158647,"128,984","16,881,300"
"Aug 11, 2017",0.126668,0.150651,0.123481,0.133671,"167,822","15,999,900"
"Aug 10, 2017",0.131547,0.143374,0.123399,0.126675,"94,548","16,606,500"
"Aug 09, 2017",0.123623,0.144623,0.121449,0.131534,"208,023","15,599,400"
"Aug 08, 2017",0.12747,0.138277,0.118814,0.123707,"71,311","16,078,800"
"Aug 07, 2017",0.125328,0.149833,0.112041,0.127815,"340,838","15,803,400"
"Aug 06, 2017",0.104163,0.127635,0.102009,0.123963,"99,115","13,129,800"
"Aug 05, 2017",0.100135,0.111342,0.100063,0.104138,"44,841","12,617,600"
"Aug 04, 2017",0.096151,0.105148,0.094709,0.100179,"31,250","12,112,100"
"Aug 03, 2017",0.096668,0.110823,0.093818,0.096092,"156,604","12,172,800"
"Aug 02, 2017",0.091396,0.096225,0.086805,0.096225,"44,517","11,505,000"
"Aug 01, 2017",0.087407,0.09472,0.079507,0.091413,"33,803","10,998,600"
"Jul 31, 2017",0.086328,0.090301,0.08381,0.087365,"16,907","10,859,800"
"Jul 30, 2017",0.08694,0.088349,0.079751,0.087362,"22,776","10,932,700"
"Jul 29, 2017",0.081995,0.08696,0.076264,0.086952,"16,983","10,307,700"
"Jul 28, 2017",0.082865,0.08763,0.070524,0.082307,"50,857","10,413,500"
"Jul 27, 2017",0.082611,0.088656,0.081487,0.082615,"34,162","10,378,100"
"Jul 26, 2017",0.082133,0.087882,0.075178,0.082377,"43,681","10,314,400"
"Jul 25, 2017",0.094162,0.100553,0.0786,0.082096,"79,680","11,820,900"
"Jul 24, 2017",0.098874,0.100996,0.09167,0.094172,"44,222","12,410,200"
"Jul 23, 2017",0.097636,0.108395,0.094566,0.098989,"49,756","12,252,700"
"Jul 22, 2017",0.097809,0.103908,0.091453,0.098909,"97,435","12,272,100"
"Jul 21, 2017",0.098551,0.100123,0.089612,0.097935,"70,712","12,361,600"
"Jul 20, 2017",0.083561,0.102196,0.082723,0.098106,"130,419","10,479,300"
"Jul 19, 2017",0.086381,0.095279,0.080567,0.083813,"59,790","10,831,400"
"Jul 18, 2017",0.080023,0.093609,0.075221,0.086244,"165,978","10,033,800"
"Jul 17, 2017",0.069629,0.086007,0.064079,0.078709,"295,961","8,729,940"
"Jul 16, 2017",0.079397,0.089872,0.067054,0.070707,"279,604","9,953,410"
"Jul 15, 2017",0.084681,0.174704,0.047502,0.079656,"3,060,020","10,614,500"
"Jul 14, 2017",0.06659,0.106051,0.06526,0.084429,"390,205","8,346,380"
"Jul 13, 2017",0.072119,0.079169,0.064559,0.066755,"47,909","9,038,690"
"Jul 12, 2017",0.057913,0.081832,0.055789,0.072065,"89,897","7,257,760"
"Jul 11, 2017",0.062101,0.072587,0.050652,0.05848,"138,137","7,781,880"
"Jul 10, 2017",0.089052,0.091203,0.059787,0.060723,"216,186","11,158,200"
"Jul 09, 2017",0.101775,0.105845,0.085863,0.088881,"134,328","12,750,700"
"Jul 08, 2017",0.095517,0.103717,0.091587,0.101684,"65,054","11,965,300"
"Jul 07, 2017",0.115975,0.116977,0.09385,0.096926,"133,993","14,527,000"
"Jul 06, 2017",0.124786,0.127887,0.107291,0.115891,"154,172","15,628,900"
"Jul 05, 2017",0.112847,0.133218,0.10912,0.124724,"114,828","14,131,500"
"Jul 04, 2017",0.113917,0.123528,0.11061,0.112781,"68,278","14,264,000"
"Jul 03, 2017",0.119984,0.132561,0.110468,0.116342,"146,019","15,022,000"
"Jul 02, 2017",0.100716,0.12905,0.094224,0.120178,"307,443","12,607,700"
"Jul 01, 2017",0.111808,0.141223,0.088648,0.099745,"315,669","13,993,700"
"Jun 30, 2017",0.103671,0.123572,0.090193,0.112438,"227,986","12,972,700"
"Jun 29, 2017",0.121055,0.123527,0.094909,0.103465,"262,352","15,144,800"
"Jun 28, 2017",0.12283,0.159478,0.103366,0.123605,"486,435","15,184,600"
"Jun 27, 2017",0.111973,0.133952,0.105353,0.117877,"97,926","13,832,500"
"Jun 26, 2017",0.115321,0.117291,0.106497,0.111973,"162,019","14,237,400"
"Jun 25, 2017",0.124232,0.137613,0.112,0.115381,"168,827","15,327,300"
"Jun 24, 2017",0.147327,0.148183,0.114473,0.124517,"272,293","18,164,700"
"Jun 23, 2017",0.122071,0.15214,0.117398,0.14227,"475,416","15,040,600"
"Jun 22, 2017",0.0943,0.125298,0.094194,0.122071,"462,026","11,611,200"
"Jun 21, 2017",0.091938,0.11216,0.080827,0.0943,"288,836","11,312,800"
