Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.000039,0.000099,0.000037,0.000059,"3,753","8,727,500"
"Sep 21, 2017",0.000076,0.000078,0.000039,0.000039,"16,651","16,791,400"
"Sep 20, 2017",0.00006,0.000088,0.00004,0.000049,"12,265","13,374,300"
"Sep 19, 2017",0.000056,0.000096,0.000043,0.00006,"9,263","12,516,800"
"Sep 18, 2017",0.000052,0.000078,0.000043,0.000056,"8,792","11,454,700"
"Sep 17, 2017",0.000055,0.000058,0.000039,0.000052,"11,933","12,148,800"
"Sep 16, 2017",0.000049,0.000066,0.000038,0.000053,"8,601","10,909,200"
"Sep 15, 2017",0.000042,0.000075,0.000037,0.000053,"15,418","9,248,250"
"Sep 14, 2017",0.000043,0.000074,0.000035,0.000041,"17,165","9,462,820"
"Sep 13, 2017",0.000076,0.000096,0.000042,0.000042,"11,950","16,956,900"
"Sep 12, 2017",0.000074,0.000088,0.000048,0.000082,"17,901","16,492,200"
"Sep 11, 2017",0.000076,0.000091,0.000046,0.000074,"12,991","16,823,600"
"Sep 10, 2017",0.000061,0.000083,0.000045,0.000076,"17,540","13,555,200"
"Sep 09, 2017",0.000076,0.000077,0.000053,0.000062,"8,283","16,892,600"
"Sep 08, 2017",0.000083,0.000097,0.000049,0.000076,"10,977","18,489,200"
"Sep 07, 2017",0.000061,0.000095,0.000049,0.000083,"28,042","13,551,700"
"Sep 06, 2017",0.00005,0.000084,0.000049,0.000061,"24,389","11,206,200"
"Sep 05, 2017",0.000068,0.000083,0.000045,0.00005,"12,614","15,069,100"
"Sep 04, 2017",0.00009,0.00009,0.000047,0.000067,"14,913","19,914,900"
"Sep 03, 2017",0.000068,0.00009,0.000048,0.00009,"38,919","15,013,800"
"Sep 02, 2017",0.000074,0.000088,0.000053,0.000067,"16,181","16,409,600"
"Sep 01, 2017",0.000075,0.000092,0.000057,0.000074,"15,763","16,711,500"
"Aug 31, 2017",0.00008,0.000086,0.000051,0.000075,"10,984","17,776,000"
"Aug 30, 2017",0.000073,0.000108,0.000051,0.00008,"25,098","16,147,700"
"Aug 29, 2017",0.000082,0.000107,0.000047,0.000105,"36,275","18,322,600"
"Aug 28, 2017",0.000058,0.000084,0.000055,0.000082,"23,484","12,795,100"
"Aug 27, 2017",0.000087,0.000095,0.000046,0.00006,"19,947","19,308,500"
"Aug 26, 2017",0.000068,0.000098,0.000046,0.000086,"19,614","15,213,200"
"Aug 25, 2017",0.000063,0.000081,0.000045,0.000046,"18,705","14,035,600"
"Aug 24, 2017",0.000071,0.000077,0.000043,0.000063,"15,720","15,755,900"
"Aug 23, 2017",0.000048,0.000077,0.000043,0.000071,"23,012","10,708,000"
"Aug 22, 2017",0.000045,0.000059,0.00004,0.000048,"16,503","10,053,400"
"Aug 21, 2017",0.000045,0.000074,0.000044,0.000045,"11,454","9,893,300"
"Aug 20, 2017",0.000055,0.000065,0.000041,0.000045,"11,412","12,176,800"
"Aug 19, 2017",0.000054,0.000065,0.000043,0.000055,"12,868","12,029,600"
"Aug 18, 2017",0.000046,0.000064,0.000041,0.000054,"16,339","10,131,300"
"Aug 17, 2017",0.000047,0.000065,0.000041,0.000046,"16,568","10,381,900"
"Aug 16, 2017",0.000072,0.000072,0.000043,0.000047,"10,083","15,993,900"
"Aug 15, 2017",0.000065,0.000072,0.000043,0.000072,"18,352","14,362,000"
"Aug 14, 2017",0.000059,0.000076,0.000052,0.000064,"20,970","13,111,700"
"Aug 13, 2017",0.000075,0.000081,0.000043,0.000058,"42,246","16,602,500"
"Aug 12, 2017",0.000067,0.000084,0.00004,0.000075,"35,953","14,909,300"
