Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.937803,1.17,0.908617,1.12,"102,911","11,625,800"
"Sep 21, 2017",0.915207,0.993181,0.870638,0.953339,"55,864","11,343,300"
"Sep 20, 2017",1.21,1.21,0.772058,0.919734,"94,403","15,033,100"
"Sep 19, 2017",1.25,1.33,1.05,1.21,"114,676","15,458,600"
"Sep 18, 2017",1.29,1.46,1.18,1.24,"165,211","15,986,800"
"Sep 17, 2017",1.28,1.34,1.1,1.29,"114,147","15,856,300"
"Sep 16, 2017",1.36,1.51,1.05,1.28,"265,917","16,837,900"
"Sep 15, 2017",1.14,1.45,0.843508,1.35,"150,395","14,142,600"
"Sep 14, 2017",1.28,1.53,0.936699,1.14,"326,545","15,824,900"
"Sep 13, 2017",0.629451,1.75,0.627058,1.28,"521,254",-
"Sep 12, 2017",0.60793,0.985107,0.57708,0.629251,"257,746",-
