Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.167921,0.173385,0.160586,0.167482,"50,265","34,199,100"
"Sep 21, 2017",0.190515,0.200991,0.163111,0.168113,"59,041","38,798,500"
"Sep 20, 2017",0.212177,0.219593,0.186583,0.191603,"73,116","43,207,400"
"Sep 19, 2017",0.238946,0.240898,0.204958,0.212461,"100,800","48,655,200"
"Sep 18, 2017",0.219506,0.247445,0.213251,0.237954,"62,324","44,694,100"
"Sep 17, 2017",0.24357,0.24357,0.18531,0.219942,"74,974","49,591,100"
"Sep 16, 2017",0.201881,0.277945,0.18492,0.243733,"169,192","41,100,800"
"Sep 15, 2017",0.141712,0.216792,0.126603,0.194533,"134,423","28,849,500"
"Sep 14, 2017",0.200527,0.203617,0.143111,0.143462,"102,730","40,820,400"
"Sep 13, 2017",0.224418,0.241527,0.159853,0.203487,"229,825","45,681,700"
"Sep 12, 2017",0.234228,0.256328,0.190665,0.225279,"181,424","47,675,700"
"Sep 11, 2017",0.261975,0.295115,0.218947,0.234001,"104,016","53,320,400"
"Sep 10, 2017",0.311334,0.311334,0.224636,0.262421,"149,927","63,363,000"
"Sep 09, 2017",0.316059,0.341,0.284459,0.315046,"134,946","64,321,400"
"Sep 08, 2017",0.359885,0.365845,0.303877,0.315444,"133,123","73,236,500"
"Sep 07, 2017",0.39303,0.39632,0.3445,0.35983,"171,058","79,977,500"
"Sep 06, 2017",0.329587,0.414051,0.325384,0.400785,"129,930","67,063,900"
"Sep 05, 2017",0.345827,0.346768,0.286201,0.330371,"105,397","70,364,600"
"Sep 04, 2017",0.402676,0.414988,0.263148,0.344047,"223,713","81,927,200"
"Sep 03, 2017",0.394964,0.415716,0.367678,0.403065,"292,287","80,353,700"
"Sep 02, 2017",0.448905,0.465571,0.323189,0.398674,"267,188","91,322,800"
"Sep 01, 2017",0.485602,0.510207,0.338709,0.454598,"343,035","98,782,300"
"Aug 31, 2017",0.487284,0.512387,0.420704,0.476033,"369,498","99,119,000"
"Aug 30, 2017",0.508459,0.527477,0.474721,0.488112,"263,604","103,420,000"
"Aug 29, 2017",0.449915,0.577043,0.429929,0.509139,"734,768","91,508,000"
"Aug 28, 2017",0.354065,0.499895,0.335483,0.443697,"413,549","72,009,400"
"Aug 27, 2017",0.334625,0.352301,0.307177,0.351087,"280,543","68,052,000"
"Aug 26, 2017",0.347256,0.370832,0.326149,0.334654,"233,172","70,616,800"
"Aug 25, 2017",0.321999,0.38026,0.299111,0.348653,"419,129","65,476,800"
"Aug 24, 2017",0.19858,0.353568,0.19858,0.313404,"517,256","40,377,900"
"Aug 23, 2017",0.189557,0.223798,0.177875,0.19904,"156,000","38,541,300"
"Aug 22, 2017",0.170295,0.197393,0.15546,0.190887,"123,400","34,622,900"
"Aug 21, 2017",0.166839,0.179787,0.153465,0.167765,"91,723","33,918,400"
"Aug 20, 2017",0.173077,0.173077,0.14833,0.162941,"147,338","35,184,900"
"Aug 19, 2017",0.168184,0.17447,0.149359,0.174052,"81,219","34,188,400"
"Aug 18, 2017",0.178366,0.191348,0.147086,0.168223,"114,860","36,256,600"
"Aug 17, 2017",0.217721,0.2185,0.172344,0.182104,"112,001","44,254,300"
"Aug 16, 2017",0.1781,0.222538,0.168341,0.217927,"126,550","36,198,800"
"Aug 15, 2017",0.223183,0.226,0.168128,0.178162,"128,625","45,359,900"
"Aug 14, 2017",0.149352,0.245022,0.149352,0.22614,"215,190","30,352,100"
"Aug 13, 2017",0.199368,0.199892,0.107672,0.150775,"268,235","40,515,400"
"Aug 12, 2017",0.217774,0.218253,0.154877,0.199554,"144,555","44,253,600"
"Aug 11, 2017",0.244422,0.246975,0.118961,0.217928,"306,413","49,666,100"
"Aug 10, 2017",0.282128,0.295077,0.205932,0.24099,"304,337","57,325,200"
"Aug 09, 2017",0.233068,0.299853,0.231781,0.282101,"296,437","47,354,500"
"Aug 08, 2017",0.156936,0.302051,0.155655,0.233238,"616,940","31,884,800"
"Aug 07, 2017",0.091554,0.156987,0.08929,0.156987,"223,312","18,600,100"
"Aug 06, 2017",0.067866,0.099603,0.065866,0.091761,"132,441","13,787,000"
