Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.05935,0.060934,0.054911,0.058817,"2,592,450","59,290,300"
"Sep 21, 2017",0.067365,0.068672,0.057735,0.059259,"3,156,750","67,297,600"
"Sep 20, 2017",0.069252,0.071213,0.065773,0.067742,"2,979,880","69,182,700"
"Sep 19, 2017",0.076447,0.076896,0.068024,0.068958,"3,046,770","76,370,600"
"Sep 18, 2017",0.067254,0.076894,0.067254,0.076242,"5,181,500","67,186,600"
"Sep 17, 2017",0.063349,0.0719,0.057286,0.067395,"3,473,430","63,285,600"
"Sep 16, 2017",0.065238,0.0677,0.058835,0.063342,"4,298,970","65,172,800"
"Sep 15, 2017",0.055217,0.069452,0.04205,0.065516,"8,510,900","55,162,100"
"Sep 14, 2017",0.076772,0.077301,0.054695,0.054695,"4,483,420","76,695,600"
"Sep 13, 2017",0.083857,0.084284,0.072632,0.076776,"4,783,860","83,772,700"
"Sep 12, 2017",0.082856,0.097096,0.082654,0.084199,"9,020,360","82,772,900"
"Sep 11, 2017",0.083914,0.086836,0.081157,0.082828,"4,811,660","83,830,200"
"Sep 10, 2017",0.088247,0.088247,0.076804,0.084298,"5,038,210","88,159,000"
"Sep 09, 2017",0.088439,0.090769,0.084782,0.088337,"4,929,800","88,350,300"
"Sep 08, 2017",0.104115,0.114838,0.082826,0.08752,"14,566,200","104,011,000"
"Sep 07, 2017",0.106555,0.109775,0.101096,0.103844,"10,709,000","106,449,000"
"Sep 06, 2017",0.090424,0.106607,0.090086,0.106607,"9,613,080","90,333,600"
"Sep 05, 2017",0.088438,0.091453,0.076482,0.09072,"7,765,250","88,349,200"
"Sep 04, 2017",0.106745,0.106887,0.083013,0.088583,"7,995,960","106,639,000"
"Sep 03, 2017",0.106365,0.111047,0.102349,0.106711,"4,642,680","106,259,000"
"Sep 02, 2017",0.119236,0.121954,0.105135,0.106538,"8,500,410","119,117,000"
"Sep 01, 2017",0.112879,0.119231,0.112611,0.119231,"7,045,670","112,766,000"
"Aug 31, 2017",0.113267,0.115118,0.111329,0.112688,"6,085,480","113,154,000"
"Aug 30, 2017",0.110858,0.113526,0.108873,0.113287,"5,936,270","110,748,000"
"Aug 29, 2017",0.113617,0.11416,0.109194,0.110692,"7,142,150","113,504,000"
"Aug 28, 2017",0.115252,0.115252,0.109408,0.113367,"7,015,290","115,137,000"
"Aug 27, 2017",0.110561,0.118645,0.107584,0.114978,"8,235,880","110,450,000"
"Aug 26, 2017",0.114791,0.115288,0.106168,0.110877,"6,888,840","114,676,000"
