Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",22.71,24.06,22.03,22.39,"36,257","12,713,300"
"Sep 21, 2017",25.43,26.91,22.62,22.74,"196,909","14,235,000"
"Sep 20, 2017",25.34,26.79,25.05,25.56,"96,723","14,184,300"
"Sep 19, 2017",26.31,27.87,24.68,25.37,"113,419","14,728,000"
"Sep 18, 2017",23.68,29.03,23.68,26.25,"135,525","13,257,500"
"Sep 17, 2017",23.12,24.46,22.08,23.73,"64,947","12,944,000"
"Sep 16, 2017",23.72,25.3,22.2,23.46,"144,153","13,277,900"
"Sep 15, 2017",21.52,24.61,18.93,23.78,"122,332","12,047,700"
"Sep 14, 2017",27.76,28.57,21.36,21.36,"149,266","15,538,000"
"Sep 13, 2017",30.37,30.94,26.61,27.8,"173,647","16,996,700"
"Sep 12, 2017",30.85,33.48,30.19,30.95,"216,330","17,268,000"
"Sep 11, 2017",30.87,31.86,29.39,30.82,"178,468","17,275,900"
"Sep 10, 2017",32.88,33.77,29.42,30.92,"113,102","18,402,300"
"Sep 09, 2017",33.62,34.99,30.3,32.92,"144,783","18,819,500"
"Sep 08, 2017",39.44,40.17,30.4,32.72,"716,657","22,075,900"
"Sep 07, 2017",31.1,41.78,29.69,39.91,"1,235,580","17,405,800"
"Sep 06, 2017",28.59,31.98,28.57,31.16,"158,000","16,000,500"
"Sep 05, 2017",28.95,29.74,26.43,28.55,"113,831","16,200,700"
"Sep 04, 2017",32.61,33.15,26.9,28.61,"173,254","18,253,100"
"Sep 03, 2017",31.53,33.26,31.52,32.75,"83,536","17,648,300"
"Sep 02, 2017",35.02,36.52,30.7,31.56,"251,788","19,601,200"
"Sep 01, 2017",35.09,35.91,33.18,34.98,"298,927","19,638,200"
"Aug 31, 2017",35.67,35.99,33.9,35.08,"204,565","19,964,700"
"Aug 30, 2017",37.16,37.27,33.1,35.74,"178,340","20,797,900"
"Aug 29, 2017",39.14,39.17,36.48,37.21,"305,060","21,902,500"
"Aug 28, 2017",35.57,39.17,34.52,39.09,"242,287","19,903,000"
"Aug 27, 2017",35.59,36.53,34.88,35.6,"230,555","19,915,600"
"Aug 26, 2017",36.78,36.79,34.1,35.68,"377,484","20,583,100"
"Aug 25, 2017",38.67,42.36,34.13,36.77,"809,993","21,637,000"
"Aug 24, 2017",31.53,41.82,30.1,38.8,"966,378","17,641,200"
"Aug 23, 2017",29.93,32.94,28.83,31.46,"287,304","16,750,700"
"Aug 22, 2017",28.86,30.91,27.74,30.2,"346,416","16,152,000"
