Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",2.93,3.04,2.61,2.8,"438,079","159,328,000"
"Sep 21, 2017",3.21,3.23,2.64,2.92,"958,364","174,230,000"
"Sep 20, 2017",3.28,3.39,3.16,3.19,"663,238","178,360,000"
"Sep 19, 2017",3.68,3.71,3.17,3.29,"850,000","200,145,000"
"Sep 18, 2017",3.25,3.68,3.24,3.68,"802,153","176,437,000"
"Sep 17, 2017",3.15,3.36,2.93,3.25,"622,594","171,105,000"
"Sep 16, 2017",3.3,3.51,3.02,3.15,"752,344","179,308,000"
"Sep 15, 2017",2.67,3.41,2.43,3.32,"1,414,350","144,919,000"
"Sep 14, 2017",3.1,3.49,2.6,2.65,"1,677,250","168,180,000"
"Sep 13, 2017",3.08,3.18,2.7,3.07,"886,936","166,959,000"
"Sep 12, 2017",3.24,3.44,3.11,3.14,"841,109","175,994,000"
"Sep 11, 2017",3.39,3.56,3.21,3.24,"764,347","183,817,000"
"Sep 10, 2017",3.69,3.71,3.26,3.39,"856,393","200,148,000"
"Sep 09, 2017",3.71,3.74,3.35,3.69,"772,126","201,201,000"
"Sep 08, 2017",4.15,4.17,3.32,3.69,"1,958,990","225,304,000"
"Sep 07, 2017",3.99,4.19,3.84,4.15,"1,830,890","216,429,000"
"Sep 06, 2017",3.61,4.11,3.52,4.01,"3,183,150","195,452,000"
"Sep 05, 2017",3.14,3.65,2.83,3.58,"1,475,220","170,316,000"
"Sep 04, 2017",3.63,3.86,2.82,3.13,"2,619,420","196,592,000"
"Sep 03, 2017",3.35,3.77,3.28,3.63,"1,463,690","181,543,000"
"Sep 02, 2017",3.98,3.98,3.31,3.33,"2,017,250","215,708,000"
"Sep 01, 2017",3.31,4.49,3.31,3.94,"9,237,100","179,250,000"
"Aug 31, 2017",2.85,3.34,2.8,3.31,"1,829,560","154,332,000"
"Aug 30, 2017",2.94,3.05,2.71,2.83,"1,363,470","159,196,000"
"Aug 29, 2017",3.09,3.17,2.72,2.94,"2,624,790","167,462,000"
"Aug 28, 2017",2.96,3.18,2.83,3.08,"1,862,570","160,127,000"
"Aug 27, 2017",3.16,3.26,2.68,2.95,"2,911,190","171,240,000"
"Aug 26, 2017",2.44,3.16,2.41,3.16,"4,648,230","131,976,000"
"Aug 25, 2017",2.14,2.44,2.12,2.44,"1,313,110","115,957,000"
"Aug 24, 2017",2.03,2.16,1.98,2.1,"612,742","109,890,000"
"Aug 23, 2017",1.92,2.29,1.88,2.07,"1,609,530","104,087,000"
"Aug 22, 2017",1.88,2.03,1.66,1.92,"1,023,270","101,728,000"
"Aug 21, 2017",1.99,2.05,1.77,1.88,"813,647","107,825,000"
"Aug 20, 2017",1.87,2.31,1.77,2.04,"2,125,280","101,012,000"
"Aug 19, 2017",1.69,1.91,1.62,1.88,"778,515","91,675,300"
"Aug 18, 2017",1.7,1.8,1.63,1.7,"701,658","91,976,700"
"Aug 17, 2017",1.9,1.94,1.7,1.72,"950,748","102,921,000"
"Aug 16, 2017",1.91,2.04,1.8,1.91,"776,786","103,296,000"
"Aug 15, 2017",1.77,2.12,1.58,1.92,"1,241,080","95,512,400"
"Aug 14, 2017",1.91,1.94,1.66,1.76,"968,330","103,302,000"
"Aug 13, 2017",2.01,2.09,1.8,1.91,"1,095,310","108,692,000"
"Aug 12, 2017",2.08,2.29,1.94,2.01,"1,237,300","112,256,000"
"Aug 11, 2017",2.14,2.18,1.93,2.12,"1,161,090","115,638,000"
"Aug 10, 2017",1.96,2.26,1.96,2.14,"1,374,460","106,106,000"
"Aug 09, 2017",1.98,2.13,1.94,1.96,"826,578","106,785,000"
"Aug 08, 2017",1.99,2.06,1.89,2.01,"857,147","107,615,000"
"Aug 07, 2017",1.91,2.09,1.87,2,"959,104","103,352,000"
"Aug 06, 2017",2.1,2.18,1.92,1.97,"847,640","113,523,000"
"Aug 05, 2017",2.06,2.2,1.97,2.13,"698,568","111,004,000"
"Aug 04, 2017",1.95,2.06,1.91,2.06,"571,097","105,250,000"
"Aug 03, 2017",1.96,2.03,1.89,2.01,"426,579","105,789,000"
"Aug 02, 2017",1.98,2.06,1.85,1.96,"758,057","107,040,000"
"Aug 01, 2017",1.91,2.13,1.73,1.98,"664,847","102,948,000"
"Jul 31, 2017",1.92,1.93,1.79,1.9,"486,765","103,642,000"
"Jul 30, 2017",1.96,1.97,1.79,1.92,"353,030","105,804,000"
"Jul 29, 2017",1.92,1.98,1.85,1.96,"337,647","103,718,000"
"Jul 28, 2017",2.21,2.27,1.77,1.93,"1,029,330","119,215,000"
"Jul 27, 2017",2,2.29,1.99,2.22,"677,869","107,802,000"
"Jul 26, 2017",1.87,2.01,1.82,1.99,"470,235","100,864,000"
"Jul 25, 2017",2.16,2.17,1.78,1.88,"761,988","116,698,000"
"Jul 24, 2017",2.2,2.22,2.11,2.16,"481,936","118,367,000"
"Jul 23, 2017",2.31,2.38,2.11,2.2,"517,608","124,602,000"
"Jul 22, 2017",2.04,2.34,2.01,2.31,"838,954","109,979,000"
"Jul 21, 2017",2.14,2.26,1.99,2.06,"557,633","115,335,000"
"Jul 20, 2017",1.8,2.25,1.76,2.13,"1,479,580","97,073,600"
"Jul 19, 2017",1.7,2.21,1.65,1.83,"1,241,830","91,405,700"
"Jul 18, 2017",1.66,1.76,1.58,1.69,"597,985","89,429,200"
"Jul 17, 2017",1.37,1.66,1.37,1.66,"421,374","73,696,500"
"Jul 16, 2017",1.5,1.57,1.35,1.36,"396,644","80,652,100"
"Jul 15, 2017",1.64,1.67,1.44,1.49,"354,807","88,187,700"
"Jul 14, 2017",1.86,1.88,1.52,1.64,"590,517","100,097,000"
"Jul 13, 2017",1.88,2.03,1.82,1.85,"874,846","101,043,000"
"Jul 12, 2017",1.72,1.96,1.52,1.9,"807,183","92,613,300"
"Jul 11, 2017",1.75,2.04,1.46,1.7,"1,174,690","94,140,400"
"Jul 10, 2017",2.26,2.34,1.68,1.74,"1,188,920","121,443,000"
"Jul 09, 2017",2.41,2.42,2.23,2.25,"686,476","129,460,000"
"Jul 08, 2017",2.52,2.52,2.16,2.41,"900,303","135,424,000"
"Jul 07, 2017",2.76,2.87,2.4,2.52,"1,577,910","148,610,000"
"Jul 06, 2017",2.61,2.84,2.57,2.77,"1,505,980","140,364,000"
"Jul 05, 2017",2.44,2.75,2.32,2.67,"1,591,350","131,064,000"
"Jul 04, 2017",2.42,2.46,2.18,2.46,"1,642,800","129,909,000"
"Jul 03, 2017",2.38,2.6,2.31,2.42,"1,132,170","128,004,000"
"Jul 02, 2017",2.18,2.44,1.99,2.37,"1,439,190","117,176,000"
"Jul 01, 2017",2.23,2.94,2.06,2.15,"6,583,000","119,636,000"
"Jun 30, 2017",1.87,2.46,1.82,2.23,"4,201,350","100,511,000"
"Jun 29, 2017",1.87,1.89,1.79,1.87,"433,521","100,576,000"
"Jun 28, 2017",1.85,1.9,1.71,1.87,"552,582","99,334,700"
"Jun 27, 2017",1.71,1.85,1.59,1.84,"804,362","91,792,000"
"Jun 26, 2017",1.81,1.89,1.53,1.71,"743,913","97,110,800"
"Jun 25, 2017",1.96,1.97,1.73,1.8,"717,465","105,507,000"
"Jun 24, 2017",1.9,2,1.85,1.97,"977,280","101,826,000"
"Jun 23, 2017",1.68,1.92,1.65,1.89,"652,917","90,384,900"
"Jun 22, 2017",1.66,1.75,1.65,1.68,"528,555","89,122,800"
"Jun 21, 2017",1.74,1.79,1.55,1.66,"481,711","93,572,300"
"Jun 20, 2017",1.78,1.83,1.62,1.74,"637,379","95,662,300"
"Jun 19, 2017",1.75,1.9,1.63,1.78,"1,171,960","93,807,500"
"Jun 18, 2017",1.66,1.75,1.55,1.75,"460,349","89,146,200"
"Jun 17, 2017",1.72,1.74,1.6,1.65,"581,214","92,064,300"
"Jun 16, 2017",1.43,1.77,1.35,1.72,"1,217,220","76,836,300"
"Jun 15, 2017",1.39,1.43,1.23,1.43,"452,954","74,745,700"
"Jun 14, 2017",1.52,1.6,1.32,1.39,"472,004","81,564,800"
"Jun 13, 2017",1.41,1.67,1.4,1.52,"810,037","75,370,600"
"Jun 12, 2017",1.68,1.7,1.36,1.42,"618,989","90,002,600"
"Jun 11, 2017",1.51,1.75,1.49,1.68,"779,509","80,699,400"
"Jun 10, 2017",1.63,1.66,1.51,1.51,"806,869","87,353,800"
"Jun 09, 2017",1.62,1.73,1.51,1.63,"1,052,730","86,576,600"
"Jun 08, 2017",1.54,1.7,1.52,1.61,"742,229","82,708,500"
"Jun 07, 2017",1.48,1.78,1.48,1.53,"1,291,380","79,331,300"
"Jun 06, 2017",1.55,1.68,1.44,1.48,"1,150,270","83,020,700"
"Jun 05, 2017",1.64,1.64,1.51,1.55,"1,415,360","87,591,400"
"Jun 04, 2017",1.63,1.7,1.49,1.62,"958,906","87,404,800"
"Jun 03, 2017",1.65,1.76,1.49,1.64,"1,297,030","88,338,700"
"Jun 02, 2017",1.69,1.73,1.6,1.64,"973,967","90,284,900"
"Jun 01, 2017",1.53,1.73,1.49,1.68,"1,015,590","81,979,300"
"May 31, 2017",1.73,1.81,1.45,1.51,"2,120,580","92,717,300"
"May 30, 2017",1.69,1.9,1.64,1.71,"2,994,420","90,331,600"
"May 29, 2017",1.34,1.8,1.24,1.66,"3,057,780","71,800,200"
"May 28, 2017",1.09,1.41,1.07,1.34,"1,549,970","58,122,300"
"May 27, 2017",1.19,1.21,0.782172,1.08,"1,432,400","63,711,000"
"May 26, 2017",1.34,1.57,1.04,1.19,"3,535,410","71,577,700"
"May 25, 2017",0.868912,1.6,0.703638,1.36,"3,209,160","46,472,600"
"May 24, 2017",0.971474,1,0.863947,0.903705,"1,612,850","51,951,800"
