Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.970167,1.1,0.970167,1,"152,266","15,016,600"
"Sep 21, 2017",1.06,1.06,0.933417,0.974777,"144,148","16,352,700"
"Sep 20, 2017",1.03,1.13,1.01,1.06,"151,217","15,852,200"
"Sep 19, 2017",1.15,1.16,0.993853,1.02,"339,968","17,841,800"
"Sep 18, 2017",1.16,1.23,1.1,1.16,"163,075","17,897,400"
"Sep 17, 2017",1.04,1.2,0.976335,1.16,"206,457","16,071,700"
"Sep 16, 2017",1.11,1.15,0.97977,1.04,"193,824","17,199,200"
"Sep 15, 2017",1.19,1.31,0.783153,1.14,"1,015,430","18,308,800"
"Sep 14, 2017",0.991279,1.78,0.981312,1.16,"2,660,440","15,293,500"
"Sep 13, 2017",1.05,1.1,0.957023,0.991112,"140,695","16,156,900"
"Sep 12, 2017",1.09,1.14,1.03,1.06,"110,404","16,773,500"
"Sep 11, 2017",1.14,1.16,1.07,1.09,"125,655","17,528,900"
"Sep 10, 2017",1.19,1.38,1.07,1.14,"276,246","18,395,900"
"Sep 09, 2017",1.15,1.2,1.09,1.2,"112,049","17,660,700"
"Sep 08, 2017",1.3,1.31,1.1,1.15,"152,719","20,071,300"
"Sep 07, 2017",1.44,1.44,1.22,1.3,"309,659","22,176,200"
"Sep 06, 2017",1.81,1.9,1.31,1.43,"967,983","27,821,600"
"Sep 05, 2017",1.2,1.97,1.09,1.77,"2,130,630","18,369,800"
"Sep 04, 2017",1.33,1.33,1.01,1.18,"110,490","20,422,100"
"Sep 03, 2017",1.35,1.44,1.25,1.31,"141,418","20,694,600"
"Sep 02, 2017",1.22,1.4,1.15,1.35,"193,844","18,783,800"
"Sep 01, 2017",1.21,1.24,1.16,1.23,"83,945","18,631,600"
"Aug 31, 2017",1.14,1.26,1.08,1.2,"105,127","17,400,000"
"Aug 30, 2017",1.14,1.2,1.07,1.1,"111,136","17,457,300"
"Aug 29, 2017",1.13,1.15,1.08,1.13,"86,159","17,282,100"
"Aug 28, 2017",1.14,1.16,1.09,1.12,"53,405","17,494,100"
"Aug 27, 2017",1.12,1.19,1.1,1.18,"24,986","17,103,700"
"Aug 26, 2017",1.18,1.27,1.06,1.12,"97,079","18,020,700"
"Aug 25, 2017",1.22,1.28,1.15,1.18,"109,182","18,714,700"
"Aug 24, 2017",1.02,1.23,1.01,1.21,"109,459","15,612,100"
"Aug 23, 2017",1.04,1.09,1.01,1.02,"45,582","15,937,700"
"Aug 22, 2017",1.13,1.13,0.977012,1.05,"50,340","17,269,200"
"Aug 21, 2017",1.05,1.2,0.98059,1.13,"114,102","15,972,100"
"Aug 20, 2017",0.996853,1.08,0.968912,1.06,"53,384","15,202,600"
"Aug 19, 2017",1.08,1.08,0.981086,1.02,"61,623","16,424,200"
"Aug 18, 2017",0.998007,1.15,0.992694,1.09,"62,170","15,207,500"
"Aug 17, 2017",1.13,1.17,1,1,"72,786","17,262,000"
"Aug 16, 2017",1.13,1.21,1.04,1.13,"71,302","17,238,900"
"Aug 15, 2017",1.18,1.28,1.05,1.13,"126,121","17,963,300"
"Aug 14, 2017",1.24,1.29,1.13,1.18,"85,410","18,840,600"
"Aug 13, 2017",1.38,1.45,1.2,1.23,"94,076","20,983,700"
"Aug 12, 2017",1.34,1.52,1.22,1.38,"145,932","20,301,900"
"Aug 11, 2017",1.45,1.49,1.19,1.32,"233,950","21,953,800"
"Aug 10, 2017",1.16,1.53,1.13,1.53,"228,584","17,563,700"
"Aug 09, 2017",1.1,1.28,1.05,1.19,"110,491","16,682,900"
"Aug 08, 2017",1.12,1.17,1.06,1.1,"54,330","16,990,300"
"Aug 07, 2017",1.27,1.33,1.09,1.1,"101,419","19,204,800"
"Aug 06, 2017",1.29,1.31,1.19,1.3,"60,248","19,517,200"
"Aug 05, 2017",1.25,1.4,1.24,1.3,"98,731","19,017,600"
"Aug 04, 2017",1.31,1.37,1.22,1.25,"77,683","19,768,400"
"Aug 03, 2017",1.25,1.34,1.23,1.27,"81,573","18,895,200"
