Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",12.76,13.26,11.64,12.2,"50,860","12,814,700"
"Sep 21, 2017",14.06,15.16,12.45,12.78,"17,300","14,121,200"
"Sep 20, 2017",13.31,14.5,13.08,14.35,"14,749","13,361,900"
"Sep 19, 2017",14.23,14.64,13.28,13.32,"6,258","14,291,100"
"Sep 18, 2017",12.96,14.46,12.96,14.2,"4,452","13,015,400"
"Sep 17, 2017",13.34,13.57,12.27,12.99,"15,205","13,396,000"
"Sep 16, 2017",12.97,13.84,12.41,13.35,"2,926","13,028,900"
"Sep 15, 2017",11.02,13.38,10.05,13.01,"6,544","11,066,600"
"Sep 14, 2017",13.58,14.31,10.94,10.94,"6,227","13,636,400"
"Sep 13, 2017",14.81,14.87,13.06,13.58,"2,534","14,875,100"
"Sep 12, 2017",15.06,15.56,14.15,14.87,"5,705","15,124,200"
"Sep 11, 2017",14.32,15.66,14.07,15.05,"12,163","14,378,900"
"Sep 10, 2017",14.77,15.57,13.81,14.34,"16,324","14,834,100"
"Sep 09, 2017",15.01,15.23,13.99,14.81,"14,433","15,076,700"
"Sep 08, 2017",16.36,16.38,14.33,14.99,"15,035","16,428,100"
"Sep 07, 2017",16.37,16.77,15.64,16.36,"11,711","16,436,800"
"Sep 06, 2017",15.81,17.49,15.56,16.4,"15,779","15,874,300"
"Sep 05, 2017",15.51,16.09,14.27,15.79,"4,205","15,571,200"
"Sep 04, 2017",17.08,17.1,14.7,15.43,"8,695","17,154,900"
"Sep 03, 2017",16.97,18.06,16.25,17.08,"14,392","17,042,900"
"Sep 02, 2017",18.82,19.02,16.53,16.97,"9,160","18,898,200"
"Sep 01, 2017",17.54,18.8,17.42,18.8,"14,323","17,614,800"
"Aug 31, 2017",17.06,18.66,17.06,17.54,"4,555","17,133,300"
"Aug 30, 2017",17.79,18.61,16.72,17.09,"10,873","17,864,500"
"Aug 29, 2017",18.35,19.26,17.06,17.82,"19,529","18,423,300"
"Aug 28, 2017",17.45,19.07,16.82,18.32,"32,443","17,525,800"
"Aug 27, 2017",17.12,17.56,16.18,17.47,"6,280","17,186,000"
"Aug 26, 2017",16.26,17.43,15.87,17.12,"28,205","16,328,700"
"Aug 25, 2017",15.8,17.4,15.76,16.26,"18,980","15,866,100"
"Aug 24, 2017",16.24,16.68,14.74,15.83,"42,793","16,309,600"
"Aug 23, 2017",13.64,18.22,12.95,16.24,"224,977","13,697,600"
"Aug 22, 2017",13.86,14.4,12.31,13.67,"19,588","13,912,900"
"Aug 21, 2017",13.4,14.46,13.22,13.82,"21,825","13,453,300"
"Aug 20, 2017",15.05,15.5,12.86,13.45,"22,684","15,110,200"
"Aug 19, 2017",13.76,16.57,12.08,15.12,"52,316","13,812,500"
"Aug 18, 2017",14.13,14.89,12.74,13.77,"9,473","14,185,200"
"Aug 17, 2017",15.14,15.38,13.85,14.17,"18,057","15,202,200"
"Aug 16, 2017",14.44,16.02,13.63,15.16,"35,020","14,496,800"
"Aug 15, 2017",15.65,16.41,11.7,14.42,"58,713","15,708,500"
"Aug 14, 2017",13.61,15.85,13.21,15.6,"64,415","13,661,600"
"Aug 13, 2017",11.82,21.85,11.7,13.8,"463,695","11,868,300"
"Aug 12, 2017",11.06,13.22,10.54,11.83,"9,026","11,103,000"
"Aug 11, 2017",11.2,11.65,10.33,11.07,"18,709","11,240,500"
"Aug 10, 2017",11.03,13.47,10.96,11.07,"51,801","11,079,200"
"Aug 09, 2017",11.08,15.04,10.27,11.03,"91,846","11,125,400"
"Aug 08, 2017",11.48,17.83,10.07,11.08,"166,096","11,528,300"
"Aug 07, 2017",11.26,11.95,9.78,11.47,"9,984","11,306,400"
"Aug 06, 2017",11.02,11.79,10.5,11.29,"11,132","11,066,800"
"Aug 05, 2017",9.82,11.63,9.82,11.02,"4,515","9,859,140"
"Aug 04, 2017",10.48,11.01,9.4,10.41,"21,578","10,518,500"
"Aug 03, 2017",9.69,10.48,9.55,10.48,"12,896","9,728,750"
"Aug 02, 2017",10.47,10.98,9.53,9.68,"13,359","10,507,200"
"Aug 01, 2017",10.26,11.25,9.53,10.47,"8,823","10,301,500"
"Jul 31, 2017",10.28,10.85,10.06,10.25,"5,434","10,321,100"
"Jul 30, 2017",11.55,11.57,9.67,10.27,"7,421","11,593,600"
"Jul 29, 2017",10.43,13.35,9.61,11.55,"15,445","10,472,400"
"Jul 28, 2017",11.83,13.24,10.29,10.47,"20,364","11,874,100"
"Jul 27, 2017",10.86,11.83,10.82,11.79,"6,574","10,906,500"
"Jul 26, 2017",11.42,11.62,10.37,10.83,"7,807","11,463,600"
"Jul 25, 2017",12.37,12.76,10.42,11.41,"4,122","12,418,900"
"Jul 24, 2017",13.19,13.45,11.75,12.37,"4,440","13,243,900"
"Jul 23, 2017",13.27,13.89,11.95,13.21,"9,084","13,323,600"
"Jul 22, 2017",12.84,15.99,12.78,13.27,"15,223","12,891,900"
"Jul 21, 2017",13.52,14.29,12.64,12.84,"12,230","13,573,300"
"Jul 20, 2017",11.39,13.93,11.1,13.42,"19,544","11,438,200"
"Jul 19, 2017",13.22,13.22,11.1,11.43,"28,517","13,273,900"
"Jul 18, 2017",14.43,16.28,10.29,13.2,"159,136","14,482,300"
"Jul 17, 2017",8.55,20.39,7.15,14.39,"243,025","8,583,170"
"Jul 16, 2017",10.93,11.26,6.65,8.56,"4,787","10,970,400"
"Jul 15, 2017",12.49,13.2,10.47,10.53,"6,594","12,541,300"
"Jul 14, 2017",14.07,14.39,11.21,12.51,"14,587","14,122,600"
"Jul 13, 2017",15.86,15.95,13.95,14.08,"13,472","15,925,700"
"Jul 12, 2017",16.35,16.5,13.58,15.85,"28,770","16,415,500"
"Jul 11, 2017",16.05,17.7,15.46,16.43,"21,250","16,113,000"
"Jul 10, 2017",23.08,23.56,15.97,16.09,"40,719","23,169,800"
"Jul 09, 2017",23,30.55,20.31,23.04,"193,108","23,086,400"
"Jul 08, 2017",16.51,22.94,15.1,22.94,"22,742","16,573,700"
"Jul 07, 2017",23.39,23.43,16.35,16.5,"24,856","23,475,200"
"Jul 06, 2017",24.44,24.45,22.77,23.37,"33,217","24,530,500"
"Jul 05, 2017",23.26,27.66,22.44,24.15,"117,446","23,347,800"
"Jul 04, 2017",30.13,30.73,22.7,23.27,"265,833","30,243,700"
"Jul 03, 2017",15.5,60.18,14.87,30.2,"2,776,980","15,560,700"
"Jul 02, 2017",12.05,19.95,10.01,15.67,"1,154,070","12,092,500"
"Jul 01, 2017",12.83,16.71,12.02,12.05,"105,301","12,874,700"
"Jun 30, 2017",16.4,16.45,11.82,12.83,"180,251","16,463,900"
"Jun 29, 2017",11.81,16.69,11.48,16.37,"36,062","11,851,000"
"Jun 28, 2017",11.19,15.48,10.37,11.82,"21,034","11,227,500"
"Jun 27, 2017",11.23,11.37,9.62,11.11,"3,756","11,269,300"
"Jun 26, 2017",15.95,16.44,9.35,11.23,"25,723","16,012,100"
"Jun 25, 2017",12.62,20.31,10.11,16.21,"116,791","12,669,000"
"Jun 24, 2017",12.72,13.4,10.45,12.65,"11,372","12,771,300"
"Jun 23, 2017",10.71,13.08,9.85,12.73,"7,612","10,746,000"
"Jun 22, 2017",8.88,11.25,8.47,10.71,"17,743","8,915,340"
"Jun 21, 2017",9.56,11.31,7.57,8.88,"17,260","9,598,250"
"Jun 20, 2017",8.27,9.56,7.36,9.56,"10,920","8,298,530"
"Jun 19, 2017",8.23,8.69,8.23,8.69,"6,876","8,259,370"
"Jun 18, 2017",7.75,8.67,7.75,8.23,"7,335","7,781,670"
"Jun 17, 2017",7.51,8.32,7.36,7.75,"17,746","7,533,000"
"Jun 16, 2017",7.11,7.64,7.03,7.51,"6,246","7,139,330"
"Jun 15, 2017",7.91,8.15,5.79,7.12,"9,117","7,938,160"
"Jun 14, 2017",8.67,8.85,7.56,7.91,"7,934","8,696,820"
"Jun 13, 2017",7.87,8.92,7.86,8.67,"14,218","7,901,330"
"Jun 12, 2017",9.39,9.76,7.77,7.9,"18,232","9,421,720"
"Jun 11, 2017",8.39,10.13,8.32,9.4,"31,250","8,420,940"
"Jun 10, 2017",8.24,8.55,6.77,8.48,"30,368","8,271,630"
"Jun 09, 2017",8.27,8.36,8.12,8.23,"5,867","8,298,450"
"Jun 08, 2017",8.67,8.88,7.47,8.28,"33,543","8,703,150"
"Jun 07, 2017",8.34,9.29,7.98,8.63,"3,972","8,368,830"
"Jun 06, 2017",8.15,10.28,7.31,8.34,"31,219","8,179,010"
"Jun 05, 2017",7.84,8.29,7.44,8.13,"14,711","7,867,350"
"Jun 04, 2017",7.7,7.91,7.43,7.84,"8,614","7,731,600"
"Jun 03, 2017",7.8,8.44,7.49,7.73,"13,843","7,823,400"
"Jun 02, 2017",8.11,9.5,7.53,7.8,"38,066","8,139,520"
"Jun 01, 2017",4.77,11.82,4.26,7.57,"111,180","4,790,090"
"May 31, 2017",3.44,4.87,3.44,4.77,"5,133","3,453,700"
"May 30, 2017",4.49,4.7,3.4,3.43,"5,033","4,509,560"
"May 29, 2017",4.36,4.63,3.39,4.49,"12,986","4,370,330"
"May 28, 2017",4.15,4.67,3.2,4.36,"3,745","4,169,090"
"May 27, 2017",4.65,4.65,3.31,4.13,"8,464","4,665,390"
"May 26, 2017",6.24,6.88,4.62,4.63,"2,269","6,260,990"
"May 25, 2017",6.61,7.9,4.72,6.29,"34,470","6,635,540"
"May 24, 2017",6.56,7.44,6.2,6.63,"18,104","6,582,380"
"May 23, 2017",5.8,6.62,5.8,6.55,"3,791","5,816,260"
"May 22, 2017",6.33,6.75,5.65,5.81,"6,946","6,351,930"
"May 21, 2017",6.3,6.46,5.85,6.31,"14,516","6,325,030"
"May 20, 2017",5.91,6.31,5.74,6.31,"17,236","5,929,480"
"May 19, 2017",5.49,5.97,5.49,5.92,"5,134","5,511,780"
"May 18, 2017",5.56,6.42,5.23,5.49,"7,557","5,576,010"
"May 17, 2017",5.91,6.28,3.81,5.56,"15,227","5,927,880"
"May 16, 2017",5.08,6.19,4.76,5.91,"21,164","5,095,760"
"May 15, 2017",3.39,5.18,2.77,5.09,"19,568","3,403,360"
"May 14, 2017",1.95,3.75,1.94,3.39,"18,736","1,952,280"
"May 13, 2017",2.07,2.08,1.7,1.94,"2,479","2,080,550"
"May 12, 2017",2.36,2.59,1.83,2.08,"4,563","2,369,560"
"May 11, 2017",2.4,2.78,2.24,2.36,"3,768","2,408,280"
"May 10, 2017",1.83,2.67,1.82,2.4,"3,085","1,833,710"
