Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",2.03,2.24,1.96,2,"170,422","17,849,400"
"Sep 21, 2017",2.28,2.32,1.89,2.08,"219,523","20,004,800"
"Sep 20, 2017",2.14,2.4,1.89,2.29,"194,540","18,819,200"
"Sep 19, 2017",1.97,2.26,1.82,2.15,"156,392","17,272,700"
"Sep 18, 2017",1.6,1.97,1.6,1.96,"97,237","14,055,600"
"Sep 17, 2017",1.6,1.81,1.43,1.61,"42,931","13,993,200"
"Sep 16, 2017",1.47,1.78,1.45,1.6,"69,152","12,910,000"
"Sep 15, 2017",1.26,1.57,1.12,1.48,"71,592","11,034,800"
"Sep 14, 2017",1.62,1.64,1.25,1.25,"108,290","14,145,200"
"Sep 13, 2017",1.7,1.75,1.56,1.62,"18,804","14,879,100"
"Sep 12, 2017",1.78,1.9,1.65,1.72,"47,898","15,546,000"
"Sep 11, 2017",1.83,1.99,1.68,1.84,"64,969","15,980,700"
"Sep 10, 2017",1.98,2.01,1.78,1.83,"40,734","17,283,400"
"Sep 09, 2017",2.03,2.11,1.89,1.99,"29,090","17,733,700"
"Sep 08, 2017",2.09,2.19,1.78,2.03,"62,938","18,180,200"
"Sep 07, 2017",1.91,2.32,1.84,2.09,"97,874","16,618,200"
"Sep 06, 2017",1.91,2.11,1.86,1.91,"51,060","16,633,100"
"Sep 05, 2017",1.87,2,1.66,1.91,"84,501","16,232,200"
"Sep 04, 2017",2.44,2.47,1.67,1.86,"270,140","21,188,000"
"Sep 03, 2017",2.73,2.86,2.02,2.44,"357,497","23,686,600"
"Sep 02, 2017",2.91,2.99,2.56,2.73,"88,598","25,249,100"
"Sep 01, 2017",2.69,3,2.67,2.93,"116,126","23,322,300"
"Aug 31, 2017",2.81,2.98,2.64,2.69,"127,503","24,355,000"
"Aug 30, 2017",2.82,2.98,2.59,2.82,"120,038","24,403,200"
"Aug 29, 2017",2.73,2.86,2.5,2.82,"162,365","23,622,700"
"Aug 28, 2017",3.11,3.11,2.61,2.88,"220,868","26,859,300"
"Aug 27, 2017",2.83,3.35,2.59,3.15,"333,346","24,446,100"
"Aug 26, 2017",2.83,3.43,2.57,2.83,"878,752","24,443,300"
"Aug 25, 2017",2.12,2.8,1.88,2.8,"273,582","18,304,900"
"Aug 24, 2017",1.6,2.14,1.58,2.12,"89,959","13,833,500"
"Aug 23, 2017",1.41,1.88,1.34,1.6,"168,935","12,148,400"
"Aug 22, 2017",1.38,1.43,1.2,1.41,"35,090","11,921,100"
"Aug 21, 2017",1.38,1.49,1.28,1.38,"46,286","11,839,800"
"Aug 20, 2017",1.3,1.55,1.24,1.38,"67,541","11,146,300"
"Aug 19, 2017",1.28,1.45,1.2,1.34,"76,171","10,948,000"
"Aug 18, 2017",1.37,1.44,1.26,1.28,"37,213","11,761,600"
"Aug 17, 2017",1.43,1.48,1.31,1.38,"40,536","12,238,900"
"Aug 16, 2017",1.34,1.43,1.24,1.43,"38,544","11,442,400"
"Aug 15, 2017",1.45,1.49,1.24,1.33,"76,916","12,383,100"
