Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.996603,1.06,0.960552,1.01,"563,069","241,246,000"
"Sep 21, 2017",1.12,1.13,0.973992,1.01,"817,391","270,669,000"
"Sep 20, 2017",1.1,1.19,1.06,1.12,"1,344,570","265,953,000"
"Sep 19, 2017",1.22,1.23,1.09,1.09,"1,031,290","295,568,000"
"Sep 18, 2017",1.09,1.29,1.09,1.22,"1,096,350","262,985,000"
"Sep 17, 2017",1.12,1.18,1.02,1.09,"884,868","271,284,000"
"Sep 16, 2017",1.17,1.19,1.04,1.12,"769,713","283,257,000"
"Sep 15, 2017",0.990817,1.22,0.902496,1.14,"1,644,810","239,282,000"
"Sep 14, 2017",1.25,1.29,0.976507,0.994543,"1,193,010","301,092,000"
"Sep 13, 2017",1.22,1.32,1.08,1.23,"1,150,290","294,325,000"
"Sep 12, 2017",1.23,1.32,1.19,1.22,"889,780","297,264,000"
"Sep 11, 2017",1.32,1.36,1.21,1.23,"850,268","317,685,000"
"Sep 10, 2017",1.4,1.42,1.24,1.32,"1,089,070","336,600,000"
"Sep 09, 2017",1.37,1.45,1.3,1.4,"761,038","329,790,000"
"Sep 08, 2017",1.56,1.61,1.25,1.37,"1,853,200","375,501,000"
"Sep 07, 2017",1.55,1.7,1.51,1.56,"2,782,790","373,000,000"
"Sep 06, 2017",1.33,1.65,1.33,1.56,"2,665,210","320,970,000"
"Sep 05, 2017",1.19,1.4,1.06,1.34,"1,378,700","285,611,000"
"Sep 04, 2017",1.39,1.4,1.1,1.17,"1,699,020","333,310,000"
"Sep 03, 2017",1.36,1.44,1.28,1.39,"873,348","327,271,000"
"Sep 02, 2017",1.59,1.61,1.26,1.34,"2,011,900","382,583,000"
"Sep 01, 2017",1.56,1.62,1.52,1.59,"1,909,350","374,774,000"
"Aug 31, 2017",1.44,1.56,1.42,1.56,"2,062,230","344,767,000"
"Aug 30, 2017",1.42,1.46,1.38,1.45,"1,613,240","341,438,000"
"Aug 29, 2017",1.46,1.54,1.4,1.43,"2,376,240","348,987,000"
"Aug 28, 2017",1.43,1.48,1.35,1.46,"2,053,110","341,854,000"
"Aug 27, 2017",1.52,1.57,1.4,1.43,"2,735,080","365,171,000"
"Aug 26, 2017",1.38,1.6,1.29,1.53,"4,297,380","331,668,000"
"Aug 25, 2017",1.28,1.37,1.26,1.37,"1,456,350","306,485,000"
"Aug 24, 2017",1.23,1.33,1.2,1.28,"1,958,180","295,147,000"
"Aug 23, 2017",1.21,1.31,1.19,1.24,"2,415,700","289,363,000"
"Aug 22, 2017",1.19,1.31,1.12,1.19,"2,112,460","285,896,000"
"Aug 21, 2017",1.41,1.49,1.16,1.2,"3,309,300","339,535,000"
"Aug 20, 2017",1.06,1.57,1.02,1.44,"3,358,270","254,472,000"
"Aug 19, 2017",1.05,1.09,0.929075,1.07,"1,497,640","252,876,000"
"Aug 18, 2017",1.12,1.15,1.04,1.07,"1,036,360","269,091,000"
"Aug 17, 2017",1.18,1.18,1.08,1.14,"1,039,930","281,663,000"
"Aug 16, 2017",1.13,1.21,1.1,1.18,"1,002,990","270,430,000"
"Aug 15, 2017",1.21,1.21,1.08,1.14,"1,538,190","290,681,000"
"Aug 14, 2017",1.24,1.26,1.1,1.2,"1,481,380","297,811,000"
"Aug 13, 2017",1.36,1.4,1.17,1.24,"1,530,080","324,184,000"
"Aug 12, 2017",1.15,1.54,1.14,1.36,"3,035,180","273,860,000"
"Aug 11, 2017",1.21,1.24,1.14,1.14,"1,925,900","289,748,000"
"Aug 10, 2017",1.31,1.32,1.21,1.22,"1,548,230","312,575,000"
"Aug 09, 2017",1.36,1.39,1.28,1.31,"1,458,030","324,049,000"
"Aug 08, 2017",1.31,1.45,1.29,1.36,"1,641,340","312,048,000"
"Aug 07, 2017",1.36,1.37,1.29,1.31,"1,524,890","325,531,000"
"Aug 06, 2017",1.35,1.39,1.31,1.38,"1,565,210","322,502,000"
"Aug 05, 2017",1.28,1.42,1.28,1.34,"1,501,680","306,253,000"
"Aug 04, 2017",1.27,1.33,1.25,1.28,"1,243,190","302,687,000"
"Aug 03, 2017",1.24,1.29,1.22,1.27,"1,035,280","295,499,000"
"Aug 02, 2017",1.26,1.33,1.2,1.24,"1,285,530","299,490,000"
"Aug 01, 2017",1.2,1.27,1.08,1.26,"1,371,770","286,856,000"
"Jul 31, 2017",1.2,1.23,1.18,1.2,"644,073","285,869,000"
"Jul 30, 2017",1.3,1.31,1.18,1.2,"787,045","310,048,000"
"Jul 29, 2017",1.23,1.3,1.1,1.3,"1,152,150","293,914,000"
"Jul 28, 2017",1.35,1.37,1.2,1.24,"1,399,770","321,683,000"
"Jul 27, 2017",1.22,1.37,1.22,1.35,"1,625,210","291,038,000"
"Jul 26, 2017",1.3,1.34,1.14,1.22,"1,232,370","308,423,000"
"Jul 25, 2017",1.54,1.55,1.18,1.29,"2,756,710","364,990,000"
"Jul 24, 2017",1.6,1.65,1.51,1.52,"1,349,760","381,085,000"
"Jul 23, 2017",1.77,1.81,1.45,1.61,"2,627,290","419,382,000"
"Jul 22, 2017",1.41,1.81,1.4,1.78,"2,813,130","336,136,000"
