Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.010698,0.01115,0.01036,0.010776,"1,825,510","177,458,000"
"Sep 21, 2017",0.012104,0.012163,0.010523,0.0106,"2,524,650","200,775,000"
"Sep 20, 2017",0.011781,0.012598,0.011244,0.012236,"2,522,500","195,421,000"
"Sep 19, 2017",0.013452,0.013505,0.011414,0.011794,"3,583,140","223,138,000"
"Sep 18, 2017",0.011173,0.013639,0.011173,0.013455,"4,635,400","185,334,000"
"Sep 17, 2017",0.01171,0.01171,0.01018,0.01121,"2,253,630","194,242,000"
"Sep 16, 2017",0.012047,0.012474,0.010492,0.011699,"3,639,010","199,831,000"
"Sep 15, 2017",0.011129,0.012571,0.006892,0.012096,"11,877,600","184,601,000"
"Sep 14, 2017",0.015355,0.01555,0.011038,0.011038,"4,609,450","254,686,000"
"Sep 13, 2017",0.016198,0.016301,0.014656,0.015328,"2,671,500","268,670,000"
"Sep 12, 2017",0.017014,0.017677,0.016036,0.016324,"3,189,200","282,216,000"
"Sep 11, 2017",0.016276,0.017649,0.015954,0.016993,"3,903,590","269,966,000"
"Sep 10, 2017",0.017109,0.017193,0.015628,0.016269,"3,452,690","283,785,000"
"Sep 09, 2017",0.017521,0.017739,0.01658,0.017095,"2,461,230","290,623,000"
"Sep 08, 2017",0.020058,0.020347,0.016905,0.017447,"5,110,680","332,706,000"
"Sep 07, 2017",0.020353,0.020655,0.019433,0.020096,"3,784,650","337,593,000"
"Sep 06, 2017",0.01858,0.020887,0.01858,0.020346,"4,741,770","308,182,000"
"Sep 05, 2017",0.017857,0.019062,0.01598,0.018567,"5,204,660","296,191,000"
"Sep 04, 2017",0.02131,0.021339,0.01669,0.017625,"6,341,980","353,461,000"
"Sep 03, 2017",0.020813,0.021904,0.020297,0.021296,"2,524,130","345,215,000"
"Sep 02, 2017",0.024058,0.024326,0.020413,0.020837,"6,551,880","399,054,000"
"Sep 01, 2017",0.022338,0.024472,0.021455,0.023954,"8,806,440","370,517,000"
"Aug 31, 2017",0.021194,0.022502,0.020776,0.022405,"5,039,660","245,572,000"
"Aug 30, 2017",0.020057,0.02124,0.019883,0.021224,"5,836,630","232,392,000"
"Aug 29, 2017",0.020497,0.020823,0.019424,0.020104,"5,990,490","237,355,000"
"Aug 28, 2017",0.019862,0.021014,0.019239,0.020525,"6,305,440","229,305,000"
"Aug 27, 2017",0.02112,0.021445,0.019569,0.019785,"4,308,080","243,160,000"
"Aug 26, 2017",0.020325,0.021226,0.019013,0.021208,"6,739,770","232,706,000"
