Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.43,1.52,1.26,1.43,"619,395","54,193,500"
"Sep 21, 2017",1.58,1.62,1.38,1.43,"329,264","60,011,900"
"Sep 20, 2017",1.58,1.72,1.54,1.59,"317,748","59,824,700"
"Sep 19, 2017",1.74,1.75,1.56,1.58,"279,265","66,009,900"
"Sep 18, 2017",1.61,1.77,1.57,1.73,"577,574","60,974,700"
"Sep 17, 2017",1.58,1.74,1.52,1.61,"788,975","59,912,800"
"Sep 16, 2017",1.6,1.65,1.46,1.58,"532,766","60,642,100"
"Sep 15, 2017",1.33,1.62,1.12,1.6,"571,774","50,576,100"
"Sep 14, 2017",1.7,1.74,1.32,1.32,"953,136","64,422,700"
"Sep 13, 2017",1.78,1.78,1.51,1.7,"687,963","67,427,300"
"Sep 12, 2017",1.91,2,1.68,1.78,"1,032,060","72,358,800"
"Sep 11, 2017",2.04,2.08,1.88,1.89,"827,977","77,295,900"
"Sep 10, 2017",2.2,2.26,1.98,2.04,"551,253","83,268,700"
"Sep 09, 2017",2.15,2.35,2.01,2.2,"644,792","81,515,000"
"Sep 08, 2017",2.39,2.55,1.98,2.14,"1,135,440","90,425,000"
"Sep 07, 2017",2.48,2.66,2.27,2.38,"1,316,140","93,963,100"
"Sep 06, 2017",2.1,2.83,2.09,2.49,"2,446,260","79,611,600"
"Sep 05, 2017",2.15,2.22,1.77,2.1,"1,486,780","81,356,600"
"Sep 04, 2017",2.39,2.5,1.82,2.14,"1,490,760","90,355,500"
"Sep 03, 2017",2.49,2.52,2.24,2.39,"990,877","94,306,300"
"Sep 02, 2017",2.57,2.81,2.27,2.52,"1,940,200","97,064,500"
"Sep 01, 2017",2.87,2.93,2.54,2.64,"1,855,540","108,401,000"
"Aug 31, 2017",2.91,3.1,2.65,2.87,"3,353,040","110,106,000"
"Aug 30, 2017",2.74,3.41,2.65,2.92,"8,023,660","103,753,000"
"Aug 29, 2017",2.28,2.78,2.28,2.75,"3,559,830","86,242,100"
"Aug 28, 2017",2.27,2.4,2.02,2.28,"1,968,780","85,663,200"
"Aug 27, 2017",1.89,2.28,1.86,2.27,"1,180,240","71,357,900"
"Aug 26, 2017",1.85,2.06,1.79,1.88,"1,179,160","69,879,900"
"Aug 25, 2017",1.79,1.96,1.75,1.85,"984,584","67,756,800"
"Aug 24, 2017",1.64,1.84,1.55,1.8,"1,458,830","62,035,000"
"Aug 23, 2017",1.63,1.77,1.52,1.64,"2,281,570","61,557,500"
"Aug 22, 2017",1.75,1.75,1.47,1.64,"1,694,880","66,103,100"
"Aug 21, 2017",1.84,2.01,1.68,1.71,"883,990","69,485,200"
"Aug 20, 2017",1.8,1.92,1.77,1.83,"1,008,040","67,912,100"
"Aug 19, 2017",2.02,2.09,1.64,1.81,"1,402,750","76,147,200"
"Aug 18, 2017",1.87,2.33,1.71,1.99,"4,610,230","70,540,300"
"Aug 17, 2017",1.81,2.51,1.77,1.89,"9,470,700","68,249,200"
"Aug 16, 2017",1.29,2.09,1.2,1.84,"4,549,090","48,562,800"
"Aug 15, 2017",1.36,1.6,1.21,1.29,"810,783","51,390,400"
"Aug 14, 2017",1.36,1.52,1.07,1.38,"907,165","51,113,700"
"Aug 13, 2017",1.47,1.5,1.3,1.36,"515,356","55,496,200"
"Aug 12, 2017",1.37,1.61,1.31,1.5,"744,212","51,463,600"
"Aug 11, 2017",1.32,1.49,1.3,1.39,"652,519","49,783,900"
"Aug 10, 2017",1.37,1.46,1.3,1.3,"442,486","51,628,300"
"Aug 09, 2017",1.47,1.52,1.34,1.37,"184,155","55,352,100"
"Aug 08, 2017",1.32,1.52,1.3,1.45,"498,575","49,686,400"
"Aug 07, 2017",1.36,1.4,1.27,1.3,"300,854","51,017,900"
"Aug 06, 2017",1.42,1.48,1.34,1.36,"253,382","53,569,700"
"Aug 05, 2017",1.38,1.58,1.36,1.42,"590,621","51,766,400"
"Aug 04, 2017",1.4,1.44,1.31,1.37,"341,855","52,492,300"
"Aug 03, 2017",1.2,1.4,1.18,1.4,"372,509","45,106,300"
"Aug 02, 2017",1.27,1.27,1.14,1.19,"310,075","47,653,200"
"Aug 01, 2017",1.11,1.29,0.977206,1.27,"603,538","41,549,500"
"Jul 31, 2017",1.06,1.15,0.985204,1.11,"401,416","39,858,500"
"Jul 30, 2017",1.05,1.15,0.987849,1.06,"199,443","39,575,200"
"Jul 29, 2017",1.05,1.11,0.986388,1.11,"118,129","39,571,500"
"Jul 28, 2017",1.13,1.15,0.974112,1.06,"203,885","42,401,500"
"Jul 27, 2017",1.13,1.19,1.11,1.13,"168,083","42,230,000"
"Jul 26, 2017",1.11,1.22,1.05,1.14,"184,758","41,693,800"
"Jul 25, 2017",1.4,1.4,1.06,1.11,"344,730","52,418,300"
