Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",93.94,97.08,89.98,91.85,"27,063","18,582,600"
"Sep 21, 2017",95.28,98.14,91.3,94.04,"42,898","18,848,800"
"Sep 20, 2017",98.14,99.48,93.4,95.5,"30,863","19,414,000"
"Sep 19, 2017",104.66,105.19,96.69,98.19,"28,061","20,704,100"
"Sep 18, 2017",95.61,109.41,95.61,104.43,"35,637","18,912,500"
"Sep 17, 2017",93.38,106.88,81.98,96.56,"128,064","18,471,800"
"Sep 16, 2017",73.13,104.03,70.96,93.43,"217,726","14,466,800"
"Sep 15, 2017",68.74,76.62,56.29,73.3,"62,211","13,597,200"
"Sep 14, 2017",83.47,92.72,68.38,68.38,"91,351","16,511,100"
"Sep 13, 2017",85.88,90.99,81.53,83.46,"109,909","16,987,500"
"Sep 12, 2017",87.39,91.11,83.79,87.1,"18,722","17,287,300"
"Sep 11, 2017",85.51,89.47,83.43,87.5,"11,472","16,914,300"
"Sep 10, 2017",95.27,95.95,83.92,85.96,"53,182","18,846,200"
"Sep 09, 2017",86.53,97.33,82.87,95.52,"164,266","17,116,800"
"Sep 08, 2017",90.77,93.57,82.33,86.37,"17,286","17,954,500"
"Sep 07, 2017",92.69,92.94,87.97,90.75,"19,720","18,334,800"
"Sep 06, 2017",87.24,94.47,87.24,92.86,"22,777","17,257,300"
"Sep 05, 2017",89.68,90.45,79.85,87.15,"17,669","17,740,300"
"Sep 04, 2017",92.87,94.11,80.84,89.27,"64,225","18,370,900"
"Sep 03, 2017",95.22,98.26,89.99,92.88,"16,107","18,834,600"
"Sep 02, 2017",96.53,102.61,91.83,95.2,"33,161","19,093,900"
"Sep 01, 2017",94.36,99.91,91.81,96.41,"81,802","18,665,500"
"Aug 31, 2017",86.99,99.49,85.09,94.88,"128,823","17,208,200"
"Aug 30, 2017",78.95,94.92,72.58,88.33,"157,464","15,616,200"
"Aug 29, 2017",73.83,84.48,72.49,79.05,"83,256","14,603,500"
"Aug 28, 2017",74.2,74.91,71.66,73.71,"10,442","14,677,400"
"Aug 27, 2017",71.05,76,70.35,74.48,"13,971","14,054,000"
"Aug 26, 2017",69.51,74.18,66.27,71.07,"32,984","13,748,700"
"Aug 25, 2017",68.78,73.51,68.47,69.49,"16,676","13,605,400"
"Aug 24, 2017",70.68,72.31,67.08,68.89,"13,849","13,980,300"
