Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.3,1.3,0.937755,1.09,"4,843,270","51,621,300"
"Sep 21, 2017",0.949276,1.47,0.949276,1.3,"20,381,400","37,615,900"
"Sep 20, 2017",0.824111,0.959077,0.806837,0.955091,"1,236,390","32,633,900"
"Sep 19, 2017",0.810271,0.922412,0.784926,0.81124,"1,909,710","32,061,300"
"Sep 18, 2017",0.688659,0.811638,0.678429,0.810876,"854,329","27,229,100"
"Sep 17, 2017",0.633736,0.792006,0.587567,0.688848,"1,481,610","25,038,600"
"Sep 16, 2017",0.687695,0.687695,0.588681,0.629889,"876,655","27,150,000"
"Sep 15, 2017",0.482116,0.707298,0.45676,0.707298,"1,060,880","19,019,400"
"Sep 14, 2017",0.701684,0.712925,0.467558,0.479536,"922,744","27,663,200"
"Sep 13, 2017",0.78421,0.78421,0.646563,0.704781,"1,015,460","30,894,600"
"Sep 12, 2017",0.813576,0.922144,0.765543,0.790181,"1,418,450","32,029,600"
"Sep 11, 2017",0.837214,0.851464,0.74888,0.798137,"958,209","32,935,800"
"Sep 10, 2017",0.859588,0.878154,0.769025,0.839306,"605,134","33,791,600"
"Sep 09, 2017",0.83061,0.924105,0.78519,0.864793,"936,709","32,627,700"
"Sep 08, 2017",0.954019,1,0.774007,0.81537,"1,367,100","37,446,900"
"Sep 07, 2017",0.996401,1,0.920185,0.955678,"1,499,320","39,083,400"
"Sep 06, 2017",0.876317,0.995956,0.853645,0.991602,"2,096,340","34,346,800"
"Sep 05, 2017",0.739811,0.92758,0.625802,0.866313,"1,883,920","28,972,700"
"Sep 04, 2017",0.876828,0.879365,0.640453,0.734686,"1,317,010","34,316,500"
"Sep 03, 2017",0.868996,0.888122,0.816412,0.876343,"953,190","33,984,100"
"Sep 02, 2017",0.992606,1,0.830503,0.865105,"1,434,840","38,788,000"
"Sep 01, 2017",0.980571,1.01,0.88288,0.987379,"2,807,710","38,290,800"
"Aug 31, 2017",0.804951,1.01,0.804951,0.97432,"4,160,890","31,408,800"
"Aug 30, 2017",0.719415,0.86975,0.710806,0.801626,"2,659,050","28,049,700"
"Aug 29, 2017",0.810853,0.833236,0.721919,0.724871,"1,997,400","31,593,400"
"Aug 28, 2017",0.85346,0.870169,0.786014,0.810263,"2,764,890","33,228,400"
"Aug 27, 2017",0.926535,0.961715,0.843411,0.853437,"2,935,040","36,048,000"
"Aug 26, 2017",0.951879,1.08,0.869046,0.92198,"5,871,970","37,009,400"
"Aug 25, 2017",1.12,1.12,0.862078,0.942438,"11,181,200","43,443,700"
"Aug 24, 2017",0.654529,1.17,0.653813,1.11,"20,722,600","25,408,400"
"Aug 23, 2017",0.506441,0.697858,0.501662,0.656939,"3,485,450","19,643,600"
"Aug 22, 2017",0.52472,0.595235,0.484479,0.510094,"1,555,770","20,338,300"
"Aug 21, 2017",0.501841,0.569802,0.497265,0.523164,"1,666,800","19,437,200"
"Aug 20, 2017",0.473231,0.548681,0.4607,0.503577,"1,700,280","18,315,200"
"Aug 19, 2017",0.476764,0.573766,0.464412,0.474116,"2,318,060","18,437,500"
"Aug 18, 2017",0.428249,0.54479,0.414923,0.476882,"2,111,910","16,548,800"
"Aug 17, 2017",0.438372,0.445244,0.40881,0.429101,"794,779","16,927,500"
"Aug 16, 2017",0.436286,0.451604,0.416088,0.435869,"792,106","16,834,300"
"Aug 15, 2017",0.387523,0.458519,0.381589,0.453169,"1,287,640","14,941,200"
"Aug 14, 2017",0.443076,0.453192,0.386848,0.393399,"909,134","17,071,500"
"Aug 13, 2017",0.506256,0.506256,0.440236,0.443242,"1,062,400","19,491,300"
"Aug 12, 2017",0.516336,0.522452,0.479287,0.510936,"1,339,160","19,865,200"
"Aug 11, 2017",0.525278,0.541504,0.497757,0.517614,"1,381,440","20,193,100"
"Aug 10, 2017",0.523575,0.584739,0.511258,0.523189,"1,439,230","20,112,200"
"Aug 09, 2017",0.543642,0.562449,0.523857,0.524493,"567,916","20,868,300"
"Aug 08, 2017",0.536174,0.569836,0.515745,0.543291,"1,037,030","20,566,800"
"Aug 07, 2017",0.53313,0.571066,0.508627,0.538136,"1,288,610","20,434,800"
"Aug 06, 2017",0.548248,0.576909,0.524886,0.530973,"968,170","20,999,100"
"Aug 05, 2017",0.522588,0.558969,0.511759,0.546819,"960,863","20,001,800"
"Aug 04, 2017",0.512709,0.543261,0.507584,0.521429,"745,820","19,607,800"
"Aug 03, 2017",0.512742,0.543571,0.495479,0.517546,"781,880","19,594,500"
"Aug 02, 2017",0.484498,0.531325,0.477671,0.512141,"1,034,590","18,500,900"
"Aug 01, 2017",0.448398,0.512178,0.443731,0.485034,"1,184,690","17,110,300"
"Jul 31, 2017",0.455333,0.475879,0.442728,0.448184,"573,293","17,361,400"
"Jul 30, 2017",0.459091,0.493043,0.454948,0.454948,"559,830","17,491,100"
"Jul 29, 2017",0.470844,0.470844,0.437216,0.459615,"433,441","17,925,800"
"Jul 28, 2017",0.517383,0.526664,0.461934,0.471614,"896,714","19,677,600"
"Jul 27, 2017",0.491388,0.530652,0.462623,0.519631,"963,425","18,222,600"
