#,Name,Market Cap,Price,Circulating Supply,Volume (24h),% Change (24h)
1,Bitcoin,"$60,219,183,594","$3,631.72","16,581,450 BTC","$1,226,800,000",-0.84%
2,Ethereum,"$25,061,275,598",$264.44,"94,772,198 ETH","$462,576,000",1.32%
3,Bitcoin Cash,"$6,815,417,939",$410.47,"16,603,775 BCH","$260,857,000",-3.22%
4,Ripple,"$6,646,329,833",$0.17,"38,343,841,883 XRP *","$41,945,000",-0.42%
5,Dash,"$2,607,960,913",$344.36,"7,573,378 DASH","$97,142,300",3.62%
6,Litecoin,"$2,562,271,606",$48.30,"53,051,957 LTC","$212,827,000",2.74%
7,NEM,"$1,880,775,000",$0.21,"8,999,999,999 XEM *","$2,941,490",-1.53%
8,IOTA,"$1,400,024,388",$0.50,"2,779,530,283 MIOTA *","$9,257,370",1.35%
9,Monero,"$1,318,572,158",$87.29,"15,104,906 XMR","$28,416,400",0.51%
10,Ethereum Classic,"$980,752,344",$10.24,"95,768,179 ETC","$33,193,100",-0.23%
11,NEO,"$953,330,000",$19.07,"50,000,000 NEO *","$22,268,200",10.14%
12,BitConnect,"$742,161,368",$109.80,"6,759,457 BCC","$6,876,050",0.24%
13,Lisk,"$660,697,505",$5.87,"112,588,315 LSK *","$11,626,600",8.26%
14,Zcash,"$449,832,166",$200.73,"2,240,981 ZEC","$42,222,900",12.84%
15,Stratis,"$389,138,472",$3.95,"98,553,494 STRAT *","$4,242,060",-2.74%
16,Waves,"$377,436,000",$3.77,"100,000,000 WAVES *","$2,874,770",2.65%
17,Ark,"$273,223,160",$2.80,"97,727,338 ARK *","$3,300,420",-0.87%
18,Steem,"$244,833,707",$1.01,"242,251,308 STEEM","$585,571",1.43%
19,Bytecoin,"$206,169,389",$0.00,"183,253,534,612 BCN","$990,913",-1.21%
20,Decred,"$187,452,105",$32.28,"5,806,815 DCR","$1,564,150",-0.86%
21,BitShares,"$181,015,326",$0.07,"2,599,260,000 BTS *","$13,569,800",-2.50%
22,Stellar Lumens,"$178,986,094",$0.01,"16,587,223,471 XLM *","$1,879,370",-0.69%
23,Hshare,"$166,544,448",$4.96,"33,600,000 HSR *","$6,192,230",-2.61%
24,Komodo,"$164,652,221",$1.63,"100,945,510 KMD","$721,260",0.99%
25,PIVX,"$155,221,542",$2.86,"54,342,049 PIVX *","$486,072",1.46%
26,Factom,"$137,200,156",$15.69,"8,745,102 FCT *","$1,497,780",3.69%
27,Byteball Bytes,"$123,838,607",$212.09,"583,896 GBYTE *","$148,709",-1.15%
28,Nexus,"$114,368,857",$2.17,"52,592,813 NXS","$1,602,630",-18.95%
29,Siacoin,"$114,053,002",$0.00,"29,555,679,372 SC","$2,142,570",-2.91%
30,DigiByte,"$109,587,646",$0.01,"8,742,253,657 DGB","$1,957,170",-1.15%
