Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.23,1.25,1.14,1.24,"513,898","12,916,700"
"Sep 21, 2017",1.28,1.35,1.18,1.23,"1,700,200","13,448,400"
"Sep 20, 2017",1.33,1.37,1.31,1.36,"562,916","14,012,800"
"Sep 19, 2017",1.48,1.49,1.32,1.33,"550,170","15,544,900"
"Sep 18, 2017",1.36,1.5,1.35,1.47,"496,456","14,305,900"
"Sep 17, 2017",1.36,1.45,1.27,1.35,"1,403,190","14,311,100"
"Sep 16, 2017",1.41,1.48,1.3,1.37,"865,442","14,832,800"
"Sep 15, 2017",1.26,1.47,1,1.41,"1,301,050","13,212,200"
"Sep 14, 2017",1.56,1.58,0.69382,1.25,"1,803,590","16,448,500"
"Sep 13, 2017",1.67,1.67,1.52,1.56,"618,839","17,552,000"
"Sep 12, 2017",1.74,1.77,1.47,1.67,"1,674,300","18,332,500"
"Sep 11, 2017",1.74,1.83,1.7,1.74,"906,997","18,311,100"
"Sep 10, 2017",1.88,1.9,1.27,1.73,"2,188,790","19,760,300"
"Sep 09, 2017",1.6,1.92,1.58,1.87,"2,420,110","16,833,200"
"Sep 08, 2017",1.34,1.75,1.31,1.59,"2,057,340","14,086,200"
"Sep 07, 2017",1.29,1.35,1.25,1.32,"944,394","13,579,700"
"Sep 06, 2017",0.867179,1.34,0.867179,1.25,"1,850,380","9,127,890"
"Sep 05, 2017",0.807589,0.926436,0.711979,0.875642,"1,118,230","8,500,640"
"Sep 04, 2017",0.556046,0.829849,0.549635,0.799202,"928,869","5,852,920"
"Sep 03, 2017",0.530964,0.586702,0.510492,0.555856,"246,609","5,588,910"
"Sep 02, 2017",0.479215,0.599792,0.397314,0.530638,"578,231","5,044,200"
"Sep 01, 2017",0.464208,0.481723,0.455396,0.478566,"236,840","4,886,240"
"Aug 31, 2017",0.450967,0.468812,0.448274,0.46329,"152,060","4,746,860"
"Aug 30, 2017",0.451861,0.455218,0.434508,0.451795,"359,136","4,756,270"
"Aug 29, 2017",0.420351,0.464249,0.415267,0.451836,"377,897","4,424,600"
"Aug 28, 2017",0.449105,0.464852,0.408935,0.41965,"217,958","4,727,260"
"Aug 27, 2017",0.509526,0.513771,0.40717,0.44829,"889,408","5,363,250"
"Aug 26, 2017",0.510704,0.528064,0.482223,0.509658,"1,530,270","5,375,650"
"Aug 25, 2017",0.519697,0.611815,0.48159,0.509724,"648,911","5,470,310"
"Aug 24, 2017",0.331082,0.70043,0.29369,0.528161,"1,018,460","3,484,950"
