Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.019372,0.020518,0.018724,0.019281,"89,945","19,521,900"
"Sep 21, 2017",0.022112,0.023275,0.01929,0.019394,"88,580","22,283,000"
"Sep 20, 2017",0.020232,0.023216,0.019568,0.022416,"89,121","20,388,500"
"Sep 19, 2017",0.022238,0.022529,0.02003,0.020259,"76,280","22,410,000"
"Sep 18, 2017",0.019394,0.0225,0.019112,0.022184,"88,749","19,544,100"
"Sep 17, 2017",0.020424,0.021205,0.018006,0.019433,"207,023","20,581,500"
"Sep 16, 2017",0.018685,0.021781,0.01774,0.020949,"168,695","18,829,800"
"Sep 15, 2017",0.015542,0.019379,0.014163,0.018954,"108,864","15,662,300"
"Sep 14, 2017",0.019049,0.019501,0.015422,0.015422,"77,420","19,196,500"
"Sep 13, 2017",0.02011,0.020181,0.018525,0.01905,"47,019","20,265,000"
"Sep 12, 2017",0.021373,0.022203,0.01978,0.020365,"66,288","21,538,200"
"Sep 11, 2017",0.020681,0.022381,0.020273,0.021353,"72,976","20,840,700"
"Sep 10, 2017",0.022776,0.022812,0.019639,0.020718,"83,121","22,951,900"
"Sep 09, 2017",0.022076,0.024108,0.021701,0.022972,"65,879","22,246,700"
"Sep 08, 2017",0.027274,0.028929,0.02092,0.022333,"202,752","27,484,200"
"Sep 07, 2017",0.024791,0.026104,0.022523,0.025943,"134,034","24,982,200"
"Sep 06, 2017",0.02232,0.025105,0.021692,0.024249,"93,301","22,492,000"
"Sep 05, 2017",0.021055,0.022118,0.018517,0.022118,"80,189","21,217,500"
"Sep 04, 2017",0.021941,0.022492,0.018064,0.020947,"133,245","22,110,300"
"Sep 03, 2017",0.022844,0.023887,0.020844,0.021934,"71,902","23,020,300"
"Sep 02, 2017",0.024617,0.025144,0.022219,0.023053,"91,780","24,806,900"
"Sep 01, 2017",0.02527,0.026554,0.023345,0.024881,"245,323","25,464,400"
"Aug 31, 2017",0.022498,0.028523,0.022015,0.025125,"352,114","22,671,200"
"Aug 30, 2017",0.022617,0.023435,0.020281,0.022537,"105,085","22,791,100"
"Aug 29, 2017",0.022134,0.023643,0.02063,0.022556,"162,056","22,304,400"
"Aug 28, 2017",0.024322,0.024912,0.021711,0.022097,"245,899","24,509,500"
"Aug 27, 2017",0.025936,0.027555,0.024255,0.02433,"163,516","26,135,000"
"Aug 26, 2017",0.026908,0.02924,0.024395,0.025898,"328,764","27,114,400"
"Aug 25, 2017",0.022803,0.034672,0.02244,0.026943,"1,237,120","22,977,800"
"Aug 24, 2017",0.021092,0.024177,0.020651,0.022881,"91,182","21,254,100"
"Aug 23, 2017",0.023227,0.023679,0.020362,0.021082,"82,752","23,405,300"
"Aug 22, 2017",0.024246,0.024784,0.020974,0.023073,"68,228","24,432,500"
"Aug 21, 2017",0.025561,0.029388,0.022062,0.024748,"225,631","25,757,400"
"Aug 20, 2017",0.022148,0.027209,0.021037,0.024442,"362,603","22,317,500"
"Aug 19, 2017",0.018213,0.029573,0.015944,0.022958,"801,713","18,353,000"
"Aug 18, 2017",0.016831,0.021195,0.01455,0.018229,"154,735","16,960,200"
"Aug 17, 2017",0.018389,0.018559,0.015936,0.016883,"63,128","18,529,700"
"Aug 16, 2017",0.019329,0.019997,0.016865,0.018406,"149,141","19,477,500"
"Aug 15, 2017",0.020411,0.021486,0.017236,0.019308,"78,001","20,567,300"
"Aug 14, 2017",0.02194,0.023458,0.018399,0.020356,"73,763","22,108,300"
"Aug 13, 2017",0.023439,0.02457,0.020678,0.021926,"73,891","23,619,000"
"Aug 12, 2017",0.023738,0.025267,0.022147,0.023461,"63,626","23,920,100"
"Aug 11, 2017",0.023097,0.025667,0.021902,0.023793,"138,319","23,273,800"
"Aug 10, 2017",0.024441,0.025061,0.022644,0.023098,"128,301","24,628,000"
"Aug 09, 2017",0.023555,0.025765,0.022544,0.024538,"101,352","23,735,600"
"Aug 08, 2017",0.024548,0.025071,0.023047,0.023571,"95,787","24,736,200"
"Aug 07, 2017",0.024304,0.025116,0.023081,0.024551,"91,859","24,490,200"
"Aug 06, 2017",0.02318,0.026867,0.02318,0.024359,"82,601","23,357,700"
"Aug 05, 2017",0.022994,0.025081,0.022821,0.023175,"157,411","23,170,000"
"Aug 04, 2017",0.023965,0.024906,0.022938,0.023035,"70,521","24,148,200"
"Aug 03, 2017",0.022773,0.024881,0.022073,0.023881,"59,996","22,947,500"
"Aug 02, 2017",0.023135,0.024937,0.021908,0.02305,"75,739","23,311,900"
"Aug 01, 2017",0.021194,0.024929,0.020428,0.023591,"63,168","21,356,100"
"Jul 31, 2017",0.020927,0.024026,0.020358,0.021206,"51,065","21,086,500"
"Jul 30, 2017",0.02068,0.021721,0.019265,0.020931,"39,976","20,838,000"
"Jul 29, 2017",0.021699,0.021804,0.019257,0.020683,"23,749","21,864,300"
"Jul 28, 2017",0.023125,0.024648,0.020695,0.021781,"38,969","23,301,100"
"Jul 27, 2017",0.023782,0.024647,0.01968,0.023028,"75,829","23,963,700"
