Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.160394,0.172948,0.155577,0.160557,"294,199","12,251,700"
"Sep 21, 2017",0.189745,0.203951,0.155889,0.160281,"851,924","14,493,300"
"Sep 20, 2017",0.218711,0.225533,0.189116,0.190656,"6,034,610","16,705,300"
"Sep 19, 2017",0.286152,0.293358,0.206473,0.219705,"15,258,400","21,856,000"
"Sep 18, 2017",0.120674,0.280603,0.120674,0.272858,"22,070,500","9,216,730"
"Sep 17, 2017",0.117815,0.12588,0.106516,0.122193,"460,904","8,998,120"
"Sep 16, 2017",0.12121,0.131352,0.100579,0.118036,"599,828","9,257,220"
"Sep 15, 2017",0.109912,0.124102,0.084741,0.121101,"913,694","8,394,110"
"Sep 14, 2017",0.169517,0.169517,0.108672,0.108672,"995,896","12,945,900"
"Sep 13, 2017",0.167202,0.171511,0.15698,0.169952,"393,330","12,768,800"
"Sep 12, 2017",0.167743,0.181172,0.165647,0.167521,"1,468,700","12,809,800"
"Sep 11, 2017",0.183668,0.195999,0.166147,0.169348,"1,382,180","14,025,600"
"Sep 10, 2017",0.193731,0.197485,0.171953,0.18361,"914,812","14,793,600"
"Sep 09, 2017",0.189812,0.204385,0.181932,0.194044,"764,215","14,494,000"
"Sep 08, 2017",0.244054,0.245672,0.174794,0.188901,"1,388,420","18,635,400"
"Sep 07, 2017",0.266388,0.267421,0.242597,0.244115,"1,340,760","20,340,300"
"Sep 06, 2017",0.228082,0.267319,0.228082,0.267319,"1,862,010","17,415,000"
"Sep 05, 2017",0.213627,0.230042,0.172959,0.228328,"1,631,760","16,310,800"
"Sep 04, 2017",0.272227,0.274819,0.199815,0.212932,"1,359,680","20,784,500"
"Sep 03, 2017",0.27693,0.286174,0.261846,0.273177,"703,106","21,143,100"
"Sep 02, 2017",0.324365,0.324767,0.261352,0.275983,"1,782,150","24,764,000"
"Sep 01, 2017",0.26765,0.325872,0.266561,0.321217,"2,137,810","20,433,500"
"Aug 31, 2017",0.271581,0.279882,0.264609,0.267472,"706,968","20,733,100"
"Aug 30, 2017",0.284567,0.288222,0.253551,0.270301,"844,571","21,723,900"
"Aug 29, 2017",0.284082,0.295251,0.277751,0.283536,"804,588","21,686,400"
"Aug 28, 2017",0.278354,0.291603,0.268107,0.283788,"992,341","21,248,600"
"Aug 27, 2017",0.279611,0.293588,0.268747,0.276566,"1,383,490","21,343,900"
"Aug 26, 2017",0.281939,0.315364,0.263468,0.277273,"1,391,860","21,521,100"
"Aug 25, 2017",0.31887,0.339999,0.275672,0.28229,"1,924,920","24,339,500"
"Aug 24, 2017",0.264324,0.33011,0.257693,0.314368,"4,498,630","20,175,400"
"Aug 23, 2017",0.234702,0.300015,0.230788,0.264036,"2,580,510","17,914,000"
"Aug 22, 2017",0.246172,0.249881,0.221757,0.234664,"720,454","18,789,000"
"Aug 21, 2017",0.267438,0.284344,0.233534,0.244475,"2,108,390","20,411,600"
"Aug 20, 2017",0.213683,0.322747,0.213214,0.272861,"8,008,240","16,308,500"
"Aug 19, 2017",0.206922,0.219792,0.195551,0.213568,"470,088","15,792,100"
"Aug 18, 2017",0.219529,0.222158,0.203274,0.207464,"461,247","16,753,800"
"Aug 17, 2017",0.22972,0.254566,0.213565,0.217026,"723,050","17,531,100"
"Aug 16, 2017",0.239053,0.241498,0.22435,0.228762,"448,875","18,242,900"
"Aug 15, 2017",0.22407,0.239204,0.207792,0.239204,"822,562","17,099,000"
"Aug 14, 2017",0.242979,0.255094,0.217866,0.221978,"598,186","18,541,500"
"Aug 13, 2017",0.258216,0.261433,0.234239,0.242961,"524,563","19,703,800"
"Aug 12, 2017",0.269696,0.276943,0.254801,0.258148,"630,958","20,579,300"
"Aug 11, 2017",0.272575,0.287015,0.265828,0.269698,"1,296,450","20,798,400"
"Aug 10, 2017",0.266969,0.319129,0.255861,0.274814,"2,741,270","20,370,100"
