Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",211.83,221.64,205.44,208.02,"201,423","123,685,000"
"Sep 21, 2017",231.8,242.11,210.37,212.07,"197,202","135,345,000"
"Sep 20, 2017",236.78,240.78,228.86,232.94,"338,266","138,258,000"
"Sep 19, 2017",251.88,255.15,235.5,237.1,"142,478","147,070,000"
"Sep 18, 2017",232.8,254.8,232.8,249.91,"419,379","135,933,000"
"Sep 17, 2017",238.31,243.34,221.61,233.99,"113,231","139,151,000"
"Sep 16, 2017",238.25,253.72,229.57,238.54,"423,884","139,111,000"
"Sep 15, 2017",208.66,248.45,187.27,238.88,"728,563","121,834,000"
"Sep 14, 2017",268.19,280.98,207.94,211.1,"477,755","156,595,000"
"Sep 13, 2017",287.53,289.51,249.24,268.2,"588,021","167,889,000"
"Sep 12, 2017",290.1,309.84,275.62,288.63,"1,184,500","169,386,000"
"Sep 11, 2017",284.76,304.67,273.06,284.36,"353,348","166,272,000"
"Sep 10, 2017",290.64,292.74,267.78,285.25,"341,340","169,705,000"
"Sep 09, 2017",300.53,303.76,281.97,291.39,"408,486","175,480,000"
"Sep 08, 2017",330.26,343.87,274.54,301.44,"742,496","192,839,000"
"Sep 07, 2017",321.89,330.93,304.45,321.96,"1,253,730","187,950,000"
"Sep 06, 2017",348.72,356.45,304.74,322.51,"2,410,340","183,541,000"
"Sep 05, 2017",335.49,363.92,318.39,347.9,"1,117,040","176,579,000"
"Sep 04, 2017",367.34,381.97,327.82,343.47,"1,395,210","193,342,000"
"Sep 03, 2017",373.44,382.53,351.39,367.22,"668,330","196,552,000"
"Sep 02, 2017",384.23,407.94,340.88,368.93,"1,202,920","202,230,000"
"Sep 01, 2017",441.12,445.66,374.02,383.75,"1,450,280","232,173,000"
"Aug 31, 2017",444.22,456.81,429.46,441.08,"1,156,520","233,806,000"
"Aug 30, 2017",425.32,453.17,412.53,445,"883,940","223,859,000"
"Aug 29, 2017",417.78,439.21,404.84,425.89,"1,707,700","219,890,000"
"Aug 28, 2017",443.22,502.89,417.3,417.3,"2,840,350","233,281,000"
"Aug 27, 2017",373.7,510.17,367.89,451.39,"4,947,820","196,688,000"
"Aug 26, 2017",364.7,384.99,349.25,369.79,"912,644","191,952,000"
"Aug 25, 2017",364.81,376.67,356.24,364,"668,099","192,010,000"
"Aug 24, 2017",343.13,366.78,336.96,365.39,"796,577","180,600,000"
"Aug 23, 2017",347.14,368.1,332.28,339.81,"653,382","182,707,000"
"Aug 22, 2017",353.95,355.72,308.02,355.72,"502,153","186,292,000"
"Aug 21, 2017",352.74,374.8,335.36,351.07,"922,460","185,655,000"
"Aug 20, 2017",344.06,373.5,315.22,354.12,"1,115,890","181,090,000"
"Aug 19, 2017",310.18,345.91,305.9,345.26,"1,013,860","163,254,000"
"Aug 18, 2017",359.46,384.28,259.63,310.44,"1,820,730","189,192,000"
"Aug 17, 2017",390.46,419.45,347.28,359.25,"1,419,860","205,508,000"
"Aug 16, 2017",346.83,428.06,333.72,390.82,"2,083,310","182,548,000"
"Aug 15, 2017",310.73,371.44,293.41,340.29,"2,412,200","163,547,000"
"Aug 14, 2017",324.95,358.71,304.61,309.9,"1,496,090","171,030,000"
"Aug 13, 2017",379.08,401.33,287.46,320.21,"2,258,560","199,519,000"
"Aug 12, 2017",372.3,405.86,362.38,387.13,"2,420,910","195,952,000"
"Aug 11, 2017",341.87,393.56,317.11,377.98,"3,038,510","179,934,000"
"Aug 10, 2017",377.77,391.38,349.54,349.54,"2,931,750","198,829,000"
"Aug 09, 2017",434.15,443.06,368.58,374.55,"2,814,290","228,507,000"
"Aug 08, 2017",367.03,464.19,335.87,439.14,"11,696,000","134,298,000"
"Aug 07, 2017",582.79,595.77,384.29,384.29,"6,460,860","213,246,000"
"Aug 06, 2017",628,636.1,555.26,584.1,"2,160,370","229,785,000"
"Aug 05, 2017",580.14,629.57,564.88,627.84,"1,545,690","212,275,000"
"Aug 04, 2017",595.01,628.96,564.43,580.11,"1,992,620","217,715,000"
"Aug 03, 2017",572.81,684.1,555.7,595.15,"2,832,760","209,592,000"
"Aug 02, 2017",535.74,589.34,494.47,571.78,"1,706,960","196,028,000"
"Aug 01, 2017",463.51,566.36,418,538.73,"1,194,540","169,601,000"
"Jul 31, 2017",466.35,500.45,438.88,463.29,"467,604","170,640,000"
"Jul 30, 2017",430.55,541.18,419.65,465.46,"893,594","157,541,000"
"Jul 29, 2017",423.13,435.03,387.89,430.61,"447,304","154,826,000"
"Jul 28, 2017",460.36,467.04,386.14,424.75,"939,963","168,447,000"
"Jul 27, 2017",469.36,485.18,423.55,450.89,"504,512","171,740,000"
"Jul 26, 2017",479.53,491.02,446.31,468.03,"326,063","175,460,000"
"Jul 25, 2017",542.15,553.85,459.37,479.45,"482,090","198,374,000"
"Jul 24, 2017",555.7,584.22,529.65,542.21,"629,515","203,331,000"
"Jul 23, 2017",566.35,577.96,522.73,556.34,"636,855","207,228,000"
"Jul 22, 2017",537.85,567.69,506.98,552.63,"705,447","196,801,000"
"Jul 21, 2017",532.08,570.8,522.63,537.95,"391,763","194,689,000"
"Jul 20, 2017",456.4,580.24,456.4,528.18,"602,908","166,997,000"
"Jul 19, 2017",541.87,541.87,456.37,457.77,"394,852","198,272,000"
"Jul 18, 2017",504.87,557.22,477.44,541,"832,919","184,732,000"
"Jul 17, 2017",321.72,534.81,321.72,534.81,"657,421","117,718,000"
"Jul 16, 2017",391.46,401.56,305.82,322.08,"519,150","143,238,000"
"Jul 15, 2017",475.16,476.03,392.64,392.64,"650,062","173,862,000"
"Jul 14, 2017",507,517.36,437.82,474,"784,984","185,515,000"
"Jul 13, 2017",569.49,580.17,505.14,515.38,"703,435","208,378,000"
"Jul 12, 2017",552.83,595.15,498.17,569.07,"575,319","202,283,000"
"Jul 11, 2017",554.55,578.2,449.42,553.65,"1,747,390","202,910,000"
"Jul 10, 2017",648.29,698.1,551.69,555.66,"2,220,390","237,211,000"
"Jul 09, 2017",842.41,910.82,591.07,648.58,"6,319,670","215,230,000"
"Jul 08, 2017",855.65,924.76,725.86,841.66,"1,486,890","218,612,000"
"Jul 07, 2017",914.06,924.47,808.86,854.93,"1,098,560","233,536,000"
"Jul 06, 2017",922.85,938.26,856.85,913.4,"694,012","235,781,000"
"Jul 05, 2017",895.88,945.33,849.7,909.7,"723,993","228,889,000"
"Jul 04, 2017",862.69,913,837.02,896.36,"657,419","220,411,000"
"Jul 03, 2017",866.47,897.95,794.95,854.66,"823,018","221,376,000"
"Jul 02, 2017",890.54,896.91,737.34,862.27,"803,907","227,525,000"
"Jul 01, 2017",931.45,953.13,812.48,882.73,"1,438,940","237,977,000"
"Jun 30, 2017",849.56,934.1,834.83,934.1,"1,014,760","217,055,000"
"Jun 29, 2017",788.96,896.57,788.06,847.87,"1,223,300","201,573,000"
"Jun 28, 2017",785.67,802.45,720.6,799.61,"1,288,660","200,732,000"
"Jun 27, 2017",744.63,780.58,686.26,780.58,"546,278","190,247,000"
"Jun 26, 2017",775.23,813.88,653.55,737.25,"1,119,280","198,064,000"
"Jun 25, 2017",754.55,790.8,711.58,777.8,"408,562","192,781,000"
"Jun 24, 2017",791.17,799.08,710.28,757.55,"316,743","202,138,000"
"Jun 23, 2017",715.92,796.83,699.34,791.26,"195,398","182,911,000"
"Jun 22, 2017",687.36,757.77,673.45,715.92,"209,923","175,616,000"
"Jun 21, 2017",701.1,746.65,649.89,687.36,"402,401","179,126,000"
"Jun 20, 2017",755.01,764.3,700.77,711.71,"290,958","192,899,000"
"Jun 19, 2017",760.38,820.2,702.36,755.01,"570,875","194,271,000"
"Jun 18, 2017",730.52,774.11,702.7,761.85,"613,952","186,643,000"
"Jun 17, 2017",652.08,735.7,645,728.4,"367,130","166,601,000"
"Jun 16, 2017",643.34,676.06,606.46,652.08,"424,037","164,368,000"
"Jun 15, 2017",640.78,655.98,553.04,643.82,"602,578","163,714,000"
"Jun 14, 2017",724.95,746.56,610.8,640.81,"648,622","185,218,000"
"Jun 13, 2017",633.21,739.73,617.82,725.37,"688,580","161,781,000"
"Jun 12, 2017",684.49,716.78,562.38,646.47,"702,939","174,882,000"
"Jun 11, 2017",699.96,742.33,659.32,685.11,"861,105","178,834,000"
"Jun 10, 2017",721.96,754.44,607.86,700.37,"1,875,640","184,455,000"
