Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.470828,0.483132,0.450848,0.474654,"175,467","24,156,300"
"Sep 21, 2017",0.55168,0.557433,0.464064,0.469775,"287,430","28,304,500"
"Sep 20, 2017",0.566328,0.594725,0.535304,0.553353,"261,433","29,056,100"
"Sep 19, 2017",0.617017,0.626535,0.547684,0.566727,"554,098","31,656,700"
"Sep 18, 2017",0.466565,0.651442,0.462065,0.604198,"1,042,560","23,937,600"
"Sep 17, 2017",0.420233,0.490314,0.398282,0.470392,"227,100","21,560,500"
"Sep 16, 2017",0.405002,0.456864,0.377023,0.41966,"305,540","20,779,000"
"Sep 15, 2017",0.40453,0.450399,0.322033,0.400741,"474,863","20,754,900"
"Sep 14, 2017",0.626249,0.626249,0.398793,0.398793,"530,482","32,130,400"
"Sep 13, 2017",0.705154,0.707003,0.567891,0.626643,"461,567","36,178,700"
"Sep 12, 2017",0.695582,0.746401,0.690374,0.705572,"656,046","35,687,600"
"Sep 11, 2017",0.675226,0.725236,0.663662,0.691082,"498,739","34,643,200"
"Sep 10, 2017",0.724625,0.751632,0.600902,0.679874,"1,123,820","37,177,700"
"Sep 09, 2017",0.640156,0.801763,0.618225,0.725634,"1,850,450","32,843,900"
"Sep 08, 2017",0.905157,0.946928,0.561444,0.619633,"1,715,530","46,440,100"
"Sep 07, 2017",0.882544,0.946483,0.835827,0.906447,"1,119,120","45,279,900"
"Sep 06, 2017",0.864493,0.919576,0.812182,0.878198,"1,083,560","44,353,800"
"Sep 05, 2017",0.809988,0.895423,0.661791,0.863621,"1,358,060","41,557,300"
"Sep 04, 2017",1.12,1.14,0.727915,0.826459,"2,267,340","57,260,900"
"Sep 03, 2017",1.13,1.24,1.08,1.12,"863,668","57,814,900"
"Sep 02, 2017",1.26,1.29,1.11,1.13,"951,080","64,854,700"
"Sep 01, 2017",1.18,1.38,1.18,1.27,"2,511,600","60,750,400"
"Aug 31, 2017",1.17,1.21,1.13,1.18,"2,078,220","59,868,100"
"Aug 30, 2017",1.2,1.22,1.11,1.17,"2,263,120","61,694,100"
"Aug 29, 2017",1.19,1.31,1.12,1.21,"2,390,760","60,934,500"
"Aug 28, 2017",1.2,1.21,1.09,1.18,"2,405,740","61,784,800"
"Aug 27, 2017",1.23,1.28,1.18,1.21,"1,253,830","63,192,700"
"Aug 26, 2017",1.25,1.25,1.18,1.23,"2,472,700","64,169,300"
"Aug 25, 2017",1.27,1.29,1.23,1.24,"1,443,730","65,333,200"
"Aug 24, 2017",1.26,1.32,1.19,1.29,"2,291,530","64,694,400"
"Aug 23, 2017",1.21,1.33,1.17,1.26,"2,128,630","62,112,100"
"Aug 22, 2017",1.23,1.26,1.15,1.21,"2,005,260","63,239,500"
"Aug 21, 2017",1.37,1.38,1.19,1.23,"2,424,590","70,287,800"
"Aug 20, 2017",1.33,1.4,1.3,1.37,"1,807,660","68,080,500"
"Aug 19, 2017",1.42,1.43,1.24,1.33,"2,356,490","72,854,400"
"Aug 18, 2017",1.53,1.54,1.34,1.38,"2,529,090","78,270,000"
"Aug 17, 2017",1.52,1.57,1.39,1.53,"3,126,750","78,102,600"
"Aug 16, 2017",1.46,1.57,1.31,1.53,"4,113,430","74,821,500"
"Aug 15, 2017",1.49,1.58,1.26,1.43,"3,692,900","76,433,800"
"Aug 14, 2017",1.67,1.71,1.44,1.49,"4,922,720","85,673,900"
"Aug 13, 2017",2.16,2.16,1.53,1.68,"9,371,910","110,813,000"
"Aug 12, 2017",1.38,2.08,1.38,2.08,"15,720,900","70,567,400"
"Aug 11, 2017",1.08,1.38,1.08,1.38,"2,437,320","55,667,000"
"Aug 10, 2017",1.05,1.11,1,1.09,"1,193,870","54,019,100"
"Aug 09, 2017",1.06,1.1,1.03,1.05,"988,051","54,490,100"
"Aug 08, 2017",1.07,1.1,1.03,1.06,"931,750","54,699,700"
"Aug 07, 2017",1.04,1.23,0.998853,1.06,"1,958,320","53,454,200"
"Aug 06, 2017",1.01,1.15,0.999596,1.04,"1,440,940","51,692,200"
"Aug 05, 2017",0.933326,1.04,0.834051,1.02,"911,396","47,885,300"
"Aug 04, 2017",0.93649,0.95718,0.900816,0.933726,"651,663","48,047,600"
"Aug 03, 2017",0.871086,0.969532,0.871086,0.933542,"853,622","44,692,000"
"Aug 02, 2017",0.836479,0.911626,0.825878,0.876723,"499,557","42,916,500"
"Aug 01, 2017",0.882683,0.892971,0.684352,0.852481,"1,073,960","45,287,000"
"Jul 31, 2017",0.879701,0.977211,0.853017,0.879402,"888,008","45,134,000"
"Jul 30, 2017",0.910779,0.919172,0.832609,0.881306,"894,315","46,728,500"
"Jul 29, 2017",0.906424,0.979669,0.860785,0.912186,"1,545,320","46,505,100"
"Jul 28, 2017",1.01,1.01,0.865689,0.901044,"1,756,190","51,628,500"
"Jul 27, 2017",0.973852,1.04,0.924946,1.01,"2,138,450","49,964,500"
"Jul 26, 2017",0.906013,0.962088,0.833709,0.918749,"1,449,180","46,484,000"
"Jul 25, 2017",1.09,1.16,0.87778,0.904029,"2,365,950","56,100,800"
"Jul 24, 2017",1.08,1.23,1.02,1.09,"4,735,870","55,259,600"
"Jul 23, 2017",1.09,1.17,0.982321,1.07,"911,955","55,822,100"
"Jul 22, 2017",1.17,1.18,1.04,1.09,"1,052,150","59,975,600"
