Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",31.93,35.6,31.13,31.13,"1,478,070","185,250,000"
"Sep 21, 2017",36,38.34,31.6,31.98,"3,104,750","208,604,000"
"Sep 20, 2017",32.41,40.08,32.16,36.07,"5,887,380","187,570,000"
"Sep 19, 2017",31.01,33.95,29.34,32.4,"1,782,770","179,257,000"
"Sep 18, 2017",29.49,32.47,29.49,30.94,"1,157,730","170,259,000"
"Sep 17, 2017",30.89,31.39,28.63,29.79,"706,172","178,125,000"
"Sep 16, 2017",29.58,33.39,28.77,30.89,"1,029,260","170,410,000"
"Sep 15, 2017",24.1,31.19,21.85,29.7,"2,353,720","138,667,000"
"Sep 14, 2017",26.22,27.27,22.12,23.83,"1,921,540","150,699,000"
"Sep 13, 2017",27.51,29.23,24.53,26.73,"1,649,640","157,889,000"
"Sep 12, 2017",28.93,30.61,26.5,27.73,"847,669","165,834,000"
"Sep 11, 2017",28.66,30.03,27.28,29.01,"998,634","164,109,000"
"Sep 10, 2017",30.72,31.27,27.29,28.69,"906,475","175,700,000"
"Sep 09, 2017",31.54,31.89,29.39,30.4,"788,176","180,165,000"
"Sep 08, 2017",33.9,36.59,29.84,31.53,"1,296,220","193,444,000"
"Sep 07, 2017",34.51,34.91,32.86,33.93,"726,765","196,639,000"
"Sep 06, 2017",33.79,35.44,32.56,34.74,"918,098","192,361,000"
"Sep 05, 2017",32.24,34.56,28.93,34.08,"1,176,300","183,293,000"
"Sep 04, 2017",36.44,36.86,29.6,32.27,"1,541,850","206,928,000"
"Sep 03, 2017",36.29,39.31,34.83,36.64,"646,132","205,793,000"
"Sep 02, 2017",41.05,42.35,34.65,36.33,"1,128,560","232,566,000"
"Sep 01, 2017",38.1,41.74,36.86,41.35,"1,876,320","215,536,000"
"Aug 31, 2017",38.32,38.94,36.14,38.09,"1,380,050","216,516,000"
"Aug 30, 2017",35.37,39.68,35.01,38.4,"1,773,310","199,655,000"
"Aug 29, 2017",39.59,39.93,35.23,35.39,"2,636,660","223,165,000"
"Aug 28, 2017",40.7,42.18,37.66,39.82,"2,252,980","229,128,000"
"Aug 27, 2017",38.39,43.28,35.97,41.21,"3,136,050","215,803,000"
"Aug 26, 2017",34.64,42.07,33.12,38.53,"4,209,060","194,536,000"
"Aug 25, 2017",31.09,34.54,29.91,34.53,"1,982,100","174,411,000"
"Aug 24, 2017",26.41,31.88,26.32,31.16,"2,852,650","147,963,000"
"Aug 23, 2017",25.97,27.99,25.07,26.32,"876,055","145,282,000"
"Aug 22, 2017",27.4,27.73,24.41,25.96,"1,131,900","153,117,000"
"Aug 21, 2017",26.27,28.06,25.12,27.41,"934,142","146,632,000"
"Aug 20, 2017",27.14,27.29,24.76,26.28,"976,831","151,313,000"
"Aug 19, 2017",23.74,27.92,22.27,27.92,"1,297,340","132,181,000"
"Aug 18, 2017",24.39,26.72,23.31,23.88,"794,764","135,614,000"
"Aug 17, 2017",26.2,27.56,23.81,24.47,"975,883","145,531,000"
"Aug 16, 2017",30.05,30.21,24.51,26.27,"1,203,980","166,699,000"
"Aug 15, 2017",23.33,31.02,22.66,30.02,"1,976,850","129,238,000"
"Aug 14, 2017",25.37,26.56,21.48,23.32,"1,706,170","140,380,000"
"Aug 13, 2017",26.37,27.72,22.95,25.59,"1,232,020","145,710,000"
"Aug 12, 2017",26.74,29.15,25.05,26.59,"1,688,200","147,601,000"
"Aug 11, 2017",28.2,29,26.18,26.74,"1,910,380","155,440,000"
