Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",7.04,7.38,6.93,7.28,"52,758","17,139,500"
"Sep 21, 2017",7.76,7.96,6.85,7.05,"103,910","18,870,200"
"Sep 20, 2017",7.43,7.89,6.8,7.88,"149,450","18,051,500"
"Sep 19, 2017",7.95,8.18,7.11,7.44,"122,480","19,301,500"
"Sep 18, 2017",7.76,8.04,7.34,7.93,"147,849","18,845,200"
"Sep 17, 2017",6.79,7.79,6.17,7.78,"259,619","16,492,800"
"Sep 16, 2017",8.16,8.62,6.55,6.82,"561,725","19,817,900"
"Sep 15, 2017",5.19,9.37,4.89,8.33,"588,834","11,833,300"
"Sep 14, 2017",6.4,6.64,5.15,5.15,"73,930","14,579,000"
"Sep 13, 2017",6.5,6.69,5.72,6.4,"84,699","14,808,300"
"Sep 12, 2017",6.85,7.48,6.03,6.53,"372,287","15,590,100"
"Sep 11, 2017",6.86,7.55,6.39,6.84,"193,786","15,617,800"
"Sep 10, 2017",6.5,7.39,5.67,6.88,"259,284","14,770,100"
"Sep 09, 2017",5.64,6.51,5.53,6.51,"106,272","12,808,300"
"Sep 08, 2017",6.27,6.36,5.45,5.63,"49,288","14,225,800"
"Sep 07, 2017",6.52,6.52,6.11,6.26,"58,238","14,785,700"
"Sep 06, 2017",6.19,6.63,5.97,6.47,"78,252","14,028,400"
"Sep 05, 2017",5.86,6.4,5.4,6.18,"405,887","13,262,400"
"Sep 04, 2017",6.27,6.35,5.37,5.83,"106,834","14,199,100"
"Sep 03, 2017",6.09,6.4,5.87,6.4,"59,155","13,763,300"
"Sep 02, 2017",6.47,6.66,5.76,6.08,"69,344","14,622,700"
"Sep 01, 2017",6.21,6.62,6.08,6.46,"155,762","14,005,600"
"Aug 31, 2017",5.7,6.4,5.59,6.2,"217,479","12,857,100"
"Aug 30, 2017",5.65,6.6,5.6,5.64,"754,458","12,730,200"
"Aug 29, 2017",5.65,5.7,5.23,5.66,"108,515","12,730,600"
"Aug 28, 2017",5.81,5.85,5.26,5.64,"107,810","13,080,100"
"Aug 27, 2017",6.02,6.63,5.52,5.86,"358,877","13,546,000"
"Aug 26, 2017",5.07,6.08,4.91,5.75,"226,718","11,388,500"
"Aug 25, 2017",5.19,5.21,4.91,5.06,"29,093","11,668,900"
"Aug 24, 2017",4.85,5.39,4.78,5.25,"127,114","10,877,300"
"Aug 23, 2017",4.72,4.98,4.64,4.85,"43,933","10,584,000"
"Aug 22, 2017",4.58,5.03,4.16,4.73,"100,102","10,266,300"
"Aug 21, 2017",4.34,6.72,4.23,4.57,"570,393","9,721,520"
"Aug 20, 2017",4.35,4.44,4.15,4.36,"26,717","9,738,610"
"Aug 19, 2017",4.4,4.55,4.1,4.37,"20,702","9,835,510"
"Aug 18, 2017",4.24,4.84,4.11,4.4,"50,231","9,491,550"
"Aug 17, 2017",4.39,4.62,4.11,4.38,"29,756","9,806,450"
"Aug 16, 2017",4.49,4.57,4.15,4.39,"45,007","10,013,800"
"Aug 15, 2017",4.87,4.96,4.29,4.48,"43,580","10,854,800"
"Aug 14, 2017",4.69,4.92,4.58,4.85,"23,585","10,454,100"
"Aug 13, 2017",4.6,5.25,4.45,4.69,"62,928","10,243,700"
"Aug 12, 2017",3.92,4.86,3.9,4.61,"82,199","8,723,800"
"Aug 11, 2017",3.59,4.03,3.58,4.03,"52,381","7,988,530"
"Aug 10, 2017",3.58,3.75,3.51,3.59,"20,736","7,948,740"
"Aug 09, 2017",3.59,3.67,3.47,3.55,"26,866","7,978,920"
"Aug 08, 2017",3.51,3.73,3.46,3.59,"17,147","7,791,210"
"Aug 07, 2017",3.59,3.68,3.39,3.51,"17,027","7,960,500"
"Aug 06, 2017",3.51,3.67,3.35,3.6,"16,329","7,793,130"
"Aug 05, 2017",2.97,3.53,2.94,3.51,"21,774","6,577,840"
"Aug 04, 2017",3.21,3.27,2.91,2.97,"27,685","7,116,960"
"Aug 03, 2017",3.24,3.28,3.04,3.21,"24,387","7,181,310"
"Aug 02, 2017",3.13,3.23,2.94,3.22,"42,546","6,913,310"
"Aug 01, 2017",2.95,3.54,2.75,3.13,"122,391","6,517,760"
"Jul 31, 2017",3.57,3.61,2.86,2.96,"106,363","7,894,440"
"Jul 30, 2017",3.64,4.2,3.55,3.57,"169,814","8,038,440"
"Jul 29, 2017",3.52,4.11,3.3,3.64,"98,856","7,764,570"
"Jul 28, 2017",3.06,4.08,2.93,3.53,"195,913","6,746,890"
"Jul 27, 2017",3,3.16,2.93,3.05,"8,125","6,619,380"
"Jul 26, 2017",3.05,3.13,2.76,3,"15,388","6,709,520"
"Jul 25, 2017",3.06,3.13,2.67,3.05,"46,387","6,738,480"
"Jul 24, 2017",2.83,3.07,2.79,3.06,"18,394","6,231,770"
"Jul 23, 2017",2.89,2.97,2.7,2.84,"13,121","6,360,380"
"Jul 22, 2017",2.95,3.23,2.79,2.89,"23,390","6,486,580"
"Jul 21, 2017",3.21,3.24,2.9,2.95,"18,448","7,040,910"
"Jul 20, 2017",2.51,3.29,2.51,3.18,"26,267","5,494,920"
"Jul 19, 2017",2.75,2.83,2.5,2.51,"17,298","6,024,860"
"Jul 18, 2017",2.65,2.9,2.57,2.75,"20,632","5,788,340"
"Jul 17, 2017",2.31,2.72,2.25,2.64,"79,992","5,046,040"
"Jul 16, 2017",2.77,2.96,2.31,2.36,"62,969","6,061,080"
"Jul 15, 2017",2.85,3.15,2.65,2.79,"93,318","6,219,370"
"Jul 14, 2017",2.55,3.5,2.55,2.85,"148,089","5,570,230"
"Jul 13, 2017",2.61,2.7,2.5,2.55,"19,079","5,701,160"
"Jul 12, 2017",2.31,2.65,2.25,2.61,"33,375","5,026,040"
"Jul 11, 2017",2.34,2.43,2.1,2.32,"49,135","5,097,770"
"Jul 10, 2017",2.62,2.62,2.33,2.35,"27,401","5,706,300"
"Jul 09, 2017",2.66,2.81,2.36,2.62,"32,336","5,793,670"
"Jul 08, 2017",2.73,2.76,2.49,2.66,"27,480","5,927,970"
"Jul 07, 2017",2.99,3.02,2.7,2.72,"50,850","6,500,390"
"Jul 06, 2017",3.11,3.11,2.89,2.99,"27,921","6,746,040"
"Jul 05, 2017",2.95,3.1,2.88,3.1,"26,527","6,401,710"
"Jul 04, 2017",2.89,3.4,2.85,2.95,"79,428","6,273,720"
"Jul 03, 2017",2.76,3.11,2.73,2.91,"68,583","5,995,020"
"Jul 02, 2017",2.71,2.91,2.57,2.77,"65,529","5,879,820"
"Jul 01, 2017",2.78,3.48,2.56,2.71,"160,083","6,028,210"
"Jun 30, 2017",3.65,3.74,2.73,2.8,"285,882","7,897,460"
"Jun 29, 2017",5.78,5.78,3.46,3.59,"1,278,500","12,515,200"
"Jun 28, 2017",2.9,8.84,2.75,5.79,"4,345,100","6,271,370"
"Jun 27, 2017",2.9,2.92,2.59,2.84,"21,258","6,259,760"
"Jun 26, 2017",3.18,3.29,2.69,2.9,"23,913","6,871,460"
"Jun 25, 2017",3.14,3.46,2.84,3.18,"59,054","6,780,400"
"Jun 24, 2017",3.28,3.51,3.03,3.15,"25,165","7,078,070"
"Jun 23, 2017",3.25,3.67,2.77,3.28,"40,411","6,996,810"
"Jun 22, 2017",2.43,3.25,2.43,3.25,"54,254","5,239,700"
"Jun 21, 2017",2.62,2.66,2.25,2.47,"41,071","5,644,720"
"Jun 20, 2017",2.48,2.67,2.42,2.6,"27,988","5,332,490"
"Jun 19, 2017",2.4,2.48,2.34,2.48,"18,786","5,153,810"
"Jun 18, 2017",2.19,2.51,2.15,2.4,"38,279","4,706,760"
"Jun 17, 2017",2.11,2.19,2.03,2.19,"3,661","4,525,940"
"Jun 16, 2017",1.87,2.21,1.84,2.11,"12,344","4,006,910"
"Jun 15, 2017",1.93,2,1.65,1.87,"9,667","4,133,810"
"Jun 14, 2017",2.13,2.26,1.88,1.93,"11,773","4,558,000"
"Jun 13, 2017",2.3,2.31,2.12,2.13,"13,497","4,914,350"
"Jun 12, 2017",2.5,2.5,2,2.3,"61,321","5,340,130"
"Jun 11, 2017",2.58,2.67,2.35,2.5,"19,483","5,515,080"
"Jun 10, 2017",2.45,2.64,2.28,2.58,"28,703","5,227,930"
"Jun 09, 2017",2.26,2.61,2.26,2.44,"25,423","4,813,560"
"Jun 08, 2017",2.09,2.33,2.04,2.26,"33,586","4,449,440"
"Jun 07, 2017",2.32,2.33,2.02,2.08,"27,743","4,946,540"
"Jun 06, 2017",1.93,2.78,1.89,2.14,"100,000","4,117,490"
"Jun 05, 2017",1.63,2.04,1.56,1.93,"54,540","3,473,240"
"Jun 04, 2017",1.62,1.65,1.54,1.63,"13,794","3,447,620"
"Jun 03, 2017",1.45,1.63,1.45,1.63,"11,300","3,089,870"
"Jun 02, 2017",1.52,1.54,1.39,1.45,"15,219","3,227,460"
"Jun 01, 2017",1.44,1.55,1.4,1.52,"11,061","3,049,660"
"May 31, 2017",1.38,1.44,1.31,1.44,"7,687","2,918,630"
"May 30, 2017",1.34,1.43,1.3,1.37,"6,129","2,850,640"
"May 29, 2017",1.27,1.43,1.24,1.34,"4,576","2,692,580"
"May 28, 2017",1.26,1.35,1.19,1.27,"11,382","2,666,370"
"May 27, 2017",1.41,1.45,1.09,1.25,"5,641","2,972,590"
