Date,Open,High,Low,Close,Volume,Market Cap
"Sep 23, 2017",0.012629,0.013691,0.012453,0.013653,"1,480,840","110,402,000"
"Sep 22, 2017",0.012646,0.013371,0.011926,0.012606,"1,901,320","110,559,000"
"Sep 21, 2017",0.014794,0.014831,0.01242,0.012546,"3,061,100","129,336,000"
"Sep 20, 2017",0.01401,0.015487,0.013743,0.014882,"3,851,380","122,481,000"
"Sep 19, 2017",0.014692,0.015174,0.01336,0.013977,"3,903,000","128,437,000"
"Sep 18, 2017",0.012178,0.015201,0.012178,0.01461,"5,208,170","106,461,000"
"Sep 17, 2017",0.012411,0.012647,0.011156,0.012202,"1,819,580","108,503,000"
"Sep 16, 2017",0.012589,0.013513,0.01163,0.012421,"2,424,040","110,057,000"
"Sep 15, 2017",0.011071,0.013202,0.008658,0.012569,"6,299,060","96,789,300"
"Sep 14, 2017",0.014734,0.015401,0.011096,0.011096,"4,936,060","128,811,000"
"Sep 13, 2017",0.016178,0.016339,0.013988,0.014735,"4,333,320","141,429,000"
"Sep 12, 2017",0.01753,0.01942,0.015201,0.016239,"15,090,100","153,256,000"
"Sep 11, 2017",0.015266,0.018631,0.014329,0.017557,"16,343,900","133,458,000"
"Sep 10, 2017",0.016196,0.016302,0.013592,0.015318,"5,309,740","141,592,000"
"Sep 09, 2017",0.016427,0.016757,0.015631,0.01628,"2,152,570","143,612,000"
"Sep 08, 2017",0.018121,0.018872,0.015255,0.016374,"6,853,250","158,421,000"
"Sep 07, 2017",0.019341,0.019473,0.017695,0.018141,"8,566,660","169,079,000"
"Sep 06, 2017",0.019867,0.021035,0.018926,0.019357,"8,636,510","173,678,000"
"Sep 05, 2017",0.019229,0.020319,0.016739,0.019844,"11,616,300","168,104,000"
"Sep 04, 2017",0.025149,0.025554,0.016901,0.019126,"21,874,300","219,858,000"
"Sep 03, 2017",0.021859,0.026446,0.021458,0.025323,"16,744,800","191,100,000"
"Sep 02, 2017",0.024566,0.029781,0.021124,0.02198,"45,936,400","214,764,000"
"Sep 01, 2017",0.019044,0.026031,0.018782,0.025204,"24,280,400","166,491,000"
"Aug 31, 2017",0.021225,0.02129,0.018476,0.019065,"16,047,900","185,556,000"
"Aug 30, 2017",0.017079,0.021321,0.016725,0.021236,"22,965,400","149,309,000"
"Aug 29, 2017",0.015951,0.016858,0.014782,0.016836,"12,684,400","139,446,000"
"Aug 28, 2017",0.013617,0.016189,0.013081,0.015988,"13,735,400","119,046,000"
