Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.002102,0.002174,0.001924,0.001972,"2,065,710","14,473,600"
"Sep 21, 2017",0.002402,0.002473,0.00206,0.002111,"3,251,630","16,539,400"
"Sep 20, 2017",0.002038,0.002519,0.002012,0.002404,"3,038,660","14,036,500"
"Sep 19, 2017",0.00219,0.002214,0.002058,0.002058,"2,146,960","15,077,300"
"Sep 18, 2017",0.001992,0.002269,0.001991,0.002182,"1,937,170","13,719,500"
"Sep 17, 2017",0.001997,0.002057,0.001874,0.001987,"2,035,170","13,747,600"
"Sep 16, 2017",0.002032,0.002147,0.001877,0.001999,"2,304,340","13,988,800"
"Sep 15, 2017",0.001793,0.002096,0.001555,0.002037,"2,708,280","12,347,000"
"Sep 14, 2017",0.00224,0.002456,0.001812,0.001812,"2,001,200","15,420,500"
"Sep 13, 2017",0.002176,0.00233,0.001961,0.002248,"1,597,070","14,981,600"
"Sep 12, 2017",0.002225,0.002336,0.002153,0.002178,"1,027,640","15,320,900"
"Sep 11, 2017",0.00228,0.002333,0.002156,0.002223,"2,023,060","15,696,900"
"Sep 10, 2017",0.002331,0.002343,0.002123,0.002282,"1,928,660","16,051,400"
"Sep 09, 2017",0.002395,0.002411,0.002237,0.002338,"1,683,690","16,491,400"
"Sep 08, 2017",0.002598,0.002622,0.00233,0.002393,"1,933,730","17,890,300"
"Sep 07, 2017",0.002686,0.002686,0.002545,0.002598,"1,447,800","18,497,000"
"Sep 06, 2017",0.002683,0.002803,0.002564,0.002698,"1,922,220","18,471,200"
"Sep 05, 2017",0.00234,0.002731,0.002205,0.002687,"2,355,150","16,114,200"
"Sep 04, 2017",0.002737,0.002875,0.002278,0.002332,"2,415,680","18,843,700"
"Sep 03, 2017",0.002781,0.002844,0.002613,0.00274,"1,795,200","19,148,900"
"Sep 02, 2017",0.003012,0.003012,0.002679,0.002769,"2,485,980","20,736,900"
"Sep 01, 2017",0.002969,0.003324,0.002916,0.00302,"2,466,040","20,446,000"
"Aug 31, 2017",0.002563,0.003066,0.002563,0.002963,"2,202,720","17,649,200"
"Aug 30, 2017",0.002465,0.002578,0.002461,0.002569,"1,193,540","16,973,100"
"Aug 29, 2017",0.00283,0.002852,0.002407,0.002468,"1,839,100","19,487,600"
"Aug 28, 2017",0.002382,0.00285,0.002244,0.00279,"1,673,850","16,404,500"
"Aug 27, 2017",0.002246,0.00239,0.002201,0.00239,"1,268,070","15,465,400"
"Aug 26, 2017",0.002248,0.002393,0.002199,0.002254,"1,256,070","15,481,700"
"Aug 25, 2017",0.002246,0.002338,0.0022,0.002249,"1,540,010","15,465,600"
"Aug 24, 2017",0.002274,0.002334,0.002142,0.002233,"1,284,750","15,655,000"
"Aug 23, 2017",0.002412,0.00242,0.00217,0.002301,"1,227,760","16,611,500"
"Aug 22, 2017",0.002655,0.002674,0.002211,0.002416,"1,258,730","18,278,400"
"Aug 21, 2017",0.002342,0.002671,0.002193,0.002651,"1,489,730","16,125,300"
"Aug 20, 2017",0.001884,0.002359,0.001842,0.002342,"1,141,920","12,971,600"
"Aug 19, 2017",0.001941,0.001996,0.001764,0.001887,"1,126,480","13,366,700"
"Aug 18, 2017",0.002105,0.002184,0.001815,0.001865,"1,261,980","14,491,500"
"Aug 17, 2017",0.002223,0.002269,0.002078,0.002078,"1,264,740","15,306,500"
"Aug 16, 2017",0.002226,0.002397,0.002093,0.002267,"1,390,470","15,326,900"
