Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",2.12,2.24,2.03,2.13,"206,987","16,734,100"
"Sep 21, 2017",2.49,2.58,2.11,2.13,"403,300","19,670,400"
"Sep 20, 2017",2.41,2.66,2.36,2.47,"359,865","19,040,000"
"Sep 19, 2017",2.76,2.8,2.4,2.4,"363,402","21,845,600"
"Sep 18, 2017",2.53,2.84,2.53,2.76,"635,414","20,041,000"
"Sep 17, 2017",2.49,2.6,2.35,2.54,"385,549","19,693,500"
"Sep 16, 2017",2.67,2.8,2.42,2.49,"306,664","21,139,600"
"Sep 15, 2017",2.24,2.79,1.98,2.69,"518,436","17,732,000"
"Sep 14, 2017",3.31,3.41,2.24,2.24,"1,038,670","26,183,900"
"Sep 13, 2017",3.52,3.52,2.8,3.31,"1,341,610","27,845,700"
"Sep 12, 2017",3.47,3.88,3.06,3.52,"2,096,840","27,408,900"
"Sep 11, 2017",3.02,3.44,2.92,3.44,"870,790","23,868,400"
"Sep 10, 2017",3.16,3.17,2.88,3.03,"360,427","24,985,800"
"Sep 09, 2017",3.05,3.25,2.94,3.17,"433,825","24,106,000"
"Sep 08, 2017",3.43,3.46,2.88,3.01,"500,483","27,129,000"
"Sep 07, 2017",3.37,3.46,3.25,3.44,"608,032","26,606,000"
"Sep 06, 2017",3.23,3.66,3.23,3.37,"631,451","25,574,200"
"Sep 05, 2017",3.31,3.54,2.84,3.23,"1,081,450","26,178,600"
"Sep 04, 2017",3.6,3.63,2.72,3.3,"951,547","28,426,300"
"Sep 03, 2017",3.41,3.72,3.38,3.59,"557,676","26,922,000"
"Sep 02, 2017",3.73,3.82,3.23,3.42,"1,311,990","29,483,600"
"Sep 01, 2017",3.24,3.93,3.15,3.71,"1,666,670","25,622,700"
"Aug 31, 2017",3.45,3.49,3.09,3.24,"1,134,370","27,296,600"
"Aug 30, 2017",3.75,3.75,3.29,3.44,"1,019,110","29,610,600"
"Aug 29, 2017",3.51,4.2,3.39,3.75,"3,335,270","27,743,300"
"Aug 28, 2017",3.31,3.62,3.1,3.48,"677,860","26,174,800"
"Aug 27, 2017",3.27,3.38,3.16,3.31,"592,409","25,890,800"
"Aug 26, 2017",2.93,3.34,2.81,3.29,"513,944","23,170,300"
"Aug 25, 2017",3.19,3.2,2.72,2.93,"690,970","25,209,100"
"Aug 24, 2017",3.11,3.28,3.02,3.19,"683,029","24,565,400"
"Aug 23, 2017",3.15,3.66,3.06,3.11,"1,350,180","24,885,300"
"Aug 22, 2017",2.77,3.2,2.49,3.15,"951,685","21,904,400"
"Aug 21, 2017",2.83,3.07,2.56,2.79,"1,208,440","22,355,100"
"Aug 20, 2017",2.53,3.88,2.53,2.87,"5,443,560","19,929,700"
"Aug 19, 2017",1.97,3.16,1.85,2.52,"2,067,680","15,516,400"
"Aug 18, 2017",1.82,2.06,1.73,1.98,"272,051","14,279,200"
"Aug 17, 2017",2.1,2.1,1.75,1.82,"305,956","16,502,700"
"Aug 16, 2017",2.08,2.1,1.94,2.06,"234,158","16,356,000"
"Aug 15, 2017",2.17,2.21,2.02,2.08,"226,097","17,001,900"
"Aug 14, 2017",2.21,2.43,2.05,2.15,"339,286","17,328,700"
"Aug 13, 2017",2.32,2.35,2.12,2.21,"332,118","18,135,800"
"Aug 12, 2017",2.17,2.62,2.17,2.3,"457,260","16,966,100"
"Aug 11, 2017",2.11,2.17,1.99,2.17,"297,331","16,501,400"
"Aug 10, 2017",2.19,2.21,2.06,2.11,"292,372","17,049,500"
"Aug 09, 2017",2.31,2.37,2.03,2.19,"349,260","18,026,200"
"Aug 08, 2017",2.03,2.39,1.93,2.32,"405,138","15,796,300"
"Aug 07, 2017",2.04,2.1,1.93,2.04,"265,496","15,871,200"
"Aug 06, 2017",2.23,2.27,2.03,2.04,"207,895","17,356,600"
"Aug 05, 2017",2.04,2.33,1.97,2.26,"339,607","15,825,000"
"Aug 04, 2017",2.03,2.2,1.99,2.04,"240,249","15,714,600"
"Aug 03, 2017",1.89,2.01,1.87,2.01,"183,199","14,674,100"
"Aug 02, 2017",1.79,2.02,1.73,1.9,"285,996","13,854,000"
"Aug 01, 2017",1.63,1.95,1.52,1.8,"292,880","12,612,400"
"Jul 31, 2017",1.71,1.73,1.57,1.64,"151,522","13,193,800"
"Jul 30, 2017",1.75,1.78,1.64,1.71,"79,970","13,507,000"
"Jul 29, 2017",1.76,1.78,1.63,1.75,"88,318","13,562,800"
"Jul 28, 2017",1.83,1.91,1.74,1.75,"218,323","14,043,200"
"Jul 27, 2017",1.79,1.84,1.75,1.82,"91,139","13,763,900"
"Jul 26, 2017",1.75,1.85,1.65,1.79,"165,212","13,429,500"
"Jul 25, 2017",2.13,2.17,1.67,1.75,"283,516","16,370,300"
"Jul 24, 2017",2.14,2.19,2.02,2.13,"157,206","16,367,200"
"Jul 23, 2017",2.26,2.42,1.97,2.14,"326,922","17,289,300"
"Jul 22, 2017",1.84,2.28,1.81,2.27,"340,341","14,050,800"
"Jul 21, 2017",1.97,1.98,1.76,1.84,"182,357","15,036,800"
"Jul 20, 2017",1.6,2.03,1.6,1.95,"177,480","12,220,200"
"Jul 19, 2017",1.74,1.81,1.57,1.61,"233,050","13,269,800"
"Jul 18, 2017",1.76,1.84,1.67,1.74,"248,754","13,381,400"
"Jul 17, 2017",1.54,1.77,1.52,1.75,"496,080","11,679,400"
"Jul 16, 2017",1.35,1.59,1.34,1.55,"654,205","10,291,400"
"Jul 15, 2017",1.31,1.69,1.24,1.35,"647,568","9,935,110"
"Jul 14, 2017",1.47,1.49,1.23,1.31,"114,617","11,143,000"
"Jul 13, 2017",1.66,1.69,1.41,1.47,"216,759","12,566,300"
"Jul 12, 2017",1.33,1.66,1.29,1.66,"233,577","10,069,900"
"Jul 11, 2017",1.38,1.5,1.29,1.34,"336,246","10,454,800"
"Jul 10, 2017",1.95,1.95,1.36,1.38,"424,310","14,706,000"
"Jul 09, 2017",2.23,2.26,1.93,1.93,"206,226","16,817,200"
"Jul 08, 2017",2.12,2.23,2,2.23,"299,169","15,961,200"
"Jul 07, 2017",2.58,2.65,2.08,2.14,"392,290","19,426,900"
"Jul 06, 2017",2.53,2.71,2.52,2.58,"219,491","19,048,400"
"Jul 05, 2017",2.72,2.72,2.53,2.56,"263,544","20,408,100"
"Jul 04, 2017",2.69,2.74,2.64,2.71,"299,195","20,201,800"
"Jul 03, 2017",2.63,2.88,2.43,2.7,"521,345","19,739,000"
"Jul 02, 2017",2.5,2.71,2.31,2.61,"443,833","18,736,200"
"Jul 01, 2017",2.86,2.89,2.46,2.5,"393,153","21,404,600"
"Jun 30, 2017",3.06,3.16,2.83,2.83,"401,359","22,876,900"
"Jun 29, 2017",3.32,3.34,2.93,3.07,"373,672","24,753,600"
"Jun 28, 2017",3.09,3.43,2.97,3.33,"304,311","23,000,400"
"Jun 27, 2017",2.86,3.13,2.55,3.08,"506,153","21,311,500"
"Jun 26, 2017",3.24,3.53,2.54,2.86,"868,526","24,120,200"
"Jun 25, 2017",3.56,3.81,3.13,3.29,"604,585","26,445,200"
"Jun 24, 2017",3.76,4.05,3.48,3.57,"700,414","27,915,200"
"Jun 23, 2017",3.41,3.97,3.31,3.77,"1,015,020","25,279,600"
"Jun 22, 2017",3.29,3.5,3.17,3.41,"513,711","24,341,700"
"Jun 21, 2017",3.42,3.52,3.28,3.29,"704,478","25,279,500"
"Jun 20, 2017",3.55,3.72,3.36,3.42,"912,964","26,231,500"
