Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",14.89,16.08,14.87,15.56,"1,151,450","130,213,000"
"Sep 21, 2017",17.39,17.57,14.09,14.84,"2,096,320","152,109,000"
"Sep 20, 2017",18.58,18.98,17.49,17.49,"884,523","162,518,000"
"Sep 19, 2017",19.83,19.83,18.13,18.55,"594,451","173,446,000"
"Sep 18, 2017",17.35,19.92,17.35,19.63,"1,526,230","151,750,000"
"Sep 17, 2017",17.9,17.9,15.61,17.35,"912,591","156,547,000"
"Sep 16, 2017",18.14,19.4,16.41,17.89,"1,275,190","158,638,000"
"Sep 15, 2017",15.12,18.46,12.62,18.05,"3,178,720","132,227,000"
"Sep 14, 2017",20.45,21.14,15.15,15.15,"2,348,240","178,804,000"
"Sep 13, 2017",22.14,22.22,18.49,20.37,"2,796,610","193,629,000"
"Sep 12, 2017",23.4,24.56,21.99,22.1,"1,204,890","204,657,000"
"Sep 11, 2017",23.56,24.63,22.77,23.37,"1,249,790","206,040,000"
"Sep 10, 2017",25,25.01,21.68,23.51,"2,014,510","218,613,000"
"Sep 09, 2017",26.49,26.58,24.22,25.07,"1,276,300","231,623,000"
"Sep 08, 2017",27.83,30.05,23.33,26.27,"6,644,870","243,363,000"
"Sep 07, 2017",26.41,28.36,25.68,27.98,"2,729,340","230,995,000"
"Sep 06, 2017",25.31,28.13,25.3,26.46,"1,522,070","221,353,000"
"Sep 05, 2017",24.47,26.85,21.71,25.3,"3,089,900","213,955,000"
"Sep 04, 2017",27.65,27.7,21.81,24.3,"3,814,510","241,764,000"
"Sep 03, 2017",27.25,29.55,25.93,27.64,"2,736,900","238,326,000"
"Sep 02, 2017",32.78,33.38,25.99,27.2,"4,886,380","286,682,000"
"Sep 01, 2017",29.72,32.69,29.43,32.69,"2,788,860","259,897,000"
"Aug 31, 2017",30.3,30.3,28.65,29.65,"3,316,700","264,994,000"
"Aug 30, 2017",29.54,30.77,28.12,30.3,"4,303,180","258,328,000"
"Aug 29, 2017",30.79,32.2,29.48,29.48,"5,131,350","269,290,000"
"Aug 28, 2017",28.89,31.95,28.8,30.74,"4,693,520","252,611,000"
"Aug 27, 2017",31.67,31.67,28.5,28.87,"4,088,800","276,919,000"
"Aug 26, 2017",28.59,32.51,27.49,31.94,"5,481,720","249,989,000"
"Aug 25, 2017",26.99,30.35,26.99,28.65,"8,596,460","236,045,000"
"Aug 24, 2017",24.04,27.67,23.66,27.27,"5,336,720","210,255,000"
"Aug 23, 2017",23.68,25.03,22.9,23.87,"3,491,500","207,082,000"
"Aug 22, 2017",24.28,24.54,21.87,23.73,"4,896,740","212,347,000"
"Aug 21, 2017",22.42,26.08,22.42,24.06,"9,106,090","196,067,000"
"Aug 20, 2017",20.8,23.51,20.2,22.7,"4,714,330","181,924,000"
"Aug 19, 2017",21.74,25.5,20.91,20.91,"12,330,700","190,089,000"
"Aug 18, 2017",19.99,24.83,19.14,21.71,"12,079,700","174,831,000"
"Aug 17, 2017",19.4,20.79,18.51,19.95,"3,424,580","169,690,000"
"Aug 16, 2017",17.63,19.42,16.92,19.35,"3,078,360","154,213,000"
"Aug 15, 2017",17.33,18.94,16.58,17.62,"4,403,210","151,567,000"
"Aug 14, 2017",17.15,18.21,16.47,17.31,"4,334,200","150,152,000"
"Aug 13, 2017",19.77,19.77,16.17,17.15,"7,621,270","173,014,000"
"Aug 12, 2017",19.45,19.93,18.73,19.72,"4,171,490","170,266,000"
"Aug 11, 2017",19.51,20.7,18.87,19.36,"4,122,470","170,781,000"
"Aug 10, 2017",20.81,21.03,19.42,19.42,"2,478,460","182,172,000"
"Aug 09, 2017",20.76,21.2,19.46,20.7,"2,950,020","181,699,000"
"Aug 08, 2017",21.04,21.26,19.93,20.77,"2,529,660","184,199,000"
"Aug 07, 2017",20.36,21.33,19.14,21.33,"3,011,810","178,236,000"
"Aug 06, 2017",21.3,21.73,19.99,20.42,"1,627,170","186,407,000"
"Aug 05, 2017",18.77,21.59,18.47,21.54,"3,033,400","164,305,000"
"Aug 04, 2017",18.75,19.75,18.16,18.95,"2,416,820","164,084,000"
"Aug 03, 2017",19.41,19.43,18.69,18.76,"1,740,220","169,940,000"
"Aug 02, 2017",19.12,20.15,18.81,19.58,"3,347,300","167,394,000"
"Aug 01, 2017",16.25,20.12,16.07,19.13,"4,904,440","142,281,000"
"Jul 31, 2017",16.94,17.22,15.65,15.73,"2,688,140","148,321,000"
"Jul 30, 2017",18.48,18.56,16.39,16.93,"1,934,940","161,778,000"
"Jul 29, 2017",17.63,18.77,16,18.48,"1,974,870","154,276,000"
"Jul 28, 2017",17.77,18.46,16.66,17.69,"3,036,260","155,507,000"
"Jul 27, 2017",18.49,18.91,17.14,17.69,"1,992,980","161,818,000"
"Jul 26, 2017",18.67,19.31,17.48,18.31,"1,745,280","163,413,000"
"Jul 25, 2017",22.81,23.07,17.83,18.68,"5,684,980","199,680,000"
"Jul 24, 2017",22.5,23.37,21.26,22.75,"3,420,740","196,906,000"
"Jul 23, 2017",21.45,23.61,19.59,22.68,"5,269,690","187,713,000"
"Jul 22, 2017",17.06,22.82,16.93,21.29,"6,532,530","149,333,000"
