Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.684363,0.737588,0.662961,0.719733,"64,103","36,403,900"
"Sep 21, 2017",0.70877,0.909227,0.66915,0.690945,"233,785","37,702,200"
"Sep 20, 2017",0.654313,0.761361,0.643182,0.712267,"74,962","34,805,400"
"Sep 19, 2017",0.706345,0.714571,0.635768,0.654481,"25,746","37,573,200"
"Sep 18, 2017",0.658871,0.740914,0.658425,0.704639,"25,178","35,047,900"
"Sep 17, 2017",0.650508,0.68771,0.625638,0.660186,"10,178","34,603,000"
"Sep 16, 2017",0.679957,0.707973,0.634073,0.650951,"40,555","36,169,500"
"Sep 15, 2017",0.581574,0.744743,0.581574,0.681362,"405,170","30,936,200"
"Sep 14, 2017",0.64741,0.676324,0.543474,0.577078,"318,776","34,438,200"
"Sep 13, 2017",0.584496,0.649095,0.547536,0.647635,"119,133","31,091,600"
"Sep 12, 2017",0.602591,0.643958,0.576407,0.600565,"69,799","32,054,100"
"Sep 11, 2017",0.6411,0.655393,0.6009,0.602014,"13,309","34,102,600"
"Sep 10, 2017",0.663206,0.673976,0.600938,0.64219,"29,879","35,278,500"
"Sep 09, 2017",0.647115,0.766311,0.611991,0.652062,"169,013","34,422,500"
"Sep 08, 2017",0.588155,0.718254,0.562046,0.648067,"185,832","31,286,200"
"Sep 07, 2017",0.628796,0.633845,0.582496,0.588174,"24,375","33,448,100"
"Sep 06, 2017",0.624946,0.684789,0.61448,0.629956,"23,966","33,243,300"
"Sep 05, 2017",0.611336,0.685078,0.571308,0.619157,"158,045","32,519,300"
"Sep 04, 2017",0.600746,0.667636,0.537778,0.608181,"110,604","31,956,000"
"Sep 03, 2017",0.577354,0.613784,0.558123,0.600499,"20,550","30,711,700"
"Sep 02, 2017",0.619377,0.621651,0.557328,0.577582,"19,850","32,947,000"
"Sep 01, 2017",0.61255,0.64464,0.573727,0.618602,"70,498","32,583,900"
"Aug 31, 2017",0.632974,0.640269,0.580085,0.609359,"36,443","33,670,300"
"Aug 30, 2017",0.643167,0.677534,0.617266,0.63408,"100,656","34,212,500"
"Aug 29, 2017",0.631115,0.663581,0.612801,0.644026,"24,509","33,571,500"
"Aug 28, 2017",0.609273,0.635239,0.587706,0.630044,"37,960","32,409,500"
"Aug 27, 2017",0.615865,0.645013,0.605486,0.609912,"23,852","32,760,200"
"Aug 26, 2017",0.626749,0.640027,0.602802,0.616003,"18,837","33,339,200"
"Aug 25, 2017",0.627668,0.645004,0.603518,0.62656,"11,942","33,388,100"
"Aug 24, 2017",0.618461,0.633247,0.584294,0.628659,"43,069","32,898,300"
"Aug 23, 2017",0.594236,0.633975,0.573387,0.611112,"35,494","31,609,700"
"Aug 22, 2017",0.552169,0.620501,0.49646,0.59545,"100,658","29,372,000"
"Aug 21, 2017",0.576076,0.586712,0.536021,0.550892,"34,209","30,643,700"
"Aug 20, 2017",0.497853,0.582356,0.489474,0.578271,"40,530","26,482,700"
"Aug 19, 2017",0.494873,0.539829,0.478796,0.500187,"109,315","26,324,200"
"Aug 18, 2017",0.521838,0.536598,0.478019,0.495296,"34,670","27,758,500"
"Aug 17, 2017",0.504717,0.584341,0.488581,0.523437,"37,785","26,847,800"
"Aug 16, 2017",0.475393,0.57488,0.411913,0.505183,"184,072","25,288,000"
"Aug 15, 2017",0.432704,0.687478,0.369603,0.474871,"180,499","23,017,200"
"Aug 14, 2017",0.424314,0.440246,0.337882,0.431543,"29,449","22,570,900"
"Aug 13, 2017",0.399577,0.479843,0.387954,0.425911,"24,581","21,255,000"
"Aug 12, 2017",0.44432,0.483245,0.385285,0.399948,"57,984","23,635,100"
"Aug 11, 2017",0.45793,0.45793,0.41123,0.444666,"28,453","24,359,100"
"Aug 10, 2017",0.428972,0.49779,0.425829,0.461203,"28,325","22,818,700"
"Aug 09, 2017",0.444436,0.497967,0.418623,0.428931,"20,983","23,641,300"
"Aug 08, 2017",0.441703,0.475068,0.407355,0.444737,"19,319","23,495,900"
"Aug 07, 2017",0.454041,0.516403,0.438688,0.441257,"30,674","24,152,200"
"Aug 06, 2017",0.525861,0.539747,0.443453,0.455058,"25,340","27,972,600"
"Aug 05, 2017",0.520248,0.609927,0.52013,0.525734,"32,553","27,674,000"
"Aug 04, 2017",0.423609,0.550453,0.423609,0.519936,"122,364","22,533,400"
"Aug 03, 2017",0.315043,0.529636,0.314845,0.423715,"191,083","16,758,300"
"Aug 02, 2017",0.277027,0.363531,0.24822,0.314481,"85,257","14,736,100"
"Aug 01, 2017",0.271919,0.280346,0.20501,0.27708,"27,579","14,464,400"
"Jul 31, 2017",0.284992,0.286673,0.258047,0.274648,"11,241","15,159,800"
"Jul 30, 2017",0.260982,0.285273,0.248813,0.271066,"7,462","13,882,600"
"Jul 29, 2017",0.310681,0.311531,0.258914,0.261018,"24,609","16,526,300"
"Jul 28, 2017",0.305779,0.364625,0.255868,0.305303,"75,257","16,265,500"
"Jul 27, 2017",0.369834,0.373086,0.253465,0.30504,"133,800","19,672,900"
"Jul 26, 2017",0.396201,0.411067,0.341228,0.366924,"48,480","21,075,400"
"Jul 25, 2017",0.523435,0.527026,0.380197,0.396021,"59,291","27,843,500"
"Jul 24, 2017",0.54393,0.545399,0.513673,0.52349,"34,811","28,933,700"
"Jul 23, 2017",0.509705,0.560091,0.493234,0.544563,"95,429","27,113,200"
"Jul 22, 2017",0.454413,0.524249,0.453272,0.509704,"73,534","24,171,900"
"Jul 21, 2017",0.469727,0.543082,0.406258,0.448851,"250,224","24,986,600"
"Jul 20, 2017",0.293178,0.486743,0.291792,0.465317,"98,786","15,595,300"
"Jul 19, 2017",0.30854,0.33218,0.272742,0.294062,"82,348","16,412,400"
"Jul 18, 2017",0.313425,0.328503,0.277338,0.308049,"41,836","16,672,000"
"Jul 17, 2017",0.25671,0.315132,0.24524,0.314836,"49,686","13,654,800"
"Jul 16, 2017",0.230219,0.258678,0.216223,0.256995,"24,397","12,245,300"
"Jul 15, 2017",0.24247,0.284851,0.216661,0.230913,"108,201","12,896,600"
"Jul 14, 2017",0.23642,0.253101,0.207977,0.244065,"43,424","12,574,300"
"Jul 13, 2017",0.246829,0.252052,0.235354,0.236593,"12,745","13,127,600"
"Jul 12, 2017",0.245083,0.283919,0.232599,0.246692,"46,015","13,034,400"
"Jul 11, 2017",0.291607,0.305819,0.2281,0.246307,"109,456","15,508,400"
"Jul 10, 2017",0.278358,0.332372,0.241536,0.307051,"177,326","14,803,500"
"Jul 09, 2017",0.287237,0.30664,0.255315,0.277817,"48,283","15,275,200"
"Jul 08, 2017",0.275531,0.29234,0.261011,0.28698,"37,998","14,652,600"
"Jul 07, 2017",0.267984,0.305511,0.247596,0.2753,"163,513","14,251,100"
"Jul 06, 2017",0.242142,0.308764,0.235646,0.267787,"61,821","12,876,700"
"Jul 05, 2017",0.23905,0.274931,0.211216,0.242022,"78,337","12,712,000"
"Jul 04, 2017",0.279019,0.284028,0.230043,0.239179,"41,287","14,836,900"
"Jul 03, 2017",0.269236,0.297046,0.262053,0.279654,"67,265","14,316,300"
"Jul 02, 2017",0.297291,0.307837,0.246515,0.270231,"118,079","15,807,500"
"Jul 01, 2017",0.22777,0.301668,0.226158,0.298482,"111,923","12,110,500"
"Jun 30, 2017",0.262968,0.271835,0.226787,0.227857,"44,610","13,981,500"
"Jun 29, 2017",0.229593,0.280847,0.215016,0.262446,"55,513","12,206,600"
"Jun 28, 2017",0.207512,0.278349,0.19344,0.2231,"127,752","11,032,200"
"Jun 27, 2017",0.184927,0.275063,0.16967,0.198699,"335,479","9,831,110"
"Jun 26, 2017",0.164714,0.261677,0.144088,0.184927,"140,590","8,756,120"
"Jun 25, 2017",0.198949,0.201867,0.153545,0.160303,"43,174","10,575,500"
"Jun 24, 2017",0.184898,0.296673,0.17593,0.199407,"216,590","9,828,160"
"Jun 23, 2017",0.144765,0.245335,0.121165,0.184919,"159,973","7,694,630"
"Jun 22, 2017",0.15285,0.159986,0.134199,0.144765,"100,271","8,123,850"
"Jun 21, 2017",0.207198,0.274775,0.147334,0.152601,"668,856","11,011,100"
"Jun 20, 2017",0.089029,0.437904,0.089004,0.201803,"1,657,930","4,730,770"
"Jun 19, 2017",0.092971,0.099957,0.087555,0.089029,"10,268","4,940,060"
"Jun 18, 2017",0.094924,0.096423,0.089928,0.092971,"2,221","5,043,610"
"Jun 17, 2017",0.092451,0.098322,0.092301,0.094924,"2,238","4,911,690"
"Jun 16, 2017",0.083227,0.099945,0.080438,0.098222,"11,843","4,421,470"
"Jun 15, 2017",0.087728,0.094814,0.072362,0.083289,"7,480","4,660,390"
"Jun 14, 2017",0.09746,0.100269,0.084274,0.087732,"8,062","5,177,280"
"Jun 13, 2017",0.09015,0.098478,0.089836,0.097517,"7,375","4,788,860"
"Jun 12, 2017",0.100923,0.105867,0.08577,0.090452,"8,436","5,361,060"
"Jun 11, 2017",0.101368,0.106747,0.09696,0.101385,"5,264","5,384,640"
"Jun 10, 2017",0.10553,0.112055,0.101051,0.101426,"8,297","5,605,670"
"Jun 09, 2017",0.105693,0.109477,0.101368,0.105372,"16,411","5,614,260"
"Jun 08, 2017",0.097134,0.106227,0.092962,0.105861,"19,847","5,159,520"
"Jun 07, 2017",0.11699,0.121334,0.094981,0.096648,"11,713","6,213,980"
"Jun 06, 2017",0.110702,0.121937,0.095888,0.117043,"19,559","5,879,250"
"Jun 05, 2017",0.087711,0.117865,0.08614,0.110368,"73,019","4,658,060"
"Jun 04, 2017",0.085677,0.088036,0.083674,0.087695,"13,496","4,550,020"
"Jun 03, 2017",0.085681,0.086397,0.077125,0.085909,"12,900","4,550,160"
"Jun 02, 2017",0.081349,0.085719,0.074886,0.085719,"3,330","4,320,000"
"Jun 01, 2017",0.069823,0.090691,0.069496,0.081048,"3,733","3,707,850"
"May 31, 2017",0.061389,0.076504,0.061389,0.069304,"3,169","3,259,970"
"May 30, 2017",0.068655,0.074788,0.060852,0.06115,"10,026","3,645,760"
"May 29, 2017",0.068842,0.074696,0.062585,0.068575,"8,764","3,655,650"
"May 28, 2017",0.050068,0.082024,0.049394,0.068982,"26,314","2,658,650"
"May 27, 2017",0.064204,0.068316,0.045466,0.049771,"9,143","3,409,210"
"May 26, 2017",0.070454,0.077926,0.05787,0.059331,"9,505","3,741,000"
"May 25, 2017",0.06538,0.100976,0.061502,0.070652,"25,384","3,471,170"
"May 24, 2017",0.07104,0.075456,0.060684,0.065503,"6,913","3,771,570"
"May 23, 2017",0.052247,0.072385,0.052247,0.070955,"12,259","2,773,750"
"May 22, 2017",0.059757,0.064417,0.050141,0.052323,"14,276","3,172,410"
"May 21, 2017",0.059678,0.064066,0.051107,0.059557,"6,102","3,168,160"
"May 20, 2017",0.054183,0.05971,0.053464,0.059699,713,"2,876,160"
"May 19, 2017",0.054779,0.058674,0.04662,0.054242,"5,614","2,907,720"
"May 18, 2017",0.05728,0.058837,0.053781,0.054747,"3,024","3,040,440"
"May 17, 2017",0.053379,0.057794,0.052754,0.056803,"6,664","2,833,230"
"May 16, 2017",0.05501,0.057181,0.051746,0.053393,"2,866","2,919,750"
"May 15, 2017",0.057004,0.057092,0.052174,0.055091,340,"3,025,580"
"May 14, 2017",0.054338,0.056999,0.054067,0.056971,"2,659","2,884,020"
"May 13, 2017",0.059717,0.060297,0.05053,0.054165,"2,444","3,169,460"
"May 12, 2017",0.058871,0.063953,0.056596,0.05984,191,"3,124,500"
"May 11, 2017",0.059,0.065053,0.058031,0.058812,"1,317","3,131,330"
"May 10, 2017",0.065492,0.065683,0.058555,0.058895,"3,091","3,475,460"
"May 09, 2017",0.06335,0.067952,0.059692,0.065461,"2,979","3,361,720"
"May 08, 2017",0.057482,0.063339,0.057482,0.063339,"1,483","3,050,240"
"May 07, 2017",0.061747,0.061964,0.056917,0.057482,534,"3,276,520"
"May 06, 2017",0.059356,0.061743,0.056544,0.061743,757,"3,149,610"
"May 05, 2017",0.060138,0.063522,0.056484,0.059373,"1,074","3,191,070"
"May 04, 2017",0.062584,0.067238,0.056815,0.059992,"7,726","3,320,770"
"May 03, 2017",0.055948,0.062617,0.055584,0.06253,"2,028","2,968,640"
"May 02, 2017",0.057731,0.061874,0.055166,0.055949,"5,436","3,063,220"
"May 01, 2017",0.056598,0.059954,0.054315,0.057768,631,"3,003,060"
"Apr 30, 2017",0.052872,0.058328,0.049271,0.056599,"2,232","2,805,300"
"Apr 29, 2017",0.048855,0.052987,0.048855,0.052861,39,"2,592,130"
"Apr 28, 2017",0.052762,0.052763,0.048359,0.048868,400,"2,799,350"
"Apr 27, 2017",0.051871,0.053003,0.048262,0.052762,"1,424","2,751,720"
"Apr 26, 2017",0.050734,0.052581,0.049421,0.051871,797,"2,691,350"
"Apr 25, 2017",0.046831,0.057249,0.045549,0.050726,"7,290","2,484,280"
"Apr 24, 2017",0.04859,0.048827,0.04318,0.046838,"1,516","2,577,590"
"Apr 23, 2017",0.043122,0.049543,0.042981,0.048572,"1,985","2,287,480"
"Apr 22, 2017",0.040731,0.047744,0.040681,0.043137,896,"2,160,580"
"Apr 21, 2017",0.038175,0.041423,0.038094,0.040714,"2,448","2,024,970"
"Apr 20, 2017",0.038741,0.043825,0.037896,0.038173,"3,141","2,054,970"
"Apr 19, 2017",0.039379,0.049468,0.035591,0.03873,"5,404","2,088,790"
"Apr 18, 2017",0.037608,0.049669,0.033901,0.03801,"10,475","1,994,810"
"Apr 17, 2017",0.037272,0.037639,0.036833,0.037611,10,"1,976,970"
"Apr 16, 2017",0.034003,0.037397,0.034003,0.03727,459,"1,803,540"
"Apr 15, 2017",0.037887,0.038456,0.033858,0.034002,"2,295","2,009,510"
"Apr 14, 2017",0.037639,0.038332,0.037334,0.037895,58,"1,996,350"
"Apr 13, 2017",0.037212,0.038934,0.034722,0.03763,"1,404","1,973,660"
"Apr 12, 2017",0.037355,0.037421,0.0371,0.037226,7,"1,981,250"
"Apr 11, 2017",0.038879,0.03891,0.036832,0.037379,125,"2,061,950"
"Apr 10, 2017",0.036824,0.038893,0.036793,0.03886,16,"1,952,910"
"Apr 09, 2017",0.037042,0.037233,0.036445,0.036824,117,"1,964,400"
"Apr 08, 2017",0.037367,0.037386,0.036621,0.037033,19,"1,981,490"
"Apr 07, 2017",0.037846,0.039169,0.036498,0.037345,"1,398","2,006,830"
"Apr 06, 2017",0.037444,0.039442,0.036716,0.037865,65,"1,985,450"
"Apr 05, 2017",0.036808,0.040831,0.034668,0.037395,"2,153","1,951,600"
"Apr 04, 2017",0.037162,0.037584,0.036417,0.036793,3,"1,970,290"
"Apr 03, 2017",0.037628,0.038871,0.03518,0.037162,"1,196","1,994,880"
"Apr 02, 2017",0.038034,0.038049,0.033893,0.037624,"1,303","2,016,270"
"Apr 01, 2017",0.036795,0.040844,0.03404,0.038026,"1,064","1,950,500"
"Mar 31, 2017",0.035781,0.041353,0.03418,0.036783,"1,008","1,896,660"
"Mar 30, 2017",0.034995,0.036029,0.03383,0.035776,"1,909","1,854,860"
"Mar 29, 2017",0.036629,0.036629,0.033932,0.034995,436,"1,941,350"
"Mar 28, 2017",0.039122,0.039122,0.033598,0.036641,30,"2,073,370"
"Mar 27, 2017",0.03756,0.039947,0.036246,0.039146,407,"1,990,480"
"Mar 26, 2017",0.037938,0.038793,0.03269,0.037796,"3,418","2,010,490"
"Mar 25, 2017",0.035363,0.038886,0.031025,0.038017,"1,266","1,873,980"
"Mar 24, 2017",0.039466,0.044517,0.032467,0.035363,"4,337","2,091,380"
"Mar 23, 2017",0.028467,0.039464,0.025277,0.039456,"4,174","1,508,480"
"Mar 22, 2017",0.02584,0.030898,0.025162,0.028449,"3,331","1,369,220"
"Mar 21, 2017",0.022722,0.025883,0.022264,0.025825,"1,774","1,203,990"
"Mar 20, 2017",0.019998,0.022785,0.018721,0.022678,"3,153","1,059,620"
"Mar 19, 2017",0.018697,0.021772,0.01787,0.020014,"1,554","990,684"
"Mar 18, 2017",0.022467,0.022749,0.018387,0.018688,"1,612","1,190,360"
"Mar 17, 2017",0.024885,0.024885,0.021516,0.022453,"2,047","1,318,420"
"Mar 16, 2017",0.025005,0.025629,0.023742,0.024885,"2,601","1,324,740"
"Mar 15, 2017",0.02847,0.028483,0.024889,0.025005,"1,177","1,508,280"
"Mar 14, 2017",0.02895,0.03084,0.02546,0.028472,"5,364","1,533,680"
"Mar 13, 2017",0.026992,0.029617,0.025662,0.028921,422,"1,429,900"
"Mar 12, 2017",0.025868,0.027116,0.025023,0.026993,109,"1,370,330"
"Mar 11, 2017",0.027203,0.028024,0.025248,0.025855,289,"1,441,030"
"Mar 10, 2017",0.025184,0.027842,0.023699,0.027196,370,"1,334,060"
"Mar 09, 2017",0.028037,0.02813,0.024348,0.025181,689,"1,485,160"
"Mar 08, 2017",0.029881,0.03004,0.026622,0.028037,37,"1,582,790"
"Mar 07, 2017",0.031079,0.031136,0.029409,0.030159,71,"1,646,190"
"Mar 06, 2017",0.030474,0.031096,0.027393,0.031067,494,"1,614,120"
"Mar 05, 2017",0.025417,0.030478,0.022812,0.030478,"3,389","1,346,200"
"Mar 04, 2017",0.024646,0.025707,0.024224,0.025428,281,"1,305,330"
"Mar 03, 2017",0.023156,0.025939,0.023097,0.024649,166,"1,226,420"
"Mar 02, 2017",0.024572,0.025916,0.02261,0.025756,"1,125","1,301,400"
"Mar 01, 2017",0.023599,0.024923,0.022391,0.024572,182,"1,249,870"
