Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.23,1.28,1.22,1.24,"31,200","20,095,100"
"Sep 21, 2017",1.37,1.53,1.21,1.23,"110,599","22,333,900"
"Sep 20, 2017",1.32,1.44,1.29,1.36,"220,071","21,634,000"
"Sep 19, 2017",1.37,1.4,1.28,1.33,"15,472","22,303,400"
"Sep 18, 2017",1.22,1.41,1.21,1.37,"35,832","19,787,200"
"Sep 17, 2017",1.23,1.28,1.15,1.22,"24,611","20,009,900"
"Sep 16, 2017",1.27,1.36,1.19,1.23,"36,795","20,678,100"
"Sep 15, 2017",1.09,1.29,0.972576,1.28,"55,298","17,580,300"
"Sep 14, 2017",1.4,1.45,1.03,1.08,"63,344","22,647,000"
"Sep 13, 2017",1.5,1.5,1.34,1.4,"57,466","24,246,800"
"Sep 12, 2017",1.5,1.68,1.48,1.5,"145,328","24,194,500"
"Sep 11, 2017",1.65,1.71,1.48,1.5,"205,320","26,677,400"
"Sep 10, 2017",2.07,2.23,1.51,1.66,"1,323,420","33,380,700"
"Sep 09, 2017",1.31,2.72,1.26,2.08,"3,110,080","21,086,100"
"Sep 08, 2017",1.48,1.48,1.22,1.31,"50,585","23,725,500"
"Sep 07, 2017",1.48,1.53,1.41,1.48,"18,920","23,673,000"
"Sep 06, 2017",1.38,1.54,1.38,1.48,"16,583","22,065,700"
"Sep 05, 2017",1.37,1.52,1.27,1.38,"70,096","21,880,700"
"Sep 04, 2017",1.61,1.63,1.29,1.36,"81,429","25,725,500"
"Sep 03, 2017",1.68,1.71,1.53,1.61,"38,141","26,796,600"
"Sep 02, 2017",1.82,1.83,1.61,1.64,"72,077","28,917,100"
"Sep 01, 2017",1.85,1.95,1.76,1.81,"115,998","29,370,300"
"Aug 31, 2017",1.62,1.87,1.62,1.81,"95,076","25,662,300"
"Aug 30, 2017",1.7,1.73,1.6,1.62,"32,636","26,919,000"
"Aug 29, 2017",1.73,1.79,1.62,1.7,"103,140","27,431,300"
"Aug 28, 2017",1.62,1.73,1.59,1.73,"66,836","25,534,500"
"Aug 27, 2017",1.69,1.71,1.55,1.62,"30,136","26,733,600"
"Aug 26, 2017",1.66,1.68,1.52,1.65,"34,799","26,140,400"
"Aug 25, 2017",1.74,1.78,1.57,1.61,"84,521","27,316,200"
"Aug 24, 2017",1.66,1.88,1.47,1.74,"241,331","26,041,200"
"Aug 23, 2017",1.66,1.8,1.65,1.66,"54,265","26,034,200"
"Aug 22, 2017",1.66,1.9,1.6,1.66,"193,917","26,082,000"
"Aug 21, 2017",1.54,1.72,1.54,1.66,"59,142","24,139,500"
"Aug 20, 2017",1.58,1.7,1.51,1.55,"130,260","24,608,500"
"Aug 19, 2017",1.59,1.77,1.54,1.58,"96,057","24,725,600"
"Aug 18, 2017",1.71,1.75,1.55,1.59,"74,290","26,624,600"
"Aug 17, 2017",1.76,1.88,1.63,1.71,"133,933","27,304,500"
