Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.31175,0.316923,0.292335,0.292335,"214,497","28,217,100"
"Sep 21, 2017",0.325335,0.348068,0.31381,0.31651,"201,622","29,430,500"
"Sep 20, 2017",0.33445,0.352098,0.321213,0.325778,"292,539","30,238,500"
"Sep 19, 2017",0.375174,0.413413,0.321698,0.335104,"414,608","33,901,800"
"Sep 18, 2017",0.348356,0.395631,0.330722,0.375764,"409,524","31,460,900"
"Sep 17, 2017",0.340812,0.371122,0.324054,0.343321,"281,414","30,762,600"
"Sep 16, 2017",0.317304,0.364705,0.302922,0.34145,"273,695","28,624,800"
"Sep 15, 2017",0.363964,0.374905,0.290108,0.320069,"371,590","32,816,000"
"Sep 14, 2017",0.402416,0.413485,0.348027,0.365854,"411,227","36,262,600"
"Sep 13, 2017",0.432387,0.438417,0.398621,0.406048,"296,418","38,941,800"
"Sep 12, 2017",0.431921,0.457063,0.426001,0.430921,"258,058","38,878,500"
"Sep 11, 2017",0.443017,0.458152,0.430551,0.431946,"323,997","39,855,100"
"Sep 10, 2017",0.451009,0.466023,0.4322,0.437135,"325,419","40,551,500"
"Sep 09, 2017",0.450749,0.465457,0.42122,0.456097,"391,247","40,505,800"
"Sep 08, 2017",0.479352,0.48469,0.388519,0.461187,"404,499","43,052,400"
"Sep 07, 2017",0.486067,0.490705,0.453809,0.482519,"327,225","43,223,100"
"Sep 06, 2017",0.471198,0.491805,0.465406,0.487444,"293,210","42,272,400"
"Sep 05, 2017",0.467832,0.479389,0.427238,0.47004,"364,135","41,567,600"
"Sep 04, 2017",0.503375,0.510538,0.418967,0.46523,"369,828","44,707,100"
"Sep 03, 2017",0.51168,0.52166,0.493736,0.502631,"402,908","45,425,800"
"Sep 02, 2017",0.524565,0.52771,0.504894,0.5196,"327,948","46,550,800"
"Sep 01, 2017",0.521122,0.544482,0.51377,0.527792,"314,481","46,226,600"
"Aug 31, 2017",0.513344,0.532807,0.505582,0.521082,"326,837","45,514,900"
"Aug 30, 2017",0.518588,0.525734,0.5047,0.513521,"325,981","45,960,700"
