Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.457459,0.473203,0.442533,0.448218,"51,277","24,748,200"
"Sep 21, 2017",0.475418,0.491299,0.44665,0.453647,"82,793","25,709,000"
"Sep 20, 2017",0.454985,0.499294,0.444207,0.47759,"110,481","24,593,800"
"Sep 19, 2017",0.463559,0.467062,0.436622,0.449215,"64,115","25,046,500"
"Sep 18, 2017",0.422888,0.480447,0.422888,0.466362,"90,432","22,839,600"
"Sep 17, 2017",0.428403,0.436171,0.40467,0.418483,"27,481","23,127,600"
"Sep 16, 2017",0.427176,0.471101,0.412788,0.427467,"132,884","23,051,700"
"Sep 15, 2017",0.388023,0.449133,0.35152,0.429105,"142,411","20,930,000"
"Sep 14, 2017",0.478992,0.485411,0.388856,0.388856,"150,380","25,826,000"
"Sep 13, 2017",0.508714,0.508714,0.465621,0.479597,"131,829","27,417,000"
"Sep 12, 2017",0.514134,0.53325,0.502227,0.510081,"97,553","27,697,400"
"Sep 11, 2017",0.506757,0.524352,0.486871,0.508828,"158,193","27,288,500"
"Sep 10, 2017",0.511143,0.514086,0.481943,0.506391,"79,256","27,513,200"
"Sep 09, 2017",0.523442,0.531647,0.504121,0.511343,"80,159","28,163,300"
"Sep 08, 2017",0.562184,0.562184,0.509025,0.52264,"165,139","30,234,600"
"Sep 07, 2017",0.582461,0.624885,0.540204,0.562123,"427,223","31,311,900"
"Sep 06, 2017",0.508904,0.607256,0.507976,0.583702,"609,231","27,346,100"
"Sep 05, 2017",0.536898,0.536898,0.474001,0.513977,"315,414","28,838,000"
"Sep 04, 2017",0.513969,0.625529,0.504216,0.536666,"787,502","27,594,600"
"Sep 03, 2017",0.496491,0.525381,0.486588,0.508075,"165,159","26,644,900"
"Sep 02, 2017",0.501498,0.516434,0.478736,0.496026,"221,424","26,902,100"
"Sep 01, 2017",0.484558,0.511737,0.476951,0.500976,"177,649","25,982,300"
"Aug 31, 2017",0.471933,0.493794,0.465916,0.484205,"175,800","25,294,600"
"Aug 30, 2017",0.488927,0.497681,0.468669,0.472511,"189,210","26,194,200"
"Aug 29, 2017",0.491856,0.501194,0.452828,0.486759,"143,241","26,339,900"
"Aug 28, 2017",0.493069,0.526332,0.42948,0.48332,"298,087","26,393,500"
"Aug 27, 2017",0.501966,0.67304,0.483306,0.493588,"545,338","26,858,200"
"Aug 26, 2017",0.432562,0.52834,0.424598,0.502221,"299,798","23,134,900"
"Aug 25, 2017",0.415978,0.474573,0.413353,0.432432,"146,796","22,238,300"
"Aug 24, 2017",0.406626,0.429625,0.405417,0.4168,"109,636","21,729,100"
