Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.31,1.38,1.3,1.34,"144,795","19,238,100"
"Sep 21, 2017",1.36,1.41,1.21,1.22,"124,760","20,028,900"
"Sep 20, 2017",1.47,1.5,1.35,1.37,"63,952","21,597,400"
"Sep 19, 2017",1.53,1.66,1.4,1.47,"127,061","22,554,500"
"Sep 18, 2017",1.31,1.55,1.18,1.54,"79,746","19,307,900"
"Sep 17, 2017",1.23,1.37,1.13,1.31,"92,170","18,072,000"
"Sep 16, 2017",1.12,1.41,1.1,1.23,"163,751","16,539,500"
"Sep 15, 2017",0.90299,1.15,0.691836,1.13,"127,502","13,306,800"
"Sep 14, 2017",1.43,1.57,0.887899,0.902557,"197,436","21,049,600"
"Sep 13, 2017",1.5,1.54,1.31,1.43,"117,384","22,065,900"
"Sep 12, 2017",1.55,1.63,1.46,1.5,"115,829","22,897,600"
"Sep 11, 2017",1.58,1.64,1.51,1.55,"83,098","23,294,000"
"Sep 10, 2017",1.67,1.7,1.52,1.58,"87,060","24,683,100"
"Sep 09, 2017",1.58,1.68,1.52,1.67,"71,411","23,215,500"
"Sep 08, 2017",1.87,1.88,1.54,1.57,"132,662","27,535,800"
"Sep 07, 2017",1.86,2,1.78,1.88,"118,540","27,367,200"
"Sep 06, 2017",1.8,1.92,1.78,1.85,"136,430","26,465,800"
"Sep 05, 2017",1.66,1.84,1.52,1.8,"197,545","24,487,700"
"Sep 04, 2017",2,2,1.64,1.67,"149,983","29,429,300"
"Sep 03, 2017",1.97,2.02,1.86,2,"100,735","29,088,300"
"Sep 02, 2017",2.16,2.16,1.91,1.98,"94,645","31,883,600"
"Sep 01, 2017",2.08,2.18,2,2.15,"172,163","30,687,600"
"Aug 31, 2017",1.92,2.12,1.92,2.08,"156,628","28,309,900"
"Aug 30, 2017",2.08,2.12,1.86,1.92,"143,464","30,586,500"
"Aug 29, 2017",2.13,2.14,2.04,2.1,"117,658","31,437,700"
"Aug 28, 2017",2.2,2.21,2.02,2.1,"218,097","32,348,200"
"Aug 27, 2017",2.33,2.37,2.04,2.17,"272,998","34,287,200"
"Aug 26, 2017",1.89,2.56,1.88,2.33,"439,888","27,839,300"
"Aug 25, 2017",1.9,2.02,1.84,1.87,"170,196","27,979,600"
"Aug 24, 2017",1.87,1.91,1.83,1.9,"80,062","27,537,900"
"Aug 23, 2017",1.83,2.07,1.78,1.86,"214,316","26,901,200"
"Aug 22, 2017",1.92,2.01,1.71,1.83,"127,719","28,267,400"
"Aug 21, 2017",1.69,2.32,1.66,1.98,"299,680","24,898,600"
"Aug 20, 2017",1.68,1.74,1.66,1.7,"87,128","24,820,600"
"Aug 19, 2017",1.7,1.78,1.6,1.69,"72,706","25,053,400"
"Aug 18, 2017",1.76,1.86,1.66,1.7,"118,301","25,953,900"
"Aug 17, 2017",1.77,1.79,1.67,1.77,"104,867","26,036,500"
"Aug 16, 2017",1.87,2.25,1.7,1.76,"326,922","27,515,900"
"Aug 15, 2017",1.72,1.84,1.6,1.8,"109,408","25,337,600"
"Aug 14, 2017",1.77,1.88,1.61,1.71,"93,611","26,143,000"
"Aug 13, 2017",1.72,1.91,1.62,1.87,"126,602","25,347,100"
"Aug 12, 2017",1.85,1.89,1.7,1.74,"112,573","27,268,900"
"Aug 11, 2017",1.97,1.97,1.82,1.89,"86,841","28,975,000"
"Aug 10, 2017",1.97,2.01,1.93,1.96,"71,060","29,063,900"
"Aug 09, 2017",2.06,2.06,1.92,1.98,"67,945","30,293,300"
"Aug 08, 2017",2.06,2.11,1.94,2.05,"121,597","30,368,800"
"Aug 07, 2017",2.06,2.26,2,2.06,"143,535","30,329,800"
"Aug 06, 2017",1.96,2.25,1.9,2.04,"208,480","28,951,400"
"Aug 05, 2017",1.82,2.03,1.81,1.94,"188,417","26,888,000"
"Aug 04, 2017",1.82,1.89,1.79,1.82,"73,373","26,872,600"
"Aug 03, 2017",1.86,1.91,1.76,1.82,"94,008","27,344,200"
"Aug 02, 2017",1.68,1.99,1.67,1.86,"139,777","24,694,100"
"Aug 01, 2017",1.65,1.74,1.61,1.67,"72,467","24,269,600"
"Jul 31, 2017",1.71,1.83,1.62,1.66,"79,162","25,236,700"
"Jul 30, 2017",1.79,1.81,1.66,1.68,"73,229","26,401,400"
"Jul 29, 2017",2.01,2.09,1.69,1.77,"157,435","29,618,500"
"Jul 28, 2017",1.79,2.21,1.7,1.96,"392,769","26,423,600"
