Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.24,1.31,1.23,1.29,"244,848","30,148,200"
"Sep 21, 2017",1.35,1.48,1.2,1.2,"339,601","32,906,700"
"Sep 20, 2017",1.4,1.41,1.35,1.36,"222,565","34,016,300"
"Sep 19, 2017",1.5,1.53,1.39,1.4,"182,994","36,505,600"
"Sep 18, 2017",1.32,1.52,1.32,1.49,"312,503","32,151,500"
"Sep 17, 2017",1.23,1.35,1.19,1.32,"153,578","29,898,300"
"Sep 16, 2017",1.15,1.26,1.12,1.23,"404,262","28,063,700"
"Sep 15, 2017",1.14,1.2,0.831695,1.15,"627,973","27,695,900"
"Sep 14, 2017",1.39,1.58,1.13,1.13,"571,808","33,873,700"
"Sep 13, 2017",1.49,1.5,1.33,1.4,"301,995","36,177,900"
"Sep 12, 2017",1.43,1.61,1.4,1.49,"702,619","34,858,000"
"Sep 11, 2017",1.42,1.49,1.37,1.43,"392,076","34,468,100"
"Sep 10, 2017",1.52,1.53,1.28,1.42,"320,953","36,898,600"
"Sep 09, 2017",1.52,1.59,1.47,1.53,"302,655","36,990,100"
"Sep 08, 2017",1.83,1.85,1.44,1.53,"602,364","44,410,000"
"Sep 07, 2017",1.92,1.93,1.82,1.82,"603,041","46,572,400"
"Sep 06, 2017",1.72,1.94,1.71,1.92,"977,506","41,809,100"
"Sep 05, 2017",1.5,1.72,1.33,1.72,"603,846","36,547,100"
"Sep 04, 2017",1.83,1.84,1.4,1.48,"652,066","44,564,200"
"Sep 03, 2017",1.92,1.96,1.79,1.83,"293,693","46,562,300"
"Sep 02, 2017",2.04,2.1,1.87,1.92,"432,691","49,525,400"
"Sep 01, 2017",2.03,2.08,1.94,2.04,"581,038","49,243,800"
"Aug 31, 2017",1.86,2.05,1.86,1.97,"556,449","45,232,000"
"Aug 30, 2017",1.94,1.97,1.84,1.87,"505,299","47,089,100"
"Aug 29, 2017",2.02,2.09,1.93,1.94,"461,871","49,115,000"
"Aug 28, 2017",2,2.09,1.86,2.02,"907,472","48,634,900"
"Aug 27, 2017",2.15,2.19,1.97,1.97,"1,217,530","52,260,000"
"Aug 26, 2017",2.01,2.56,1.96,2.16,"4,080,590","48,722,600"
"Aug 25, 2017",1.68,2.57,1.66,1.99,"3,690,570","40,861,900"
"Aug 24, 2017",1.7,1.74,1.66,1.68,"435,387","41,326,300"
"Aug 23, 2017",1.62,1.75,1.61,1.7,"597,822","39,409,300"
