Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.06985,0.074335,0.065358,0.068465,"150,287","15,228,300"
"Sep 21, 2017",0.074979,0.080662,0.069672,0.070028,"300,053","16,344,900"
"Sep 20, 2017",0.076325,0.080842,0.075008,0.075324,"130,885","16,637,900"
"Sep 19, 2017",0.078755,0.079641,0.074036,0.076046,"123,236","17,166,700"
"Sep 18, 2017",0.070945,0.079522,0.070945,0.078695,"121,747","15,464,200"
"Sep 17, 2017",0.07327,0.077348,0.065973,0.071086,"243,875","15,970,300"
"Sep 16, 2017",0.070189,0.076631,0.067213,0.072984,"167,491","15,298,800"
"Sep 15, 2017",0.066303,0.077237,0.054277,0.070316,"525,652","14,451,400"
"Sep 14, 2017",0.081463,0.091009,0.065536,0.065536,"513,013","17,755,500"
"Sep 13, 2017",0.090347,0.111626,0.081249,0.081506,"2,082,550","19,690,300"
"Sep 12, 2017",0.084745,0.093035,0.084745,0.090767,"288,035","18,468,800"
"Sep 11, 2017",0.084714,0.088647,0.083312,0.084684,"162,457","18,461,200"
"Sep 10, 2017",0.093729,0.094274,0.083632,0.084734,"263,268","20,424,800"
"Sep 09, 2017",0.091096,0.094865,0.088915,0.094847,"91,376","19,849,400"
"Sep 08, 2017",0.102727,0.102727,0.086825,0.091343,"167,821","22,383,300"
"Sep 07, 2017",0.101082,0.10455,0.097707,0.103325,"240,821","22,023,400"
"Sep 06, 2017",0.09651,0.105994,0.095597,0.101187,"243,204","21,024,100"
"Sep 05, 2017",0.094386,0.104765,0.086164,0.0959,"406,888","20,559,700"
"Sep 04, 2017",0.10789,0.117308,0.090193,0.093805,"509,259","23,500,600"
"Sep 03, 2017",0.105002,0.120114,0.09698,0.107854,"963,183","22,871,000"
"Sep 02, 2017",0.11828,0.120811,0.102324,0.104955,"186,167","25,762,300"
"Sep 01, 2017",0.118221,0.12115,0.109797,0.118131,"738,875","25,749,100"
"Aug 31, 2017",0.122384,0.125614,0.117125,0.118852,"367,162","26,655,100"
"Aug 30, 2017",0.122666,0.125617,0.115541,0.122566,"314,730","26,715,100"
"Aug 29, 2017",0.127638,0.130579,0.121907,0.122797,"568,560","27,797,400"
"Aug 28, 2017",0.127404,0.129545,0.124013,0.127216,"266,901","27,743,600"
"Aug 27, 2017",0.129514,0.1315,0.127043,0.127734,"226,375","28,201,000"
"Aug 26, 2017",0.132505,0.132505,0.127524,0.129458,"298,391","28,851,800"
"Aug 25, 2017",0.129026,0.153818,0.127784,0.132445,"835,677","28,093,100"
"Aug 24, 2017",0.124573,0.129483,0.123863,0.129483,"144,752","27,122,400"
"Aug 23, 2017",0.12663,0.131402,0.120756,0.124493,"284,510","27,569,200"
"Aug 22, 2017",0.128051,0.133774,0.111215,0.126862,"516,352","27,874,900"
"Aug 21, 2017",0.131545,0.13564,0.127569,0.127756,"381,484","28,634,400"
"Aug 20, 2017",0.136016,0.138628,0.13105,0.132057,"202,042","29,607,000"
"Aug 19, 2017",0.140118,0.145571,0.127095,0.13647,"648,379","30,499,400"
"Aug 18, 2017",0.146028,0.158719,0.13571,0.141424,"1,613,550","31,784,700"
"Aug 17, 2017",0.140178,0.150054,0.127899,0.145637,"343,807","30,510,900"
"Aug 16, 2017",0.132936,0.14045,0.122018,0.14045,"264,588","28,934,200"
"Aug 15, 2017",0.135267,0.136523,0.119233,0.132556,"268,235","29,438,300"
"Aug 14, 2017",0.130156,0.134903,0.125741,0.134903,"319,206","28,324,100"
"Aug 13, 2017",0.12251,0.136913,0.12251,0.129904,"354,984","26,658,100"
"Aug 12, 2017",0.121417,0.129718,0.11447,0.125303,"596,410","26,416,800"
"Aug 11, 2017",0.114521,0.139491,0.113899,0.121727,"1,050,310","24,916,200"
