Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",4.34,4.42,3.95,4.22,"140,465","14,547,500"
"Sep 21, 2017",4.69,4.9,4.31,4.35,"251,154","15,710,300"
"Sep 20, 2017",4.64,4.85,4.52,4.71,"95,761","15,554,700"
"Sep 19, 2017",5.09,5.1,4.58,4.65,"156,548","17,048,900"
"Sep 18, 2017",4.64,5.12,4.64,5.1,"126,728","15,545,700"
"Sep 17, 2017",4.7,4.75,4.29,4.65,"244,772","15,718,600"
"Sep 16, 2017",4.77,5.01,4.53,4.7,"106,276","15,965,700"
"Sep 15, 2017",3.97,4.87,3.61,4.77,"136,567","13,270,300"
"Sep 14, 2017",5.02,5.13,3.94,3.94,"206,841","16,803,500"
"Sep 13, 2017",5.8,5.8,4.87,5.09,"222,104","19,401,700"
"Sep 12, 2017",5.46,5.97,5.31,5.83,"468,548","18,246,600"
"Sep 11, 2017",5.85,6.1,5.4,5.45,"278,313","19,547,900"
"Sep 10, 2017",6.12,6.23,5.69,5.86,"295,648","20,454,800"
"Sep 09, 2017",5.91,6.29,5.71,6.2,"159,688","19,747,500"
"Sep 08, 2017",6.92,6.92,5.72,5.9,"313,915","23,106,000"
"Sep 07, 2017",6.94,7.05,6.4,6.85,"516,277","23,186,100"
"Sep 06, 2017",7.26,7.94,6.83,6.95,"706,651","24,254,800"
"Sep 05, 2017",6.42,7.39,5.58,7.25,"598,735","21,433,800"
"Sep 04, 2017",7.85,8.15,6.03,6.47,"1,145,150","26,215,500"
"Sep 03, 2017",7.36,8.31,6.79,7.87,"1,297,310","24,559,400"
"Sep 02, 2017",6.63,7.37,6.15,7.37,"797,388","22,121,200"
"Sep 01, 2017",6.31,6.69,6.19,6.5,"518,270","21,047,500"
"Aug 31, 2017",6.52,6.71,6.21,6.31,"340,065","21,754,800"
"Aug 30, 2017",5.9,6.73,5.9,6.53,"422,199","19,685,700"
"Aug 29, 2017",5.96,6.14,5.77,5.88,"246,315","19,885,800"
"Aug 28, 2017",5.69,5.98,5.42,5.95,"162,366","18,949,400"
"Aug 27, 2017",6.03,6.09,5.57,5.69,"343,117","20,088,300"
"Aug 26, 2017",5.55,6.06,5.24,6.01,"298,204","18,492,300"
"Aug 25, 2017",5.84,5.92,5.49,5.55,"109,583","19,466,700"
"Aug 24, 2017",5.6,5.96,5.49,5.84,"205,889","18,660,700"
"Aug 23, 2017",5.56,6.03,5.44,5.6,"150,874","18,510,900"
"Aug 22, 2017",5.81,5.9,5.42,5.57,"153,374","19,356,500"
"Aug 21, 2017",5.58,6.44,5.58,5.76,"708,013","18,564,300"
"Aug 20, 2017",5.16,5.76,4.88,5.57,"164,977","17,179,000"
"Aug 19, 2017",5.27,5.32,4.67,5.15,"229,527","17,548,100"
"Aug 18, 2017",5.14,5.44,5,5.32,"209,744","17,098,400"
"Aug 17, 2017",6.02,6.35,4.96,5.25,"337,332","20,008,400"
