Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.000977,0.001015,0.00089,0.000941,"2,437,060","27,970,400"
"Sep 21, 2017",0.001009,0.001164,0.000866,0.000943,"1,591,360","28,893,000"
"Sep 20, 2017",0.000939,0.001204,0.000858,0.001053,"1,954,400","26,871,700"
"Sep 19, 2017",0.001025,0.00103,0.000857,0.00094,"1,150,030","29,332,800"
"Sep 18, 2017",0.00096,0.001065,0.000914,0.001022,"559,538","27,469,400"
"Sep 17, 2017",0.000965,0.000985,0.000873,0.000926,"167,100","27,612,500"
"Sep 16, 2017",0.000964,0.001008,0.000891,0.000929,"671,310","27,579,700"
"Sep 15, 2017",0.000844,0.001006,0.000765,0.000966,"514,120","24,163,900"
"Sep 14, 2017",0.001084,0.001098,0.000826,0.000838,"706,440","31,008,100"
"Sep 13, 2017",0.001163,0.001167,0.000986,0.001084,"465,711","33,274,900"
"Sep 12, 2017",0.00118,0.001312,0.001108,0.001126,"923,112","33,760,000"
"Sep 11, 2017",0.001233,0.001267,0.001125,0.001179,"827,855","35,268,000"
"Sep 10, 2017",0.001296,0.001296,0.001136,0.001234,"596,485","37,095,200"
"Sep 09, 2017",0.001256,0.001315,0.001181,0.001258,"363,648","35,928,300"
"Sep 08, 2017",0.001345,0.001445,0.001184,0.001253,"1,029,710","38,477,700"
"Sep 07, 2017",0.001386,0.00143,0.001301,0.001344,"924,423","39,642,200"
"Sep 06, 2017",0.001414,0.001536,0.001361,0.001433,"1,389,790","40,444,200"
"Sep 05, 2017",0.001248,0.001509,0.001061,0.001369,"2,175,390","35,705,500"
"Sep 04, 2017",0.001431,0.001464,0.001054,0.001242,"1,641,350","40,938,900"
"Sep 03, 2017",0.001338,0.001453,0.001286,0.001385,"705,628","38,274,700"
"Sep 02, 2017",0.001477,0.001529,0.001262,0.001382,"930,484","42,252,600"
"Sep 01, 2017",0.001799,0.001802,0.001404,0.001475,"2,690,590","51,469,900"
"Aug 31, 2017",0.001325,0.001802,0.001291,0.0018,"7,681,130","37,900,700"
"Aug 30, 2017",0.001103,0.001237,0.001045,0.001237,"656,018","31,559,600"
"Aug 29, 2017",0.001184,0.001186,0.001052,0.001149,"670,392","33,878,700"
"Aug 28, 2017",0.001129,0.001197,0.001074,0.001182,"765,982","32,299,000"
"Aug 27, 2017",0.001043,0.001221,0.000995,0.001173,"1,618,950","29,819,500"
"Aug 26, 2017",0.001089,0.001091,0.000984,0.001001,"334,207","31,142,800"
"Aug 25, 2017",0.001125,0.001133,0.000996,0.001048,"340,387","32,156,400"
"Aug 24, 2017",0.001076,0.001198,0.000998,0.001126,"965,584","30,770,800"
"Aug 23, 2017",0.001063,0.001104,0.000987,0.001036,"505,392","30,390,600"
"Aug 22, 2017",0.001041,0.001098,0.000935,0.001065,"408,188","29,762,700"
"Aug 21, 2017",0.001014,0.001087,0.000963,0.001077,"491,059","28,991,900"
"Aug 20, 2017",0.001034,0.001075,0.000973,0.001018,"454,978","29,556,700"
"Aug 19, 2017",0.000987,0.00106,0.00092,0.001,"456,758","28,213,700"
"Aug 18, 2017",0.001156,0.001208,0.000981,0.000988,"841,044","33,049,700"
"Aug 17, 2017",0.001273,0.001328,0.001094,0.001202,"1,222,100","36,401,200"
"Aug 16, 2017",0.001328,0.001528,0.001191,0.001275,"3,456,280","37,967,100"
"Aug 15, 2017",0.000745,0.001594,0.000745,0.001245,"6,785,040","21,305,700"
"Aug 14, 2017",0.000934,0.000984,0.000734,0.000739,"966,594","26,704,600"
"Aug 13, 2017",0.001044,0.001092,0.00091,0.000934,"770,890","29,853,900"
"Aug 12, 2017",0.00106,0.001115,0.000968,0.001007,"782,362","30,293,500"
"Aug 11, 2017",0.000991,0.0011,0.000837,0.001024,"1,177,060","28,327,200"
"Aug 10, 2017",0.001069,0.001116,0.000956,0.000991,"503,559","30,565,400"
"Aug 09, 2017",0.001096,0.001129,0.000987,0.001101,"554,522","31,316,200"
"Aug 08, 2017",0.001121,0.00121,0.001025,0.001095,"545,237","32,039,700"
"Aug 07, 2017",0.00116,0.001216,0.001081,0.001153,"671,877","33,155,400"
"Aug 06, 2017",0.001173,0.001246,0.001138,0.001194,"507,252","33,536,900"
"Aug 05, 2017",0.001113,0.001233,0.001085,0.001205,"492,122","31,817,600"
"Aug 04, 2017",0.001088,0.001143,0.001077,0.001114,"406,361","31,082,600"
"Aug 03, 2017",0.001082,0.001143,0.001058,0.001115,"480,200","30,914,800"
"Aug 02, 2017",0.001201,0.00123,0.001054,0.00108,"957,261","34,329,100"
"Aug 01, 2017",0.001117,0.001243,0.001053,0.001202,"643,745","31,927,500"
"Jul 31, 2017",0.001258,0.001258,0.001062,0.001116,"360,384","35,948,300"
"Jul 30, 2017",0.001087,0.001258,0.001016,0.001231,"426,604","31,060,300"
"Jul 29, 2017",0.001087,0.001113,0.001026,0.001112,"180,447","31,051,800"
"Jul 28, 2017",0.001146,0.001183,0.001003,0.001091,"364,030","32,752,300"
"Jul 27, 2017",0.001137,0.001177,0.001098,0.001143,"216,050","32,491,600"
"Jul 26, 2017",0.001177,0.001198,0.001072,0.001134,"164,764","33,626,600"
"Jul 25, 2017",0.001324,0.001351,0.001087,0.001152,"399,686","37,824,700"
"Jul 24, 2017",0.001321,0.001359,0.001283,0.001298,"406,883","37,738,100"
"Jul 23, 2017",0.001386,0.00141,0.001278,0.001322,"409,358","39,606,600"
"Jul 22, 2017",0.001227,0.00143,0.001197,0.001386,"451,199","35,048,100"
"Jul 21, 2017",0.001359,0.001363,0.001202,0.001202,"206,650","38,812,600"
"Jul 20, 2017",0.001083,0.001419,0.00107,0.001349,"371,978","30,928,600"
"Jul 19, 2017",0.001128,0.001209,0.001049,0.001086,"389,848","32,234,800"
"Jul 18, 2017",0.001023,0.001228,0.000975,0.001127,"668,565","29,217,800"
"Jul 17, 2017",0.000865,0.001021,0.00086,0.00102,"311,938","24,721,800"
"Jul 16, 2017",0.000954,0.001004,0.000776,0.000848,"301,853","27,239,200"
"Jul 15, 2017",0.001065,0.001102,0.000953,0.000957,"264,416","30,424,400"
"Jul 14, 2017",0.001148,0.001176,0.001009,0.001067,"353,173","32,789,600"
"Jul 13, 2017",0.001335,0.001383,0.001116,0.001149,"627,799","38,130,900"
"Jul 12, 2017",0.001107,0.001357,0.00104,0.001357,"670,943","31,601,100"
"Jul 11, 2017",0.001266,0.001289,0.00093,0.001089,"1,228,440","36,145,200"
"Jul 10, 2017",0.001603,0.00163,0.001236,0.001267,"594,673","45,789,800"
"Jul 09, 2017",0.001657,0.001688,0.00158,0.0016,"338,039","47,316,400"
"Jul 08, 2017",0.001676,0.001744,0.001565,0.001655,"602,407","47,856,500"
"Jul 07, 2017",0.001948,0.002073,0.001576,0.001675,"1,815,010","55,636,300"
"Jul 06, 2017",0.001613,0.002066,0.001576,0.001947,"3,216,670","46,048,800"
"Jul 05, 2017",0.001683,0.001683,0.001551,0.001586,"584,032","48,066,300"
"Jul 04, 2017",0.001648,0.001757,0.001622,0.001684,"603,362","47,068,000"
"Jul 03, 2017",0.001592,0.00172,0.001533,0.001652,"647,958","45,464,100"
"Jul 02, 2017",0.001541,0.001604,0.001441,0.001598,"493,266","43,988,300"
