Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.518139,0.56507,0.449227,0.501997,"44,043","12,844,200"
"Sep 21, 2017",0.639499,0.663766,0.526242,0.539766,"93,215","15,850,400"
"Sep 20, 2017",0.618435,0.640292,0.596705,0.640292,"24,891","15,326,100"
"Sep 19, 2017",0.639137,0.664524,0.60397,0.619261,"50,654","15,836,900"
"Sep 18, 2017",0.53046,0.660498,0.519495,0.634511,"95,179","13,142,100"
"Sep 17, 2017",0.53862,0.546762,0.480597,0.531823,"27,881","13,342,400"
"Sep 16, 2017",0.53284,0.546682,0.491508,0.538987,"19,757","13,197,400"
"Sep 15, 2017",0.511186,0.605804,0.464051,0.534232,"117,577","12,659,200"
"Sep 14, 2017",0.576304,0.622156,0.485533,0.495514,"87,676","14,269,800"
"Sep 13, 2017",0.633062,0.635366,0.537239,0.580512,"79,364","15,673,000"
"Sep 12, 2017",0.606924,0.638535,0.556988,0.635479,"39,142","15,023,700"
"Sep 11, 2017",0.629005,0.656166,0.585983,0.608689,"14,954","15,568,100"
"Sep 10, 2017",0.602317,0.648445,0.553675,0.630074,"60,182","14,905,400"
"Sep 09, 2017",0.616748,0.639056,0.595213,0.60387,"38,899","15,260,300"
"Sep 08, 2017",0.64549,0.649291,0.579918,0.615555,"39,379","15,969,200"
"Sep 07, 2017",0.623182,0.646841,0.597496,0.64536,"11,511","15,415,000"
"Sep 06, 2017",0.593587,0.672156,0.593587,0.624377,"20,767","14,680,900"
"Sep 05, 2017",0.594354,0.619978,0.536333,0.592911,"32,697","14,697,700"
"Sep 04, 2017",0.644979,0.645447,0.527512,0.591286,"41,148","15,947,300"
"Sep 03, 2017",0.640826,0.65503,0.589917,0.644765,"20,800","15,842,400"
"Sep 02, 2017",0.620866,0.685944,0.589584,0.640414,"76,534","15,346,700"
"Sep 01, 2017",0.591922,0.628134,0.584748,0.62009,"30,323","14,629,200"
"Aug 31, 2017",0.563721,0.613968,0.559918,0.58406,"14,200","13,930,200"
"Aug 30, 2017",0.588364,0.610772,0.555107,0.564707,"16,143","14,537,100"
"Aug 29, 2017",0.582191,0.639723,0.568523,0.589149,"37,834","14,382,600"
"Aug 28, 2017",0.58634,0.605022,0.539848,0.581203,"21,073","14,482,900"
"Aug 27, 2017",0.6065,0.61308,0.583903,0.586955,"27,748","14,978,800"
"Aug 26, 2017",0.567997,0.608878,0.567997,0.606636,"38,963","14,025,800"
"Aug 25, 2017",0.560045,0.621343,0.517227,0.567825,"40,264","13,827,500"
"Aug 24, 2017",0.4984,0.561526,0.497623,0.560929,"21,962","12,303,700"
"Aug 23, 2017",0.492376,0.535774,0.490813,0.498184,"26,863","12,153,300"
"Aug 22, 2017",0.500116,0.513521,0.443785,0.493382,"6,997","12,342,600"
"Aug 21, 2017",0.517158,0.525682,0.496096,0.49896,"10,159","12,761,300"
"Aug 20, 2017",0.519101,0.534715,0.507945,0.519128,"18,308","12,807,400"
"Aug 19, 2017",0.519211,0.539301,0.479116,0.521535,"24,258","12,808,300"
"Aug 18, 2017",0.454151,0.569769,0.447081,0.519654,"113,991","11,201,700"
"Aug 17, 2017",0.468548,0.534459,0.433158,0.455543,"48,251","11,555,200"
"Aug 16, 2017",0.447813,0.484307,0.400726,0.468981,"24,526","11,042,200"
"Aug 15, 2017",0.50854,0.511017,0.431693,0.447321,"23,092","12,537,800"
"Aug 14, 2017",0.50402,0.595479,0.489508,0.507176,"28,174","12,424,500"
"Aug 13, 2017",0.425477,0.621858,0.425477,0.502982,"171,937","10,486,900"
"Aug 12, 2017",0.409559,0.501769,0.406281,0.425873,"30,730","10,093,100"
"Aug 11, 2017",0.413935,0.467733,0.388571,0.409878,"20,911","10,199,400"
"Aug 10, 2017",0.421984,0.431504,0.399421,0.413959,"14,990","10,396,300"
"Aug 09, 2017",0.451898,0.452978,0.401551,0.425494,"16,634","11,131,600"
"Aug 08, 2017",0.455772,0.45902,0.412339,0.452204,"8,785","11,225,400"
"Aug 07, 2017",0.45117,0.471719,0.433979,0.455345,"10,285","11,110,500"
"Aug 06, 2017",0.455723,0.479751,0.442756,0.452181,"10,531","11,221,000"
"Aug 05, 2017",0.393456,0.478232,0.393165,0.455613,"17,526","9,686,440"
