Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.23,1.31,1.18,1.24,"95,969","13,798,200"
"Sep 21, 2017",1.47,1.48,1.21,1.24,"196,793","16,436,300"
"Sep 20, 2017",1.27,1.61,1.25,1.47,"367,911","14,260,400"
"Sep 19, 2017",1.38,1.4,1.26,1.27,"117,588","15,484,700"
"Sep 18, 2017",1.25,1.35,1.21,1.35,"131,766","13,982,000"
"Sep 17, 2017",1.23,1.29,1.16,1.25,"83,391","13,753,600"
"Sep 16, 2017",1.23,1.31,1.11,1.23,"101,649","13,743,800"
"Sep 15, 2017",1.1,1.33,0.914045,1.23,"161,679","12,358,900"
"Sep 14, 2017",1.35,1.42,1.08,1.09,"174,000","15,097,500"
"Sep 13, 2017",1.43,1.48,1.27,1.32,"229,937","15,938,600"
"Sep 12, 2017",1.45,1.82,1.41,1.45,"871,642","16,165,400"
"Sep 11, 2017",1.25,1.47,1.16,1.47,"167,790","13,930,000"
"Sep 10, 2017",1.35,1.36,1.18,1.23,"113,482","15,113,700"
"Sep 09, 2017",1.38,1.39,1.23,1.36,"199,913","15,370,200"
"Sep 08, 2017",1.54,1.58,1.33,1.4,"163,621","17,138,900"
"Sep 07, 2017",1.6,1.63,1.48,1.55,"344,074","17,843,300"
"Sep 06, 2017",1.77,1.78,1.34,1.6,"1,132,270","19,798,600"
"Sep 05, 2017",1.49,2.09,1.24,1.76,"552,311","16,590,600"
"Sep 04, 2017",1.68,1.69,1.26,1.47,"351,582","18,781,800"
"Sep 03, 2017",1.83,1.85,1.6,1.68,"250,344","20,371,300"
"Sep 02, 2017",2.27,2.27,1.74,1.82,"370,828","25,276,700"
"Sep 01, 2017",2.17,2.42,2.14,2.27,"617,591","24,215,100"
"Aug 31, 2017",2.16,2.57,2.02,2.18,"1,032,370","24,029,600"
"Aug 30, 2017",1.73,2.27,1.73,2.13,"481,426","19,230,100"
"Aug 29, 2017",1.66,1.98,1.61,1.74,"517,796","18,485,700"
"Aug 28, 2017",1.64,2.05,1.63,1.66,"932,859","18,208,800"
"Aug 27, 2017",1.37,1.87,1.28,1.64,"544,812","15,267,500"
"Aug 26, 2017",1.33,1.39,1.23,1.3,"236,897","14,811,500"
"Aug 25, 2017",1.19,1.46,1.19,1.33,"326,340","13,179,200"
"Aug 24, 2017",1.05,1.25,1.03,1.24,"159,355","11,652,800"
"Aug 23, 2017",1.01,1.21,1.01,1.08,"179,611","11,262,500"
"Aug 22, 2017",1.1,1.14,0.977767,1.02,"155,208","12,242,100"
"Aug 21, 2017",1.24,1.31,1.02,1.08,"239,740","13,769,000"
"Aug 20, 2017",1.39,1.39,1.24,1.25,"177,273","15,407,800"
"Aug 19, 2017",1.56,1.59,1.05,1.39,"594,678","17,274,600"
"Aug 18, 2017",1.17,2.1,1.14,1.61,"2,369,900","12,979,600"
"Aug 17, 2017",1.13,1.26,1.04,1.15,"370,263","12,508,100"
"Aug 16, 2017",1.01,1.13,0.953104,1.1,"174,002","11,202,400"
"Aug 15, 2017",0.961651,1.03,0.825761,1.01,"281,903","10,654,200"
"Aug 14, 2017",0.842645,1.07,0.787649,1.01,"351,114","9,332,760"
"Aug 13, 2017",0.967861,1.06,0.768306,0.820107,"263,004","10,716,200"
"Aug 12, 2017",0.88113,1.01,0.864659,0.96552,"166,335","9,752,830"
"Aug 11, 2017",0.843684,0.953594,0.772489,0.880922,"282,002","9,335,430"
"Aug 10, 2017",0.929109,0.949572,0.791236,0.84776,"205,049","10,277,400"
"Aug 09, 2017",0.932245,0.968316,0.884709,0.929963,"93,888","10,308,800"
"Aug 08, 2017",1.04,1.06,0.91761,0.939873,"143,595","11,492,500"
"Aug 07, 2017",1.04,1.15,0.998387,1.04,"171,760","11,518,700"
"Aug 06, 2017",0.990285,1.09,0.950774,1.04,"129,138","10,940,300"
