Date,Open,High,Low,Close,Volume,Market Cap
"Sep 23, 2017",2.28,2.35,2.12,2.25,"985,438","119,926,000"
"Sep 22, 2017",2.64,2.64,2.05,2.28,"1,801,390","138,700,000"
"Sep 21, 2017",3.26,3.31,2.32,2.64,"1,651,140","171,364,000"
"Sep 20, 2017",3.14,3.37,3.08,3.27,"634,895","164,958,000"
"Sep 19, 2017",3.69,3.7,3.03,3.15,"1,106,560","193,734,000"
"Sep 18, 2017",3.14,3.76,3.11,3.68,"1,167,100","164,799,000"
"Sep 17, 2017",3.12,3.19,2.85,3.15,"368,094","163,611,000"
"Sep 16, 2017",2.93,3.27,2.87,3.12,"546,309","153,590,000"
"Sep 15, 2017",2.69,3.14,2.21,2.94,"1,323,940","141,185,000"
"Sep 14, 2017",3.55,3.65,2.52,2.68,"1,654,330","185,838,000"
"Sep 13, 2017",3.44,3.72,3.16,3.54,"2,596,600","180,404,000"
"Sep 12, 2017",3.27,3.55,3.22,3.44,"1,514,790","171,241,000"
"Sep 11, 2017",3,3.32,2.96,3.27,"980,299","156,711,000"
"Sep 10, 2017",3.04,3.1,2.87,3.03,"418,578","158,951,000"
"Sep 09, 2017",3.03,3.11,2.93,3.05,"271,862","158,242,000"
"Sep 08, 2017",3.21,3.41,2.86,3.02,"814,988","167,941,000"
"Sep 07, 2017",3.24,3.29,2.93,3.21,"907,597","169,256,000"
"Sep 06, 2017",2.94,3.39,2.87,3.25,"1,032,530","153,511,000"
"Sep 05, 2017",2.95,2.99,2.58,2.91,"871,231","154,095,000"
"Sep 04, 2017",3.26,3.27,2.61,2.94,"1,348,520","170,242,000"
"Sep 03, 2017",2.7,3.44,2.66,3.28,"1,776,920","140,517,000"
"Sep 02, 2017",3.06,3.25,2.57,2.74,"1,125,150","159,335,000"
"Sep 1, 2017",3.08,3.19,2.6,3.01,"2,975,660","160,655,000"
"Aug 31, 2017",3.3,3.7,3.02,3.1,"4,709,340","171,694,000"
"Aug 30, 2017",2.55,3.46,2.36,3.36,"5,160,300","132,732,000"
"Aug 29, 2017",1.96,2.68,1.91,2.52,"2,705,020","101,900,000"
"Aug 28, 2017",1.96,2.04,1.77,1.97,"700,963","101,722,000"
"Aug 27, 2017",1.59,2,1.59,1.96,"849,770","82,514,300"
"Aug 26, 2017",1.47,1.61,1.42,1.61,"277,921","76,542,700"
"Aug 25, 2017",1.51,1.57,1.41,1.47,"199,271","78,651,400"
"Aug 24, 2017",1.47,1.53,1.35,1.52,"171,793","76,245,400"
"Aug 23, 2017",1.45,1.52,1.39,1.47,"161,634","75,300,800"
"Aug 22, 2017",1.43,1.55,1.29,1.45,"143,167","74,296,500"
"Aug 21, 2017",1.51,1.63,1.43,1.43,"229,817","78,205,200"
"Aug 20, 2017",1.45,1.56,1.37,1.54,"197,457","75,127,600"
"Aug 19, 2017",1.39,1.46,1.24,1.46,"211,139","71,984,800"
"Aug 18, 2017",1.52,1.64,1.29,1.39,"467,703","78,756,100"
"Aug 17, 2017",1.6,1.62,1.46,1.5,"311,803","82,628,600"
"Aug 16, 2017",1.57,1.71,1.47,1.64,"711,771","81,275,300"
"Aug 15, 2017",1.8,1.88,1.52,1.57,"747,440","93,100,800"
"Aug 14, 2017",1.95,2.05,1.7,1.8,"1,128,680","100,746,000"
"Aug 13, 2017",1.43,1.96,1.43,1.9,"1,983,850","73,738,400"
"Aug 12, 2017",1.31,1.45,1.27,1.43,"311,435","67,820,400"
"Aug 11, 2017",1.2,1.32,1.13,1.31,"224,994","61,764,900"
"Aug 10, 2017",1.13,1.25,1.13,1.19,"251,068","58,299,200"
"Aug 09, 2017",1.19,1.23,1.1,1.13,"149,309","61,339,500"
"Aug 08, 2017",1.17,1.28,1.12,1.19,"285,729","60,453,400"
"Aug 07, 2017",0.989171,1.21,0.967018,1.14,"460,537","50,940,900"
"Aug 06, 2017",0.976587,1.09,0.952391,0.991355,"142,223","50,269,400"
"Aug 05, 2017",0.940915,1.06,0.935666,0.97635,"146,429","48,410,300"
"Aug 04, 2017",0.894759,0.96636,0.881712,0.941331,"73,502","46,014,300"
"Aug 03, 2017",0.889719,0.956714,0.882967,0.893759,"131,043","45,733,600"
"Aug 02, 2017",0.867006,0.909612,0.833904,0.888175,"71,396","44,545,400"
"Aug 1, 2017",0.845244,0.900034,0.752093,0.863855,"117,576","43,407,100"
"Jul 31, 2017",0.910533,0.910533,0.793015,0.853145,"78,791","46,738,000"
"Jul 30, 2017",0.86622,0.936043,0.809855,0.90348,"46,562","44,442,600"
"Jul 29, 2017",0.833954,0.873931,0.795776,0.866212,"46,596","42,767,100"
"Jul 28, 2017",0.877453,0.896623,0.768555,0.837127,"107,556","44,976,500"
"Jul 27, 2017",0.86683,0.909032,0.835375,0.8748,"82,798","44,411,100"
