Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.146057,0.152851,0.132075,0.14544,"973,466","77,068,200"
"Sep 21, 2017",0.168098,0.172979,0.138062,0.147306,"1,418,350","88,694,800"
"Sep 20, 2017",0.173853,0.1777,0.16686,0.16686,"856,943","91,727,500"
"Sep 19, 2017",0.188259,0.192947,0.169636,0.173756,"1,008,370","99,324,200"
"Sep 18, 2017",0.180111,0.196859,0.178864,0.187546,"1,432,210","95,021,100"
"Sep 17, 2017",0.185428,0.186497,0.162767,0.17909,"1,147,870","97,822,400"
"Sep 16, 2017",0.197273,0.204071,0.160672,0.185596,"2,660,670","104,067,000"
"Sep 15, 2017",0.145256,0.207326,0.120757,0.200703,"4,588,110","76,622,800"
"Sep 14, 2017",0.224642,0.229836,0.142547,0.142547,"4,844,080","118,494,000"
"Sep 13, 2017",0.276301,0.276301,0.204291,0.225008,"9,393,550","145,737,000"
"Sep 12, 2017",0.338614,0.347094,0.259825,0.277082,"13,291,900","178,603,000"
"Sep 11, 2017",0.274021,0.349926,0.268121,0.332996,"12,329,400","144,527,000"
"Sep 10, 2017",0.295855,0.297112,0.24681,0.276089,"3,597,380","156,036,000"
"Sep 09, 2017",0.283818,0.298462,0.26339,0.297113,"3,467,550","149,681,000"
"Sep 08, 2017",0.314867,0.330841,0.258971,0.284619,"6,407,060","166,049,000"
"Sep 07, 2017",0.31282,0.335386,0.269859,0.313873,"10,373,900","164,962,000"
"Sep 06, 2017",0.278859,0.346303,0.277475,0.314341,"18,447,600","147,047,000"
"Sep 05, 2017",0.20152,0.276688,0.180987,0.267107,"5,439,060","106,261,000"
"Sep 04, 2017",0.223213,0.242925,0.177817,0.200741,"6,616,450","117,694,000"
"Sep 03, 2017",0.188877,0.222319,0.181972,0.219417,"2,773,860","99,585,600"
"Sep 02, 2017",0.206074,0.212066,0.18498,0.189056,"1,792,050","108,648,000"
"Sep 01, 2017",0.201346,0.213719,0.195905,0.205573,"2,287,290","106,150,000"
"Aug 31, 2017",0.20229,0.213542,0.188829,0.202238,"3,920,710","106,644,000"
"Aug 30, 2017",0.222734,0.244595,0.187889,0.202961,"13,039,000","117,417,000"
"Aug 29, 2017",0.158832,0.226537,0.15166,0.215331,"7,290,520","83,726,200"
"Aug 28, 2017",0.14577,0.171333,0.140816,0.159823,"3,264,140","76,837,400"
"Aug 27, 2017",0.134392,0.150081,0.134392,0.147247,"1,844,380","70,837,200"
"Aug 26, 2017",0.117443,0.137692,0.116845,0.134287,"1,126,120","61,900,600"
"Aug 25, 2017",0.123832,0.12679,0.116299,0.119077,"674,512","65,265,100"
"Aug 24, 2017",0.117898,0.126587,0.114261,0.123878,"822,377","62,135,200"
"Aug 23, 2017",0.115566,0.126153,0.113422,0.116742,"865,643","60,903,600"
"Aug 22, 2017",0.115584,0.117587,0.108021,0.115782,"934,919","60,910,200"
"Aug 21, 2017",0.126783,0.12963,0.106914,0.115904,"1,157,680","66,809,400"
"Aug 20, 2017",0.11767,0.135576,0.11452,0.12695,"2,278,780","62,004,500"
"Aug 19, 2017",0.103834,0.131563,0.094374,0.118235,"3,009,880","54,711,400"
"Aug 18, 2017",0.105383,0.108855,0.100385,0.10359,"761,201","55,525,100"
"Aug 17, 2017",0.108352,0.118198,0.102806,0.105268,"674,104","57,087,200"
