Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",0.005504,0.005855,0.004987,0.005389,"1,636,200","73,801,100"
"Sep 21, 2017",0.00632,0.006424,0.00531,0.005474,"2,531,690","84,751,600"
"Sep 20, 2017",0.006339,0.006651,0.006268,0.006352,"1,712,170","85,007,100"
"Sep 19, 2017",0.006525,0.00689,0.006108,0.00631,"2,735,370","87,494,700"
"Sep 18, 2017",0.005912,0.006572,0.005873,0.006548,"2,127,450","79,276,400"
"Sep 17, 2017",0.005905,0.006152,0.005385,0.005924,"2,152,950","79,186,200"
"Sep 16, 2017",0.005267,0.006628,0.00521,0.005909,"4,272,440","70,624,900"
"Sep 15, 2017",0.004673,0.005604,0.003166,0.005318,"7,011,850","62,663,300"
"Sep 14, 2017",0.006358,0.00652,0.004644,0.0047,"3,234,950","85,254,200"
"Sep 13, 2017",0.007018,0.007028,0.005525,0.006433,"5,005,870","94,104,000"
"Sep 12, 2017",0.007585,0.007934,0.006811,0.007003,"6,703,720","101,713,000"
"Sep 11, 2017",0.007948,0.008172,0.007356,0.007578,"6,125,920","106,575,000"
"Sep 10, 2017",0.006886,0.008321,0.006665,0.007962,"11,644,000","92,331,100"
"Sep 09, 2017",0.00684,0.007106,0.006603,0.006945,"2,019,310","91,718,200"
"Sep 08, 2017",0.007368,0.007875,0.006439,0.006869,"5,065,190","98,806,000"
"Sep 07, 2017",0.007761,0.007807,0.007068,0.007367,"5,787,040","104,077,000"
"Sep 06, 2017",0.00672,0.007867,0.00672,0.007867,"9,241,650","90,108,200"
"Sep 05, 2017",0.005856,0.00779,0.005227,0.006843,"22,165,900","78,525,000"
"Sep 04, 2017",0.005726,0.006264,0.004751,0.005827,"8,473,250","76,788,400"
"Sep 03, 2017",0.004934,0.006284,0.004934,0.005725,"6,188,560","66,162,800"
"Sep 02, 2017",0.005317,0.005626,0.00487,0.004931,"4,094,770","71,300,300"
"Sep 01, 2017",0.006396,0.006552,0.004953,0.005311,"12,679,900","85,762,100"
"Aug 31, 2017",0.005125,0.007056,0.004758,0.006395,"26,598,600","68,723,700"
