Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",1.14,1.17,0.962837,1.02,"835,139","26,016,600"
"Sep 21, 2017",1.35,1.4,1.11,1.14,"1,599,900","30,739,300"
"Sep 20, 2017",1.11,1.5,1.11,1.35,"1,910,410","25,283,100"
"Sep 19, 2017",1.28,1.32,1.01,1.12,"1,939,810","29,330,000"
"Sep 18, 2017",0.989636,1.32,0.989636,1.26,"1,848,980","22,590,000"
"Sep 17, 2017",0.850354,1.05,0.801036,0.990986,"674,818","19,409,700"
"Sep 16, 2017",0.889059,0.943532,0.771985,0.850978,"264,445","20,292,200"
"Sep 15, 2017",0.692309,0.929496,0.586629,0.890119,"409,173","15,800,700"
"Sep 14, 2017",0.925694,0.966291,0.683878,0.694622,"450,921","21,126,300"
"Sep 13, 2017",1.07,1.07,0.889764,0.926039,"367,060","24,354,300"
"Sep 12, 2017",1.12,1.19,1.05,1.08,"447,592","25,597,800"
"Sep 11, 2017",1.08,1.24,1.02,1.13,"647,269","24,647,700"
"Sep 10, 2017",1.27,1.27,1.03,1.08,"355,385","28,990,900"
"Sep 09, 2017",1.24,1.28,1.14,1.27,"196,612","28,259,400"
"Sep 08, 2017",1.36,1.43,1.15,1.23,"512,944","31,124,100"
"Sep 07, 2017",1.43,1.44,1.35,1.37,"423,934","32,677,600"
"Sep 06, 2017",1.36,1.51,1.35,1.44,"453,762","31,081,400"
"Sep 05, 2017",1.4,1.43,1.18,1.37,"833,352","32,042,000"
"Sep 04, 2017",1.78,1.85,1.28,1.4,"1,561,570","40,628,400"
"Sep 03, 2017",1.49,1.88,1.49,1.79,"1,596,340","33,986,800"
"Sep 02, 2017",1.79,1.8,1.44,1.49,"809,027","40,918,000"
"Sep 01, 2017",1.9,1.91,1.67,1.79,"1,224,930","43,405,500"
"Aug 31, 2017",1.8,1.96,1.59,1.92,"3,147,420","40,949,600"
"Aug 30, 2017",1.3,1.94,1.26,1.8,"4,256,660","29,533,200"
"Aug 29, 2017",1.4,1.47,1.2,1.29,"1,023,200","31,933,700"
"Aug 28, 2017",1.43,1.43,1.28,1.41,"842,421","32,696,500"
"Aug 27, 2017",1.22,1.45,1.17,1.43,"1,594,740","27,837,600"
"Aug 26, 2017",1.14,1.26,1.08,1.22,"596,149","25,978,400"
"Aug 25, 2017",1.08,1.16,1.04,1.16,"580,664","24,657,600"
"Aug 24, 2017",0.974681,1.22,0.974681,1.09,"1,577,360","22,221,300"
"Aug 23, 2017",0.905259,0.983651,0.863715,0.980414,"344,533","20,637,600"
"Aug 22, 2017",0.970172,0.970172,0.837048,0.907092,"482,333","22,116,400"
"Aug 21, 2017",1.05,1.08,0.918181,0.956989,"458,261","23,945,900"
"Aug 20, 2017",0.979829,1.1,0.918716,1.05,"445,791","22,334,300"
"Aug 19, 2017",0.943068,0.984738,0.843836,0.968567,"365,809","21,495,300"
"Aug 18, 2017",1.03,1.13,0.914089,0.929852,"327,240","23,525,800"
"Aug 17, 2017",1.08,1.31,0.985095,1.04,"796,157","24,694,400"
"Aug 16, 2017",0.999564,1.14,0.961066,1.09,"517,465","22,779,700"
"Aug 15, 2017",0.926573,1.17,0.806354,0.996926,"991,510","21,115,200"
"Aug 14, 2017",1.01,1.13,0.886415,0.92419,"623,948","23,051,500"
"Aug 13, 2017",1.14,1.16,0.941982,0.998966,"608,576","26,026,000"
"Aug 12, 2017",1.11,1.23,1.07,1.15,"639,597","25,235,800"
"Aug 11, 2017",1.1,1.25,1.07,1.14,"861,836","25,064,600"
"Aug 10, 2017",1.29,1.3,1.1,1.1,"692,956","29,447,100"
"Aug 09, 2017",1.38,1.39,1.27,1.29,"523,382","31,537,100"
"Aug 08, 2017",1.37,1.49,1.36,1.39,"715,756","31,259,400"
"Aug 07, 2017",1.22,1.46,1.17,1.38,"1,481,950","27,827,600"
"Aug 06, 2017",1.31,1.35,1.22,1.22,"474,629","29,917,500"
"Aug 05, 2017",1.31,1.47,1.18,1.3,"1,142,090","29,916,200"
"Aug 04, 2017",1.41,1.47,1.19,1.31,"1,203,880","32,131,700"
"Aug 03, 2017",1.12,1.49,1.1,1.41,"1,328,990","25,595,700"
"Aug 02, 2017",1.09,1.23,1.03,1.12,"901,633","24,782,700"
"Aug 01, 2017",1,1.12,0.966104,1.08,"842,464","22,826,700"
"Jul 31, 2017",0.927771,1.01,0.843575,1.01,"417,572","21,126,900"
"Jul 30, 2017",1.03,1.06,0.91652,0.926828,"396,367","23,530,600"
"Jul 29, 2017",0.791584,1.13,0.765067,1.02,"1,470,200","18,023,900"
"Jul 28, 2017",0.891934,0.900703,0.721539,0.794126,"339,188","20,307,800"
"Jul 27, 2017",0.864688,0.919752,0.855039,0.893972,"222,820","19,686,500"
"Jul 26, 2017",0.86064,0.950908,0.813104,0.857207,"321,486","19,593,300"
"Jul 25, 2017",1.16,1.16,0.836489,0.864531,"566,321","26,442,500"
"Jul 24, 2017",1.11,1.24,1.05,1.16,"535,254","25,187,100"
"Jul 23, 2017",1.28,1.29,1.09,1.1,"435,903","29,222,800"
"Jul 22, 2017",1.14,1.34,1.12,1.28,"905,717","25,887,300"
"Jul 21, 2017",1.01,1.22,0.98518,1.13,"825,900","23,094,800"
"Jul 20, 2017",0.819813,1.1,0.815259,1,"710,506","18,653,000"
"Jul 19, 2017",0.799356,1.05,0.739588,0.813533,"1,307,920","18,185,800"
"Jul 18, 2017",0.69713,0.811061,0.632945,0.795163,"416,260","15,858,500"
"Jul 17, 2017",0.581123,0.706407,0.573873,0.696888,"219,442","13,218,300"
"Jul 16, 2017",0.597063,0.611071,0.460345,0.594075,"440,617","13,579,500"
"Jul 15, 2017",0.671563,0.671563,0.577866,0.600008,"127,917","15,272,400"
"Jul 14, 2017",0.696329,0.697629,0.600951,0.672667,"192,827","15,834,100"
"Jul 13, 2017",0.77634,0.809345,0.663477,0.696564,"467,707","17,651,700"
"Jul 12, 2017",0.614143,0.833874,0.562225,0.779724,"640,429","13,962,500"
"Jul 11, 2017",0.652701,0.805364,0.554565,0.616953,"857,723","14,837,600"
"Jul 10, 2017",0.964275,0.983439,0.627455,0.656982,"692,048","21,918,400"
"Jul 09, 2017",1.12,1.14,0.967603,0.967603,"336,205","25,524,900"
"Jul 08, 2017",1.02,1.14,0.864361,1.12,"787,094","23,163,700"
"Jul 07, 2017",1.15,1.15,0.867444,1.02,"740,610","26,160,900"
"Jul 06, 2017",1.21,1.21,1.08,1.15,"908,097","27,423,000"
"Jul 05, 2017",1.29,1.29,1.19,1.2,"765,956","29,201,600"
"Jul 04, 2017",1.34,1.38,1.29,1.29,"477,338","30,407,900"
"Jul 03, 2017",1.3,1.4,1.22,1.34,"879,615","29,523,400"
"Jul 02, 2017",1.34,1.37,1.1,1.29,"1,021,700","30,405,100"
"Jul 01, 2017",1.57,1.64,1.19,1.33,"1,111,240","35,759,700"
"Jun 30, 2017",1.57,1.81,1.41,1.56,"2,597,390","35,573,900"
"Jun 29, 2017",1.38,1.63,1.26,1.55,"1,568,170","31,378,600"
"Jun 28, 2017",1.39,1.54,1.33,1.38,"928,018","31,665,100"
"Jun 27, 2017",1.38,1.41,1.15,1.39,"944,935","31,264,900"
"Jun 26, 2017",1.57,1.59,0.978109,1.38,"2,394,100","35,650,900"
"Jun 25, 2017",1.69,1.76,1.5,1.54,"1,322,690","38,248,100"
"Jun 24, 2017",1.88,1.88,1.57,1.7,"1,668,440","42,676,100"
"Jun 23, 2017",1.91,2,1.7,1.87,"2,596,920","43,271,900"
"Jun 22, 2017",1.8,1.93,1.48,1.9,"3,424,270","40,788,500"
"Jun 21, 2017",1.39,2.11,1.37,1.78,"14,313,900","31,460,100"
"Jun 20, 2017",1.22,1.45,1.13,1.42,"2,460,320","27,777,600"
"Jun 19, 2017",0.940193,1.23,0.916345,1.23,"1,963,650","21,326,700"
"Jun 18, 2017",0.82297,0.977329,0.815031,0.93996,"1,091,030","18,665,900"
"Jun 17, 2017",0.764063,0.868429,0.741829,0.822752,"912,898","17,328,100"
"Jun 16, 2017",0.666321,0.777101,0.637016,0.764096,"566,431","15,109,900"
"Jun 15, 2017",0.683863,0.74476,0.560098,0.667644,"397,181","15,506,100"
"Jun 14, 2017",0.743543,0.92517,0.669665,0.677729,"933,246","16,857,700"
"Jun 13, 2017",0.653517,0.763785,0.645717,0.752367,"363,778","14,815,100"
"Jun 12, 2017",0.824535,0.852335,0.625567,0.655704,"503,508","18,690,200"
"Jun 11, 2017",0.932243,1.01,0.766814,0.818596,"1,217,490","21,129,600"
"Jun 10, 2017",0.755913,1.06,0.754132,0.94228,"2,420,090","17,131,300"
"Jun 09, 2017",0.729145,0.805116,0.699126,0.764694,"461,407","16,523,100"
"Jun 08, 2017",0.701255,0.752565,0.667958,0.730428,"347,575","15,889,500"
"Jun 07, 2017",0.654128,0.793668,0.629336,0.693751,"739,941","14,820,200"
"Jun 06, 2017",0.637499,0.691302,0.566815,0.649289,"626,768","14,442,000"
"Jun 05, 2017",0.524428,0.747973,0.524428,0.635762,"1,574,410","11,879,300"
"Jun 04, 2017",0.457325,0.620718,0.437379,0.525369,"2,057,080","10,358,300"
"Jun 03, 2017",0.428792,0.477219,0.428792,0.463225,"290,217","9,711,030"
"Jun 02, 2017",0.396333,0.453862,0.386667,0.433908,"266,290","8,975,030"
"Jun 01, 2017",0.355277,0.460571,0.355277,0.396154,"467,982","8,044,510"
"May 31, 2017",0.346308,0.364809,0.322207,0.355367,"146,510","7,840,650"
"May 30, 2017",0.40921,0.40921,0.333053,0.343154,"167,202","9,263,880"
"May 29, 2017",0.354366,0.418986,0.320945,0.411047,"217,928","8,021,500"
"May 28, 2017",0.326016,0.427655,0.302297,0.355084,"291,573","7,379,030"
"May 27, 2017",0.375145,0.388508,0.285065,0.324079,"176,216","8,490,180"
"May 26, 2017",0.387359,0.486822,0.349951,0.374102,"136,433","8,765,730"
"May 25, 2017",0.480785,0.496467,0.383438,0.390261,"253,162","10,878,800"
"May 24, 2017",0.484288,0.529673,0.46983,0.481732,"298,577","10,957,000"
"May 23, 2017",0.43792,0.563051,0.427805,0.48387,"449,027","9,906,950"
"May 22, 2017",0.463416,0.471272,0.390858,0.437636,"290,997","10,482,700"
"May 21, 2017",0.438536,0.466873,0.420368,0.452799,"213,524","9,918,920"
"May 20, 2017",0.37214,0.462965,0.36937,0.43983,"325,752","8,416,320"
"May 19, 2017",0.366925,0.38308,0.340036,0.37255,"148,751","8,297,550"
"May 18, 2017",0.357934,0.389827,0.324418,0.373411,"270,704","8,093,430"
"May 17, 2017",0.316926,0.386253,0.299818,0.365191,"395,948","7,165,460"
"May 16, 2017",0.288481,0.334579,0.27288,0.312092,"311,388","6,521,700"
"May 15, 2017",0.325826,0.348118,0.274525,0.284334,"309,188","7,365,230"
"May 14, 2017",0.313951,0.388105,0.313682,0.325723,"585,973","7,096,090"
"May 13, 2017",0.251708,0.421826,0.239643,0.312717,"995,154","5,688,680"
"May 12, 2017",0.211907,0.284471,0.202195,0.253862,"390,493","4,788,680"
"May 11, 2017",0.237935,0.239243,0.180066,0.211699,"255,613","5,376,330"
"May 10, 2017",0.245863,0.259968,0.228642,0.23751,"190,097","5,554,920"
"May 09, 2017",0.248934,0.28097,0.234277,0.246123,"122,164","5,623,750"
"May 08, 2017",0.22936,0.276463,0.22931,0.248935,"211,999","5,181,030"
"May 07, 2017",0.236881,0.268576,0.226143,0.229269,"479,531","5,350,390"
"May 06, 2017",0.219122,0.241489,0.218359,0.236895,"119,179","4,948,780"
"May 05, 2017",0.220115,0.241692,0.211961,0.218794,"96,943","4,970,710"
