Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",10.51,12.92,10.42,11.48,"6,902,150","31,978,900"
"Sep 21, 2017",10.64,12.86,10.29,10.45,"9,857,190","32,282,100"
"Sep 20, 2017",8.6,11.79,8.48,10.6,"8,494,020","26,041,400"
"Sep 19, 2017",7.53,9.55,7.41,8.64,"3,420,000","22,727,100"
"Sep 18, 2017",6.59,7.73,6.59,7.52,"1,164,430","19,861,600"
"Sep 17, 2017",6.73,6.94,6.23,6.6,"337,842","20,219,600"
"Sep 16, 2017",6.9,7.36,5.75,6.59,"1,188,600","20,685,400"
"Sep 15, 2017",6.4,7.27,4.61,6.92,"2,301,510","19,137,500"
"Sep 14, 2017",8.51,8.98,6.19,6.3,"1,978,410","25,388,600"
"Sep 13, 2017",8.51,9.02,8.05,8.51,"725,764","25,331,000"
"Sep 12, 2017",8.82,9.88,8.37,8.52,"1,263,110","26,212,700"
"Sep 11, 2017",8.5,8.98,8.09,8.67,"600,816","25,212,700"
"Sep 10, 2017",9.25,9.29,7.22,8.53,"1,454,620","27,345,800"
"Sep 09, 2017",9.25,9.64,8.48,9.15,"1,222,660","27,296,600"
"Sep 08, 2017",10.69,10.81,8.12,9.09,"1,473,110","31,455,900"
"Sep 07, 2017",11.52,11.71,10.51,10.72,"1,127,400","33,817,900"
"Sep 06, 2017",10.84,11.67,10.63,11.59,"888,081","31,768,100"
"Sep 05, 2017",9.8,10.87,7.8,10.84,"1,214,390","28,639,700"
"Sep 04, 2017",12.11,12.24,9.18,9.71,"1,222,000","35,324,200"
"Sep 03, 2017",12.96,13.41,11.83,12.13,"646,728","37,702,400"
"Sep 02, 2017",14.33,14.33,11.93,13.19,"1,113,990","41,568,400"
"Sep 01, 2017",14.08,14.52,12.96,14.33,"1,409,350","40,761,100"
"Aug 31, 2017",13.44,14.5,13.1,14.23,"2,052,550","38,788,700"
"Aug 30, 2017",12.57,14.01,11.55,13.34,"1,048,790","36,214,800"
"Aug 29, 2017",13.42,13.48,11.76,12.54,"921,476","38,575,400"
"Aug 28, 2017",12.97,13.55,12.22,13.32,"1,101,170","37,163,500"
"Aug 27, 2017",13.08,13.34,11.26,12.85,"1,336,170","37,392,100"
"Aug 26, 2017",10.05,13.85,9.99,13.3,"1,873,930","28,661,600"
"Aug 25, 2017",10.05,10.29,9.71,10.07,"325,964","28,583,400"
"Aug 24, 2017",9.65,10.14,9.32,10.06,"316,137","27,381,500"
"Aug 23, 2017",9.27,10.2,9.19,9.61,"336,436","26,232,700"
"Aug 22, 2017",8.97,9.52,8.48,9.3,"313,099","25,320,200"
"Aug 21, 2017",9.77,9.95,8.95,9.16,"401,079","27,515,400"
"Aug 20, 2017",9.28,9.87,9.13,9.72,"299,338","26,073,800"
"Aug 19, 2017",9.11,10.12,8.37,9.29,"680,138","25,536,800"
"Aug 18, 2017",9.25,9.94,8.59,9.07,"467,480","25,851,200"
"Aug 17, 2017",10.58,11.83,8.5,9.26,"1,053,900","29,505,100"
"Aug 16, 2017",11.34,11.96,10.36,10.66,"1,036,450","31,515,600"
"Aug 15, 2017",10.71,11.87,9.68,11.71,"1,584,920","29,685,200"
"Aug 14, 2017",10.08,11.12,10.01,10.77,"1,141,240","27,851,000"
"Aug 13, 2017",11.56,11.61,9.48,10.15,"1,954,580","31,855,200"
"Aug 12, 2017",11.56,12.44,11.19,11.56,"896,947","31,765,900"
"Aug 11, 2017",12.5,13.12,11.17,11.47,"1,826,210","34,251,000"
"Aug 10, 2017",9.96,13.58,9.26,12.56,"2,985,000","27,239,400"
"Aug 09, 2017",9.73,10.61,9.66,10.12,"1,231,730","26,544,400"
"Aug 08, 2017",8.8,10.52,8.56,9.69,"1,970,660","23,912,100"
"Aug 07, 2017",8.13,9.04,7.94,8.74,"572,513","22,058,700"
"Aug 06, 2017",8.91,9.07,8.16,8.16,"440,581","24,124,200"
"Aug 05, 2017",8.72,9.13,8.18,8.89,"700,040","23,510,600"
"Aug 04, 2017",8.6,8.96,8.25,8.72,"589,967","23,118,000"
"Aug 03, 2017",7.48,8.82,7.38,8.6,"512,876","20,058,400"
"Aug 02, 2017",7.09,7.62,6.83,7.54,"346,321","18,960,600"
"Aug 01, 2017",6.71,7.22,6.43,7.09,"219,257","17,912,000"
"Jul 31, 2017",6.52,6.88,6.25,6.71,"144,347","17,370,000"
"Jul 30, 2017",6.75,6.76,6.34,6.52,"92,747","17,937,800"
"Jul 29, 2017",6.67,6.8,6.24,6.75,"124,399","17,668,900"
"Jul 28, 2017",7.08,7.16,6.42,6.68,"175,202","18,722,100"
"Jul 27, 2017",7.01,7.26,6.79,7.08,"156,878","18,473,900"
"Jul 26, 2017",6.95,7.09,6.32,7.08,"212,184","18,272,200"
"Jul 25, 2017",8.18,8.29,6.61,6.87,"394,663","21,468,500"
"Jul 24, 2017",8.18,8.3,7.47,8.18,"374,005","21,394,200"
"Jul 23, 2017",9.45,9.52,7.54,8.13,"740,538","24,652,900"
"Jul 22, 2017",7.81,9.58,7.79,9.45,"601,642","20,308,300"
"Jul 21, 2017",8.05,8.62,7.57,7.77,"668,193","20,885,700"
"Jul 20, 2017",6.87,8.32,6.67,7.96,"764,915","17,788,800"
"Jul 19, 2017",7.19,7.3,6.59,6.81,"389,190","18,569,600"
"Jul 18, 2017",6.31,7.51,6.06,7.12,"707,446","16,241,500"
"Jul 17, 2017",5.64,6.52,5.64,6.3,"338,728","14,499,900"
"Jul 16, 2017",5.75,5.96,5.3,5.59,"246,906","14,715,900"
"Jul 15, 2017",6.44,6.44,5.56,5.75,"501,894","16,422,500"
"Jul 14, 2017",7.15,7.44,6.08,6.48,"368,630","18,192,100"
"Jul 13, 2017",7.81,8.1,6.98,7.15,"418,751","19,805,900"
"Jul 12, 2017",6.99,7.82,6.36,7.77,"903,696","17,681,200"
"Jul 11, 2017",8.27,8.74,6.78,6.95,"918,083","20,853,600"
"Jul 10, 2017",10.05,10.36,7.89,8.27,"638,235","25,263,900"
"Jul 09, 2017",10.87,10.91,9.43,10.04,"483,694","27,257,200"
"Jul 08, 2017",9.82,10.81,8.33,10.71,"1,109,410","24,548,700"
"Jul 07, 2017",11.52,11.52,9.78,9.82,"1,165,450","28,695,300"
"Jul 06, 2017",11.67,12.08,11.3,11.45,"798,880","28,972,500"
"Jul 05, 2017",11.88,11.93,11.16,11.67,"571,853","29,390,500"
"Jul 04, 2017",11.8,12.39,11.64,11.96,"623,918","29,128,000"
"Jul 03, 2017",11.73,12.23,11.15,11.73,"948,891","28,889,200"
"Jul 02, 2017",11.06,12,9.93,11.78,"1,254,320","27,147,900"
"Jul 01, 2017",13.21,13.33,11.02,11.14,"851,375","32,305,200"
"Jun 30, 2017",13.57,13.83,13.03,13.1,"1,040,400","33,088,300"
"Jun 29, 2017",14.49,15.06,13.01,13.47,"1,291,860","35,203,400"
"Jun 28, 2017",12.82,15.9,12.22,14.52,"2,194,600","31,083,100"
"Jun 27, 2017",13.15,13.78,11.13,12.51,"2,304,410","31,771,300"
"Jun 26, 2017",14.65,15.44,12.4,13.91,"2,934,760","35,318,600"
"Jun 25, 2017",16.47,16.84,14.67,14.67,"1,692,860","39,568,000"
"Jun 24, 2017",16.79,17.41,14.92,16.47,"5,869,580","40,220,300"
"Jun 23, 2017",19.12,19.96,15.92,16.92,"4,157,960","45,645,400"
"Jun 22, 2017",17.13,21.08,17.13,19.09,"5,283,570","40,767,900"
"Jun 21, 2017",15.6,17.12,14,16.94,"2,792,140","37,021,000"
"Jun 20, 2017",14.38,16.31,14.32,15.45,"2,123,490","34,023,900"
"Jun 19, 2017",16.3,16.84,14.33,14.47,"2,343,800","38,442,900"
"Jun 18, 2017",17.24,17.25,15.25,16.29,"2,071,190","40,519,700"
"Jun 17, 2017",18.53,19.44,16.76,16.76,"2,961,890","43,420,800"
"Jun 16, 2017",13.14,19.27,13.14,18.84,"7,258,650","30,671,600"
"Jun 15, 2017",11.45,13.43,10.15,13.02,"2,847,380","26,631,600"
"Jun 14, 2017",11.85,12.3,10.29,11.16,"2,428,170","27,482,100"
"Jun 13, 2017",10.51,12.34,9.74,11.7,"2,530,410","24,299,200"
"Jun 12, 2017",12.94,12.94,9.64,10.31,"2,844,100","29,828,600"
"Jun 11, 2017",11.25,14.73,9.42,12.68,"8,258,350","25,840,100"
"Jun 10, 2017",7.63,10.99,7.63,10.98,"3,364,130","17,455,700"
"Jun 09, 2017",7.39,7.65,7.28,7.58,"974,374","16,848,800"
"Jun 08, 2017",7.09,7.61,6.71,7.38,"957,448","16,114,400"
"Jun 07, 2017",7.29,7.86,6.94,7.18,"820,051","16,515,200"
"Jun 06, 2017",7.93,7.93,7.03,7.29,"851,169","17,898,300"
"Jun 05, 2017",7.09,8.08,7.09,7.86,"1,569,910","15,955,200"
"Jun 04, 2017",7.38,7.38,6.98,7.16,"447,975","16,553,300"
"Jun 03, 2017",7.3,7.52,6.8,7.29,"875,533","16,326,900"
"Jun 02, 2017",7.56,7.76,6.85,7.25,"1,116,560","16,853,100"
"Jun 01, 2017",8.09,8.42,7.02,7.56,"1,563,280","17,982,200"
"May 31, 2017",5.78,8.15,5.57,8.15,"2,184,920","12,806,400"
"May 30, 2017",5.79,6.17,5.56,5.77,"545,206","12,796,400"
"May 29, 2017",5.1,6.2,4.81,5.78,"924,294","11,236,000"
"May 28, 2017",5.14,5.59,4.57,5.1,"523,446","11,282,800"
"May 27, 2017",5.15,5.49,4.14,5.15,"1,174,800","11,264,900"
"May 26, 2017",5.92,6.71,4.88,5.16,"883,223","12,900,800"
"May 25, 2017",7.44,7.53,5.88,5.96,"1,490,560","16,172,000"
"May 24, 2017",8.41,9.2,7.31,7.47,"2,388,460","18,219,700"
"May 23, 2017",7.4,8.49,7.4,8.49,"2,218,480","15,984,200"
"May 22, 2017",6.2,8.72,5.79,7.52,"3,868,630","13,346,300"
"May 21, 2017",5.57,6.48,5.55,6.18,"1,717,270","11,935,600"
"May 20, 2017",5.57,5.7,5.39,5.62,"677,308","11,894,400"
"May 19, 2017",5.76,5.94,5.52,5.56,"881,074","12,266,100"
"May 18, 2017",5.49,6.16,5.36,5.75,"731,080","11,641,500"
"May 17, 2017",5.32,5.63,5.16,5.49,"431,833","11,253,700"
"May 16, 2017",5.34,5.63,5.19,5.32,"274,522","11,252,500"
"May 15, 2017",5.56,5.56,5.19,5.34,"260,756","11,687,500"
"May 14, 2017",5.86,5.9,5.44,5.57,"336,968","12,255,900"
"May 13, 2017",5.35,6.42,4.94,5.85,"787,247","11,145,000"
"May 12, 2017",5.4,6.08,5.22,5.36,"583,094","11,213,600"
"May 11, 2017",5.94,5.94,4.86,5.45,"971,481","12,291,200"
"May 10, 2017",6.3,6.49,5.67,5.94,"1,183,620","12,984,900"
"May 09, 2017",7,7.89,5.69,6.35,"3,226,130","14,385,700"
"May 08, 2017",6.7,7.89,6.45,6.93,"2,489,240","13,740,900"
"May 07, 2017",6.8,6.95,6.3,6.62,"1,091,020","13,905,000"
"May 06, 2017",7.01,7.08,6.34,6.8,"1,073,150","14,285,200"
"May 05, 2017",7.21,7.46,6.41,6.99,"2,143,420","14,628,400"
"May 04, 2017",6.83,7.64,6.82,7.21,"1,743,420","13,819,100"
"May 03, 2017",6.67,6.93,6.34,6.83,"935,796","13,438,300"
"May 02, 2017",7.11,7.27,5.98,6.62,"1,318,530","14,277,200"
"May 01, 2017",7.5,7.79,6.18,7.1,"1,319,750","15,010,000"
"Apr 30, 2017",8.01,8.04,7.26,7.53,"1,518,460","15,979,600"
"Apr 29, 2017",7.55,8.24,7.49,8.02,"1,398,410","14,995,900"
"Apr 28, 2017",7.37,7.6,7.08,7.53,"700,173","14,591,500"
"Apr 27, 2017",7.49,7.71,7.33,7.4,"790,389","14,777,900"
"Apr 26, 2017",7.61,7.78,7.46,7.5,"716,038","14,940,200"
