Date,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2017",6.77,7.9,6.63,7.02,"502,130","14,777,400"
"Sep 21, 2017",6.83,8.47,6.39,6.84,"943,154","14,850,700"
"Sep 20, 2017",6.75,7.3,6.63,6.82,"155,140","14,639,100"
"Sep 19, 2017",7.42,7.47,6.74,6.77,"98,777","16,025,700"
"Sep 18, 2017",6.85,7.55,6.67,7.55,"129,904","14,748,300"
"Sep 17, 2017",6.96,7.1,6.52,6.81,"80,260","14,937,800"
"Sep 16, 2017",7.07,7.25,6.43,6.95,"103,831","15,134,800"
"Sep 15, 2017",5.7,7.18,5.17,7.1,"160,224","12,157,900"
"Sep 14, 2017",6.92,6.96,5.61,5.66,"136,672","14,709,100"
"Sep 13, 2017",7.69,7.77,6.34,6.79,"197,428","16,296,000"
"Sep 12, 2017",7.92,8.35,7.52,7.69,"129,754","16,728,800"
"Sep 11, 2017",7.88,9.34,7.67,7.93,"204,588","16,581,200"
"Sep 10, 2017",8.33,8.69,7.51,7.86,"162,879","17,460,500"
"Sep 09, 2017",8.3,8.75,7.83,8.37,"165,846","17,346,100"
"Sep 08, 2017",9.96,10.18,7.94,8.26,"280,861","20,751,400"
"Sep 07, 2017",10.17,10.62,9.58,9.92,"301,193","21,117,900"
"Sep 06, 2017",8.66,10.7,8.5,10.41,"329,524","17,919,700"
"Sep 05, 2017",8.06,9.15,7.07,8.64,"302,971","16,623,300"
"Sep 04, 2017",9.98,10.2,6.82,8.12,"563,803","20,496,700"
"Sep 03, 2017",10.61,10.73,8.68,9.97,"364,773","21,730,300"
"Sep 02, 2017",12.79,13.09,10.09,10.6,"366,283","26,091,300"
"Sep 01, 2017",12.89,13.03,11.7,12.77,"322,921","26,204,400"
"Aug 31, 2017",11.37,13.43,10.88,12.88,"796,268","23,044,100"
"Aug 30, 2017",11.09,12.09,10.92,11.4,"302,192","22,388,700"
"Aug 29, 2017",11.4,12.3,10.64,11.09,"588,334","22,946,200"
"Aug 28, 2017",9.2,12.17,8.53,11.33,"943,996","18,442,300"
"Aug 27, 2017",9.03,9.61,8.05,9.19,"357,312","18,037,800"
"Aug 26, 2017",8.72,9.05,7.94,9.05,"292,991","17,349,900"
"Aug 25, 2017",9.26,9.39,8.22,8.54,"366,466","18,371,300"
"Aug 24, 2017",7.45,9.97,7.28,9.02,"917,657","14,722,100"
"Aug 23, 2017",6.66,7.77,6.56,7.52,"257,292","13,119,500"
"Aug 22, 2017",6.72,6.96,5.93,6.68,"186,140","13,178,400"
"Aug 21, 2017",7.51,7.9,6.53,6.67,"286,852","14,675,800"
"Aug 20, 2017",7.73,7.87,7.15,7.54,"200,055","15,064,100"
"Aug 19, 2017",6.74,7.84,6.61,7.62,"332,545","13,081,300"
"Aug 18, 2017",7.43,8.17,6.62,6.75,"327,931","14,376,900"
"Aug 17, 2017",5.44,8.7,5.14,7.63,"1,057,820","10,484,500"
"Aug 16, 2017",5.82,6.42,5.28,5.57,"202,633","11,175,800"
"Aug 15, 2017",5.71,6.41,5,5.81,"208,688","10,922,700"
"Aug 14, 2017",6.34,6.44,5.53,5.61,"218,227","12,073,200"
"Aug 13, 2017",5.84,6.59,5.66,6.4,"264,486","11,085,600"
"Aug 12, 2017",5.44,5.98,5.23,5.87,"224,760","8,716,040"
"Aug 11, 2017",5.02,5.6,4.78,5.23,"255,889","8,052,490"
"Aug 10, 2017",4.98,5.11,4.73,5.02,"177,477","7,982,680"
"Aug 09, 2017",5.71,5.89,4.92,4.98,"131,344","9,149,740"
"Aug 08, 2017",5.22,5.65,4.77,5.62,"152,135","8,372,730"
"Aug 07, 2017",5.12,5.49,4.54,5.22,"155,460","8,200,310"
"Aug 06, 2017",5.49,5.81,5.06,5.11,"143,448","8,801,610"
"Aug 05, 2017",5.34,5.64,4.87,5.21,"174,178","8,562,440"
"Aug 04, 2017",4.82,5.61,4.81,5.34,"174,381","7,732,680"
"Aug 03, 2017",4.05,5.54,3.86,4.83,"395,230","6,494,870"
"Aug 02, 2017",3.51,4.3,3.34,3.92,"123,524","5,620,930"
"Aug 01, 2017",3.3,3.88,3.11,3.51,"81,806","5,282,050"
"Jul 31, 2017",3.71,3.74,3.09,3.29,"112,113","5,952,040"
"Jul 30, 2017",3.96,3.99,3.58,3.71,"59,855","6,350,210"
"Jul 29, 2017",4.17,4.29,3.74,3.94,"51,699","6,686,520"
"Jul 28, 2017",3.7,4.43,3.7,4.19,"132,315","5,928,070"
"Jul 27, 2017",3.69,3.97,3.64,3.69,"76,761","5,908,670"
"Jul 26, 2017",3.64,4.09,3.48,3.68,"55,380","5,826,770"
"Jul 25, 2017",3.95,4.04,3.48,3.63,"78,753","6,325,710"
"Jul 24, 2017",3.96,4.13,3.89,3.95,"56,591","6,349,360"
"Jul 23, 2017",4.38,4.42,3.88,3.97,"58,339","7,012,270"
"Jul 22, 2017",4.08,4.4,4.03,4.25,"55,549","6,538,980"
